[00:00:06.503 --> 00:00:07.383]  You found it.
[00:00:07.703 --> 00:00:09.204]  The tip of the spear.
[00:00:09.704 --> 00:00:12.285]  It is the Alex Jones Show.
[00:00:13.966 --> 00:00:21.888]  I hear people talking bad about the way we have to live here in this country.
[00:00:21.988 --> 00:00:27.450]  Harping on wars, big fights, and griping about the way things ought to be.
[00:00:27.530 --> 00:00:34.793]  And I don't mind them switching sides and standing up for things they believe in.
[00:00:36.653 --> 00:00:43.899]  When they're runnin' down my country, man, they're walkin' on the fightin' side of me.
[00:00:44.039 --> 00:00:49.383]  Yeah, walkin' on the fightin' side of me.
[00:00:49.643 --> 00:00:55.488]  Runnin' down the way of life, I'm fightin' it hard to die in peace.
[00:00:59.300 --> 00:01:05.263]  The United States of America is now open for business.
[00:01:05.523 --> 00:01:08.305]  It's now about sovereignty.
[00:01:08.345 --> 00:01:14.348]  It's now about dealing in good faith and being honorable again and the world respecting us.
[00:01:15.408 --> 00:01:16.569]  And it's time for us to win.
[00:01:18.009 --> 00:01:18.750]  We're set to win.
[00:01:23.056 --> 00:01:35.688]  But we have to decide that we are not going to live under the deception of a term that I thought of this morning and I'm sure because it's such an obvious term that other people thought of it as well.
[00:01:36.508 --> 00:01:42.994]  But it just hit me and I tweeted it out, maybe we can pull that tweet up, that the official name of MSM
[00:01:44.306 --> 00:01:55.049]  Shouldn't just be fake news, because they can throw that back and forth on new independent media, journalists, investigative journalists, just somebody that videotapes something that the government doesn't want seen.
[00:01:56.309 --> 00:01:58.690]  They can just throw fake news back on that.
[00:01:58.950 --> 00:01:59.710]  You can throw it on them.
[00:01:59.930 --> 00:02:10.092]  You've got to have something that ties them, the globalists, the big corporate collaborator media, to the fact that they're the mainstream media, and that known term.
[00:02:10.452 --> 00:02:12.433]  And so, it's the fake stream media.
[00:02:13.837 --> 00:02:14.217]  That's it.
[00:02:14.498 --> 00:02:15.138]  That's the name.
[00:02:15.198 --> 00:02:20.383]  I've been searching and searching and searching and searching.
[00:02:22.866 --> 00:02:23.766]  The Soros Inc.
[00:02:23.827 --> 00:02:28.951]  controlled corporate media is in full panic from Donald Trump.
[00:02:29.392 --> 00:02:33.275]  He should call them fake stream media.
[00:02:33.396 --> 00:02:34.236]  Very simple statement.
[00:02:34.256 --> 00:02:34.737]  Very powerful.
[00:02:41.218 --> 00:02:47.240]  Again, if you go back just a month ago on my Twitter, all the comments, like 97% were positive.
[00:02:47.880 --> 00:02:52.901]  You go to YouTube, it'll give like a 96, 97% on average, and those 99% upvote.
[00:02:55.622 --> 00:02:58.023]  And they're having trouble gaming that because that's just a solid vote.
[00:02:58.063 --> 00:03:03.564]  But when it comes to Twitter, just like you see what Trump, Paul wrote about it yesterday, the first few hundred are negative.
[00:03:03.624 --> 00:03:05.485]  They just stack it with an algorithm.
[00:03:06.704 --> 00:03:07.004]  to say.
[00:03:27.751 --> 00:03:29.673]  Ever hide just their disdain?
[00:03:29.693 --> 00:03:34.619]  You go watch a movie, you know, a comic book movie, and it shows the villain going, I will destroy them.
[00:03:34.820 --> 00:03:35.460]  Oh, yes.
[00:03:35.500 --> 00:03:38.164]  That's actually what it's like when you're dealing with megalomaniacs.
