[00:00:00.109 --> 00:00:01.857]  Please, spread the word.
[00:00:14.210 --> 00:00:19.235]  Before America can be great again, she must be free again.
[00:00:19.776 --> 00:00:22.578]  You're listening to the Alex Jones Show.
[00:00:24.060 --> 00:00:27.083]  Well, we've got nine hours left in the global transmission.
[00:00:27.103 --> 00:00:29.405]  30 hours that kicked off yesterday at 11 a.m.
[00:00:29.445 --> 00:00:32.148]  We end at 8 o'clock Central Time.
[00:00:33.587 --> 00:00:38.010]  Wow, great job crew, great job callers, all the great hosts, all the great guests.
[00:00:38.430 --> 00:00:39.871]  So much more coming up.
[00:00:40.451 --> 00:00:52.378]  We have huge developments inside the power structure of the New World Order, huge developments in France, huge developments on Obama caught spying on thousands of Americans during the election, totally illegal.
[00:00:53.298 --> 00:00:54.179]  All this is coming up.
[00:00:54.299 --> 00:00:58.602]  Al Gore's new film, the details of it have been leaked on Infowars.com.
[00:00:58.922 --> 00:01:02.544]  But first off, Paul Watson's new video, Dear Black People.
[00:01:03.541 --> 00:01:09.327]  BuzzFeed is once again pushing race-baiting divisive crap and casual anti-white racism.
[00:01:13.126 --> 00:01:18.189]  So a dude on Twitter reacted to Netflix's Dear White People show with the following tweet.
[00:01:18.309 --> 00:01:20.210]  Imagine if there was a show called Dear Black People.
[00:01:20.250 --> 00:01:29.075]  Then this black dude called Reggie responded to that tweet with Dear Black People, I'm sorry for our history of oppression and genocide.
[00:01:29.135 --> 00:01:33.937]  This was such epic onage that BuzzFeed devoted an entire article to it.
[00:01:33.997 --> 00:01:36.719]  Yeah, Reggie sure showed him right.
[00:01:40.390 --> 00:01:43.231]  Dear black people, I'm sorry your skin color makes me see you as a threat.
[00:01:43.311 --> 00:01:54.036]  Yeah, that probably has more to do with the fact that black people are way over-represented in violent crime statistics and commit about half of homicides in America despite being only 13% of the population.
[00:01:54.116 --> 00:01:54.617]  Just saying.
[00:01:54.677 --> 00:02:07.643]  So Reggie told BuzzFeed... I was trying to help them understand how the history of this country shaped racism to only go one way and that the double standard lacked historical context.
[00:02:07.843 --> 00:02:08.063]  Right.
[00:02:08.183 --> 00:02:10.947]  So you want to talk about historical context?
[00:02:11.608 --> 00:02:11.988]  Okay!
[00:02:12.048 --> 00:02:22.542]  The very word slave is derived from Slav, Slavic white people who were taken as slaves by Muslims in Spain in the 9th century.
[00:02:22.582 --> 00:02:25.747]  For hundreds of years under the Barbary slave trade,
[00:02:26.207 --> 00:02:31.268]  Over a million white Christian Europeans were abducted by Arabs.
[00:02:31.308 --> 00:02:34.789]  That's white people being enslaved by brown people.
[00:02:34.829 --> 00:02:40.130]  The Barbary slave trade was far more brutal than the transatlantic slave trade.
[00:02:40.270 --> 00:02:46.331]  Arabs also enslaved blacks and castrated young black boys so they couldn't have children.
[00:02:46.371 --> 00:02:50.952]  Killing many of them in the process of amputating their scrotum and penis.
[00:02:51.232 --> 00:02:58.335]  Oh, but I don't see BuzzFeed or Reggie bitching and blaming Arabs living today for what their ancestors did hundreds of years ago.
[00:02:58.415 --> 00:03:02.537]  White people were the first in the world to legally end slavery.
[00:03:02.597 --> 00:03:06.579]  Reformers like William Wilberforce who campaigned for the Slavery Abolition Act of 1833.
[00:03:08.200 --> 00:03:17.029]  Black people also literally put their lives on the line to conduct raids in African countries to free black slaves from their Arab captors.
[00:03:17.129 --> 00:03:23.416]  Hundreds of thousands of white Americans died in a civil war partly to end slavery.
[00:03:23.456 --> 00:03:25.419]  There's your historical context.
[00:03:25.479 --> 00:03:30.206]  There are still 46 million people enslaved in the world today.
[00:03:30.506 --> 00:03:33.451]  The most ever in human history.
[00:03:33.491 --> 00:03:38.418]  They're enslaved in countries like India, China, Pakistan, Bangladesh, Uzbekistan and Qatar.
[00:03:38.558 --> 00:03:41.459]  Yeah, you'll notice none of those are white countries.
[00:03:41.539 --> 00:03:45.960]  There are also millions of black people still enslaved in Africa.
[00:03:46.021 --> 00:03:48.661]  Don't give a damn about that, do you BuzzFeed?
[00:03:48.721 --> 00:03:57.404]  Listen, virtually every single racial group in history has been guilty of enslaving people from other racial groups or social castes.
[00:03:57.464 --> 00:04:05.107]  The contemporary narrative that only white people are to blame for slavery is not only totally historically inaccurate,
[00:04:05.387 --> 00:04:06.970]  It's also racist.
[00:04:07.110 --> 00:04:12.819]  Which is why BuzzFeed and a myriad of other leftist outlets and institutions push it.
[00:04:13.219 --> 00:04:15.042]  Because they're racist!
[00:04:15.183 --> 00:04:17.065]  But reverse racism doesn't exist!
[00:04:17.146 --> 00:04:18.327]  Institutional power!
