[00:00:05.572 --> 00:00:17.396]  He never gives up.
[00:00:17.556 --> 00:00:19.397]  He's Alex Jones.
[00:00:19.537 --> 00:00:22.098]  Broadcasting from deep in the heart of Texas.
[00:00:22.598 --> 00:00:23.258]  Worldwide.
[00:00:34.583 --> 00:00:56.277]  Ladies and gentlemen, I wanted to get Paul Watson in here today to really co-host the first hour because he's such an expert on Brexit and what happened, obviously, with Le Pen and this landslide defeat at the hands of Emmanuel Macron, who is a literal Rothschild globalist frontman who literally poses for photos bowing down at the feet of Merkel.
[00:00:56.917 --> 00:01:01.645]  As Le Pen said last week, you'll either have me ruling you as a woman, or you'll have Merkel.
[00:01:02.406 --> 00:01:07.695]  This is all part of the cuckolding of the French, where it is a national religion now to bow down.
[00:01:07.736 --> 00:01:10.560]  Now a lot of the polls show Le Pen and a dead heat are winning.
[00:01:11.553 --> 00:01:12.734]  So maybe they weren't cuckold.
[00:01:13.094 --> 00:01:14.135]  Maybe the election was stolen.
[00:01:14.175 --> 00:01:16.577]  Paul discovered some evidence of fraud going on.
[00:01:16.597 --> 00:01:17.258]  That's all coming up.
[00:01:17.598 --> 00:01:21.922]  I'll be popping in during this hour, and we'll also be here in the second and third hour.
[00:01:21.942 --> 00:01:23.643]  We have a bunch of big guests today.
[00:01:23.683 --> 00:01:25.725]  I'll tell you about the start of the next segment.
[00:01:26.645 --> 00:01:37.394]  We have huge news dealing with what's happening with Obamacare, a giant child porn bust, the largest ever with 150,000 people involved.
[00:01:37.795 --> 00:01:40.117]  That's all part of Trump giving the green light to roll up.
[00:01:40.717 --> 00:01:47.383]  The pedophile networks, and I have confirmed from our sources, the president has ordered an end to secretive geoengineering programs.
[00:01:47.463 --> 00:01:55.111]  I've noticed that myself, but I put some questions in and the word came back that yes, the president's aware of that, the programs are being reviewed.
[00:01:55.591 --> 00:01:57.113]  So a lot of huge news today.
[00:01:57.133 --> 00:02:02.498]  Speaking of breaking news, from inside the White House, Roger Stone is going to name names in the third hour.
[00:02:03.783 --> 00:02:04.003]  of course.
[00:02:21.852 --> 00:02:25.396]  I appreciate you coming in to mainly host the first hour today because of your expertise.
[00:02:25.776 --> 00:02:27.438]  Obviously, you've got family that lives in France.
[00:02:27.458 --> 00:02:28.378]  You live there part of the year.
[00:02:28.398 --> 00:02:33.764]  I guess you told me you're evacuating to another location in Europe because the Islamists have overrun things.
