[00:00:00.069 --> 00:00:00.629]  We've got it.
[00:00:00.629 --> 00:00:07.152]  This Christmas is coming to you!
[00:00:07.152 --> 00:00:10.133]  Waging war on corruption.
[00:00:10.133 --> 00:00:17.196]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:27.913 --> 00:00:30.074]  Ladies and gentlemen, it's Friday, September 15, 2017.
[00:00:30.074 --> 00:00:44.483]  We're going to have wide open phones today on the latest terror bombing that burned a woman head to toe, injured several children, 22 people in intensive care right now in London.
[00:00:44.483 --> 00:00:47.364]  And of course, the police don't want to release the surveillance footage.
[00:00:47.364 --> 00:00:49.766]  They want you to know it wasn't an Islamic attack.
[00:00:50.706 --> 00:00:57.841]  It was a terror attack, but it was individuals, because it's never Islamic terror, even though it is Islamic terror.
[00:00:59.176 --> 00:01:06.120]  And we're now getting knifeman shouting Allah Akbar attacks a soldier on patrol in Paris.
[00:01:06.120 --> 00:01:08.501]  But that has nothing to do with Allah Akbar.
[00:01:08.501 --> 00:01:12.544]  Hammer attack on two women by man screaming Allah Akbar.
[00:01:12.544 --> 00:01:15.505]  Yeah, you better stop wearing those dresses, ladies.
[00:01:15.505 --> 00:01:22.209]  You better start covering up or Allah Akbar, Sharia law upside your head.
[00:01:22.209 --> 00:01:26.772]  And don't criticize it though or the police, ladies and gentlemen.
[00:01:28.115 --> 00:01:31.836]  Are going to come give you a visit and try to intimidate you into submission.
[00:01:31.836 --> 00:01:32.136]  Good!
[00:01:32.136 --> 00:01:33.237]  Call their bluff!
[00:01:33.237 --> 00:01:34.597]  Let them try to put you in prison.
[00:01:34.597 --> 00:01:36.898]  You'll end up being a hero like Tony Robinson.
[00:01:36.898 --> 00:01:40.079]  You'll only get back on the broadcast.
[00:01:40.079 --> 00:01:44.820]  We have a headline out today for some of the live feeds of the videos on Facebook, YouTube, and Twitter.
[00:01:44.820 --> 00:01:49.062]  With the headline, Dwayne the Rock Johnson announces presidential run.
[00:01:50.285 --> 00:01:55.349]  And that's because he did announce a month ago, and he did file with the Elections Commission.
[00:01:55.349 --> 00:02:03.094]  You can call it a stunt if you want, but we're just two and a half years out from this, and he reportedly is a conservative populist.
[00:02:03.094 --> 00:02:12.321]  And if Donald Trump wants to betray folks and go with DACA, and if Donald Trump wants to get in bed with a goblin, that's Nancy Pelosi and Chuckie Schumer,
[00:02:13.241 --> 00:02:24.710]  If we catch him in bed with a goblin, if we catch him in bed with the forces of Mordor, well then we should draft Dwayne Johnson because all the numbers show you're not going to beat him.
[00:02:24.710 --> 00:02:30.015]  Handsome, super smart, amazingly successful, and a libertarian conservative.
[00:02:31.164 --> 00:02:48.708]  According to even mainstream news, but I have sources from the WWE that worked with him over the years, and obviously I have sources in Hollywood, and they say super hard-working, super nice, absolutely hates globalists, hates Kaepernick, BLM, all of it.
[00:02:48.708 --> 00:02:52.148]  So, smart, good-looking, pro-America guy with brown skin.
[00:02:52.148 --> 00:02:54.589]  Yes, put him in office immediately.
[00:02:57.691 --> 00:02:58.752]  I love it!
[00:02:58.752 --> 00:03:09.197]  Listen, I'm not dumping Trump right now, and Trump's done a great job, but we're going to debate this about what do we do if old Trump goes sideways, ladies and gentlemen.
[00:03:09.197 --> 00:03:11.738]  What are we going to do if Trump goes sideways?
[00:03:11.738 --> 00:03:16.561]  Well, the rock Dwayne Johnson is a lot better than Kid Rock.
[00:03:16.561 --> 00:03:24.725]  Nothing against Kid Rock, he's got some okay music and stuff, but Kid Rock does kind of look like he got fed through a
[00:03:27.958 --> 00:03:28.878]  Meth Laboratory.
[00:03:28.878 --> 00:03:30.119]  Okay, I'm being mean.
[00:03:30.119 --> 00:03:32.300]  Kid Rock's got some good policies, some good ideas.
[00:03:32.300 --> 00:03:36.142]  He's given a lot of money back to Detroit, and he's a patriot.
[00:03:36.142 --> 00:03:41.024]  I got mutual friends with Kid Rock, and I'm sorry I shouldn't have said that.
[00:03:41.024 --> 00:03:42.144]  Hell, I don't look that good either.
[00:03:42.144 --> 00:03:43.945]  Maybe I look like I've been fed through that.
[00:03:43.945 --> 00:03:54.790]  The point is, is that I hope he wins the Senate, but he is really rough around the edges, and that shows Americans want wild men in office that will do what they say they'll do.
[00:03:55.708 --> 00:03:59.491]  But regardless, the fact that we got Trump in is a victory for populism.
[00:03:59.491 --> 00:04:02.834]  I'm not doing the post-mortem on Trump here, politically.
[00:04:02.834 --> 00:04:13.703]  I'm just thinking ahead, if he's so isolated, so surrounded, so blackmailed, that he just decides to compromise because the Republican Party doesn't like him.
[00:04:13.703 --> 00:04:21.290]  He knows that they know that the Freedom Caucus, the Libertarian Christian Evangelical
[00:04:23.547 --> 00:04:36.099]  Combine of Americana folks, Americanist, are involved in an insurrection to take over the Republican Party, and they see Trump as the first big domino to annihilate the blue blood globalists.
[00:04:36.099 --> 00:04:39.483]  They're the number one enemy, they're the Republican Party, and Trump knows that.
[00:04:40.063 --> 00:04:46.068]  So he does play long-term chess with folks and he does always end up doing what he said he'd do in the end.
[00:04:46.068 --> 00:04:47.970]  So I have faith in Trump.
[00:04:47.970 --> 00:04:56.677]  We're going to talk about where this DACA sideways crab behavior is coming from and what it might signify and take your phone calls as well straight ahead.
[00:04:59.207 --> 00:05:01.328]  Joe Biggs here with InfoWars.com.
[00:05:01.328 --> 00:05:03.629]  Today I want to talk to you about guns.
[00:05:03.629 --> 00:05:04.690]  Why we have them.
[00:05:04.690 --> 00:05:08.071]  Why the Bill of Rights guarantees that we can have them.
[00:05:08.071 --> 00:05:13.574]  And why my right to have a gun is more important than your right to rail against it in the press.
[00:05:13.574 --> 00:05:17.136]  I believe every good journalist needs to know why the Second Amendment
[00:05:17.256 --> 00:05:20.600]  Must be considered more essential than the First Amendment.
[00:05:20.600 --> 00:05:31.353]  This may be a bitter pill to swallow, but the right to keep and bear arms is not an outdated, dusty idea some old dead white guys dreamed up in fear of the Redcoats.
[00:05:31.353 --> 00:05:35.018]  No, it is just as essential to liberty today as it was in 1776.
[00:05:36.880 --> 00:05:44.046]  The original amendments we refer to as the Bill of Rights contain ten of what the constitutional framers termed unalienable rights.
[00:05:44.046 --> 00:05:46.708]  The Bill of Rights came to us with blinders on.
[00:05:46.708 --> 00:05:49.551]  It doesn't recognize color, or class, or wealth.
[00:05:49.551 --> 00:05:56.157]  It protects not just the rights of actors, or editors, or reporters, but extends even to those we love to hate.
[00:05:56.157 --> 00:05:58.659]  This is a small excerpt from Tralton Heston.
[00:05:59.179 --> 00:06:04.581]  After being sold out for months, our best-selling Super Blue fluoride toothpaste is now back in stock at InfoWareStore.com.
[00:06:04.581 --> 00:06:07.422]  The first shipment of Super Blue sold out in one week.
[00:06:07.422 --> 00:06:09.422]  I thought it would be a six-month supply for listeners.
[00:06:09.422 --> 00:06:14.424]  And since then, people are beating down our doors, wanting to be able to resupply their Super Blue.
[00:06:14.424 --> 00:06:16.525]  Research across the board is clear.
[00:06:16.525 --> 00:06:17.805]  In fact, it's certified.
[00:06:17.805 --> 00:06:22.927]  When bacteria infects your gums, it can enter your bloodstream and even contribute to blood clots and heart attacks.
[00:06:22.927 --> 00:06:26.288]  That's why the last Surgeon General's report on oral health warrants.
[00:06:26.628 --> 00:06:29.810]  Your oral health can have a serious impact on your entire body.
[00:06:29.810 --> 00:06:32.751]  Super Blue Fluoride Free Toothpaste is a groundbreaking new formula.
[00:06:32.751 --> 00:06:36.493]  It's loaded with good halogen iodide instead of the bad halogen fluoride.
[00:06:36.493 --> 00:06:43.397]  Super Blue contains natural oils and ingredients used since biblical times to help wipe out bad bacteria and eliminate bad breath.
[00:06:43.397 --> 00:06:50.920]  Just some of the ingredients in Super Blue chosen by our dental experts include xylitol, peppermint oil, iodine, nano silver and more.
[00:06:50.920 --> 00:06:53.802]  Learn more about InfoWars Life Super Blue Toothpaste.
[00:06:54.082 --> 00:06:59.505]  At Infowarslife.com and support the Infowar while you support healthy gums and teeth.
[00:06:59.505 --> 00:07:07.789]  Please listen carefully because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the Infowar.
[00:07:07.789 --> 00:07:09.010]  A 360 win.
[00:07:09.010 --> 00:07:15.573]  Number one, when you choose AutoShip before checkout, we give you 10% off on your order at Infowarsore.com.
[00:07:15.573 --> 00:07:20.236]  Number two, you're also able to get items that are out of stock when you sign up for AutoShip
[00:07:20.336 --> 00:07:23.478]  Because we hold back a surplus for AutoShip customers.
