[00:00:02.498 --> 00:00:03.199]  Is the U.S.
[00:00:03.199 --> 00:00:15.489]  involved with any procuring of weapons, transfer of weapons, buying, selling, anyhow transferring weapons to Turkey out of Libya?
[00:00:15.489 --> 00:00:17.891]  To Turkey?
[00:00:17.891 --> 00:00:19.253]  It is a big idea.
[00:00:20.419 --> 00:00:21.940]  A new world order.
[00:00:21.940 --> 00:00:25.683]  How is it that this organization is so well-funded, so organized?
[00:00:25.683 --> 00:00:33.289]  Islamic State-linked militants have gained a stronger foothold in Libya, seizing new economically vital areas of the country.
[00:00:33.289 --> 00:00:41.156]  The leader of ISIS in Libya is none other than Abdel Hakim Belhadj, and of course he was armed to the teeth by NATO.
[00:00:41.476 --> 00:00:45.658]  In a world in which there is the very real prospect of a new world order.
[00:00:45.658 --> 00:00:50.160]  The Russians say they're negotiating with North Korea to hold joint military exercises.
[00:00:50.160 --> 00:00:56.643]  Kim Jong-un and Vladimir Putin teaming up, creating an ominous alliance against the United States.
[00:00:56.643 --> 00:01:01.605]  Israel's Prime Minister Benjamin Netanyahu is aggressively opposing the nuclear deal that the U.S.
[00:01:01.605 --> 00:01:03.926]  government is negotiating with Iran.
[00:01:03.926 --> 00:01:09.068]  Saudi Arabia is apparently prepared to allow Israeli jets into its airspace to conduct attacks on Iran.
[00:01:09.608 --> 00:01:14.530]  We have an unprecedented opportunity to build a new world order.
[00:01:14.530 --> 00:01:20.831]  I set up a foundation in Ukraine and play an important part in events now.
[00:01:20.831 --> 00:01:25.233]  Ukraine is set to receive the first tranche of an international monetary fund aid package.
[00:01:25.233 --> 00:01:29.954]  We have brokered a deal to transition power in Ukraine.
[00:01:29.954 --> 00:01:31.735]  Vladimir Putin is on the move.
[00:01:34.096 --> 00:01:45.141]  Only when this transformation is complete will we be able to take full measure of the opportunities presented by this new and involving world order.
[00:01:45.141 --> 00:01:47.962]  It's known as the Bilderberg Group.
[00:01:47.962 --> 00:01:50.163]  Could their objective be world domination?
[00:02:03.806 --> 00:02:04.407]  May 2nd 2017
[00:02:24.518 --> 00:02:29.804]  It's also what happens when you listen to the radio host, Alex Jones.
[00:02:29.804 --> 00:02:31.006]  Move, bitch!
[00:02:31.006 --> 00:02:33.869]  Get out the way!
[00:02:33.869 --> 00:02:37.413]  We pledge allegiance to one flag, and that flag
[00:02:38.374 --> 00:02:40.355]  Donald Trump is the American flag!
[00:02:40.355 --> 00:02:44.418]  Infowars helped fuel the rumor that President Obama is an ISIS supporter.
[00:02:44.418 --> 00:02:48.141]  It's been a cozy relationship from the beginning.
[00:02:48.141 --> 00:02:49.442]  I will not let you down.
[00:02:49.442 --> 00:02:52.564]  You'll be very, very impressed, I hope.
[00:02:52.564 --> 00:02:54.105]  And I think we'll be speaking a lot.
[00:02:54.105 --> 00:02:56.286]  Donald Trump and Alex Jones.
[00:02:56.286 --> 00:03:01.830]  This means that Donald Trump will be the 45th President of the United States.
[00:03:01.830 --> 00:03:04.532]  Waging war on corruption.
[00:03:04.532 --> 00:03:05.533]  It's Alex Jones!
[00:03:07.915 --> 00:03:10.436]  That's right, Alex Jones, public enemy number one.
[00:03:10.436 --> 00:03:14.817]  He had outlaw country back in the 70s and 80s.
[00:03:14.817 --> 00:03:16.558]  He had punk rock singing they were outlaw.
[00:03:16.558 --> 00:03:23.080]  He had rock and roll stars saying they're outlaw because they beat their guitars up on stage.
[00:03:23.080 --> 00:03:29.062]  But I gotta tell you, I'm not trying to be outlaw, but you don't get more rebel
[00:03:30.080 --> 00:03:32.982]  You don't get more outlaw against the globalists.
[00:03:32.982 --> 00:03:39.445]  You don't get more outlander to the whole world government system than Infowars.
[00:03:39.445 --> 00:03:40.906]  Because I won't be a slave.
[00:03:40.906 --> 00:03:42.587]  I won't roll over to the globalists.
[00:03:42.587 --> 00:03:54.714]  It's outrageous how criminal, how authoritarian, how dictatorial, how unelected, how illegitimate, how evil and anti-human and greedy and hateful and out of control.
[00:03:56.834 --> 00:03:58.815]  These arrogant globalists are.
[00:03:58.815 --> 00:04:07.397]  Their bravado, their hubris, their chutzpah, their false aplomb is staggering.
[00:04:07.397 --> 00:04:09.177]  And all we gotta do is call them on it.
[00:04:09.177 --> 00:04:16.400]  And they're saying, how dare you and your listeners, how dare you Americans and others around the world call us out?
[00:04:16.400 --> 00:04:18.940]  How dare you try to resist us?
[00:04:18.940 --> 00:04:20.881]  We will destroy you!
[00:04:23.103 --> 00:04:24.924]  History doesn't show that.
[00:04:24.924 --> 00:04:29.725]  Those that are destroyed are those that roll over.
[00:04:29.725 --> 00:04:34.387]  And those that are also destroyed are those that take on people who have right on their side.
[00:04:34.387 --> 00:04:36.088]  As the founder of the Texas Rangers said,
[00:04:37.992 --> 00:04:44.197]  A man in the wrong can't stand up against a man who's in the right who keeps on a-comin'.
[00:04:44.197 --> 00:04:46.298]  But I'm gonna keep on a-comin'.
[00:04:46.298 --> 00:04:51.662]  And whether I personally make it through all this in the weeks and years to come, doesn't really matter.
[00:04:51.662 --> 00:04:56.666]  As long as we persevere and are a good example to others, we will be victorious.
[00:04:56.666 --> 00:04:58.387]  Incredible transmission straight ahead.
[00:04:58.387 --> 00:05:00.069]  Tell everybody, tune in now!
[00:05:01.653 --> 00:05:03.114]  December 23rd, 1776.
[00:05:03.114 --> 00:05:07.096]  These are the times that try men's souls.
[00:05:07.096 --> 00:05:12.099]  The summer soldier and the sunshine patriot will, in this crisis, shrink from the service of their country.
[00:05:12.099 --> 00:05:16.902]  But he that stands by it now deserves the love and thanks of man and woman.
[00:05:16.902 --> 00:05:19.544]  Tyranny, like hell, is not easily conquered.
[00:05:19.544 --> 00:05:21.605]  Yet we have this consolation with us.
[00:05:21.605 --> 00:05:24.547]  At the heart of the conflict, the more glorious the triumph.
[00:05:24.547 --> 00:05:27.568]  What we obtain too cheap, we esteem too lightly.
[00:05:27.568 --> 00:05:30.230]  It is dearness only that gives everything its value.
[00:05:30.530 --> 00:05:39.257]  Heaven knows how to put a proper price on its goods, and it would be strange indeed if so celestial an article as freedom should not be highly rated.
[00:05:39.257 --> 00:05:47.623]  Britain, with an army to enforce her tyranny, has declared that she has a right not only to tax, but to bind us in all cases whatsoever.
[00:05:47.623 --> 00:05:52.888]  And if being bound in that matter is not slavery, then there is no such thing as slavery upon Earth.
[00:05:52.888 --> 00:05:57.871]  Even the expression is impious, for so unlimited a power can only belong to God.
[00:05:58.732 --> 00:06:02.075]  Thomas Paine, The American Crisis.
[00:06:02.075 --> 00:06:03.657]  This is Alex Jones.
[00:06:03.657 --> 00:06:09.542]  I want to tell you about a way to save a lot of money on one of the best new off-the-grid products of 2017.
[00:06:09.542 --> 00:06:12.105]  And seriously, I really think everyone should have one of these.
[00:06:12.105 --> 00:06:17.910]  I'm talking about the PPX solar generator system from our friends at Solutions from Science, one of our oldest sponsors.
[00:06:17.910 --> 00:06:23.616]  The PPX is so small you can put it in your pocket, but so powerful you can run some 110 appliances at your house.
[00:06:24.036 --> 00:06:27.000]  Like a small refrigerator, so you can keep food from spoiling.
[00:06:27.000 --> 00:06:32.566]  Plus, you can take it with you to jump-start cars, trucks, buses, 18-wheelers, heavy equipment, even airplanes.
[00:06:32.566 --> 00:06:39.594]  The system provides an endless supply of off-the-grid electricity, allowing you to create your own private power grid, literally anywhere in the world.
[00:06:39.594 --> 00:06:44.160]  Perfect for cabins, remote locations, anytime you need to get off the grid for a while.
[00:06:44.420 --> 00:06:47.704]  Go to PrivatePowerGrid.com to watch this thing in action.
[00:06:47.704 --> 00:06:49.807]  That's PrivatePowerGrid.com.
[00:06:49.807 --> 00:06:55.534]  Even better, use coupon code PRIVATE at checkout and get a second PPX energy unit for free.
[00:06:55.534 --> 00:06:57.957]  Check it out at PrivatePowerGrid.com.
[00:06:57.957 --> 00:06:59.660]  That's PrivatePowerGrid.com.
[00:07:01.286 --> 00:07:05.288]  A new shipment of Bio-True Selenium is now available at Infowarslife.com.
[00:07:05.288 --> 00:07:06.769]  We've been sold out for months.
[00:07:06.769 --> 00:07:11.831]  Our one-of-a-kind Infowarslife Bio-True Selenium formula is now back in stock at Infowarslife.com.
[00:07:11.831 --> 00:07:15.973]  This is the true selenium formula that has rocked the nutraceutical industry to its core.
[00:07:15.973 --> 00:07:20.496]  Nearly every other selenium supplement on the market is produced with synthetic selenium.
[00:07:20.496 --> 00:07:23.697]  But Bio-True Selenium is made from a source of 100% organic mustard seed.
[00:07:25.638 --> 00:07:29.120]  The effects of the essential trace mineral selenium are well known.
[00:07:29.120 --> 00:07:33.263]  From supporting the thyroid gland and immune system, to DNA production and eyesight.
[00:07:33.263 --> 00:07:36.004]  BioTrue Selenium is also the perfect supercharger.
[00:07:36.004 --> 00:07:38.366]  The survival shield X2 nascent iodine.
[00:07:38.366 --> 00:07:41.368]  As both help support a healthy thyroid and many other systems.
[00:07:41.368 --> 00:07:46.271]  Visit InfoWarsLife.com to order your bottle of BioTrue Selenium before we sell it again.
[00:07:46.271 --> 00:07:54.115]  That's InfoWarsLife.com to secure your selenium and other key products that don't only help yourself and your family, but also fund our operation against the globalists.
[00:07:54.115 --> 00:07:54.295]  A 360 win.
[00:07:55.316 --> 00:07:57.297]  We didn't ask for this fight, but we're in this fight.
[00:07:57.297 --> 00:07:58.758]  This is the time to support InfoWars.
[00:07:58.758 --> 00:08:00.299]  That's InfoWarsLive.com.
[00:08:19.497 --> 00:08:20.438]  Los Angeles.
[00:08:20.438 --> 00:08:21.658]  Clone Radio.
[00:08:21.658 --> 00:08:25.741]  We play the songs that sound more like everyone else than anyone else.
[00:08:25.741 --> 00:08:29.043]  Clone.
[00:08:29.043 --> 00:08:30.264]  Hitler took the guns.
[00:08:30.264 --> 00:08:31.585]  Stalin took the guns.
[00:08:31.585 --> 00:08:32.625]  Mao took the guns.
[00:08:32.625 --> 00:08:34.006]  Fidel Castro took the guns.
[00:08:34.006 --> 00:08:34.206]  How many?
[00:08:34.206 --> 00:08:38.089]  Hugo Chavez took the guns.
[00:08:38.089 --> 00:08:43.532]  1776 will commence again if you try to take our firearms.
[00:08:43.532 --> 00:08:46.514]  The Republic will rise again when you attempt to take our guns.
[00:08:53.803 --> 00:09:00.849]  Well, the horrid communist occultic mayday has come and gone.
[00:09:00.849 --> 00:09:01.229]  Very eventful.
[00:09:18.635 --> 00:09:22.079]  It's now the second day of May 2017 on this Tuesday.
[00:09:22.079 --> 00:09:23.741]  Global transmission.
[00:09:23.741 --> 00:09:32.752]  Another month or so, we'll be halfway into 2017 as we accelerate into the future via the space-time continuum at light speed.
[00:09:34.718 --> 00:09:50.604]  We're gonna have wide open phones today, and we have Owen Shroyer popping in in studio, and also Millie Weaver, who valiantly, with the camera crew, as well as Rob Dew, went downtown yesterday while there was a mass stabbing during the anti-fascist communist celebration.
[00:09:50.604 --> 00:09:53.725]  That's right, the media's asking, oh, why did it happen?
[00:09:53.725 --> 00:09:54.505]  We don't know a motive.
[00:09:54.505 --> 00:10:01.668]  I don't know a motive of white people and Asians being stabbed by a black man at the Antifa event.
[00:10:03.055 --> 00:10:04.796]  I wonder what that was all about.
[00:10:04.796 --> 00:10:09.397]  I have stacks of news with communism being celebrated around the world yesterday.
[00:10:09.397 --> 00:10:19.140]  Then I have stacks of news about people starving to death in Cuba, Venezuela, North Korea, and it just makes you ask, why do people celebrate communism?
[00:10:19.140 --> 00:10:22.862]  Well, why is there a huge cult in Mexico worshipping the Grim Reaper?
[00:10:22.862 --> 00:10:25.803]  I don't know.
[00:10:25.803 --> 00:10:26.683]  I need to understand that.
[00:10:30.311 --> 00:10:35.935]  So many huge events, so many important things happening.
[00:10:35.935 --> 00:10:40.797]  Coming up, North Korea threatens the final doom of the United States, and here's the problem.
[00:10:40.797 --> 00:10:48.222]  They don't have long-range missiles, they've got submarines that are off our coast and that could nuke U.S.
[00:10:48.222 --> 00:10:48.602]  cities.
[00:10:48.602 --> 00:10:51.884]  And that's why Trump is being forced to move and take action.
[00:10:51.884 --> 00:10:56.387]  The President is doing what he has to do, and I support him with the situation on the Korean Peninsula.
[00:11:00.373 --> 00:11:06.698]  That said, we've got his new budget, twice the length of Obama's, quite large, has a lot of good things in it, has some bad things in it.
[00:11:06.698 --> 00:11:10.261]  I spent about an hour early this morning trying to go over it.
[00:11:10.261 --> 00:11:13.924]  The Democrats are celebrating it, saying, oh look, you're more Democrat than us.
[00:11:13.924 --> 00:11:20.129]  That's all their backhanded attacks with Trump working with them to get a budget through so there wouldn't be a government shutdown.
[00:11:20.129 --> 00:11:21.510]  But I know this.
[00:11:21.510 --> 00:11:24.693]  Trump is bringing back American pride.
[00:11:24.693 --> 00:11:25.774]  Trump is bringing back
[00:11:26.952 --> 00:11:39.965]  A sense of value and exceptionalism in our jobs and our industry and is promoting nationalism and sovereignty and local control and the local worker and the family.
[00:11:41.121 --> 00:11:45.464]  The globalists have been demoralizing the nation-state for decades.
[00:11:45.464 --> 00:11:47.786]  And Trump is an American president.
[00:11:47.786 --> 00:11:49.408]  He's calling the shots.
[00:11:49.408 --> 00:11:50.769]  He's in charge.
[00:11:50.769 --> 00:11:51.950]  Not the bureaucracies.
[00:11:51.950 --> 00:11:52.830]  Not the IMF.
[00:11:52.830 --> 00:11:53.871]  Not the World Bank.
[00:11:53.871 --> 00:11:55.653]  Not the World Trade Organization.
[00:11:55.653 --> 00:11:57.354]  Not the Import-Export Bank.
[00:11:57.354 --> 00:11:57.874]  Not the TPP.
[00:12:00.222 --> 00:12:05.365]  And that's why, despite the fact that he's done deals with them to get stuff done, he's only the president.
[00:12:05.365 --> 00:12:14.191]  As Ron Paul said hundreds of times when he was running for president three times in the 1990s and then again in the 2000s twice, he kept saying on this show and others.
[00:12:14.191 --> 00:12:16.892]  He's coming on, I think, tomorrow.
[00:12:16.892 --> 00:12:21.035]  Look, under the Constitution, I can do a lot, but not as much as you think.
[00:12:21.035 --> 00:12:25.838]  We're not going to reverse all this overnight, and I'll tell you, the word is
[00:12:27.287 --> 00:12:31.050]  Kennedy, member of the Supreme Court, is about to step down.
[00:12:31.050 --> 00:12:33.352]  That Trump was told it is imminent.
[00:12:33.352 --> 00:12:37.375]  That could be in the next month, but that's from Roger Stone, directly from the President.
[00:12:37.375 --> 00:12:41.058]  That they've received the letter that he is doing up.
[00:12:41.058 --> 00:12:43.059]  That is an exclusive.
