[00:00:07.976 --> 00:00:08.336]  It's May Day.
[00:00:09.837 --> 00:00:15.079]  The Deep State's been publicly exposed to shadow government, thanks to valiant patriots in and outside of the government.
[00:00:15.659 --> 00:00:17.780]  But ABC News claims the Deep State doesn't exist.
[00:00:17.800 --> 00:00:21.682]  Isn't that just amazing?
[00:00:21.702 --> 00:00:31.526]  ABC News recently broadcast pure propaganda to all of its supposed sheep viewers about the recent mass use of the mysterious term, Deep State.
[00:00:31.866 --> 00:00:37.288]  The Deep State is the notion that there is a network of career government employees
[00:00:37.568 --> 00:00:40.729]  Who are secretly manipulating government policy.
[00:00:41.030 --> 00:00:46.952]  They could have positions in the military, intelligence agencies, or other areas of government.
[00:00:47.112 --> 00:00:56.697]  Supporters of President Donald Trump point to leaks from career bureaucrats who they say are undermining his agenda.
[00:00:57.037 --> 00:01:05.404]  Many write the Deep State off as a conspiracy theory because no evidence of an organized effort has surfaced.
[00:01:05.664 --> 00:01:13.451]  The phrase was originally used to refer to power dynamics in foreign countries like the former Soviet Union.
[00:01:13.631 --> 00:01:22.298]  The term began gaining traction during the 2016 presidential race and became prominent after Trump's election.
[00:01:22.558 --> 00:01:25.961]  Perhaps ABC News, if it wasn't a CI operation itself,
[00:01:26.181 --> 00:01:28.744]  Should have dug a little further into their archives.
[00:01:28.904 --> 00:01:31.466]  The evolution of the deep state reads like a U.S.
[00:01:31.526 --> 00:01:32.427]  history book.
[00:01:32.547 --> 00:01:37.872]  In 1947, Harry S. Truman created the CIA by signing the National Security Act.
[00:01:37.992 --> 00:01:46.440]  Founding members of the CIA included Skull and Bones member Prescott Bush and the dynamic duo Allen Dulles and John Foster Dulles.
[00:01:46.781 --> 00:01:50.224]  Hastily, the Office of Policy Coordination was formed in 1948.
[00:01:51.365 --> 00:01:52.486]  Radio Free Europe in 1949.
[00:01:53.027 --> 00:02:02.799]  Operation Mockingbird in the 1950s, where at least 25 media organizations and 400 journalists immediately became CIA assets.
[00:02:03.100 --> 00:02:06.304]  MKULTRA, mind control operations, began around 1953.
[00:02:08.906 --> 00:02:33.515]  ...the 1961 Deep State coup of our executive branch as Allen Dulles led the Operation Mongoose fiasco resulting in the Bay of Pigs that nearly annihilated the United States, the JFK assassination, which we will know more about the Deep State's actual involvement as the 25th anniversary allows secret documents to be released in October of this year, the false Gulf of Tonkin narrative,
[00:02:33.615 --> 00:02:37.820]  The murder of over 20,000 Vietnamese civilians in Operation Phoenix.
[00:02:38.120 --> 00:02:42.505]  Operation Chaos, which tracked thousands of protesters and organizations.
[00:02:42.605 --> 00:02:44.147]  The Iran-Contra Affair.
[00:02:44.247 --> 00:02:50.254]  The weapons of mass destruction lies to get us into the Iraq War and the deconstruction of the Middle East.
[00:02:50.414 --> 00:02:52.837]  And that is merely scratching the surface.
[00:02:52.857 --> 00:02:53.677]  It would be easier.
[00:02:54.358 --> 00:02:58.399]  If it were a conspiracy you're describing, but that's not the case, is it?
[00:02:58.679 --> 00:03:01.200]  This is something that hides in plain sight.
[00:03:01.780 --> 00:03:11.663]  It's kind of a natural evolution when so much money and political control is at stake in the most powerful country in the world.
[00:03:12.123 --> 00:03:14.024]  This has evolved over time.
[00:03:14.444 --> 00:03:17.969]  It's all the national security functions of the government.
[00:03:18.009 --> 00:03:19.051]  It's the Pentagon.
[00:03:19.111 --> 00:03:21.194]  It's Homeland Security.
[00:03:21.374 --> 00:03:22.756]  It's the State Department.
[00:03:23.617 --> 00:03:29.305]  It's also Treasury because they have a kind of symbiotic relationship with Wall Street.
[00:03:29.525 --> 00:03:36.967]  And here we are in 2017 as the Deep State draws China and Russia into a great war over Syria and North Korea.
[00:03:37.127 --> 00:03:43.548]  Meanwhile, the continuity of government plan ensures that the Deep State will keep rolling on as U.S.
[00:03:43.628 --> 00:03:47.409]  citizens are decimated due to one catastrophe or another.
[00:03:47.609 --> 00:03:53.910]  So you see, the Deep State actually isn't a hidden organization or a conspiracy theory.
[00:03:54.130 --> 00:04:08.101]  It is a taxpayer-funded factory of death and subversion, producing the elite initiatives of the banker Wall Street class, carried out by a group of well-known federal organizations that have officially molded U.S.
[00:04:08.141 --> 00:04:14.126]  history for the past 70 years by acting further and further outside of the U.S.
[00:04:14.206 --> 00:04:16.208]  Constitution as time goes by.
[00:04:16.468 --> 00:04:26.997]  In the councils of government, we must guard against the acquisition of unwarranted influence, whether sought or unsought, by the military-industrial complex.
[00:04:27.578 --> 00:04:31.802]  The very word secrecy is repugnant in a free and open society.
[00:04:32.782 --> 00:04:42.391]  And there is very grave danger that an announced need for increased security will be seized upon by those anxious to expand its meaning.
[00:04:43.163 --> 00:04:46.326]  To the very limits of official censorship and concealment.
[00:04:46.686 --> 00:04:49.889]  So, who is pushing the conspiracy theory now?
[00:04:50.150 --> 00:04:51.951]  American broadcasting company?
[00:04:52.212 --> 00:04:54.554]  John Bowne for Infowars.com.
[00:04:55.655 --> 00:04:57.336]  Ladies and gentlemen, get ready.
[00:04:57.396 --> 00:05:01.260]  I'm back in studio, live, ready to transmit worldwide.
[00:05:06.474 --> 00:05:07.814]  This is where you get breaking news.
[00:05:08.214 --> 00:05:11.135]  McMaster has a plan to send in ground troops to Syria.
[00:05:11.515 --> 00:05:15.556]  That story actually broke here on InfoWars four or five days ago.
[00:05:15.576 --> 00:05:16.576]  Bloomberg is covering it.
[00:05:16.616 --> 00:05:25.078]  So essentially whatever you're reading in the news today or tomorrow, this is all going to be on InfoWars five, ten, fifteen days before it ever reaches the mainstream.
[00:05:25.098 --> 00:05:27.518]  That is how good the sourcing is here.
[00:05:27.538 --> 00:05:28.498]  This is for real news.
[00:05:28.698 --> 00:05:31.719]  That is why not only are they trying to divide the base against Trump,
[00:05:32.419 --> 00:05:37.283]  They are now slandering Alex and me and other patriots, calling us Russian agents.
[00:05:37.423 --> 00:05:44.710]  They realize that this is the only place for real news and now they're trying to attack and lie about us and claiming that we're Russian agents and all that.
[00:05:44.730 --> 00:05:47.252]  We don't want to sit here and brag and say we're right, we're right, we're right.
[00:05:47.332 --> 00:05:49.474]  They keep saying we're lying, we're lying, we're lying because
[00:05:50.294 --> 00:05:53.836]  Weeks ago, and then last week, we said, no, McMaster wants the troops.
[00:05:53.876 --> 00:05:55.597]  That's my source from the White House.
