[00:00:00.433 --> 00:00:07.558]  We've got it.
[00:00:07.558 --> 00:00:11.961]  Waging war on corruption.
[00:00:11.961 --> 00:00:17.545]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:00:27.337 --> 00:00:29.261]  You got it.
[00:00:43.266 --> 00:00:45.147]  Tuesday, March 14th, 2017.
[00:00:45.147 --> 00:00:52.769]  I'm your host Alex Jones, the one, the only Michael Savage will be joining us coming up at the start of the second hour today.
[00:00:52.769 --> 00:00:57.271]  We'll have open phones as well and several other guests I'll tell you about a little bit later.
[00:00:57.271 --> 00:00:59.251]  We've got an amazing guest in studio tomorrow.
[00:00:59.251 --> 00:01:03.993]  Let's let folks know we've got a surprise for you in studio tomorrow.
[00:01:04.853 --> 00:01:08.496]  The airplane carrying our guest is on its way right now.
[00:01:08.496 --> 00:01:12.018]  But a lot of other amazing guests could be popping in throughout the week as well.
[00:01:12.018 --> 00:01:15.380]  Everybody knows I like surprises.
[00:01:15.380 --> 00:01:18.022]  A lot of the listeners like surprises.
[00:01:18.022 --> 00:01:31.652]  Sometimes I kind of go off the rails a little bit, in a good way, but I shouldn't have spent probably two hours of four hours yesterday on air, because I hosted the fourth hour of the David Knight as well, ranting and raving about fake news packaged in entertainment.
[00:01:33.732 --> 00:01:49.546]  That, of course, being Saturday Night Live on my NBC and then Viacom that owns CBS and Showtime Channel with their show Homeland that steals my identity, admits it's supposed to be me, and then plagiarizes real things I say.
[00:01:49.546 --> 00:01:54.970]  I mean, I'm the main writer, I guess, on that show now, literally.
[00:01:54.970 --> 00:01:55.271]  And then...
[00:01:57.059 --> 00:02:05.226]  Put horrible things in the middle of what I've said, so that when people hear what I'm really saying, they then psychologically associate it with the lies.
[00:02:05.226 --> 00:02:09.029]  That I'm a racist, that I frame people, that I put out fake news, that I'm a liar.
[00:02:09.029 --> 00:02:11.551]  It's the same thing with Saturday Night Live.
[00:02:11.551 --> 00:02:13.853]  And fake news came out of that again last night and today.
[00:02:14.633 --> 00:02:29.186]  The Hill and hundreds of other publications, I mean I just saw them listed, I looked at five or six of them last night and this morning, would not say why I said I wanted to have a bare-knuckles fight with Alec Baldwin, it was tongue-in-cheek, for his lying about me and Donald Trump.
[00:02:29.186 --> 00:02:30.467]  They're like, what's the big deal?
[00:02:30.467 --> 00:02:37.834]  It's a cute little space alien skit about the 4th of July, or Independence Day, you know, the alien attack movie.
[00:02:39.199 --> 00:02:42.261]  And Jones acts like a crazy person, says he wants to fight him.
[00:02:42.261 --> 00:02:56.348]  Didn't even tell their readers, in all these publications I looked at, it was always the same, that he said, playing the part of Donald Trump, that he learned that black people weren't human from Alex Jones, then the black people on the show get mad at Trump.
[00:02:56.348 --> 00:03:03.972]  I mean, that is the most base brainwashing there is, and then of course it gets even worse in the fake media.
[00:03:03.972 --> 00:03:07.994]  They won't even tell you in all these publications why I'm angry.
[00:03:11.141 --> 00:03:16.184]  They just have a clip and that's the end of it.
[00:03:16.184 --> 00:03:18.426]  No context.
[00:03:18.426 --> 00:03:21.468]  They do it over and over and over again.
[00:03:21.468 --> 00:03:24.110]  This is the type of brainwashing we're dealing with.
[00:03:24.110 --> 00:03:25.751]  And there's more!
[00:03:25.751 --> 00:03:34.156]  Colbert took a break, I guess, from attacking yours truly this week and has gone after Conway.
[00:03:34.156 --> 00:03:38.059]  Colbert mocks Conway by replacing show cameras with microwaves.
[00:03:39.266 --> 00:03:45.389]  And they make the joke that she's completely insane, saying that appliances could have been spying on the president.
[00:03:45.389 --> 00:03:48.990]  You know, I wonder where she got that.
[00:03:48.990 --> 00:03:51.211]  Vault 7 that was released last week?
[00:03:51.211 --> 00:03:53.552]  Admitting it all, but I told you 18 years ago?
[00:03:53.552 --> 00:04:03.536]  Or maybe this, from 2012, 3-15-2012, Wired Magazine, CIA chief will spy on you through your dishwasher.
[00:04:03.536 --> 00:04:04.156]  Hmm.
[00:04:04.156 --> 00:04:05.557]  So she's informed, so see.
[00:04:05.557 --> 00:04:06.437]  Ha ha ha!
[00:04:06.437 --> 00:04:06.798]  Ha ha!
[00:04:06.798 --> 00:04:07.598]  She's so dumb!
[00:04:08.291 --> 00:04:09.672]  Because they think their audience are idiots.
[00:04:09.672 --> 00:04:15.255]  Oh, here's a whole map from Vault 7 of the CIA and how they spy on you through your appliances.
[00:04:15.255 --> 00:04:16.596]  Oh, look, the New York Times!
