[00:00:03.792 --> 00:00:16.241]  He never gives up.
[00:00:16.681 --> 00:00:18.562]  He's Alex Jones.
[00:00:18.702 --> 00:00:21.264]  Broadcasting from deep in the heart of Texas.
[00:00:21.845 --> 00:00:22.765]  Worldwide.
[00:00:27.216 --> 00:00:38.338]  And why would I give up when history shows, it's always darkest before the dawn, that freedom ends up prevailing time and time again when good men and women take action.
[00:00:39.959 --> 00:00:50.541]  We've come from 95% of people 20 years ago not knowing the Federal Reserve was private, to a national polls now over 95% want it audited or want it abolished.
[00:00:51.821 --> 00:00:54.942]  Most Americans know that the globalists created ISIS and Al Qaeda.
[00:00:56.257 --> 00:01:01.761]  Most Americans know that there's a private corporate world government, that globalism's a tyrannical system.
[00:01:03.163 --> 00:01:18.095]  We've come from being laughed at now to having a president in the White House, and other populist free marketeers are getting elected across the globe, and the enemy's fighting back, but we're not giving in, we're not giving up, we just got started.
[00:01:19.196 --> 00:01:21.437]  So this is the Great Animating Contest of Liberty.
[00:01:22.058 --> 00:01:24.140]  It is Sunday, the 17th day of September 2017.
[00:01:27.637 --> 00:01:33.603]  We're going to be live here for the next two hours, as we are every Sunday, Lord willing, 4 to 6 p.m.
[00:01:33.643 --> 00:01:36.585]  Central, re-aired on stations across the country.
[00:01:37.866 --> 00:01:44.713]  I've been up here for four hours, and I was up all last night, basically.
[00:01:45.994 --> 00:01:52.860]  Went to bed at about 10 o'clock at night, got up at 2 in the morning, and did research right through until I took a nap at about 10 a.m.
[00:01:52.880 --> 00:01:53.301]  this morning.
[00:01:54.693 --> 00:01:56.814]  Because the quickening is accelerating.
[00:01:56.854 --> 00:01:58.515]  The news is also important.
[00:01:58.835 --> 00:02:00.075]  How could you turn away from it?
[00:02:01.096 --> 00:02:11.040]  I mean, I'm bouncing my baby daughter on my knee while I watch video clips and read news as it breaks with reporters live on the ground, not just here in the U.S., but around the world.
[00:02:11.160 --> 00:02:11.360]  Wow!
[00:02:11.380 --> 00:02:16.462]  If you're a TV viewer, you could see this great arrangement of news here.
[00:02:16.582 --> 00:02:19.903]  We're going to cover it all when we come back, and I'm going to try to be as focused as I can.
[00:02:20.584 --> 00:02:21.564]  So thanks for putting up with me.
[00:02:25.745 --> 00:02:34.111]  There is obviously times that try folks souls, ladies and gentlemen, and we are definitely in those right now.
[00:02:34.131 --> 00:02:35.973]  Look at this stack of news.
[00:02:36.493 --> 00:02:36.974]  The U.S.
[00:02:37.054 --> 00:02:41.817]  Ambassador to the U.N., Haley, North Korea will be destroyed, close quote, or the U.S.
[00:02:41.837 --> 00:02:42.818]  has to defend itself.
[00:02:43.559 --> 00:02:46.101]  But the full statement, she made her even more chilling.
[00:02:46.501 --> 00:02:47.462]  We're going to get into all that.
[00:02:48.715 --> 00:02:50.836]  North Korea is secretly building a nuclear submarine.
[00:02:51.496 --> 00:02:59.579]  I'm really worried about them having disasters like their test site caving in and these idiots that can't even build a car being given nuclear reactors by the globalists.
[00:02:59.599 --> 00:03:03.201]  I mean that's like giving a dirty commie a nuclear reactor.
[00:03:04.241 --> 00:03:09.743]  British Prime Minister Trump has done good for Europe but can be a challenge.
[00:03:09.783 --> 00:03:10.864]  Yes, being politically correct.
[00:03:11.424 --> 00:03:13.645]  Donald Trump calls Kim Jong-un the rocket man.
[00:03:15.430 --> 00:03:17.310]  Shot a new missile over Japan.
[00:03:17.671 --> 00:03:18.611]  Meanwhile, London.
[00:03:19.391 --> 00:03:21.851]  Soldiers drafted an extra armed police on the streets.
[00:03:22.252 --> 00:03:25.132]  Mays declared martial law for the first time.
[00:03:26.272 --> 00:03:28.853]  But she's going to leave the borders open to Muslims to pour in.
[00:03:31.214 --> 00:03:41.796]  But then have police with machine guns on every corner so they can respond after another jihadi stabs somebody, shoots somebody, runs over somebody, throws acid in somebody's face, and then the BBC can have
[00:03:43.018 --> 00:03:48.504]  Special cosmetic shows on how to deal with an acid attack as they're having like a couple hundred a month now.
[00:03:48.524 --> 00:03:53.190]  They always yell Allah Akbar.
[00:03:54.251 --> 00:03:56.293]  So we've got that report.
[00:03:57.675 --> 00:03:59.557]  Also, Venezuela.
[00:04:01.030 --> 00:04:06.534]  Has fully collapsed and has now added a cherry on top, saying they're going to dump the dollar.
[00:04:06.554 --> 00:04:07.474]  So that's now happened.
[00:04:07.954 --> 00:04:09.175]  Dumping the petrodollar.
[00:04:09.656 --> 00:04:11.537]  And then a big report I'm going to get into.
[00:04:11.577 --> 00:04:13.158]  This is up on InfoWars.com.
[00:04:14.359 --> 00:04:18.101]  High-ranking CIA agent blows the whistle on deep state shadow government.
[00:04:18.541 --> 00:04:19.642]  He's working with William Benny.
[00:04:19.662 --> 00:04:23.885]  This is one of the highest level CIA whistleblowers on the criminal deep state.
[00:04:24.245 --> 00:04:26.707]  Now it's controlled by the private shadow government ever.
[00:04:27.247 --> 00:04:30.249]  Hillary Clinton did a book signing in a toilet paper aisle.
[00:04:31.638 --> 00:04:32.239]  I'm not kidding.
[00:04:32.259 --> 00:04:34.320]  We've got the exclusive video from Laura Loomer.
[00:04:34.621 --> 00:04:38.444]  Not just the footage she put out live, but other footage that's coming up in the second hour.
[00:04:39.565 --> 00:04:40.345]  Then the big news.
[00:04:41.626 --> 00:04:44.349]  Trump will pull out of the Paris Climate Change Agreement.
[00:04:44.389 --> 00:04:45.710]  He's come out and said, be clear.
[00:04:46.070 --> 00:04:48.012]  People are lying and saying I'm not pulling out.
[00:04:48.172 --> 00:04:48.933]  I have pulled out.
[00:04:49.493 --> 00:04:52.135]  And he said I'm not going to go along with the DREAM Act.
[00:04:52.195 --> 00:04:53.376]  That's another hoax as well.
[00:04:53.837 --> 00:04:55.278]  So that's coming up straight ahead.
[00:04:55.438 --> 00:04:58.921]  And GOP congressman proposes pardon deal for Julian Assange.
[00:04:58.961 --> 00:05:00.062]  That's just some of what's coming up.
[00:05:02.423 --> 00:05:04.605]  And they tell the trainees that the trainees go rip me off.
[00:05:04.725 --> 00:05:05.506]  Get into it.
[00:05:05.546 --> 00:05:06.887]  Jump up and down.
[00:05:36.503 --> 00:05:52.979]  I mean that's that's what we're dealing with here.
[00:05:53.019 --> 00:05:53.920]  I'm sick of it!
[00:05:56.202 --> 00:05:58.084]  Bing bing bong bong bing bing bing.
[00:06:09.332 --> 00:06:10.913]  The answer to 1984 is 1776.
[00:06:11.253 --> 00:06:17.536]  You're listening to The Alex Jones Show.
[00:06:27.121 --> 00:06:30.963]  The answer is not destroying ourselves.
[00:06:31.243 --> 00:06:34.204]  The answer is working together for a better future.
[00:06:34.965 --> 00:06:36.806]  The answer is space colonization.
[00:06:37.955 --> 00:06:49.920]  The answer is not just knowing the secrets of the atom, but knowing the secrets of biology, and using that technology to direct, in an open, free way, the true destiny of our species.
[00:06:51.521 --> 00:06:53.081]  We have now entered the crossroads.
[00:06:53.782 --> 00:06:54.662]  The Great Fulcrum.
[00:06:55.963 --> 00:06:56.543]  You can feel it.
[00:06:57.483 --> 00:06:58.043]  You can see it.
[00:06:58.944 --> 00:07:03.726]  All the energy, all the focus of our ancestors, and their will to survive.
