[00:00:18.700 --> 00:00:20.521]  Welcome to the Info Wars Nightly News.
[00:00:20.561 --> 00:00:22.042]  It is Friday, March 31st, 2017.
[00:00:22.203 --> 00:00:25.485]  I'm Leanne McAdoo and here's what's coming up tonight.
[00:00:28.647 --> 00:00:29.108]  Tonight!
[00:00:30.214 --> 00:00:40.503]  InfoWars has obtained a copy of an email that is being circulated among retired US senior military officers from General Michael Flynn.
[00:00:40.723 --> 00:00:45.807]  And the letter contains information that you will not hear on the mainstream media.
[00:00:45.987 --> 00:00:51.532]  As analysis of the email reveals the consensus among US military personnel,
[00:00:51.832 --> 00:00:59.578]  That the Democrats are scapegoating General Flynn as part of their witch hunt to overthrow Donald Trump.
[00:00:59.778 --> 00:01:03.841]  Then another motherlode is released by WikiLeaks.
[00:01:04.322 --> 00:01:12.708]  And this time they uncover how the CIA uses computer code to hide the origins of their hacking attacks.
[00:01:13.028 --> 00:01:13.769]  And guess what?
[00:01:14.009 --> 00:01:16.831]  They're disguised as Russian.
[00:01:17.151 --> 00:01:21.395]  All that plus much more up next on the InfoWars Nightly News.
[00:01:30.347 --> 00:01:36.952]  In case you haven't heard, InfoWars has become the most influential media outlet in America.
[00:01:37.052 --> 00:01:44.718]  We're making freedom go viral, and now we are proud to announce a new weapon in the epic battle against the globalists.
[00:01:45.039 --> 00:01:55.747]  InfoWars Prime, where you can watch live high-definition feeds of the Alex Jones Show, plus exclusive insider videos from the InfoWars crew and behind-the-scenes
[00:01:56.007 --> 00:01:56.387]  Action!
[00:01:56.427 --> 00:02:00.388]  Go to InfoWars.com forward slash app and download today.
[00:02:00.668 --> 00:02:04.870]  InfoWars Prime is available right now for your iPhone or Android.
[00:02:04.990 --> 00:02:09.511]  You will have access to exclusive videos that you can't see anywhere else.
[00:02:09.891 --> 00:02:15.173]  That means live coverage of events and breaking news on location as it happens.
[00:02:15.433 --> 00:02:22.343]  You can also take advantage of amazing deals from the InfoWars store that are only available for InfoWars Prime subscribers.
[00:02:22.503 --> 00:02:26.589]  That's InfoWars Prime at InfoWars.com forward slash app.
[00:02:26.850 --> 00:02:29.493]  If you can hear my voice, you are the resistance.
[00:03:03.936 --> 00:03:11.601]  Well, the top story today, according to the mainstream media, is that allegedly General Mike Flynn asked for immunity in exchange for his testimony.
[00:03:11.941 --> 00:03:19.466]  But of course, once again, they've gotten the whole story all taken out of context in order to push their narrative.
[00:03:19.767 --> 00:03:21.908]  Now, Donald Trump actually tweeted out saying, you know what?
[00:03:21.968 --> 00:03:27.292]  He should ask for immunity because this is absolutely a political witch hunt environment.
[00:03:27.672 --> 00:03:33.736]  John Spicer underscored that as well, saying there is no worry about what Mike Flynn is going to say under oath.
[00:03:34.777 --> 00:03:57.975]  It's just that he's being put in an unfair position and they are going to take everything he says out of context, which is of course, just to underscore that it is a political witch hunt, they took his statement and said, oh well, he must have committed a crime because that's what he accused Hillary Clinton of when she was asking for immunity in 2016.
[00:03:58.456 --> 00:04:01.478]  Anyone who seeks immunity in that case must have committed a crime.
[00:04:01.518 --> 00:04:02.959]  So they say, oh well, you're guilty too!
[00:04:03.860 --> 00:04:06.663]  And here's his actual statement.
[00:04:07.063 --> 00:04:13.589]  We've got the full statement there up at InfoWars.com, but I'll just read a part of it that was given to the Daily Caller.
[00:04:13.949 --> 00:04:25.059]  So he says, notwithstanding his life of national service, the media are awash with unfounded allegations, outrageous claims of treason, and vicious innuendo directed against him.
[00:04:25.399 --> 00:04:33.889]  He is now the target of unsubstantiated public demands by members of Congress and other political critics that he be criminally investigated.
[00:04:34.589 --> 00:04:46.242]  No reasonable person who has the benefit of advice from a counsel would submit to questioning in such a highly politicized witch hunt environment without assurances against unfair prosecution.
[00:04:47.023 --> 00:04:49.966]  So because they say, we can see this is a setup.
[00:04:50.066 --> 00:04:52.007]  We know we're walking into the lion's den.
[00:04:52.368 --> 00:05:01.135]  Nobody who is able to have a good counsel there is going to walk into this political lion's den and just be ready to be consumed.
[00:05:01.695 --> 00:05:07.380]  And like they point out, they're getting these unsubstantiated demands from members of Congress in the public.
[00:05:07.760 --> 00:05:10.841]  Because they are wanting to try him in the court of public opinion.
[00:05:10.881 --> 00:05:12.201]  It doesn't even matter what comes out.
[00:05:12.641 --> 00:05:18.062]  They immediately twist his words and say, oh look, he wants to be protected against unfair prosecution.
[00:05:18.563 --> 00:05:19.143]  He's guilty.
[00:05:19.343 --> 00:05:19.703]  Must be.
[00:05:19.723 --> 00:05:20.963]  He must have committed a crime.
[00:05:21.343 --> 00:05:22.063]  So there you go.
[00:05:22.484 --> 00:05:26.224]  That just underscores the political witch hunt that he is dealing with here.
[00:05:26.244 --> 00:05:28.285]  They're not even going to give him a fair trial.
[00:05:29.673 --> 00:05:37.218]  So we have an article from Jerome Corsi who has obtained a copy of an email that's being circulated amongst retired U.S.
[00:05:37.238 --> 00:05:43.942]  senior military officers regarding this request to be granted immunity as a condition of his testimony.
[00:05:43.962 --> 00:05:52.728]  And a top insider says Democrats are targeting Flynn because he blocked Obama backing Al Qaeda and ISIS, that invasion.
[00:05:53.328 --> 00:05:55.909]  So this is what the media will not reveal to you.
[00:05:55.969 --> 00:05:59.551]  This is what's being circulated with high level sources.
[00:06:00.131 --> 00:06:04.333]  So the body of the email is produced there without any editing.
[00:06:04.453 --> 00:06:11.756]  He did put in some clarifications added into the text, but those are in brackets so you can read kind of the full email that's going around.
[00:06:12.156 --> 00:06:17.799]  But it reveals there's a growing consensus among retired senior US military that the Democrats are scapegoating Flynn.
[00:06:18.659 --> 00:06:21.940]  And so they point one, there's eight points in total.
[00:06:22.441 --> 00:06:39.207]  Point one, Flynn seriously and in an outright manner criticized the Obama administration while Mike was active duty as director of the Defense Intelligence Agency for their severely underestimating the threat, at least publicly, understating the threat of the rather rapid rise of ISIS.
[00:06:40.908 --> 00:06:41.329]  We're good to go.
[00:07:00.510 --> 00:07:00.770]  I don't
[00:07:17.910 --> 00:07:18.770]  ISIS essentially.
[00:07:19.131 --> 00:07:21.091]  Al-Qaeda, you know, defected to ISIS.
[00:07:21.872 --> 00:07:27.114]  But then he was fired from DIA by Obama via James Clapper.
[00:07:27.134 --> 00:07:30.956]  And then he got even there because he retired.
[00:07:31.076 --> 00:07:33.257]  He was like, you can't fire me, I'm retiring.
[00:07:33.977 --> 00:07:39.880]  And then of course he backs Trump, triumphing over Obama, Clapper, and Brennan by Trump getting elected.
[00:07:39.900 --> 00:07:43.401]  And then of course even further one-upping them by being selected as NSA
[00:07:44.842 --> 00:07:47.104]  Uh, the advisor there to President Trump.
[00:07:47.304 --> 00:07:50.047]  So, I mean, it goes on here, but this is a consensus.
[00:07:50.067 --> 00:07:50.707]  A lot of people are
[00:07:51.846 --> 00:07:55.367]  Very clear that they're scapegoating Flynn, that it is going to be a witch hunt.
[00:07:55.448 --> 00:07:56.008]  It doesn't matter.
[00:07:56.028 --> 00:08:06.352]  They're going to besmirch his name regardless, which is why his entire statement that he released to the media, which they're not going to show you, lists all of the different accolades that he has.
[00:08:06.392 --> 00:08:07.913]  He's a well-respected man.
[00:08:07.933 --> 00:08:10.214]  I think it was a big mistake for Trump.
[00:08:10.874 --> 00:08:20.358]  Who knows if we'll find out what the reason was behind that, but I kind of think it was a big mistake to bow down and out him so quickly.
[00:08:21.478 --> 00:08:39.409]  Based on the urging of the Democrats because we knew it wasn't going to end there Now we have actually you know what we've got a little commentary from Owen Schroer because he has his own conspiracy theories about what's going on with Flynn with the whole Michael Flynn thing I Smell a troll folks.
[00:08:40.369 --> 00:08:48.494]  I think I smell a troll here a troll maybe as big as the Trump wiretapping tweet See, I think what Michael Flynn has done is
[00:08:50.024 --> 00:08:59.109]  Is he's created an environment now where there's this narrative that he wants immunity because he's got a big story to tell, folks.
[00:09:00.010 --> 00:09:05.533]  Michael Flynn needs his immunity because he's got some big details on this Russia investigation, right?
[00:09:05.873 --> 00:09:06.653]  That's the spin.
[00:09:06.693 --> 00:09:07.934]  That's why he needs the immunity.
[00:09:07.974 --> 00:09:09.135]  That's why everyone's paying attention.
