[00:00:18.680 --> 00:00:19.481]  Good evening, everyone.
[00:00:19.521 --> 00:00:21.502]  Welcome to the InfoWars Nightly News.
[00:00:21.602 --> 00:00:22.442]  I'm Darren McBrain.
[00:00:22.582 --> 00:00:24.264]  It's Friday, March 3rd, 2017.
[00:00:24.564 --> 00:00:27.506]  Here's a quick look at what's coming up.
[00:00:30.748 --> 00:00:34.430]  Tonight, fake news propagating fake news.
[00:00:34.990 --> 00:00:39.693]  Mainstream news outlets are actually creating fake platforms and fake content.
[00:00:40.094 --> 00:00:41.835]  It sounds crazy, but it's true.
[00:00:42.961 --> 00:00:49.166]  Also, The Intercept runs an untimely hit piece on Donald Trump that ends up backfiring royally.
[00:00:49.586 --> 00:00:52.628]  Meanwhile, President Trump gave his weekly address today.
[00:00:52.889 --> 00:00:57.032]  We replay it and review it, highlighting Trump's message directly to the people.
[00:00:57.272 --> 00:01:00.775]  Investing in the military means investing in peace.
[00:01:01.515 --> 00:01:06.079]  Because the best way to prevent war, as George Washington said,
[00:01:06.879 --> 00:01:08.700]  Is to be prepared for it.
[00:01:09.120 --> 00:01:18.644]  And then, the Obama deep state and the Democrats are colluding in every which way in an arrogant attempt to take out Trump and demean the American electorate.
[00:01:18.864 --> 00:01:22.306]  All that and more tonight on the InfoWars Nightly News.
[00:01:30.347 --> 00:01:36.952]  In case you haven't heard, InfoWars has become the most influential media outlet in America.
[00:01:37.052 --> 00:01:44.718]  We're making freedom go viral, and now we are proud to announce a new weapon in the epic battle against the globalists.
[00:01:45.039 --> 00:01:55.747]  InfoWars Prime, where you can watch live high-definition feeds of the Alex Jones Show, plus exclusive insider videos from the InfoWars crew and behind-the-scenes
[00:01:56.007 --> 00:01:56.387]  Action!
[00:01:56.427 --> 00:02:00.388]  Go to InfoWars.com forward slash app and download today.
[00:02:00.668 --> 00:02:04.870]  InfoWars Prime is available right now for your iPhone or Android.
[00:02:04.990 --> 00:02:09.511]  You will have access to exclusive videos that you can't see anywhere else.
[00:02:09.891 --> 00:02:15.173]  That means live coverage of events and breaking news on location as it happens.
[00:02:15.433 --> 00:02:22.343]  You can also take advantage of amazing deals from the InfoWars store that are only available for InfoWars Prime subscribers.
[00:02:22.503 --> 00:02:26.589]  That's InfoWars Prime at InfoWars.com forward slash app.
[00:02:26.850 --> 00:02:29.493]  If you can hear my voice, you are the resistance.
[00:03:04.019 --> 00:03:11.481]  You know, there's been a lot of talk lately about fake news versus real news, and how you, the viewer, can spot the difference.
[00:03:12.041 --> 00:03:23.044]  I know it's not always easy, and hell, we've been accused here at InfoWars from time to time spreading fake news, usually by the establishment media who would prefer that you watch them instead.
[00:03:23.624 --> 00:03:30.751]  But I was thinking we could give you some guidelines this evening on how to tell the difference between real and fake news.
[00:03:30.811 --> 00:03:38.137]  And it's probably a good idea that you share this information with your family and friends so they too can filter out the bullshit.
[00:03:38.518 --> 00:03:39.879]  Now, let's get started, shall we?
[00:03:39.899 --> 00:03:46.806]  The first thing you want to do when you're looking for fake news, numeral uno, consider the source.
[00:03:47.486 --> 00:03:53.871]  If you're on social media and you're about to click on that share button, be sure to check out the website.
[00:03:54.372 --> 00:03:57.014]  Look at the URL and the domain name first.
[00:03:57.594 --> 00:04:02.939]  For example, you might think you are reading an article, let's say, from the BBC.
[00:04:03.499 --> 00:04:08.923]  But in reality, you are reading an article from an imposter website.
[00:04:09.284 --> 00:04:11.726]  Someone who imitates the BBC.
[00:04:12.246 --> 00:04:16.570]  All you have to do to tell the difference is simply look at the URL address.
[00:04:17.210 --> 00:04:20.672]  If it says bbc.com, well, it's legit.
[00:04:21.333 --> 00:04:31.580]  But if it says something like bbc.com.co, well, it's probably a bogus website with false information.
[00:04:32.220 --> 00:04:39.545]  You see, a lot of these phony websites, they look like traditional establishment mainstream media websites, but they're not.
[00:04:39.865 --> 00:04:46.590]  They're total frauds, and there's a lot of them out there, too, who are pretending to be someone they are not.
[00:04:47.358 --> 00:04:53.099]  Like these guys, who want you to believe they are the official ABC News website.
[00:04:53.559 --> 00:04:56.920]  I mean, it says it right there on their homepage, ABC News.
[00:04:57.440 --> 00:05:00.141]  Sure looks and feels like the real thing, but guess what?
[00:05:00.501 --> 00:05:01.001]  It's not.
[00:05:01.481 --> 00:05:03.142]  They are imposters.
[00:05:03.542 --> 00:05:08.843]  Again, check out the URL, abcnews.com.co.
[00:05:09.423 --> 00:05:13.684]  They are mimicking ABC, but it's not the real thing.
[00:05:14.204 --> 00:05:14.744]  And you know what?
[00:05:14.945 --> 00:05:16.165]  It happens to us too.
[00:05:16.386 --> 00:05:27.313]  I mean, there's a lot of fake Alex Jones and Infowars Facebook pages out there and websites who try to imitate us or make us look crazy.
[00:05:27.833 --> 00:05:34.137]  But you can always tell if it's someone's official Facebook page by that blue checkmark right there.
[00:05:34.378 --> 00:05:34.898]  You see that?
[00:05:35.398 --> 00:05:37.099]  That means it's official.
[00:05:37.460 --> 00:05:38.800]  And it's the same for YouTube.
[00:05:39.081 --> 00:05:43.904]  They will have a checkmark so you'll know it's an official YouTube channel.
[00:05:44.745 --> 00:05:55.658]  Now, I want to let you in on a little secret, and this might come as a shock to some of you, but guess where a lot of these phony, fake websites come from to begin with?
[00:05:56.019 --> 00:05:56.419]  Are you ready?
[00:05:57.200 --> 00:06:02.567]  They come from the establishment Mainstream News Media, and I'm going to prove it to you right now.
[00:06:03.067 --> 00:06:22.202]  Recently, 20th Century Fox got busted creating fake news websites, complete with made-up stories that were spread online and shared by millions of people on Facebook who had no idea they were reading and spreading fake news.
[00:06:22.762 --> 00:06:31.629]  An article by the New York Times reveals that 20th Century Fox created fake news websites that looked like the real deal.
[00:06:31.889 --> 00:06:43.898]  They created names like the Houston Leader and the Salt Lake City Guardian and populated them with bogus headlines and fictitious stories about everything from Lady Gaga
[00:06:47.421 --> 00:07:01.693]  Here's one that says Trump orders the CDC to remove all vaccination-related information from the White House website by the Salt Lake City Guardian, a news organization that doesn't even exist.
[00:07:02.133 --> 00:07:05.897]  It's a fabricated lie brought to you by 20th Century Fox.
[00:07:09.400 --> 00:07:10.521]  But wait, there's more!
[00:07:10.781 --> 00:07:16.206]  These are all fake news websites produced by the mainstream news media.
[00:07:16.667 --> 00:07:24.634]  Websites like Salt Lake City Guardian, The Houston Leader, Sacramento Dispatch, New York Morning Post, and the Indianapolis Gazette.
[00:07:25.214 --> 00:07:26.875]  And check out some of these headlines.
[00:07:27.375 --> 00:07:28.196]  Bombshell!
[00:07:28.456 --> 00:07:35.920]  Trump and Putin spotted at Swiss Resort prior to election from the Sacramento Dispatch.
[00:07:36.280 --> 00:07:40.062]  Again, a news organization that does not exist.
[00:07:40.362 --> 00:07:41.063]  Here's another one.
[00:07:41.463 --> 00:07:50.868]  Trump refuses to provide California federal support in midst of natural dot dot dot clickbait to fake news.
[00:07:51.408 --> 00:07:57.849]  Now another guideline you can use to tell the difference between real and fake news is check out the news sources.
[00:07:58.250 --> 00:08:03.891]  Do they provide links to trustworthy news outlets who collaborate the information?
[00:08:04.571 --> 00:08:08.652]  A news article with multiple sources, that is a good thing.
[00:08:08.972 --> 00:08:17.594]  And I always like to look and see if they have a comment section because if they don't provide comments, that usually means they are hiding something.
[00:08:18.214 --> 00:08:25.678]  And if you'll notice, traditional mainstream news websites, most of them do not include a comment section anymore.
[00:08:25.978 --> 00:08:32.682]  And that's because informed and knowledgeable citizens are able to call out their BS and debunk their propaganda.
[00:08:33.643 --> 00:08:35.403]  And they do it right there in the comment section.
[00:08:35.744 --> 00:08:38.545]  So the MSM had to put a stop to that.
[00:08:40.066 --> 00:08:49.672]  You hardly see any comment sections anymore on traditional mainstream news media websites because they are the ones who are spreading fake news.
[00:08:50.493 --> 00:08:56.197]  So there's some basic guidelines to filter out the BS when you come across a news story.
[00:08:56.237 --> 00:09:03.562]  And if you really want to dig deep down the rabbit hole, I suggest you look into the father of propaganda, Edward Bernays.
[00:09:03.902 --> 00:09:07.584]  Check out Aldous Huxley and Operation Mockingbird.
[00:09:07.764 --> 00:09:09.926]  You'll see just how deep the rabbit hole
[00:09:11.187 --> 00:09:25.254]  And if you want to see someone who's always been pretty good at sniffing out and calling out the mainstream media's BS, well you have to look no further than the anti-establishment President of the United States.
[00:09:26.952 --> 00:09:32.394]  You know, I've been hearing more and more about a thing called fake news, and they're talking about people that go and say all sorts of things.
[00:09:32.994 --> 00:09:37.716]  But I will tell you, some of the media outlets that I deal with are fake news, more so than anybody.
[00:09:38.157 --> 00:09:39.557]  I could name them, but I won't bother.
[00:09:39.617 --> 00:09:41.978]  But you have a few sitting right in front of us.
[00:09:43.279 --> 00:09:44.979]  So they're very, very dishonest people.
[00:09:45.640 --> 00:09:48.661]  But I think it's just something we're going to have to live with.
[00:09:48.901 --> 00:09:50.722]  I guess the advantage I have is that
[00:09:51.602 --> 00:09:52.343]  I can speak back.
[00:09:53.225 --> 00:09:58.372]  When it happens to somebody that doesn't have this, doesn't have that kind of a megaphone...
[00:09:59.378 --> 00:10:00.238]  They can't speak back.
[00:10:00.298 --> 00:10:01.158]  It's a very sad thing.
[00:10:01.198 --> 00:10:02.399]  I've seen people destroyed.
[00:10:02.859 --> 00:10:05.699]  I've seen people absolutely destroyed.
[00:10:06.220 --> 00:10:07.440]  And I think it's very unfair.
[00:10:07.520 --> 00:10:10.400]  So all I can ask for is honest reporters.
[00:10:10.501 --> 00:10:16.262]  Information that was false and fake and never happened got released to the public.
