[00:00:12.449 --> 00:00:16.792]  You are listening to an InfoWars.com Frontline Report.
[00:00:16.792 --> 00:00:33.883]  It's Alex Jones.
[00:00:33.883 --> 00:00:38.226]  Waging war on corruption, crashing the lies and disinformation.
[00:00:38.226 --> 00:00:39.287]  I'm your host Alex Jones.
[00:00:39.287 --> 00:00:40.427]  We're live.
[00:00:40.427 --> 00:00:41.008]  It's Sunday.
[00:00:42.842 --> 00:00:43.382]  October 8th, 2017.
[00:00:43.382 --> 00:00:53.305]  We're going to be live here for the next two hours as we are every Sunday from 4 to 6 p.m.
[00:00:53.305 --> 00:01:02.948]  Well, last Sunday I said mass shootings were imminent in America and it would be used to go after the Second Amendment and American freedoms.
[00:01:02.948 --> 00:01:07.089]  And now we've seen the attack take place and the picture is incredibly clear.
[00:01:08.206 --> 00:01:28.082]  We have multiple gunmen, the acoustics are 100% clear, the witnesses a half mile away at other hotels saw people being shot, saw glass, saw shell casings, saw police taking out whoever it was shooting, and you can hear in the first few minutes that there's multiple firearms going off from different distances.
[00:01:28.082 --> 00:01:30.523]  There's cab driver footage that we're going to play.
[00:01:30.523 --> 00:01:33.005]  Now why is this so important?
[00:01:33.005 --> 00:01:35.607]  Because it tells us the official story is not true.
[00:01:37.759 --> 00:01:47.567]  Mainstream media makes all these jokes, and that's why they don't have any viewers or listeners, and they say, oh, Jones claims he talks to Navy SEALs.
[00:01:47.567 --> 00:01:50.389]  He claims he talks to Delta Force people.
[00:01:50.389 --> 00:01:53.132]  He claims he talks to Green Berets.
[00:01:53.132 --> 00:01:56.014]  He claims he talked to the hostage rescue team.
[00:01:56.014 --> 00:01:57.095]  I don't claim anything.
[00:01:58.650 --> 00:02:07.198]  I have laid out the facts, and our history of having whistleblower, top-notch, top-shelf information is sterling.
[00:02:07.198 --> 00:02:09.560]  But it isn't about how we're right or how we're wrong.
[00:02:09.560 --> 00:02:10.461]  It's about the issue.
[00:02:13.496 --> 00:02:15.738]  Joining us, Craig Sawyer.
[00:02:15.738 --> 00:02:18.940]  He doesn't like me talking about what he did to the Navy SEALs.
[00:02:18.940 --> 00:02:23.144]  He was a leader in SEAL Team 6, not the commander of the whole SEAL Team 6.
[00:02:23.144 --> 00:02:25.265]  He's got shows on History Channel, Discovery Channel.
[00:02:25.265 --> 00:02:26.667]  He's very, very highly respected.
[00:02:26.667 --> 00:02:28.928]  He's one of the top marksmen in the world.
[00:02:28.928 --> 00:02:33.112]  And he says, clearly, there's overlapping fire.
[00:02:33.112 --> 00:02:34.633]  It's not echoes.
[00:02:34.633 --> 00:02:36.815]  But we've got video where
[00:02:37.984 --> 00:02:49.148]  The cab driver hears, bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu-bu
[00:03:07.956 --> 00:03:14.600]  And the media goes, oh, Jones claims he has these people, when I've had some of them on the broadcast!
[00:03:14.600 --> 00:03:24.586]  So Craig's joining us in 30 minutes, because this is so central, and so important, because some can say, well, it's a diversion from the overall story of his Middle Eastern connections.
[00:03:24.586 --> 00:03:29.649]  I understand that it's not the central issue, but if you can prove this wrong, you can prove it all wrong.
[00:03:29.649 --> 00:03:32.951]  And I understand they're not trying to create a panic here, so that's why they're telling people this.
[00:03:32.951 --> 00:03:36.954]  Back in the 70s and stuff, when you had a lot of terror attacks, they wouldn't even hardly report them on the news.
[00:03:38.044 --> 00:03:43.468]  That's a tactic, if you're not trying to use terror to freak people out and take their rights.
[00:03:43.468 --> 00:03:47.410]  Since the 90s and through that, they started using terror to take our rights.
[00:03:47.410 --> 00:03:51.353]  Some of it's synthetic, some of it manufactured, some of it false flags, a lot of it real.
[00:03:51.353 --> 00:03:52.314]  They started hyping it up!
[00:03:53.424 --> 00:04:02.329]  But when the old policy was, you don't talk about it, you don't make a big deal about it, and you don't give who did it credit, because that's what they want, is credit.
[00:04:02.329 --> 00:04:05.731]  And ISIS, a bunch of them, hundreds of them just gave up today.
[00:04:05.731 --> 00:04:09.053]  Thousands in the last week, they're only in a few cities left in the Middle East.
[00:04:09.053 --> 00:04:12.755]  I mean, they have been crushed by our military, and Trump cleaning up Obama's mess.
[00:04:12.755 --> 00:04:20.340]  So, I get you don't want to give them this big victory, and just say, well, it's, we don't know who did it.
[00:04:21.800 --> 00:04:24.442]  But that's, that's, that's not the truth!
[00:04:24.442 --> 00:04:28.126]  And we're not running wartime propaganda here in America.
[00:04:28.126 --> 00:04:30.308]  And so, I was contacted by the Hoshes Rescue Team.
[00:04:31.852 --> 00:04:41.960]  They've given us really good info before, and they said, listen, there's Islamic stuff in here, trips to the Middle East, and there's a bunch of Antifa crud, and they're lying about it, please get this out.
[00:04:41.960 --> 00:04:46.944]  It's come out today, he traveled the Middle East, not just his girlfriend, and reportedly had a bunch of the paraphernalia.
[00:04:46.944 --> 00:04:53.269]  I mean, we told you they're looking at other people, the Sheriff's Department said that now, and we told you they were looking at radicalization, which was confirmed.
[00:04:53.269 --> 00:04:55.130]  Everything we said has been confirmed.
[00:04:55.130 --> 00:04:57.012]  Get the rest of the story straight ahead.
[00:05:01.141 --> 00:05:05.983]  Joe Biggs here with Infowars.com with some patriotic quotes by Ron Paul.
[00:05:05.983 --> 00:05:14.708]  The most basic principle to being a free American is the notion that we as individuals are responsible for our own lives and decisions.
[00:05:14.708 --> 00:05:18.930]  We do not have the right to rob our neighbors to make up for our own mistakes.
[00:05:19.150 --> 00:05:25.375]  Neither does our neighbor have any right to tell us how to live, so long as we aren't infringing on their rights.
[00:05:25.375 --> 00:05:29.938]  Freedom to make bad decisions is inherent in the freedom to make good ones.
[00:05:29.938 --> 00:05:33.961]  If we are only free to make good decisions, then we are not really free.
[00:05:33.961 --> 00:05:41.046]  Liberty is lost through complacency and a subservient mindset when we accept or even welcome automobile checkpoints.
[00:05:41.246 --> 00:05:47.369]  Random searches, mandatory identification cards, and paramilitary police in our streets.
[00:05:47.369 --> 00:05:50.490]  We have lost a vital part of our American heritage.
[00:05:50.490 --> 00:05:55.112]  America was born of protests, revolution, and mistrust of government.
[00:05:55.112 --> 00:05:59.134]  Subservient societies neither maintain nor deserve freedom for long.
[00:06:03.483 --> 00:06:12.996]  I have sworn upon the altar of God eternal hostility against every form of tyranny over the mind of man.
[00:06:12.996 --> 00:06:14.578]  Thomas Jefferson.
[00:06:14.578 --> 00:06:18.263]  It's Alex Jones on the GCN Radio Network.
[00:06:27.978 --> 00:06:33.102]  I'm going to be honest with you, I disagree with what President Trump is doing concerning the Vegas massacre.
[00:06:33.102 --> 00:06:35.564]  We know it's Al-Qaeda-ISIS.
[00:06:35.564 --> 00:06:39.347]  We know that they're covering it up because they don't want to give ISIS a victory.
[00:06:39.347 --> 00:06:45.732]  Right as thousands of ISIS fighters this week, hundreds today, have surrendered in Syria and Iraq.
[00:06:45.732 --> 00:06:50.536]  And the last few little pockets of them are now being defeated as President Trump and the U.S.
[00:06:50.536 --> 00:06:55.720]  military clean up Obama, NATO, and the globalist mess when they finance that group.
[00:06:55.720 --> 00:06:57.522]  So I get why they don't want to give them their victory.
[00:06:59.346 --> 00:07:04.094]  When you're countering propaganda, you don't give it any attention.
[00:07:04.094 --> 00:07:12.667]  But we cannot sit here and have the Second Amendment blamed, and we cannot sit here and have them cover up what went on, or we become what we were fighting.
[00:07:12.667 --> 00:07:13.349]  So I do not
[00:07:15.908 --> 00:07:25.412]  I agree with what's going on and we have Craig Sawyer, former team leader in SEAL Team 6, talk show host, ballistics expert, History Channel, Discovery Channel, very well respected.
[00:07:25.412 --> 00:07:30.954]  He has TV shows as a ballistics expert on national television.
[00:07:30.954 --> 00:07:36.437]  And he said on Tuesday and on Friday, this is clearly multiple firearms being shot.
[00:07:37.725 --> 00:07:40.106]  He'll be joining us at the bottom of the hour.
[00:07:40.106 --> 00:07:41.746]  Let me get into all the other news.
[00:07:41.746 --> 00:07:45.627]  The reason that's important is that part falls apart, the whole narrative falls apart.
[00:07:45.627 --> 00:07:47.868]  Let me just give you the stacks of news here I have.
[00:07:47.868 --> 00:07:50.489]  I've got 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15 stacks.
[00:07:50.489 --> 00:07:56.631]  Some of these stacks are like 20 stories tall.
[00:07:56.631 --> 00:08:01.472]  But let me just give you my frustration because there's just so much here.
[00:08:01.472 --> 00:08:05.454]  North Korea ready to test a new missile capable of hitting U.S.
[00:08:05.454 --> 00:08:06.034]  West Coast.
[00:08:09.781 --> 00:08:11.102]  Isn't that interesting?
[00:08:11.102 --> 00:08:14.785]  Trump says North Korea diplomacy has failed.
[00:08:14.785 --> 00:08:16.847]  Only one thing will work.
[00:08:16.847 --> 00:08:18.008]  Military action.
[00:08:18.008 --> 00:08:21.831]  That's the calm before the storm he was talking about next week.
[00:08:21.831 --> 00:08:24.533]  We've also got... Iran warns U.S.
[00:08:24.533 --> 00:08:26.014]  against imposing further sanctions.
[00:08:26.014 --> 00:08:29.177]  Threatens war.
[00:08:29.177 --> 00:08:29.677]  Report.
[00:08:29.677 --> 00:08:34.801]  Trump poised to upend Obama's most important climate regulation that put a tax on U.S.
[00:08:34.801 --> 00:08:38.124]  carbon dioxide as a toxic waste, saying U.S.
[00:08:38.124 --> 00:08:39.325]  companies could not produce it
[00:08:41.147 --> 00:08:47.452]  Even though it's not recognized as a waste or a toxin anywhere else in the world, it's designed to sabotage our economy.
[00:08:47.452 --> 00:08:50.074]  And this is Trump just delivering on what he said he would do.
[00:08:50.074 --> 00:08:52.576]  The economy has surged to 3.1 growth.
[00:08:52.576 --> 00:08:55.198]  It's set to be at 3.9 by the end of the year.
[00:08:55.198 --> 00:08:59.201]  That's why the Federal Reserve is set to raise interest rates to stop the growth.
[00:08:59.201 --> 00:09:01.343]  That is the civil war in our country.
[00:09:01.343 --> 00:09:07.628]  VP Mike Pence leaves Colts game because 49ers players knelt during the anthem when they said they wouldn't.
[00:09:08.390 --> 00:09:11.912]  And of course I just think this is great because Pence has his First Amendment.
[00:09:11.912 --> 00:09:13.652]  So do you.
[00:09:13.652 --> 00:09:24.057]  And now we've got the very exciting news that the NFL has lost 31 percent of its core viewers just this year.
[00:09:24.057 --> 00:09:26.399]  And they lost another 20 plus percent in the last couple years.
[00:09:26.399 --> 00:09:28.399]  So they're down 50 plus percent.
