[00:00:09.224 --> 00:00:11.286]  The Alex Jones Show.
[00:00:11.326 --> 00:00:13.267]  Because there's a war on.
[00:00:13.347 --> 00:00:16.709]  Or you're mine.
[00:00:16.829 --> 00:00:20.912]  Ladies and gentlemen, the globalists are in full retreat.
[00:00:20.972 --> 00:00:22.253]  They're in total panic mode.
[00:00:22.693 --> 00:00:29.338]  But you better believe they can still throw a devastating right hook at us while we're savoring our victories.
[00:00:29.378 --> 00:00:32.980]  Get ready for the empire to strike back, ladies and gentlemen.
[00:00:34.061 --> 00:00:34.241]  Wow.
[00:00:36.465 --> 00:00:40.692]  We're going to play this John Bowne report, we're going to come back after the break and then lay it all out.
[00:00:41.152 --> 00:00:46.641]  We are witnessing the collapse of the New World Order, the collapse of the criminal ruling class.
[00:00:48.314 --> 00:00:51.096]  They are absolutely panicking.
[00:00:51.476 --> 00:00:51.977]  Stay with us.
[00:00:52.457 --> 00:01:06.728]  Former President Obama continues to do the dirty work of George Soros and the United Nations just two miles away from the White House, continuing to take his community organizer presidency into the hearts and minds of America.
[00:01:07.068 --> 00:01:12.052]  The Organize for Action site reads, with more than 250 local chapters around the country,
[00:01:14.153 --> 00:01:23.460]  OFA volunteers are building this organization from the ground up, community by community, one conversation at a time, whether that's on our front porch or on Facebook.
[00:01:23.680 --> 00:01:34.307]  We're committed to finding and training the next generation of great progressive organizers, because at the end of the day, we aren't the first to fight for progressive change, and we won't be the last.
[00:01:34.687 --> 00:01:35.508]  The site reads.
[00:01:35.808 --> 00:01:48.338]  Meanwhile, the trail leading to the genesis of the fictional narrative of the Trump-Russia collusion plaguing the agenda of the Trump administration has finally turned up in Obama and Hillary Clinton's backyards.
[00:01:48.598 --> 00:01:54.723]  The New York Post reports, the Senate Judiciary Committee earlier this month threatened to subpoena the firm
[00:01:55.063 --> 00:02:10.312]  Fusion GPS, after it refused to answer questions and provide records to the panel identifying who financed the error-ridden dossier, which was circulated during the election and has sparked much of the Russia scandal now engulfing the White House.
[00:02:10.652 --> 00:02:20.539]  Fusion GPS was on the payroll of an unidentified Democratic ally of Clinton when it hired a long-retired British spy to dig up dirt on Trump.
[00:02:20.779 --> 00:02:27.464]  In 2012, Democrats hired Fusion GPS to uncover dirt on GOP presidential nominee Mitt Romney.
[00:02:28.405 --> 00:02:35.887]  Federal records show a key co-founder and partner in the firm was a Hillary Clinton donor and supporter of her presidential campaign.
[00:02:36.247 --> 00:02:53.950]  In September 2016, while Fusion GPS was quietly shopping the dirty dossier on Trump around Washington, its co-founder and partner, Peter R. Fritsch, contributed at least $1,000 to the Hillary Victory Fund in the Hillary for America campaign, FEC data shows.
[00:02:54.190 --> 00:02:57.131]  His wife also donated money to Hillary's campaign.
[00:02:57.911 --> 00:03:05.518]  The Clinton campaign at the time was using all kinds of euphemisms, security review, matters, things like that, for what was going on.
[00:03:05.918 --> 00:03:14.085]  We were getting to a place where the Attorney General and I were both going to have to testify and talk publicly about it, and I want to know, was she going to authorize us to confirm we had an investigation?
[00:03:14.666 --> 00:03:17.528]  And she said, yes, but don't call it that, call it a matter.
[00:03:18.149 --> 00:03:19.270]  And I said, why would I do that?
[00:03:20.230 --> 00:03:22.612]  And she said, just call it a matter.
[00:03:23.573 --> 00:03:26.955]  And again, you look back in hindsight, you think, should I have resisted harder?
[00:03:26.995 --> 00:03:30.157]  I just said, alright, this isn't a hill worth dying on.
[00:03:30.637 --> 00:03:34.019]  And so I just said, okay, the press is going to completely ignore it.
[00:03:34.039 --> 00:03:36.401]  The press is going to completely ignore it.
[00:03:36.581 --> 00:03:40.383]  What the Winocrats were afraid of is just around the corner.
