[00:00:06.198 --> 00:00:07.279]  You found it.
[00:00:07.640 --> 00:00:13.126]  The tip of the spear.
[00:00:13.607 --> 00:00:16.049]  It is the Alex Jones Show.
[00:00:29.657 --> 00:00:34.781]  Ladies and gentlemen, it is Sunday, already the 12th day of November 2017.
[00:00:36.102 --> 00:00:38.543]  I just talked to Roger Stone about an hour ago.
[00:00:38.563 --> 00:00:41.465]  He's been talking to some high-level White House sources.
[00:00:42.166 --> 00:00:43.046]  Pretty high-level.
[00:00:44.367 --> 00:00:48.430]  And we're going to be giving you exclusive intel.
[00:00:49.727 --> 00:01:02.035]  From inside the fake Robert Mueller investigation on why the president is so hopping mad at what's been discovered about former CIA Director James Woolsey and that supposed meeting he had with General Flynn.
[00:01:02.135 --> 00:01:03.196]  And then it gets even crazier.
[00:01:04.910 --> 00:01:21.155]  CNN is reporting, as we told you about two weeks ago exclusively here from our sources, that the Podesta Group, run by Tony Podesta and propped up by his political operative brother John Podesta, is set to close this Wednesday, the 15th of November, in just three and a half days.
[00:01:22.875 --> 00:01:23.935]  That illustrates a lot.
[00:01:24.756 --> 00:01:32.678]  So we're going to give you the inside baseball, as they say on that, coming up at the bottom of the hour today.
[00:01:35.208 --> 00:01:37.449]  And then there is so much more to get to as well.
[00:01:38.170 --> 00:01:53.160]  On Thursday, our intrepid Merkel Thelen wrote about Vault 8 data leak from Wikileaks on the CIA and the NSA and how it shows the agencies going around setting up citizens, foreign governments, you name it.
[00:01:55.799 --> 00:01:57.501]  DrudgeReport.com, link to it.
[00:01:57.681 --> 00:02:06.090]  Again, get today's news three days early at InfoWars.com and find out why they had congressional hearings calling for us to be shut down just ten days ago.
[00:02:06.111 --> 00:02:10.115]  Because we will fight for the republic against all enemies, foreign and domestic.
[00:02:10.495 --> 00:02:11.857]  Here's the New York Times.
[00:02:11.897 --> 00:02:16.122]  Security breach and spilled secrets have shaken the NSA to its core!
[00:02:17.534 --> 00:02:19.334]  And they make it about the NSA.
[00:02:19.775 --> 00:02:21.435]  It's the NSA data systems.
[00:02:22.195 --> 00:02:25.076]  It's the NSA lines and systems being used.
[00:02:25.116 --> 00:02:26.296]  It's the CIA running it.
[00:02:26.677 --> 00:02:29.597]  So that's a classic from the big daddy agency, CIA.
[00:02:29.937 --> 00:02:34.839]  The senior to NSA goes CIA, NSA, and then down from that, the second biggest agency is NSA.
[00:02:34.859 --> 00:02:36.239]  I'm not defending NSA.
[00:02:36.259 --> 00:02:40.060]  You just gotta love how everything spin, but when you know it, you see it.
[00:02:41.421 --> 00:02:42.601]  It's just incredible.
[00:02:43.812 --> 00:02:46.372]  So, that is all coming up.
[00:02:46.392 --> 00:02:51.753]  We've also got a new pre-crime computer, Privacy Fears of Artificial Intelligence as a Crime Stopper.
[00:02:52.774 --> 00:02:53.654]  That's coming up.
[00:02:53.774 --> 00:02:58.715]  And then, did you know in Europe and Australia they've banned Father's Day?
[00:02:59.235 --> 00:03:00.615]  Fathers existing as evil.
[00:03:00.875 --> 00:03:01.895]  Here's the Herald Sun.
[00:03:01.955 --> 00:03:02.715]  I know this is old news.
[00:03:02.755 --> 00:03:03.635]  I saw it a few months late.
[00:03:04.756 --> 00:03:06.216]  Father's Day ad pulled.
[00:03:06.256 --> 00:03:08.196]  Too political to praise dads.
[00:03:08.216 --> 00:03:10.597]  And then we've got all these other anti-father ads.
[00:03:10.617 --> 00:03:11.177]  That's coming up.
[00:03:11.257 --> 00:03:12.277]  An amazing video.
[00:03:13.530 --> 00:03:14.630]  It's critical to everything.
[00:03:15.171 --> 00:03:20.792]  Vietnam war veteran cries on President Trump's shoulder during Vietnam speech.
[00:03:21.613 --> 00:03:22.733]  And why is it so important?
[00:03:23.293 --> 00:03:37.258]  Whether you believe Trump's sincere or not, which we know he's sincere from the evidence, the fact that he's honoring vets and the fact that he's being personal activates human emotion and behavior and is something the globalists don't want is real humanity.
[00:03:37.398 --> 00:03:38.118]  It's beautiful.
[00:03:38.478 --> 00:03:39.779]  That's coming up as well.
[00:03:41.391 --> 00:03:48.016]  Plus ISIS has a direct threat to Trump as President arrives in new home of Jihad.
[00:03:48.396 --> 00:03:52.519]  That's all coming up today, ladies and gentlemen.
[00:03:52.579 --> 00:03:53.320]  And a review!
[00:03:54.841 --> 00:03:55.922]  I don't watch a lot of TV.
