[00:00:03.707 --> 00:00:04.533]  That's Allen Railway, Chevy.
[00:00:26.440 --> 00:00:43.330]  From the Infowars.com News Center, deep behind enemy lines in occupied Texas, broadcasting worldwide, you're listening to the voice of human resistance against the technotronic technocracy takeover.
[00:00:43.330 --> 00:00:45.151]  You're listening to Alex Jones.
[00:00:45.151 --> 00:00:48.313]  You want it, baby?
[00:00:48.313 --> 00:00:48.553]  Yeah!
[00:01:17.552 --> 00:01:19.556]  Ladies and gentlemen, it is January 26, 2017.
[00:01:19.556 --> 00:01:21.059]  I'm your host Alex Jones.
[00:01:21.059 --> 00:01:24.426]  We're going to be here for the next four hours.
[00:01:24.426 --> 00:01:27.171]  We have another incredibly important transmission lined up.
[00:01:28.908 --> 00:01:36.574]  Trump is now synonymous with telling the truth, keeping his promises, and delivering in Blitzkrieg fashion.
[00:01:36.574 --> 00:01:39.176]  A lightning war against the tyrants.
[00:01:39.176 --> 00:01:45.501]  But that's about the only, I guess, German or Nazi connotation you could make that would have any reality based in it.
[00:01:45.501 --> 00:01:52.407]  But MSM is saying the stock market... I've been using a number from about a week ago.
[00:01:52.407 --> 00:01:56.290]  Excuse me, I have to correct myself because that number is about a week old.
[00:01:58.223 --> 00:02:02.945]  Bloomberg is reporting that the stock market has gained $2 trillion.
[00:02:02.945 --> 00:02:06.447]  I've been saying $1 trillion, $1.2 trillion, $1.3 trillion.
[00:02:06.447 --> 00:02:09.088]  It hadn't gone and looked the numbers up in a week.
[00:02:09.088 --> 00:02:11.569]  It was like $1.7 trillion last week.
[00:02:11.569 --> 00:02:15.011]  It's $2 trillion!
[00:02:15.011 --> 00:02:22.314]  And MSM, you name it, are running around saying this is like Hitler.
[00:02:24.264 --> 00:02:36.735]  Meanwhile, the Mexican president is saying that he may not come next week to a visit with President Trump now because he said in Spanish, we're going to play it in a moment, we do not have walls in Mexico.
[00:02:36.735 --> 00:02:39.137]  Well, believe me, you deserve to have one with Guatemala.
[00:02:39.137 --> 00:02:45.984]  Guatemala basically is what Mexico has become, a collapsed third world country.
[00:02:45.984 --> 00:02:49.347]  And it's a good thing you have a wall down there or it would be total bedlam.
[00:02:50.575 --> 00:02:52.516]  But now he says he won't attend.
[00:02:52.516 --> 00:02:54.217]  Oh, so it was a rumor this morning.
[00:02:54.217 --> 00:02:56.558]  Now it's official.
[00:02:56.558 --> 00:03:04.883]  Just came out that he will not attend now because Trump would dare build a wall, even though all these other countries have walls.
[00:03:04.883 --> 00:03:05.703]  Breaking the wall.
[00:03:05.703 --> 00:03:08.645]  Mexico pulls out of the Trump meet.
[00:03:08.645 --> 00:03:10.746]  So that's breaking right now on Drudge.
[00:03:10.746 --> 00:03:13.788]  Let's go ahead and play the president, though, saying that there are no walls.
[00:03:13.788 --> 00:03:17.370]  Here it is.
[00:03:17.370 --> 00:03:18.710]  That is where we should be.
