[00:00:07.065 --> 00:00:10.448]  Thursday, 27th.
[00:00:10.448 --> 00:00:15.932]  Live from the InfoWars.com studios, it's Alex Jones.
[00:00:15.932 --> 00:00:29.483]  How many times must I tell you that we're going to defeat the globalists together by exposing the fact that they're an unelected, worldwide totalitarian, cruddy capitalist, organized crime system?
[00:00:30.604 --> 00:00:31.484]  You see it happening.
[00:00:31.484 --> 00:00:33.385]  They're in big trouble.
[00:00:33.385 --> 00:00:41.088]  They're saying we're going to politically destroy and financially destroy anybody that tries to lead a resistance against us.
[00:00:41.088 --> 00:00:43.089]  That way the elite just sit there in power.
[00:00:43.089 --> 00:00:44.230]  Everybody knows they're corrupt.
[00:00:44.230 --> 00:00:46.371]  Everybody knows they want us poor and dumbed down.
[00:00:46.371 --> 00:00:49.292]  Everybody knows they're a bunch of eugenicists.
[00:00:49.292 --> 00:00:56.435]  But they'll destroy anybody that tries to resist them or any nation that tries to break free of their octopus hydra grip.
[00:00:57.759 --> 00:01:07.809]  The history shows no amount of propaganda, no amount of intimidation will work once the general population is awakened and culturally focused against it.
[00:01:07.809 --> 00:01:10.992]  Wow, there is so much, obviously, that I'm going to get to today and then David Knight's coming in.
[00:01:12.173 --> 00:01:12.613]  I'll be back.
[00:01:12.613 --> 00:01:15.295]  I'll host the full show, Lord willing, this Sunday, 4-6 p.m.
[00:01:15.295 --> 00:01:26.922]  Of course, I'll be back in tomorrow some as well, but I'm going through major trials and tribulations right now, as everyone knows, and they're only intensifying each week in the test.
[00:01:26.922 --> 00:01:28.963]  And the real test is I don't blame God for any of this.
[00:01:29.463 --> 00:01:35.985]  This is just the nature of the world, the nature of fallen man, and also a lot of mistakes and things I've done.
[00:01:35.985 --> 00:01:43.307]  I'm far from perfect, but because I'm not here trying to sell people out or enslave humanity, I'm trying to empower humanity, and I do love God.
[00:01:43.307 --> 00:01:48.469]  The enemy and the world absolutely hates me, just as the Bible tells us.
[00:01:48.469 --> 00:01:56.531]  Ivanka Trump goes to a UN Women's Summit in Berlin, obviously yesterday, rubs elbows with Angela Merkel,
[00:01:57.933 --> 00:02:02.195]  And breaks with her father because it's a women's rights issue.
[00:02:02.195 --> 00:02:04.056]  She says, bring in refugees.
[00:02:04.056 --> 00:02:04.796]  Isn't that funny?
[00:02:04.796 --> 00:02:11.519]  For the women, 80% according to Interpol of the migrants are military age men.
[00:02:11.519 --> 00:02:16.601]  Close to 90% are of the male gender.
[00:02:16.601 --> 00:02:21.003]  So we're talking 11% or so that are women and children.
[00:02:21.003 --> 00:02:24.465]  But they always show you the women and children in the shots.
[00:02:24.465 --> 00:02:26.146]  They find those shots.
[00:02:27.386 --> 00:02:31.669]  So that you feel bad and you feel sorry and then you accept it.
[00:02:31.669 --> 00:02:36.633]  And then she can go on TV and say we need to let him in.
[00:02:36.633 --> 00:02:39.835]  So truly disgusting propaganda.
[00:02:39.835 --> 00:02:44.119]  And is it Trump playing good cop bad cop?
[00:02:44.119 --> 00:02:47.181]  He has tried to stop the seven nations where they don't vet anybody.
[00:02:47.181 --> 00:02:50.684]  They just give them fake passports like Somalia, Sudan and others.
[00:02:52.432 --> 00:02:57.615]  But now she's challenging the president, her own father, to change his policies.
[00:02:57.615 --> 00:02:58.976]  This is just ridiculous.
[00:02:58.976 --> 00:03:02.358]  We did not elect Ivanka Trump.
[00:03:02.358 --> 00:03:06.861]  We did not elect her Democratic Party husband, Jared Kushner.
[00:03:06.861 --> 00:03:17.428]  Oh, remember about two and a half, three weeks ago, we had Steve Pachetnik on saying he was going to break soon in the news that Jared Kushner has been compromised by Communist China.
[00:03:19.335 --> 00:03:22.638]  And guess what was in the New York Times yesterday?
[00:03:22.638 --> 00:03:25.801]  Oh, fake news scoops you again.
[00:03:25.801 --> 00:03:30.085]  No, we're the real news.
[00:03:30.085 --> 00:03:36.932]  Bribe cases of Jared Kushner partner and potential conflicts with Communist China and so much more.
[00:03:38.101 --> 00:03:40.563]  Isn't that just special?
[00:03:40.563 --> 00:03:41.683]  So, there you go.
[00:03:41.683 --> 00:03:54.271]  That's why they hate us so much, because we can force this information out in the open, and it's come out now in the Daily Caller, it's up on Infowars.com, that Stephen Bannon called Jared Kushner a cuck and a globalist behind his back.
[00:03:54.271 --> 00:04:00.234]  Well, he certainly is a cuck for the establishment, and everything he touches goes bankrupt.
[00:04:00.234 --> 00:04:03.757]  He's a good-looking guy, we never heard him talk.
[00:04:03.757 --> 00:04:06.278]  I mean, you know, you want to be in a man's game, sonny?
[00:04:06.278 --> 00:04:07.519]  Need to hear you talk a little bit.
[00:04:10.356 --> 00:04:14.860]  We hear your wife out there quite a bit, and what comes out of her mouth doesn't sound too good.
[00:04:14.860 --> 00:04:17.742]  What came out of her mouth sounded real good at the RNC.
[00:04:17.742 --> 00:04:25.209]  Now, that said, we're 100 days now into the Trump administration, and it's a love-hate relationship, personally.
[00:04:25.209 --> 00:04:27.150]  It's paradoxical.
[00:04:27.150 --> 00:04:36.679]  Just so good on the economy, so good on sovereignty, so good on TPP, so good on bringing jobs back, so good on moving for the border wall, moving to kill NAFTA and GATT.
[00:04:38.146 --> 00:04:44.993]  But more and more who he's bringing in, bad, bad, bad, bad, bad, like this big bad one when we come back.
[00:04:44.993 --> 00:04:54.183]  They're leveling their crosshairs for sure on whistleblowers, Julian Assange, Snowden and others, calling them foreign intelligence operatives.
[00:04:54.183 --> 00:04:57.766]  So you might as well have John McCain running the White House with that type of baloney.
[00:04:57.766 --> 00:04:58.247]  Stay with us.
[00:05:01.829 --> 00:05:11.236]  Trump just signed an executive order to pull the federal government out of K-12 education, following through on a campaign promise to return school control to state and local officials.
[00:05:11.236 --> 00:05:25.808]  Titled Education Federalism Executive Order, it directs Education Secretary Betsy DeVos to launch a 300-day review of Obama-era regulations and guidance for school districts, and gives her the power to modify or repeal measures she deems an overreach by the federal government.
[00:05:26.008 --> 00:05:30.513]  It was amazing to hear liberals scream and cry as Betsy DeVos was being confirmed.
[00:05:30.513 --> 00:05:35.178]  And all I was saying the entire time was, good, we need to get rid of the Department of Education.
[00:05:35.178 --> 00:05:38.621]  You wonder why your local schools don't have money to pay teachers or for upkeep?
[00:05:38.621 --> 00:05:41.684]  It's because that money is being held by the federal government.
[00:05:41.684 --> 00:05:42.746]  Don't believe me?
[00:05:42.746 --> 00:05:45.909]  Just read the book, The Deliberate Dumbing Down of America by Charlotte Isserby.
[00:05:46.169 --> 00:05:49.771]  She was a whistleblower from the Department of Education in the 1980s.
[00:05:49.771 --> 00:05:55.153]  And her tome describes how the federal education system was designed to create automatons.
[00:05:55.153 --> 00:05:58.395]  Rob Dew reporting for InfoWars.com and InfoWars Nightly News.
[00:06:01.227 --> 00:06:06.691]  After being sold out for months, our best-selling super blue fluoride toothpaste is now back in stock at InfoWareStore.com.
[00:06:06.691 --> 00:06:08.792]  Research across the board is clear.
[00:06:08.792 --> 00:06:14.076]  When bacteria infects your gums, it can enter your bloodstream and even contribute to blood clots and heart attacks.
[00:06:14.076 --> 00:06:17.838]  That's why the last Surgeon General's report on oral health warns that
[00:06:17.938 --> 00:06:21.361]  Your oral health can have a serious impact on your entire body.
[00:06:21.361 --> 00:06:24.544]  Super Blue Fluoride Free Toothpaste is a groundbreaking new formula.
[00:06:24.544 --> 00:06:28.427]  It's loaded with good halogen iodine instead of the bad halogen fluoride.
[00:06:28.427 --> 00:06:35.593]  Super Blue contains natural oils and ingredients used since biblical times to help wipe out bad bacteria and eliminate bad breath.
[00:06:35.593 --> 00:06:40.998]  Just some of the ingredients in Super Blue chosen by our dental experts include xylitol, peppermint oil,
[00:06:41.258 --> 00:06:43.300]  Iodine, nanosilver, and more.
[00:06:43.300 --> 00:06:51.590]  Due to requests from listeners who found that Spearmint was a little bit too strong for some of their children, we have created the new Bubblegum-flavored Superblue that is Spearmint-free.
[00:06:51.590 --> 00:06:59.899]  Learn more about the new Bubblegum-flavored Superblue toothpaste and more at InfoWarsLife.com and support the InfoWars while you support healthy gums and teeth.
[00:07:02.148 --> 00:07:07.631]  The reason InfoWarsLive has five-star ratings on major third-party sites is because I want products I'm gonna use for my family.
[00:07:07.631 --> 00:07:08.471]  I take this.
[00:07:08.471 --> 00:07:09.592]  My family takes this.
[00:07:09.592 --> 00:07:13.874]  And then it funds the operation with the most hardcore, truthful information you're gonna find anywhere.
[00:07:13.874 --> 00:07:18.336]  So what you find in our news is the same thing you find in our products at InfoWarsLive.com.
