[00:00:03.197 --> 00:00:03.819]  It's Friday.
[00:00:04.480 --> 00:00:05.002]  Stay with us.
[00:00:05.022 --> 00:00:06.124]  We've got huge breaking news.
[00:00:06.164 --> 00:00:08.149]  They caught the women they were paying off to lie about Trump.
[00:00:09.574 --> 00:00:18.139]  The House Judiciary Committee was a spectacle of division as Democrats and Republicans grilled Deputy Attorney General Rod Rosenstein.
[00:00:18.239 --> 00:00:26.903]  The Republicans feverishly attacking all of the revelations surrounding the FBI's political power play and the fraudulent Steele dossier.
[00:00:26.963 --> 00:00:30.825]  What in the hell is going on with the Department of Justice and the FBI?
[00:00:32.246 --> 00:00:36.447]  The reason we have special counsel, this is a very important point, and you know it.
[00:00:36.707 --> 00:00:40.328]  The reason we have special counsel is because of a conflict of interest.
[00:00:40.869 --> 00:00:46.670]  The regulation itself specifically makes reference to a conflict of interest.
[00:00:47.210 --> 00:00:53.312]  And we don't like conflicts of interest because it undercuts people's confidence in both the process and the result.
[00:00:53.852 --> 00:00:57.673]  So, so let's be really clear why we have special counsel.
[00:00:57.993 --> 00:01:08.237]  There was either a real or perceived conflict of interest that we were fearful would either impact the result or people's confidence in the process.
[00:01:08.417 --> 00:01:14.399]  That's why we have something called special counsel, and that's why we have special counsel in this fact pattern.
[00:01:14.999 --> 00:01:20.901]  And then, lo and behold, those who are supposed to make sure there are no conflicts of interest
[00:01:21.861 --> 00:01:23.162]  Seem to have a few of their own.
[00:01:24.003 --> 00:01:30.568]  There's a senior prosecutor who sent obsequious emails to a fact witness.
[00:01:32.842 --> 00:01:36.464]  She can be described as nothing other than a fact witness.
[00:01:36.504 --> 00:01:43.929]  She's a really important fact witness if you pursue the line of inquiry that my Democrat friends want to pursue.
[00:01:43.949 --> 00:01:47.091]  They got off of collusion and now they're on obstruction of justice.
[00:01:47.331 --> 00:01:52.834]  She may be the most important fact witness in an obstruction of justice case.
[00:01:53.515 --> 00:02:01.260]  And the senior prosecutor for this conflict of interest-free special counsel sent a fawning, obsequious email
[00:02:02.020 --> 00:02:02.981]  To a fact witness.
[00:02:03.041 --> 00:02:12.766]  And then we have prosecutors assigned to conduct this investigation who donated almost exclusively to one candidate over another.
[00:02:13.007 --> 00:02:23.113]  And then we have a prosecutor assigned to this conflict of interest free team that attended what was supposed to be, what he'd hoped to be, a victory party for Secretary Clinton.
[00:02:24.073 --> 00:02:30.137]  And we have a senior DOJ official, Mr. Deputy Attorney General, with an office that used to be two doors down from yours.
[00:02:31.272 --> 00:02:42.478]  Meeting with Fusion GPS, and Fusion GPS, of course, was paying for Russian dirt on the very person that they're supposed to be objectively investigating.
[00:02:43.098 --> 00:02:53.964]  And then that same senior DOJ official's wife, the one that met with Fusion GPS, his wife was on the payroll of Fusion GPS.
[00:02:54.364 --> 00:03:00.287]  While the Democrats continued to hold President Trump's feet to the fire, ignoring any wrongdoing.
[00:03:00.447 --> 00:03:03.629]  I take it your judgment on Mr. Mueller has not changed today?
[00:03:03.909 --> 00:03:04.229]  Correct.
[00:03:04.729 --> 00:03:11.173]  And you would not have appointed a special counsel or appointed Mr. Mueller if you thought he was going to engage in a witch hunt, correct?
[00:03:11.433 --> 00:03:11.733]  Correct.
[00:03:12.073 --> 00:03:20.318]  And so you then would disagree with the President's labeling of the special counsel's investigation as a witch hunt, I assume?
[00:03:20.758 --> 00:03:23.659]  I don't know exactly what the President meant by that, Congressman.
[00:03:23.699 --> 00:03:26.020]  The Special Counsel's investigation is not a witch hunt.
[00:03:26.360 --> 00:03:31.763]  On top of this stinking pile of deception, Paul Joseph Watson added one more revelation.
[00:03:31.943 --> 00:03:46.229]  Paul writes, Amidst the 10,000 messages sent between anti-Trump FBI agent Peter Strzok and lawyer Lisa Page is a bizarre exchange revealing how the two, almost certainly with Deputy FBI Director Andy McCabe,
[00:03:46.829 --> 00:03:52.870]  Discussed an insurance policy in case Donald Trump won the presidential election.
[00:03:53.371 --> 00:04:01.513]  It reads, I want to believe the path you threw out for consideration in Andy's office, that there's no way Trump gets elected.
[00:04:01.613 --> 00:04:11.135]  But I'm afraid we can't take that risk, Strzok wrote to his mistress, adding, it's like an insurance policy in the unlikely event you die before you're 40.
[00:04:11.755 --> 00:04:25.069]  Wall Street Journal columnist Kimberly Strassel remarked, Press is focusing deliberately on struck texts expressing hostility to Trump and noting it is okay for agents to have political opinions.
[00:04:25.250 --> 00:04:33.699]  Press needs to focus on the messages suggesting he'd act on that hostility insurance policy, which is not okay.
[00:04:33.999 --> 00:04:35.240]  None of this is okay.
[00:04:35.680 --> 00:04:40.322]  Clearly, if Hillary had won the presidency, we would have never heard about half of this.
[00:04:40.522 --> 00:04:41.143]  But she didn't.
[00:04:41.363 --> 00:04:48.286]  And this may only be the tip of the iceberg when it comes to the fallout as the Clinton machine crashes on the White House lawn.
[00:04:48.486 --> 00:04:51.788]  John Bowne reporting for InfoWars.com.
[00:04:52.568 --> 00:04:54.449]  Ladies and gentlemen, we'll be back.
[00:04:54.569 --> 00:04:55.890]  Major shoes have dropped.
[00:04:56.030 --> 00:05:00.232]  Everybody to tune in right now to local stations and InfoWars.com for my show.
[00:05:03.726 --> 00:05:05.367]  Matt in Ohio, you're on the air.
[00:05:05.387 --> 00:05:06.287]  Another Matt, go ahead.
[00:05:06.347 --> 00:05:21.015]  Yeah, hey, listen, I just wanted to say real quick, I'm a longtime listener of InfoWars, and I just wanted to say that the t-shirts that you guys are offering are absolutely fantastic, and that really is a great way to deal with this battle in the InfoWars.
[00:05:21.035 --> 00:05:28.639]  It might seem like a simple thing, but particularly these slogan t-shirts that you guys got up right now are absolutely amazing.
[00:05:28.679 --> 00:05:29.019]  Well, thank you
[00:05:29.199 --> 00:05:40.006]  My favorite new one is the Don't Tread On Me, but instead it says Won't Tread On Me, and it's a big Dayglo snake, Gadsden snake, and then it's got the American flag, Infowars.com on the right arm.
[00:05:40.387 --> 00:05:46.571]  I mean, that's a great way just to meet like-minded people and spread the word and also exercise free speech.
[00:05:46.591 --> 00:05:49.333]  And the newest one is Trigger Warning T-shirt.
[00:05:49.853 --> 00:05:56.425]  Trigger warning t-shirt, which is the symbol of a trigger, with a yield sign and then InfoWars.com on the back.
[00:05:56.766 --> 00:06:01.154]  That is the new shirt of the month, available exclusively at InfoWarsStore.com.
[00:06:14.907 --> 00:06:17.930]  You can run on for a long time.
[00:06:18.570 --> 00:06:20.812]  Run on for a long time.
[00:06:21.533 --> 00:06:23.655]  Run on for a long time.
[00:06:24.376 --> 00:06:26.738]  Sooner or later gonna cut you down.
[00:06:27.378 --> 00:06:29.800]  Sooner or later gonna cut you down.
[00:06:31.972 --> 00:06:34.294]  Go tell that long-tongue liar.
[00:06:34.874 --> 00:06:37.136]  Go and tell that midnight rider.
[00:06:37.756 --> 00:06:40.878]  Tell the rambler, the gambler, the backbiter.
[00:06:41.238 --> 00:06:43.760]  Tell him that God's gonna cut him down.
[00:06:44.100 --> 00:06:46.922]  Tell him that God's gonna cut him down.
[00:06:47.883 --> 00:06:48.884]  That's Johnny Cash.
[00:06:49.744 --> 00:06:50.385]  Cut you down.
[00:06:51.798 --> 00:07:14.845]  Well, my goodness gracious, let me tell you the news My head's been wet with the midnight dew I've been down on bended knee Talking to the man from Galilee He spoke to me with a voice so sweet I thought I heard the shuffle of angels sweet He called my name and my heart stood still When he said, John, go do my will
[00:07:15.485 --> 00:07:18.646]  We're broadcasting worldwide on this Friday transmission.
[00:07:18.726 --> 00:07:19.986]  Thank you so much for joining us.
[00:07:20.046 --> 00:07:21.187]  I'm your host Alex Jones.
[00:07:21.207 --> 00:07:22.487]  We're gonna be here for the next four hours.
[00:07:24.628 --> 00:07:31.170]  There is a lot of just over-the-top incredible news obviously, but one of the biggest ones is breaking.
[00:07:31.550 --> 00:07:33.230]  It's up on InfoWars.com.
[00:07:34.410 --> 00:07:35.751]  It's on NewsWars.com.
[00:07:35.911 --> 00:07:37.071]  It's from The Hill.
[00:07:37.091 --> 00:07:39.512]  Of course it's on DrudgeReport.com.
[00:07:41.149 --> 00:07:45.510]  Exclusive prominent lawyer sought donor cash for two Trump accusers.
[00:07:45.790 --> 00:08:07.374]  Now as I told you a few months ago and as I told you earlier this week, our sources are that there are 20 or more, the number is growing, of women that have taped prominent Democrats and prominent media people offering them money.
[00:08:09.619 --> 00:08:11.282]  Big money, hundreds of thousands of dollars.
[00:08:11.763 --> 00:08:17.334]  Bill O'Reilly has heard the tapes of one of the women.
[00:08:19.298 --> 00:08:23.042]  And I'd heard months ago about the $200,000 in that particular case, just from sources.
[00:08:23.082 --> 00:08:25.865]  I didn't actually talk to them or hear it like Riley did.
[00:08:26.786 --> 00:08:32.351]  So kudos to Glenn Beck and Bill O'Reilly for, what, three days ago, forcing this out.
[00:08:32.431 --> 00:08:34.553]  Because that's what InfoWars is able to do.
[00:08:34.573 --> 00:08:36.435]  It's what Drudge Report's able to do.
[00:08:36.495 --> 00:08:42.001]  It's what talk radio and big, independent, libertarian, truth-based sites are able to do.
[00:08:44.380 --> 00:08:48.683]  We are able to force things out that the media is already sitting on.
[00:08:49.224 --> 00:09:05.817]  Remember, Roger Stone and others broke here two and a half months ago that McMaster was at a particular restaurant, particular place, and who he was with, and that he said, oh, I just got off the phone with that idiot moron.
[00:09:06.417 --> 00:09:07.458]  All he can do is use Twitter.
[00:09:07.498 --> 00:09:08.359]  He's so stupid.
[00:09:08.379 --> 00:09:10.020]  I'm afraid he's going to blow the planet up.
[00:09:10.340 --> 00:09:12.182]  And that McMaster was a slob and drunk.
[00:09:13.134 --> 00:09:15.895]  Now we knew the New York Post sat on that, the New York Times sat on that.
[00:09:16.255 --> 00:09:17.716]  We were given it because they sat on it.
[00:09:18.556 --> 00:09:21.917]  And then two months later, two and a half months later, it broke, what, two weeks ago.
[00:09:22.217 --> 00:09:25.498]  Exactly as we said, at the very restaurant, all of it confirmed.
[00:09:26.879 --> 00:09:34.041]  That's our job, is to not get the attention or even be praised for what we do, it's to force the media to cover it.
[00:09:34.261 --> 00:09:35.222]  That's our real power.
[00:09:35.622 --> 00:09:37.943]  Because before, they could cover stuff up like that forever.
[00:09:38.163 --> 00:09:41.304]  They could cover up a Monica Lewinsky or Chinese Missile Secrets, you name it.
[00:09:42.355 --> 00:09:47.963]  If whistleblowers went public because there wasn't a DrudgeReport.com to put it up, like back with Monica Lewinsky.
[00:09:48.724 --> 00:09:52.310]  So there's our article right there from months ago, McMaster.
[00:09:52.390 --> 00:09:53.151]  We put it back on screen.
[00:09:57.277 --> 00:09:57.858]  Was at the meeting.
[00:09:59.841 --> 00:10:01.481]  McMaster trashed Trump in private dinner.
[00:10:01.601 --> 00:10:03.522]  MSN breaks story InfoWars broke months ago.
[00:10:03.542 --> 00:10:06.063]  There's Dan Lyman's article from November 21st.
[00:10:06.083 --> 00:10:09.443]  You can scroll down into the article and actually click the original.
[00:10:09.543 --> 00:10:10.644]  InfoWars broke the story.
[00:10:11.164 --> 00:10:15.885]  Report McMaster labeled Trump scary and a dope.
[00:10:18.346 --> 00:10:21.626]  And it's our story from September 11th.
[00:10:21.986 --> 00:10:24.507]  September, October, late November it breaks.
[00:10:24.667 --> 00:10:26.268]  Two and a half months later.
[00:10:26.448 --> 00:10:27.888]  Word for word.
[00:10:29.397 --> 00:10:31.599]  Now the reason I point that out is that's why they fear us.
[00:10:33.040 --> 00:10:33.921]  That's why they hate us.
[00:10:35.142 --> 00:10:39.686]  I mean, that's why they've told me, you stop it or we're gonna destroy you.
[00:10:40.007 --> 00:10:42.209]  And they've already, you know, had some fun with it.
[00:10:43.870 --> 00:10:44.771]  As everybody's witnessing.
[00:10:44.791 --> 00:10:45.692]  I'm not complaining.
[00:10:45.852 --> 00:10:46.633]  I just want people to know
[00:10:47.998 --> 00:10:49.058]  I'm like at the Alamo here.
[00:10:49.078 --> 00:10:56.602]  I mean, this is a big shootout, and we know we're going to win the war, but we're the outpost that's under attack because we're leading the defense here.
[00:10:56.622 --> 00:11:02.104]  We're leading the charge, and we just need your prayers, because I'm not going to get into all the things that are going on behind the scenes and things, but it is biblical.
[00:11:03.425 --> 00:11:03.905]  Biblical.
[00:11:05.146 --> 00:11:16.931]  And, you know, I don't usually brag and things like that, but I mean, I am proud of myself in the fact that the pressure that's been brought to bear and things that have been done that I've not wavered.
[00:11:17.773 --> 00:11:18.634]  I'm not scared of the globalists.
[00:11:40.848 --> 00:11:42.009]  But I'm scared of letting them win.
[00:11:42.069 --> 00:11:43.189]  We must defeat them.
[00:11:43.209 --> 00:11:45.951]  There is wickedness spreading everywhere like a disease.
[00:11:46.051 --> 00:11:47.191]  Mental illness is exploding.
[00:11:47.632 --> 00:11:49.473]  People have no morals, no basis.
[00:11:49.733 --> 00:11:53.695]  And they see those of us that aren't sickos like them as the problem.
