[00:00:18.717 --> 00:00:20.439]  Welcome to NIFA Wars Nightly News.
[00:00:20.559 --> 00:00:21.299]  I'm David Knight.
[00:00:21.379 --> 00:00:22.540]  It's February 1st, 2017.
[00:00:22.961 --> 00:00:25.463]  Here are our top stories.
[00:00:28.226 --> 00:00:33.190]  Tonight, Donald Trump announces his Supreme Court Justice.
[00:00:33.650 --> 00:00:37.954]  We look at the implications of this pick and the future of the Supreme Court.
[00:00:38.988 --> 00:00:47.735]  Also, Democrats are taking every measure to stop anything President Trump does, showing their blatant political double standards.
[00:00:48.076 --> 00:00:57.264]  And then, our own David Knight speaks with John Kiriakou to talk about how his CIA training prepared him for life in prison.
[00:00:58.845 --> 00:00:59.565]  And developing.
[00:00:59.866 --> 00:01:06.972]  Gangs are telling Trump that they want to help him make America great again, offering compromises to the President.
[00:01:08.726 --> 00:01:12.110]  All that and more tonight on the InfoWars Nightly News.
[00:01:30.347 --> 00:01:36.952]  In case you haven't heard, InfoWars has become the most influential media outlet in America.
[00:01:37.052 --> 00:01:44.718]  We're making freedom go viral, and now we are proud to announce a new weapon in the epic battle against the globalists.
[00:01:45.039 --> 00:01:55.747]  InfoWars Prime, where you can watch live high-definition feeds of the Alex Jones Show, plus exclusive insider videos from the InfoWars crew and behind-the-scenes
[00:01:56.007 --> 00:01:56.387]  Action!
[00:01:56.427 --> 00:02:00.388]  Go to InfoWars.com forward slash app and download today.
[00:02:00.668 --> 00:02:04.870]  InfoWars Prime is available right now for your iPhone or Android.
[00:02:04.990 --> 00:02:09.511]  You will have access to exclusive videos that you can't see anywhere else.
[00:02:09.891 --> 00:02:15.173]  That means live coverage of events and breaking news on location as it happens.
[00:02:15.433 --> 00:02:22.343]  You can also take advantage of amazing deals from the InfoWars store that are only available for InfoWars Prime subscribers.
[00:02:22.503 --> 00:02:26.589]  That's InfoWars Prime at InfoWars.com forward slash app.
[00:02:26.850 --> 00:02:29.493]  If you can hear my voice, you are the resistance.
[00:03:03.257 --> 00:03:09.325]  Last night, Donald Trump announced his pick for the replacement of Justice Scalia on the Supreme Court.
[00:03:09.345 --> 00:03:11.347]  49-year-old Neil Gorsuch.
[00:03:11.487 --> 00:03:14.992]  And we're going to take a look at the process that's going on here.
[00:03:15.012 --> 00:03:19.297]  We're also going to take a look at the justice himself and the opposition to it.
[00:03:19.898 --> 00:03:24.921]  But first, let's remember that this is one of what may be four picks for President Trump.
[00:03:25.462 --> 00:03:35.869]  Salon last summer said the next president will likely appoint four Supreme Court Justices, and they were wringing their hands over the fact that most of their people were not paying attention.
[00:03:36.369 --> 00:03:38.191]  Well, they're paying attention now.
[00:03:38.811 --> 00:03:39.812]  And this is what they point out.
[00:03:39.832 --> 00:03:45.856]  They said since 1971, the average age of retirement for a Supreme Court Justice has been just under 79.
[00:03:47.597 --> 00:03:53.739]  Ginsburg is 83, Kennedy is 80, and Breyer turned 78 last August.
[00:03:54.639 --> 00:04:04.702]  And so all of these and some of the most liberal justices on the Supreme Court are at or well beyond what has typically been the retirement age at this point.
[00:04:04.802 --> 00:04:06.763]  And we're talking about now four years out.
[00:04:07.103 --> 00:04:12.324]  And they go on to say the new justices will set the direction of the Supreme Court and the values that guide it for the next generation.
[00:04:12.824 --> 00:04:14.585]  Actually, that should be the Constitution.
[00:04:15.345 --> 00:04:17.206]  But of course, that's not the view of the liberals.
[00:04:17.286 --> 00:04:23.208]  That is the view of constitutionalists, originalists, textualists, like Scalia and like Justice Gorsuch.
[00:04:23.228 --> 00:04:25.389]  We're going to talk about that in just one moment.
[00:04:25.849 --> 00:04:31.772]  But when you go back and look at this, of course, the opposition from the left is saying, this is a stolen seat.
[00:04:32.492 --> 00:04:34.953]  The Republicans stole this from Merrick Garland.
[00:04:35.453 --> 00:04:41.015]  When Scalia died last February, then they should have replaced him at that point.
[00:04:41.716 --> 00:04:42.636]  And we're going to take a look at that.
[00:04:42.656 --> 00:04:44.437]  We're going to take a look at the Biden rule.
[00:04:44.457 --> 00:04:49.419]  But first, understand that Barack Obama, like most of the presidents, had two picks.
[00:04:49.699 --> 00:04:52.200]  The only president to have only a single pick.
[00:04:52.680 --> 00:04:53.281]  We're good.
[00:05:11.178 --> 00:05:11.499]  I don't
[00:05:26.238 --> 00:05:26.898]  I think so.
[00:05:45.706 --> 00:06:02.947]  The relevant rule here requires that Supreme Court justices recuse themselves if in their previous capacity they served as a counselor or advisor concerning a current matter before the court, or if there's anything about the proceedings by which the justices impartiality can reasonably be called into question.
[00:06:03.147 --> 00:06:04.749]  Now, why would it be called into question?
[00:06:05.470 --> 00:06:10.754]  Judicial Watch got emails that revealed that in 2010, when Obamacare passed, Ms.
[00:06:10.794 --> 00:06:17.518]  Kagan was Solicitor General, and she said in her emails that Obamacare was simply amazing.
[00:06:18.059 --> 00:06:23.142]  She assigned a deputy in her office to help prepare legal defenses to any challenges to Obamacare.
[00:06:23.382 --> 00:06:33.169]  In another email, when she was asked for her opinion, she asked for their phone number, which indicated that she might want to do this privately and not have an audit trail.
[00:06:33.709 --> 00:06:40.313]  So you see, clearly she was acting as a counselor or advisor in a matter that she had a deep interest in.
[00:06:40.394 --> 00:06:43.335]  Nevertheless, she refused to recuse herself.
[00:06:44.036 --> 00:06:47.158]  Now we're seeing from the left, the LA Times editorial board.
[00:06:47.258 --> 00:06:50.000]  The editorial board, mind you, puts a title out here.
[00:06:50.040 --> 00:06:55.504]  When the GOP stole Merrick Garland's Supreme Court seat, they set the stage for a miserable battle.
[00:06:55.884 --> 00:06:59.947]  And they said it is hard to express how head-shakingly unfair this is.
[00:07:00.547 --> 00:07:03.409]  Well, they find it difficult to express because, you know, it really isn't unfair.
[00:07:04.110 --> 00:07:06.933]  But they do make an interesting point here.
[00:07:06.993 --> 00:07:10.637]  When they're looking at this, they said the Democrats have been put in a terrible bind.
[00:07:10.657 --> 00:07:14.201]  Of course, they wrote this before we had the pick of Gorsuch.
[00:07:14.241 --> 00:07:15.943]  They said, do they take the Republican bait?
[00:07:16.543 --> 00:07:21.949]  Do they declare the seat stolen and launch a filibuster against any candidate in spite and in vengeance?
[00:07:22.070 --> 00:07:24.913]  Or do they roll over, brand themselves as patsies,
[00:07:25.313 --> 00:07:30.216]  And allow Trump to appoint a Scalia clone, or someone worse, to fill the seat.
[00:07:30.376 --> 00:07:33.658]  And of course, that's what we do have, is a Scalia clone.
[00:07:33.678 --> 00:07:39.041]  They finish by saying it's an awful predicament, it's bad, it's hard to see how this is going to end out well.
[00:07:39.522 --> 00:07:42.063]  Of course, it isn't going to end well for the Democrats.
[00:07:42.183 --> 00:07:42.944]  They should be afraid.
[00:07:43.224 --> 00:07:44.825]  They should be very afraid.
[00:07:45.365 --> 00:07:48.247]  Because we're going to show you what is going to happen.
[00:07:48.287 --> 00:07:52.410]  There is not going to be a way that they're going to be able to stop this confirmation pick.
[00:07:53.271 --> 00:08:03.298]  We'll talk about that in a moment, but as the Huffington Post points out, they said the Democrats are still bitter that how their SCOTUS pick was treated.
[00:08:03.558 --> 00:08:08.642]  They say the ghost of Merrick Garland still floats around parts of this place.
[00:08:08.722 --> 00:08:13.085]  And then they go on to say, this has been a cynical strategy not to put somebody in there.
[00:08:13.105 --> 00:08:18.708]  It's a cynical strategy done by Mitch McConnell to hold the seat open for Trump.
[00:08:18.969 --> 00:08:19.269]  Really?
[00:08:19.729 --> 00:08:22.471]  Let's go back and look at what Joe Biden said.
[00:08:22.591 --> 00:08:38.240]  Back in 1992, in a Senate floor speech, and of course this all came up last year as the Democrats were demanding that Merrick Garland be put in place, they went back, wisely looked at the record and said, but wait a minute, Vice President Biden said we shouldn't do that during election years.
[00:08:38.401 --> 00:08:39.341]  This is what he had to say.
[00:08:39.681 --> 00:08:46.846]  He said, it is my view that if a Supreme Court justice resigns tomorrow, or within the next several weeks, or resigns at the end of the summer, remember that was an election year,
[00:08:47.446 --> 00:08:52.169]  President Bush should consider following the practice of a majority of his predecessors.
[00:08:52.509 --> 00:08:54.670]  The practice of a majority of his predecessors.
[00:08:54.830 --> 00:08:57.512]  This wasn't something that was an idea that Joe Biden had.
[00:08:57.552 --> 00:08:59.473]  This is something that had been a precedent.
[00:08:59.953 --> 00:09:03.875]  And not name a nominee until after the November election is completed.
[00:09:04.155 --> 00:09:07.457]  He said wait until after the political campaign season is over.
[00:09:07.817 --> 00:09:10.459]  And then he goes on to say, I sadly predict, Mr. President,
[00:09:10.879 --> 00:09:15.621]  That this is going to be one of the bitterest, dirtiest presidential campaigns we will have seen in modern times.
[00:09:15.661 --> 00:09:17.381]  He's talking about the 1992 campaign.
[00:09:17.841 --> 00:09:27.765]  And he says, some will criticize such a decision and say it was nothing more than an attempt to save a seat on the court in hopes that a Democrat will be permitted to fill it.
[00:09:28.425 --> 00:09:38.151]  Or, you know, they might have called it cynical, just as Huffington Post called Mitch McConnell and the Republicans cynical when they did the same thing that Joe Biden was saying back then.
[00:09:38.631 --> 00:09:44.974]  And, of course, that was pointed out in February last year by Senator Charles Grassley, and he even called it the Biden rules.
[00:09:45.555 --> 00:09:50.858]  Now, in the Washington Post, there's an interesting article by Jonathan Adler, and he tells it straight.
[00:09:51.698 --> 00:09:53.079]  Very unusual for the Washington Post.
[00:09:53.119 --> 00:09:57.823]  He says, no, the obstruction of Neil Gorsuch is not about Merrick Garland.
[00:09:58.224 --> 00:10:03.849]  He said, the usual pitch against the Supreme Court nominee is that he or she will alter the balance of the court.
[00:10:04.449 --> 00:10:06.391]  But that argument has no purchase here.
[00:10:06.431 --> 00:10:10.655]  Replacing one conservative jurist with another won't alter the balance of the court.
[00:10:11.155 --> 00:10:19.178]  He said the problem with this argument is that most Senate Democrats are willing to filibuster a Supreme Court nominee before Garland was nominated, let alone blocked by Republicans.
[00:10:19.238 --> 00:10:25.660]  And he goes back, he looks at what Obama did, he looks at the progressives, how they push back against nominees like Alito.
[00:10:25.700 --> 00:10:29.982]  He says, let's review the history, and it is a quite long history that he goes into.
[00:10:30.342 --> 00:10:31.922]  But then he finishes up with this.
[00:10:31.982 --> 00:10:32.923]  This is his conclusion.
[00:10:32.963 --> 00:10:33.903]  A final point, he said.
[00:10:34.503 --> 00:10:40.306]  If it were up to me, there would be no obstruction of any qualified nominee to the court.
[00:10:40.826 --> 00:10:48.130]  I have maintained this position for more than 15 years, but I'm not holding my breath that that is going to happen.
[00:10:48.150 --> 00:10:49.551]  And of course, it didn't happen.
[00:10:49.851 --> 00:10:59.836]  They had announced that they were going to obstruct it all along, and we have seen as they go through these different, as they point out, this is not going to alter the balance of the court.
[00:11:00.953 --> 00:11:16.463]  But we see, as we have these justices come forward, many times they've said, we need to have, this is a female judge, we need to have a female replacement, or this is a black judge, or this is a Hispanic judge, and we need to keep that seat for that particular identity politics.
[00:11:18.035 --> 00:11:28.243]  We should have maybe seats for ideologues, but even if we do go with ideology rather than identity, that doesn't change anything to replace Scalia with Gorsuch.
[00:11:28.403 --> 00:11:31.766]  That is the quality of the appointment that Donald Trump has made.
[00:11:31.946 --> 00:11:33.047]  A great quality appointment.
[00:11:33.367 --> 00:11:46.198]  If we go back to 2006, 11 years ago, Gorsuch was confirmed unanimously by a voice vote, and 12 of the 48 current Democrat Senators were in the Senate at that time.
[00:11:46.658 --> 00:11:52.801]  That would put them well over the number that they need, 60, in order to confirm Gorsuch for the Supreme Court.
[00:11:52.921 --> 00:12:03.267]  And yet, we see Ron Wyden, one of those Democrats, saying, Gorsuch represents such a breathtaking retreat from the notion that Americans have fundamental constitutional rights.
[00:12:03.967 --> 00:12:04.228]  Really?
[00:12:04.248 --> 00:12:05.628]  I don't think so.
[00:12:05.648 --> 00:12:07.349]  You know, here's what the problem is right now.
[00:12:08.390 --> 00:12:12.092]  Americans are going through a very painful divorce with the Democrat Party.
[00:12:13.254 --> 00:12:16.257]  And hell hath no fury like a Democrat scorned.
[00:12:16.357 --> 00:12:17.918]  Take a look at Nancy Pelosi.
[00:12:18.419 --> 00:12:27.687]  She comes out with another preposterous statement, saying that Gorsuch is against employees' rights, clean air, clean water, food safety, even autistic children.
[00:12:27.967 --> 00:12:30.169]  She said, elections have ramifications.
[00:12:30.209 --> 00:12:30.750]  Yes, they do.
[00:12:31.190 --> 00:12:36.015]  And you are not willing to accept those ramifications, are you, Nancy Pelosi and Democrats?
[00:12:36.395 --> 00:12:39.598]  She said, here is a living, breathing example of it.
[00:12:40.278 --> 00:13:02.090]  She said the president and his first appointment to the court and hopefully his only appointment I don't think that's gonna be the case Nancy I think there's gonna be at least one maybe three more Has appointed someone who's come down on the side of corporate America versus class action suits on securities fraud He's come down against employers rights clean air clean water food safety safety and medicine and the rest She said it's a very hostile environment
[00:13:02.910 --> 00:13:04.331]  Well, I don't think anybody is swallowing any of that.
[00:13:04.351 --> 00:13:05.711]  And I don't know what she's inhaling.
[00:13:05.771 --> 00:13:07.692]  But let's take a look at some of his positions.
[00:13:23.220 --> 00:13:28.581]  Breitbart points out that he has supported the Second Amendment as an individual right.
[00:13:28.621 --> 00:13:39.224]  And this is very important because if your children are going to a government school, this has been the case for a very long time, they will tell your kids that the Second Amendment, that the militia, is about the National Guard or some nonsense like that.
[00:13:39.264 --> 00:13:41.425]  That it doesn't have anything to do with individual rights.
[00:13:41.465 --> 00:13:44.926]  We've been clawing back at that with some recent Supreme Court decisions.
[00:13:45.626 --> 00:13:47.307]  And of course, he is in line with that.
