[00:00:12.503 --> 00:00:14.344]  Welcome to the Info Wars Nightly News.
[00:00:14.404 --> 00:00:16.125]  It is Thursday, March 9th, 2017.
[00:00:16.205 --> 00:00:19.387]  I'm Leigh Ann McAdoo and here's what's coming up tonight.
[00:00:22.328 --> 00:00:31.593]  Tonight, pressure moving in the other direction as the Vault 7 leaks and other intel moves the discussion to the Obama White House on alleged wiretapping.
[00:00:32.514 --> 00:00:40.218]  Also, will the establishment use the recent revelation of big data to scare the people of planet Earth into a world government?
[00:00:41.553 --> 00:00:51.599]  Plus, do the deep state and CIA digital hacking grid structure pose a threat to the citizens of the United States in the form of foreign hacking into their personal devices?
[00:00:52.200 --> 00:01:00.145]  And then, the ultimate cringe fest, as we take a look at the ultimate compilation of social justice warrior Trump protesters.
[00:01:00.625 --> 00:01:02.927]  You couldn't help interrupting, could you?
[00:01:03.367 --> 00:01:07.370]  I have heart failure, I don't have children, I f***ing lost faith!
[00:01:07.410 --> 00:01:09.331]  You added nothing to that conversation.
[00:01:11.420 --> 00:01:14.912]  All that and more tonight on the InfoWars Nightly News.
[00:01:30.347 --> 00:01:36.952]  In case you haven't heard, InfoWars has become the most influential media outlet in America.
[00:01:37.052 --> 00:01:44.718]  We're making freedom go viral, and now we are proud to announce a new weapon in the epic battle against the globalists.
[00:01:45.039 --> 00:01:55.747]  InfoWars Prime, where you can watch live high-definition feeds of the Alex Jones Show, plus exclusive insider videos from the InfoWars crew and behind-the-scenes
[00:01:56.007 --> 00:01:56.387]  Action!
[00:01:56.427 --> 00:02:00.388]  Go to InfoWars.com forward slash app and download today.
[00:02:00.668 --> 00:02:04.870]  InfoWars Prime is available right now for your iPhone or Android.
[00:02:04.990 --> 00:02:09.511]  You will have access to exclusive videos that you can't see anywhere else.
[00:02:09.891 --> 00:02:15.173]  That means live coverage of events and breaking news on location as it happens.
[00:02:15.433 --> 00:02:22.343]  You can also take advantage of amazing deals from the InfoWars store that are only available for InfoWars Prime subscribers.
[00:02:22.503 --> 00:02:26.589]  That's InfoWars Prime at InfoWars.com forward slash app.
[00:02:26.850 --> 00:02:29.493]  If you can hear my voice, you are the resistance.
[00:03:03.973 --> 00:03:13.764]  When it comes to the latest data dump by WikiLeaks, former Democratic Representative Dennis Kucinich says that Vault 7 reveals America is sliding towards totalitarianism.
[00:03:14.644 --> 00:03:16.987]  He said that this demonstrates the U.S.
[00:03:17.027 --> 00:03:19.209]  is sliding down a slippery slope.
[00:03:19.930 --> 00:03:28.493]  And the former congressman suggests the wholesale gathering of the nation's haystack of information by the government has eroded the concept of a right to privacy.
[00:03:28.873 --> 00:03:32.414]  Now take note all of you wild Antifa people out there.
[00:03:32.875 --> 00:03:37.536]  This all happened and it was empowered by the Obama administration.
[00:03:37.576 --> 00:03:45.219]  Now no doubt this deep state has been growing in power throughout the decades but President Obama really ramped up
[00:03:45.399 --> 00:03:45.879]  I think so.
[00:04:08.132 --> 00:04:08.592]  We're good to go.
[00:04:36.678 --> 00:04:42.040]  To having their information hacked by hackers because the CIA utilized these backdoors.
[00:04:42.520 --> 00:04:44.021]  And this is very true.
[00:04:44.221 --> 00:04:53.445]  It's so important that Alphabet's Eric Schmidt is saying that big data is so powerful, nation-states will fight over it.
[00:04:53.525 --> 00:04:57.506]  And he says he who has the data can do the analytics and the algorithms.
[00:04:57.786 --> 00:05:01.708]  The scale that we talk about will provide huge nation-state benefits.
[00:05:02.108 --> 00:05:06.290]  In terms of global companies and benefits for their citizens and so on.
[00:05:06.350 --> 00:05:21.416]  So he knows that's why they are just going out of their way to collect all of the private data they can on all these citizens with Google, with now Alphabet, these other companies because they know that big data is extremely powerful and they want to own as much of it as possible.
