[00:00:07.742 --> 00:00:08.626]  Another time.
[00:00:08.626 --> 00:00:10.152]  In the Age of Wonder.
[00:00:24.469 --> 00:00:35.833]  I've said this many times and it's always been true, but as the world quickens, as time and space and technological developments
[00:00:53.169 --> 00:01:03.732]  Accelerate as populations explode, as knowledge increases, but also ignorance, for every action there's an opposite and equal reaction.
[00:01:03.732 --> 00:01:15.956]  As time and space piles on, it is harder and harder to even try to scratch the surface of the incredible developments, but somehow I've got to do it today.
[00:01:15.956 --> 00:01:20.457]  Because each story has other stories that are corollary that give you the big picture.
[00:01:22.981 --> 00:01:24.941]  We have Hurricane Harvey hysteria.
[00:01:24.941 --> 00:01:33.983]  Customers all over Texas fight a store sellout of water and other key staples.
[00:01:33.983 --> 00:01:37.444]  Why do people never have the basic staples, most folks?
[00:01:37.444 --> 00:01:41.285]  And then images from space are just unbelievable.
[00:01:41.285 --> 00:01:43.405]  Like I said, it's from the International Space Station.
[00:01:43.405 --> 00:01:49.387]  If you're watching us on television, we are a radio slash television transmission.
[00:01:49.387 --> 00:01:51.147]  Infowars.com forward slash show.
[00:01:52.554 --> 00:01:54.694]  But our report is up on DrudgeReport.com.
[00:01:54.694 --> 00:01:57.435]  Hurricane Harvey Hysteria.
[00:01:57.435 --> 00:02:00.756]  And they're calling it the perfect storm.
[00:02:00.756 --> 00:02:02.256]  No pun intended.
[00:02:02.256 --> 00:02:04.477]  Harvey to make landfall as Cat 3 Hurricane.
[00:02:04.477 --> 00:02:06.217]  40 inches of rain.
[00:02:06.217 --> 00:02:08.818]  Latest updates.
[00:02:08.818 --> 00:02:11.518]  I'm looking to send some reporters down there right now.
[00:02:11.518 --> 00:02:14.919]  Worst case scenario looms for Texas with Hurricane Harvey.
[00:02:16.946 --> 00:02:17.946]  Storm of the decade.
[00:02:17.946 --> 00:02:19.427]  Perfect conditions.
[00:02:19.427 --> 00:02:21.848]  Could make Harvey the strongest hurricane to hit the U.S.
[00:02:21.848 --> 00:02:24.309]  in 12 years, as Texans are told.
[00:02:24.309 --> 00:02:31.512]  Get out of Dodge before 130 mile an hour wind and rain cause alligator infested floods.
[00:02:31.512 --> 00:02:32.733]  It's actually true.
[00:02:32.733 --> 00:02:36.214]  They took the ban on hunting alligators off of 10 years ago or something.
[00:02:36.214 --> 00:02:38.556]  They were like running around like roaches.
[00:02:38.556 --> 00:02:40.676]  My son killed three just a few years ago in one hunt.
[00:02:40.676 --> 00:02:44.498]  One of them 10 feet long.
[00:02:44.498 --> 00:02:45.999]  That's bigger gators in Louisiana now.
[00:02:47.679 --> 00:02:51.260]  So Hurricane Harvey could be a flooding disaster, a storm stalls over Texas.
[00:02:51.260 --> 00:02:53.020]  They get three inches in Houston, they flood.
[00:02:53.020 --> 00:02:57.481]  They're talking 40 inches and it's building, it's accelerating.
[00:02:57.481 --> 00:03:01.842]  And it's set to start hitting tonight.
[00:03:01.842 --> 00:03:03.162]  This thing kind of crept up on us.
[00:03:03.162 --> 00:03:06.043]  It was first, it's a tropical storm in Category 1.
[00:03:06.043 --> 00:03:07.763]  We're not sure, you know, sure.
[00:03:07.763 --> 00:03:11.104]  Category 2, Category 3 accelerating right towards
[00:03:12.691 --> 00:03:15.934]  Texas going to hit around Corpus Christi, Port Aransas.
[00:03:15.934 --> 00:03:19.276]  They haven't been hit in decades there by a bad hurricane.
[00:03:19.276 --> 00:03:22.959]  And then turn up the coast and rampage up through Houston.
[00:03:22.959 --> 00:03:27.823]  But part of it hits Austin and San Antonio, but that's the left flank.
[00:03:27.823 --> 00:03:36.911]  If it keeps its track, it is going to devastate Houston and the entire area north of Corpus Christi and Port Aransas.
[00:03:36.911 --> 00:03:38.392]  One of my favorite fishing spots down there.
[00:03:39.429 --> 00:03:41.590]  So it is barreling in, folks.
[00:03:41.590 --> 00:03:43.971]  Our prayers are with all the folks that are down there.
[00:03:43.971 --> 00:03:47.873]  Now that said, there's the other big giant news.
[00:03:47.873 --> 00:03:56.257]  We broke back on August 4th with Jack Posobiec, who'd been in meetings with folks from the White House who were told, you don't visit InfoWars.com.
[00:03:58.851 --> 00:04:03.513]  And then of course the media totally ignored that, even though it came directly from high-level sources.
[00:04:03.513 --> 00:04:07.555]  Well, it's now in USA Today, Politico broke it.
[00:04:07.555 --> 00:04:13.418]  Oh my gosh, the exact words we said have now been confirmed by basically...
[00:04:14.335 --> 00:04:15.496]  General Kelly.
[00:04:15.496 --> 00:04:19.100]  And his argument is, well, he's keeping all news from the president.
[00:04:19.100 --> 00:04:22.464]  But those sites are, I guess, some of his particular favorites.
[00:04:22.464 --> 00:04:24.046]  So the people can't just do walk-ins.
[00:04:24.046 --> 00:04:28.611]  And they're real worried about his son, Donald Jr., bringing him stuff.
[00:04:28.611 --> 00:04:29.792]  And then the media tries to spin it.
