[00:00:07.495 --> 00:00:09.775]  Waging war on corruption.
[00:00:10.175 --> 00:00:16.897]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:22.778 --> 00:00:34.880]  Ladies and gentlemen, Cy Hirst, two-time Pulitzer Prize winner, a man credited more than anybody of ending the Vietnam War, even more so than Walter Cronkite or Mr. Ellsberg,
[00:00:35.971 --> 00:00:41.300]  Cy Hirsch, two-time Pulitzer Prize winner, has come out.
[00:00:42.501 --> 00:00:51.903]  In a shock bombshell interview that's on Infowars.com, there's a total blackout on this news, and said he talked directly to intelligence sources.
[00:00:51.923 --> 00:01:00.344]  We know one of them was the British ambassador, as well as folks at the highest levels of US intel, that Seth Rich was the leaker.
[00:01:00.804 --> 00:01:02.425]  It was not a Russian hack.
[00:01:03.185 --> 00:01:04.165]  That's Cy Hirsch.
[00:01:04.625 --> 00:01:06.405]  There's a total blackout on this news.
[00:01:06.945 --> 00:01:09.406]  We're going to break it in the next segment.
[00:01:09.966 --> 00:01:10.627]  This is huge.
[00:01:11.347 --> 00:01:16.871]  Meanwhile, Google, YouTube and others have launched massive censorship that started two days ago.
[00:01:17.592 --> 00:01:23.176]  Google and YouTube have banned a professor who refused to use gender-neutral pronouns in Canada.
[00:01:23.616 --> 00:01:24.277]  It's happening.
[00:01:24.517 --> 00:01:25.718]  Here's Paul Watson reporting.
[00:01:26.300 --> 00:01:31.221]  YouTube says it will fight extremist content by censoring controversial videos.
[00:01:31.261 --> 00:01:34.222]  Who are they teaming up with to oversee this new program?
[00:01:34.302 --> 00:01:38.183]  Must be someone non-partisan, trustworthy, credible.
[00:01:38.263 --> 00:01:43.284]  A group that clearly knows the difference between free speech and violent hate speech.
[00:01:43.624 --> 00:01:43.884]  Right?
[00:01:44.064 --> 00:01:46.845]  It's the Anti-Defamation League, the ADL.
[00:01:47.165 --> 00:01:47.225]  Oh!
[00:01:48.536 --> 00:01:53.742]  But wait, I mean, surely YouTube wouldn't just hand power to those who would easily abuse it?
[00:01:53.802 --> 00:01:55.544]  This is a serious organization.
[00:01:55.604 --> 00:01:59.228]  The ADL's bar for hate speech must be pretty high, right?
[00:01:59.308 --> 00:01:59.909]  I mean, what is it?
[00:02:00.049 --> 00:02:01.430]  Advocating for genocide?
[00:02:01.450 --> 00:02:03.232]  Calling for violence against Jews?
[00:02:03.372 --> 00:02:06.316]  Oh, they literally think a cartoon frog is hate speech.
[00:02:06.676 --> 00:02:08.096]  That's how low the bar is.
[00:02:08.136 --> 00:02:19.140]  The ADL put the grandson of a survivor of the Nazi occupation on a list alongside actual neo-Nazis and white supremacists, simply because he's a conservative.
[00:02:19.160 --> 00:02:23.741]  They also listed a bunch of other conservatives next to actual neo-Nazis.
[00:02:23.881 --> 00:02:29.883]  Oh, but they're the impartial, rational, neutral outfit that's now going to thwart police YouTube.
[00:02:30.043 --> 00:02:31.564]  They're not partisan at all!
[00:02:31.704 --> 00:02:43.971]  So a group whose entire existence and millions of dollars in funding every year relies on fanning hysteria over hate speech is now being given the power by YouTube to patrol hate speech.
[00:02:44.152 --> 00:02:46.633]  Gee, what could possibly go wrong?
[00:02:46.753 --> 00:02:49.495]  Who else is working with YouTube to patrol hate speech?
[00:02:49.595 --> 00:02:56.119]  The Institute for Strategic Dialogue, a group that runs a program on far-right extremism in coordination with
[00:02:56.599 --> 00:02:57.660]  The Swedish government.
[00:02:57.800 --> 00:03:06.246]  Oh, you mean the same Swedish government that put 14,000 people, most of them conservative commentators, on a Twitter hate speech block list.
[00:03:06.346 --> 00:03:14.793]  The same Swedish government that put PewDiePie, a dude whose content consists mostly of him playing video games, on that same hate speech block list.
[00:03:14.913 --> 00:03:20.417]  A government that thinks posting factual statistics about the link between migrants and violent crime
[00:03:20.777 --> 00:03:22.139]  Is an act of hate speech?
[00:03:22.239 --> 00:03:24.402]  What could possibly go wrong?
[00:03:24.622 --> 00:03:28.406]  Who else gets to decide what is and isn't hate speech on YouTube?
[00:03:28.547 --> 00:03:34.294]  The No Hate Speech Movement, a group that says websites that criticize Islam are hate speech.
[00:03:34.414 --> 00:03:40.341]  A group that says the President of the United States should be banned from Twitter for hate speech.
[00:03:40.501 --> 00:03:42.903]  Yeah, that bar still seems pretty low, doesn't it?
[00:03:42.963 --> 00:03:47.346]  But hey, I guess YouTube are just following the example of Twitter and Facebook.
[00:03:47.406 --> 00:03:55.511]  When Twitter wanted to crack down on abuse and harassment, they teamed up with feminists who think telling them they suck is abuse and harassment.
[00:03:55.611 --> 00:03:56.752]  Everything is sexist.
[00:03:57.012 --> 00:03:57.953]  Everything is racist.
[00:03:58.153 --> 00:03:59.114]  Everything is homophobic.
[00:03:59.434 --> 00:04:02.037]  Facebook wanted to crack down on fake news.
[00:04:02.237 --> 00:04:11.348]  They teamed up with Snopes, a credible, independent outlet that isn't left of Stalin and doesn't embezzle money to spend on luxury vacations and prostitutes.
[00:04:11.488 --> 00:04:16.474]  Oh, but don't worry, because YouTube says they're not going to censor controversial videos.
[00:04:16.494 --> 00:04:20.119]  They're just going to hide them, make sure they can't appear in the recommended bar.
[00:04:20.359 --> 00:04:22.040]  Be liked or commented on.
[00:04:22.060 --> 00:04:23.761]  But they're not censoring them, honest.
[00:04:23.881 --> 00:04:24.661]  Let's get real.
[00:04:24.741 --> 00:04:29.063]  In the context of politics, the right has completely taken over YouTube.
[00:04:29.283 --> 00:04:31.764]  Even Vice.com had to admit it.
[00:04:31.804 --> 00:04:34.006]  The adpocalypse was only the beginning.
[00:04:34.246 --> 00:04:40.008]  Unless we bitch and moan about this over and over again, this is the start of the purge.
[00:04:40.088 --> 00:04:43.370]  And even if you're not a conservative, you should still be alarmed.
[00:04:43.550 --> 00:04:47.372]  They're going after anyone who isn't advertiser friendly.
[00:04:47.392 --> 00:04:54.857]  Which is basically anyone outside the limits of the narrow consensus of opinion that they subjectively define.
[00:04:54.957 --> 00:04:59.139]  Maybe we have allies within the company that can put a stop to this.
[00:04:59.340 --> 00:05:03.122]  But unless we fight back, this is the beginning of the end.
[00:05:03.422 --> 00:05:10.327]  Every morning before I start writing or shooting a video, I take two capsules of Brain Force for a sustainable burst of energy.
[00:05:10.587 --> 00:05:14.810]  This is, without question, the most powerful nootropic I've ever taken.
[00:05:15.210 --> 00:05:20.313]  And it comes without any of the crashes or the jitters associated with energy drinks.
[00:05:20.373 --> 00:05:23.375]  It's additive-free, nothing artificial.
[00:05:23.596 --> 00:05:24.816]  It's Brain Force Plus.
[00:05:25.257 --> 00:05:32.722]  Read thousands of five-star independent reviews right now and get your Brain Force Plus at InfoWarsLife.com.
[00:05:33.542 --> 00:05:45.672]  Since the time of Hippocrates, the father of modern western medicine, in 420 BC, the ancients have marveled at the power of whey protein from milk and cheese.
[00:05:45.853 --> 00:05:53.219]  That's why I'm so proud to announce the latest addition to the InfoWars Life family, true whey protein from InfoWars Life.
