[00:00:09.831 --> 00:00:11.472]  This is our land.
[00:00:11.472 --> 00:00:16.173]  These are our people.
[00:00:16.173 --> 00:00:18.553]  The workers.
[00:00:18.553 --> 00:00:19.874]  The strivers.
[00:00:21.655 --> 00:00:24.737]  The answer to 1984 is 1776.
[00:00:49.598 --> 00:00:52.069]  You're listening to The Alex Jones Show!
[00:00:58.872 --> 00:01:00.013]  4 to 6 p.m.
[00:01:00.013 --> 00:01:01.074]  Central.
[00:01:01.074 --> 00:01:08.380]  That means I'm out here in Seattle time or total eclipse of the Sun time at 2 to 4 p.m.
[00:01:08.380 --> 00:01:11.262]  Pacific, 3 to 5 mountain time.
[00:01:11.262 --> 00:01:23.312]  David Knight's gonna be riding a shotgun there back in the main big professional studio in the old ATX and tomorrow morning he's gonna be a busy beaver along with many of the great crew of InfoWars we've expanded thanks to your support.
[00:01:23.752 --> 00:01:33.079]  We're going to be launching a syndicated radio transmission that already has new stations ready to pick it up this week, and everybody can watch it and listen to it for free at InfoWars.com forward slash show.
[00:01:33.079 --> 00:01:36.041]  It'll have its own feed, its own archive, its own podcast.
[00:01:36.041 --> 00:01:38.343]  We're going to get that podcast up tomorrow.
[00:01:38.343 --> 00:01:38.983]  Watch that tomorrow.
[00:01:38.983 --> 00:01:44.047]  If the show's over, you can subscribe to that at InfoWars.com forward slash show.
[00:01:44.047 --> 00:01:48.130]  And then in about two weeks, we're going to launch a show with Roger Stone, Mike Cernovich, and Owen Schroer.
[00:01:48.130 --> 00:01:52.072]  That'll be the War Room, three o'clock central, four o'clock eastern.
[00:01:52.893 --> 00:01:57.356]  Maybe 1 o'clock Pacific, 2 o'clock Mountain Time.
[00:01:57.356 --> 00:02:08.423]  But again, those will be live so that we have live shows throughout the day as things break, as things unfold, as press conferences happen, as eclipses take place, as we have certain guests on so you can call in.
[00:02:08.423 --> 00:02:09.104]  Really excited.
[00:02:09.104 --> 00:02:13.947]  I intend in the next year or so to basically be 18 hours a day live.
[00:02:13.947 --> 00:02:18.250]  I'd like to be live from about midnight till about 6 a.m.
[00:02:20.365 --> 00:02:28.752]  Midnight at 6am, we'll leave that purview to Coast to Coast AM, but we are going to put these broadcasts out there because if we build it, you certainly have come.
[00:02:28.752 --> 00:02:33.656]  Of course, the big debate will be today, why am I not wearing a shirt?
[00:02:33.656 --> 00:02:35.017]  It'll be all over newspapers tonight.
[00:02:35.017 --> 00:02:38.379]  It'll be in probably a thousand publications tomorrow.
[00:02:38.379 --> 00:02:43.784]  And that's because I can wear a pair of sunglasses on air if I have a sty, which I had last year.
[00:02:45.080 --> 00:02:46.161]  And it was a big conspiracy.
[00:02:46.161 --> 00:02:49.303]  We had like double the viewers instead of a couple million viewers on YouTube.
[00:02:49.303 --> 00:02:52.546]  It was like four million one day just because I was wearing sunglasses.
[00:02:52.546 --> 00:02:55.508]  And I said, hey, I've got an infected eye.
[00:02:55.508 --> 00:02:56.529]  It's closed.
[00:02:56.529 --> 00:02:57.890]  It's weeping.
[00:02:57.890 --> 00:02:59.030]  It's dripping.
[00:02:59.030 --> 00:02:59.811]  It's infected.
[00:02:59.811 --> 00:03:01.632]  And I got this on.
[00:03:01.632 --> 00:03:04.795]  Now, I'm not missing a shirt here because I have any problems.
[00:03:04.795 --> 00:03:09.258]  I'm sitting in my hotel room, getting ready to check out and fly out today back to Austin.
