[00:00:01.877 --> 00:00:07.322]  You're listening to The Alex Jones Show.
[00:00:07.322 --> 00:00:08.323]  Another world.
[00:00:08.323 --> 00:00:09.324]  Another time.
[00:00:09.324 --> 00:00:10.345]  In the age of wonder.
[00:00:34.360 --> 00:00:38.985]  If you are receiving this transmission, you are the resistance.
[00:00:38.985 --> 00:00:45.092]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:00:48.780 --> 00:00:52.281]  It is Friday, July 28, 2017.
[00:00:52.281 --> 00:00:55.263]  I'm Paul Joseph Watson in for Alex Jones.
[00:00:55.263 --> 00:00:56.343]  Huge show today.
[00:00:56.343 --> 00:00:59.745]  We've got Tommy Robinson coming up in the second hour.
[00:00:59.745 --> 00:01:06.087]  He's got a new book out telling people what's really in the Quran, the truth about the religion of peace.
[00:01:06.087 --> 00:01:07.948]  That's going to be interesting in the second hour.
[00:01:08.720 --> 00:01:10.823]  For the time being, we've got big breaking news.
[00:01:10.823 --> 00:01:14.389]  Terror in Germany has struck again.
[00:01:14.389 --> 00:01:21.700]  This isn't really being reported by many of the big news agencies because they'd rather just gloss over it and pretend everything's hunky-dory.
[00:01:22.691 --> 00:01:26.632]  In Merkelland, as she imports millions more refugees.
[00:01:26.632 --> 00:01:30.234]  One killed, multiple injured in Hamburg knife attack.
[00:01:30.234 --> 00:01:31.994]  That is out of RT.
[00:01:31.994 --> 00:01:39.017]  One person has been killed and several others injured in a bloody knife attack at a supermarket in Hamburg, Germany.
[00:01:39.017 --> 00:01:41.638]  According to local police, the suspect has been arrested.
[00:01:41.638 --> 00:01:46.059]  However, officials have declined to comment on a possible motive.
[00:01:46.059 --> 00:01:47.280]  Oh gee, I wonder.
[00:01:48.186 --> 00:02:00.555]  No possible motive suspected here, despite the fact that the eyewitnesses on the scene said that this individual shouted, you guessed it, ala Akbar during the rampage.
[00:02:00.555 --> 00:02:04.818]  So we have at least one person dead right now, several injured.
[00:02:04.818 --> 00:02:07.960]  It looks like the suspect has thankfully been apprehended.
[00:02:07.960 --> 00:02:08.200]  It looks
[00:02:08.200 --> 00:02:19.649]  Looks like yet another Islamic terror attack in Merkel-land, the land of 2 million plus refugees, economic migrants in reality, since 2015.
