[00:00:04.085 --> 00:00:04.605]  We've got it.
[00:00:04.645 --> 00:00:08.848]  This transmission is coming to you.
[00:00:08.968 --> 00:00:11.089]  Ladies and gentlemen.
[00:00:11.169 --> 00:00:13.270]  Waging war on corruption.
[00:00:15.552 --> 00:00:21.175]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:23.777 --> 00:00:37.503]  When you come face-to-face with the fact that we're dealing with organized evil, with these mega corporations, and that everything they preach about all day, being loving, being good, caring about humanity, is a cover for who they really are.
[00:00:38.124 --> 00:00:41.886]  Apple, Google, Amazon, Microsoft.
[00:00:42.806 --> 00:00:46.028]  Truly wicked, wicked organizations.
[00:00:46.088 --> 00:00:46.948]  It's all coming up.
[00:00:49.689 --> 00:00:50.650]  Top of drugs report.
[00:00:51.696 --> 00:00:55.499]  As it said best, Amazon warehouse of hell.
[00:00:55.959 --> 00:00:58.080]  Robots replace exhausted humans.
[00:00:59.061 --> 00:01:02.603]  They make you package one package per nine seconds or you're fired.
[00:01:02.944 --> 00:01:06.346]  Total enslavement like a Chinese slave factory.
[00:01:06.846 --> 00:01:08.387]  But it's okay because it's liberal.
[00:01:08.407 --> 00:01:13.030]  When Apple has suicide nets at its factory and forced drugging, it's liberal.
[00:01:13.631 --> 00:01:16.893]  But first let's go to John Bowne's report on the New World Order.
[00:01:17.901 --> 00:01:35.119]  Even though Nancy Pelosi is defending fallen Representative John Conyers after his sexual misconduct came roaring out of the closet, and even though embarrassed Senator Al Franken refuses to resign, and even though the sexual misconduct in Congress is so massive,
[00:01:35.279 --> 00:01:40.663]  It is under sealed confidentiality agreements that have cost taxpayers $17 million.
[00:01:40.984 --> 00:01:55.975]  All of the Sunday morning talk shows went after the commander-in-chief, using the allegations surrounding congressional candidate Roy Moore to lump Trump into the fray while simultaneously protecting their corporacratic comrades.
[00:01:56.336 --> 00:01:58.878]  George Stephanopoulos starts right now.
[00:01:59.562 --> 00:02:06.587]  Representative Jackie Speier has said she knows of two other members of Congress who have engaged in sexual harassment.
[00:02:06.947 --> 00:02:10.990]  Still unnamed, and as of now, facing no consequences.
[00:02:11.531 --> 00:02:17.715]  And then there's Alabama Senate candidate Roy Moore, accused of sexual misconduct against minors.
[00:02:18.115 --> 00:02:25.461]  President Donald Trump defending him this week, saying that Moore denies it, and implying that his denial is enough.
[00:02:26.081 --> 00:02:40.065]  But according to a report just out overnight in the New York Times, that defense of Moore infuriating Trump's Republican colleagues on Capitol Hill, who had been trying to distance the party from those misconduct allegations.
[00:02:41.721 --> 00:03:00.252]  Today on Face the Nation, there is maybe a split, maybe there's not a split, but there appears to be a split between the president, who doesn't believe Roy Moore's accusers, and Senate Republicans, including McConnell and Mike Lee, other senators who've looked at the evidence, looked at the responses from Roy Moore, and said, we believe the accusers.
[00:03:00.653 --> 00:03:02.073]  Do you think that split matters?
