[00:00:13.151 --> 00:00:16.192]  Welcome to this live edition of the InfoWars Nightly News.
[00:00:16.252 --> 00:00:16.992]  I'm David Knight.
[00:00:17.032 --> 00:00:19.133]  It's Wednesday, February the 22nd, 2017.
[00:00:19.333 --> 00:00:21.714]  Here are our top stories.
[00:00:24.014 --> 00:00:27.515]  Tonight on the InfoWars Nightly News.
[00:00:29.256 --> 00:00:35.658]  InfoWars has been banned from one of the world's largest advertising platforms for its dangerous political rhetoric.
[00:00:36.545 --> 00:00:48.731]  In an unprecedented attack on the Liberty Movement and free speech, this ban is a critical blow to the pumping heart of the Info War, as we are an independent media organization, funded by you, the people.
[00:00:49.952 --> 00:00:57.516]  We are in the midst of the Defense of Liberty 13-hour special broadcast, ending with a live AMA with Alex Jones.
[00:00:58.956 --> 00:01:02.098]  All this and more on the Info War's Nightly News.
[00:01:05.672 --> 00:01:15.243]  Did you know that only six corporations control 90% of what millions of Americans see, hear, and read every single day?
[00:01:15.704 --> 00:01:17.466]  It's the illusion of choice.
[00:01:17.626 --> 00:01:18.166]  Think about it.
[00:01:18.387 --> 00:01:24.193]  The mainstream media is owned by only a handful of megacorporations with vested interests.
[00:01:24.414 --> 00:01:25.315]  But on the other hand,
[00:01:25.775 --> 00:01:29.996]  The Internet is an interconnected network of billions of sources.
[00:01:30.056 --> 00:01:39.717]  So you can research information for yourself from multiple sources, or you can blindly accept what you hear or read in the mainstream media.
[00:01:40.398 --> 00:01:47.019]  In case you haven't heard, InfoWars has become the most influential media outlet in America.
[00:01:47.119 --> 00:01:49.279]  We're making freedom go viral.
[00:01:49.519 --> 00:01:54.740]  And now we are proud to announce a new weapon in the epic battle against the globalists.
[00:01:55.080 --> 00:02:06.431]  InfoWars Prime, where you can watch live high-definition feeds of the Alex Jones Show, plus exclusive insider videos from the InfoWars crew and behind-the-scenes action.
[00:02:06.512 --> 00:02:10.476]  Go to InfoWars.com forward slash app and download today.
[00:02:10.736 --> 00:02:12.778]  InfoWars Prime is available right now.
[00:02:13.018 --> 00:02:19.584]  For your iPhone or Android, you will have access to exclusive videos that you can't see anywhere else.
[00:02:19.944 --> 00:02:25.329]  That means live coverage of events and breaking news on location as it happens.
[00:02:25.509 --> 00:02:32.415]  You can also take advantage of amazing deals from the InfoWars store that are only available for InfoWars Prime subscribers.
[00:02:32.575 --> 00:02:36.659]  That's InfoWars Prime at InfoWars.com forward slash app.
[00:02:36.899 --> 00:02:39.561]  If you can hear my voice, you are the resistance.
[00:03:22.225 --> 00:03:24.286]  Welcome back to the InfoWars Nightly News.
[00:03:24.326 --> 00:03:26.887]  Tonight we have a live and free edition.
[00:03:26.907 --> 00:03:30.547]  Of course, it's a part of our 13-hour broadcast that we set up yesterday.
[00:03:31.068 --> 00:03:37.029]  We learned that a Google surrogate, AdRoll, was going to remove us from being able to advertise.
[00:03:37.069 --> 00:03:40.370]  We try to fund ourselves by offering direct products.
[00:03:40.410 --> 00:03:45.571]  We have separate websites that do that, and yet they are saying they're going to delist us because we are
[00:03:45.691 --> 00:03:51.976]  Tonight, as an example of the kind of censorship that we're getting, last night I had a report about the Swedish riots, and you remember the chronology that we had last
[00:04:13.072 --> 00:04:21.079]  Saturday we had Donald Trump talking about the fact that the Swedish migrants were causing all kinds of terrorizing attacks.
[00:04:21.419 --> 00:04:22.640]  Okay, call that a terror attack.
[00:04:22.701 --> 00:04:31.949]  Okay, technically what he's talking about is how the Swedish residents have been terrorized by these migrants that have come in there at a per capita rate that is far higher than any other country.
[00:04:32.569 --> 00:04:36.532]  They have a crime rate now in some of the cities where they have the highest concentration.
[00:04:36.552 --> 00:04:39.474]  It's three times what it is in a typical European capital.
[00:04:39.554 --> 00:04:40.875]  I reported on this last night.
[00:04:40.935 --> 00:04:56.547]  I reported on the fact that the Swedish government was covering this up, that they were censoring this, that they were threatening the officers who talked about this, the police officers who said that we are told that we can't talk about this, recrimination is made against us.
[00:04:56.567 --> 00:04:57.028]  Well, guess what?
[00:04:57.648 --> 00:05:03.570]  That report, on Google, was then listed as an age-restricted report.
[00:05:04.230 --> 00:05:07.892]  Now, there's nothing in this report that is rated R, and we're going to show you.
[00:05:07.912 --> 00:05:10.432]  There you see, that's what you get when you try to play that report.
[00:05:10.512 --> 00:05:14.054]  It's age-restricted, as if this is some kind of pornography or something.
[00:05:14.114 --> 00:05:14.574]  No, it's not.
[00:05:15.214 --> 00:05:17.256]  It's a report about the violence that happened there.
[00:05:17.276 --> 00:05:29.946]  And of course, this was on Monday night after the media, and especially all the late night comedians, were mocking Donald Trump all through the weekend, all on Monday, and then we have this massive riot.
[00:05:30.286 --> 00:05:32.588]  And then they take down my report about it.
[00:05:32.989 --> 00:05:35.431]  Censorship of a report on censorship.
[00:05:35.991 --> 00:05:38.932]  Spinning the news, when we talk about how they are spinning the news.
[00:05:38.972 --> 00:05:40.012]  That's the way they do this.
[00:05:40.532 --> 00:05:59.337]  Now today we've seen more evidence of this as you've heard us talk about this on Morning Joe, Mika Brzezinski, who of course is there as the daughter of Zbigniew Brzezinski, the guy who's going to bring us the technocratic tyranny that he has worked on creating the Trilateral Commission.
[00:05:59.997 --> 00:06:03.018]  And that's what we have seen with the globalists follow that pattern.
[00:06:03.638 --> 00:06:07.899]  They came up with a trade treaty that was going to unify the three blocks.
[00:06:08.120 --> 00:06:10.780]  North America, Europe, and Asia.
[00:06:11.321 --> 00:06:13.821]  And of course they were going to do that economically and then politically.
[00:06:13.861 --> 00:06:15.122]  We know what this pattern is.
[00:06:15.162 --> 00:06:16.482]  We've talked about what this pattern is.
[00:06:16.522 --> 00:06:19.583]  That's why Trump's election is so important.
[00:06:19.603 --> 00:06:25.325]  But what she said was, going full Ministry of Truth, our job is to control exactly what people say.
[00:06:25.425 --> 00:06:31.347]  She said Trump could have undermined the messaging so much that he can actually control what people think.
[00:06:31.407 --> 00:06:32.608]  And that is our job.
[00:06:33.348 --> 00:06:40.410]  See, they see themselves as not only a branch of the government, but they need to tell you what to think.
[00:06:40.430 --> 00:06:44.531]  See, here at InfoWars, we don't think our job is to control what you think.
[00:06:45.251 --> 00:06:47.152]  Our job is to get you to think.
[00:06:47.712 --> 00:06:50.493]  Our job is to get you to question authority.
[00:06:50.793 --> 00:06:55.114]  Don't believe something because it's told to you by Mika Brzezinski or by CNN.
[00:06:55.154 --> 00:06:56.515]  And of course, tomorrow,
[00:06:57.555 --> 00:06:59.276]  I think it's tomorrow that it's going to be coming out.
[00:06:59.336 --> 00:07:01.877]  We have James O'Keefe, Project Veritas.
[00:07:02.337 --> 00:07:03.958]  Yes, it is tomorrow that he's going to be coming out.
[00:07:04.398 --> 00:07:10.400]  And he says that it looks like he's going to have hundreds of hours of newsroom footage of a key network.
[00:07:10.440 --> 00:07:14.322]  And of course, he hinted when he was talking to Sean Hannity that that was going to be CNN.
[00:07:14.762 --> 00:07:22.265]  He said the next 48 hours, Project Veritas, like WikiLeaks, will be releasing hundreds of hours of tape from within the media establishment.
[00:07:22.365 --> 00:07:24.826]  Our next target is, in fact, the media.
[00:07:25.106 --> 00:07:27.267]  And Sean Hannity said, how long have you been working on this?
[00:07:27.307 --> 00:07:33.189]  He said, we've had people on the inside come to us, just like Julian Assange had people come to him.
[00:07:33.429 --> 00:07:39.692]  We've had people, sources, come to us and give us information, and we're going to be releasing it WikiLeaks style this week.
[00:07:39.732 --> 00:07:41.653]  And so he asked, can you give us a hint of the organization?
[00:07:41.673 --> 00:07:44.314]  He said, well, it's one that Trump's been talking about a lot.
[00:07:44.614 --> 00:08:01.739]  You can probably use your imagination and Sean Hannity said that so it's CNN and so we're going to see the people who say they are the most trusted name in news we're going to see they're going to become the most busted name in news and so we're anxious to see how that's going to happen but of course there's also
[00:08:02.802 --> 00:08:09.547]  Not just the censorship of our ads, not just taking down our videos, and of course it's not just my video that got an R-listing.
[00:08:10.007 --> 00:08:13.690]  We've had several videos that Alex Jones talked about.
[00:08:13.850 --> 00:08:20.555]  One in particular, 14 million views just disappeared, flushed down the memory hole by these people who are banding together as a ministry of truth.
[00:08:21.195 --> 00:08:32.242]  This is a very wide process, and of course when they can't get traction with the news media because CNN has lost its credibility when nobody's paying attention to them, they try to make us go away on the internet.
[00:08:32.262 --> 00:08:37.705]  But if that's not even good enough for them, they're now attacking us through the entertainment medium.
[00:08:37.725 --> 00:08:41.808]  And of course we have this story today on InfoWars that Homeland is now
[00:08:42.628 --> 00:08:44.389]  Creating an Alex Jones character.
[00:08:44.869 --> 00:08:49.311]  As Paul Joseph Watson puts it, it's a lame attempt to smear InfoWars.
[00:08:49.331 --> 00:08:55.413]  He said, it's a transparent effort to discredit InfoWars and appease liberals via the medium of entertainment.
[00:08:55.773 --> 00:08:59.895]  This Alex Jones character was introduced early in the season via a voice on the radio.
[00:08:59.975 --> 00:09:04.497]  One of the lead characters, Quinn, is seen obsessively listening to the show.
[00:09:05.077 --> 00:09:11.905]  The same characters become violent, semi-deranged, surviving a biological assassination attempt, and a stroke.
[00:09:11.925 --> 00:09:20.715]  And I'm going to play you a little excerpt of their teaser here and listen to how much this guy sounds like Alex Jones when he's angry.
[00:09:20.735 --> 00:09:25.500]  Do we have the audio?
[00:09:27.362 --> 00:09:27.662]  Boom!
[00:09:27.682 --> 00:09:28.983]  That's what you get!
