[00:00:13.090 --> 00:00:13.991]  You want answers?
[00:00:14.571 --> 00:00:15.612]  Well, so does he.
[00:00:16.413 --> 00:00:21.197]  Live from the InfoWars.com studios, it's Alex Jones.
[00:00:21.337 --> 00:00:24.980]  Folks, I have plugged maybe two hours.
[00:00:34.548 --> 00:00:34.928]  Hi friends.
[00:00:34.968 --> 00:00:37.170]  We're in the middle of the Second American Revolution.
[00:01:04.434 --> 00:01:09.536]  The globalist social engineers are trying to play us off against each other in a big way.
[00:01:09.556 --> 00:01:18.279]  They're trying to play us off according to race, according to region, according to ethnicity, background, sexual orientation, male, female.
[00:01:18.819 --> 00:01:25.441]  And again, it's in the WikiLeaks, it's in the Facebook documents, it's in their own admissions that they're cold-bloodedly doing this.
[00:01:26.241 --> 00:01:27.222]  And it's up to us
[00:01:28.513 --> 00:01:35.395]  To understand they're doing that, and to transcend it, and to educate others about what's happening and what is unfolding.
[00:01:36.815 --> 00:01:57.441]  The divide and conquer we're witnessing is a desperate last-ditch attempt to have this country forget that we were under globalist control, forget that the social compact had been broken, forget that we had been de-industrialized, and to basically grab
[00:01:59.833 --> 00:02:02.736]  Victory from the jaws of defeat.
[00:02:03.496 --> 00:02:05.058]  We've beaten the globalists.
[00:02:05.418 --> 00:02:15.126]  The fact that we're aware of their multinational operation, the fact that we're aware of their private fellow reserve, the fact that the public is becoming more and more informed, that's the end of their operation.
[00:02:15.807 --> 00:02:26.976]  So if we can beat their censorship, if we can reach out to other folks that aren't awake yet, and if we can elect good people to public office, but also rebuild our industrial and cultural base,
[00:02:27.797 --> 00:02:30.839]  America's best days are ahead of us, not behind us.
[00:02:31.499 --> 00:02:37.523]  To quote Merle Haggard, the late great, we don't have to keep rolling downhill like a snowball headed for hell.
[00:02:38.263 --> 00:02:40.444]  With no chance for freedom or the Liberty Bell.
[00:02:40.845 --> 00:02:41.185]  It's here.
