[00:00:14.833 --> 00:00:16.334]  This is our land.
[00:00:19.455 --> 00:00:21.095]  These are our people.
[00:00:22.756 --> 00:00:23.496]  The workers.
[00:00:24.497 --> 00:00:29.701]  The answer to 1984 is 1776.
[00:00:54.581 --> 00:00:57.265]  You're listening to the Alex Jones Show.
[00:00:59.628 --> 00:01:03.214]  First off, we saw how phony all this new Flynn news was on Friday.
[00:01:03.254 --> 00:01:09.863]  We're proven right that it was a fake news story from ABC News that Trump had been caught lying about when he told Flynn to meet with the Russians.
[00:01:11.556 --> 00:01:15.580]  It's all coming up today, but there is an internal war going on that's now going public.
[00:01:15.620 --> 00:01:19.884]  It turns out the FBI and Mueller's been criminally investigated for 11 months.
[00:01:20.465 --> 00:01:24.448]  They are preparing imminent indictments of Trump and others, as I broke first Friday.
[00:01:24.729 --> 00:01:25.649]  That's now in the news.
[00:01:25.910 --> 00:01:27.631]  But first, let's go to this John Bowne report.
[00:01:28.232 --> 00:01:35.399]  I saw the headlines Friday morning about Flynn was ordered by Trump to make contact with the Russians.
[00:01:38.058 --> 00:01:40.822]  And then I began to read the ABC News report.
[00:01:40.942 --> 00:01:41.904]  I went, wait a minute.
[00:01:43.346 --> 00:01:52.259]  These transcripts from Intercepts have been alluded to before from December of last year when he was the incoming president-elect.
[00:01:53.060 --> 00:01:53.761]  And I sat on air.
[00:01:54.679 --> 00:01:56.099]  I said, this is fake news.
[00:01:56.620 --> 00:02:00.421]  At 11am, when I went live, I said, Drudge isn't fake.
[00:02:00.801 --> 00:02:03.502]  When I'm reading headlines off Drudge, he's just linking to the news.
[00:02:03.702 --> 00:02:05.422]  But I said, look at the headlines on Drudge.
[00:02:06.083 --> 00:02:07.283]  I said, that's fake.
[00:02:07.923 --> 00:02:09.964]  Flynn talked to them once.
[00:02:10.504 --> 00:02:12.445]  He was the incoming National Security Advisor.
[00:02:12.965 --> 00:02:13.405]  Look at that!
[00:02:14.306 --> 00:02:16.368]  Merry Christmas, Mr. Mueller!
[00:02:17.008 --> 00:02:25.736]  When he's not on tarmac handing out uranium, or when the FBI's not, you know, trying to cover up illegal Clinton Attorney General meetings on the tarmac.
[00:02:26.797 --> 00:02:28.318]  Why, Mueller...
[00:02:29.600 --> 00:02:35.022]  Flips Flynn and gets him to plead guilty to lying to the FBI.
[00:02:35.922 --> 00:02:39.543]  Report Flynn says Trump directed him to make contact with the Russians.
[00:02:40.064 --> 00:02:41.924]  Feels president has abandoned him.
[00:02:42.304 --> 00:02:45.585]  Prepared to testify against Trump family, White House staff.
[00:02:48.606 --> 00:02:51.988]  Now that's what the media is telling us about this information.
[00:02:53.008 --> 00:02:55.789]  I followed all this in absolute detail.
[00:02:57.202 --> 00:03:00.464]  How they illegally surveilled President-Elect Trump.
[00:03:00.984 --> 00:03:04.386]  And then they said, oh watch out, we've got the surveillance proving you colluded with the Russians.
[00:03:04.766 --> 00:03:05.587]  And Trump went, really?
[00:03:05.627 --> 00:03:06.447]  Without a warrant?
[00:03:06.968 --> 00:03:08.569]  And you demasked the information?
[00:03:09.069 --> 00:03:10.590]  And you leaked it to the news?
[00:03:10.850 --> 00:03:11.971]  That's multiple crimes!
[00:03:12.011 --> 00:03:13.031]  They went, oh no!
[00:03:13.432 --> 00:03:14.912]  No, no, no, we never did that!
[00:03:15.013 --> 00:03:17.614]  Once he was President-Elect, they suddenly went, we never did that!
[00:03:17.854 --> 00:03:18.695]  We never said that!
[00:03:19.015 --> 00:03:19.975]  No one ever spied on you!
[00:03:20.176 --> 00:03:20.856]  That's insane!
[00:03:21.096 --> 00:03:22.337]  We had that whole controversy!
[00:03:23.766 --> 00:03:33.114]  So the minute I saw this and it said intercepts, well I remember the congressional hearings about the intercepts that came months ago.
[00:03:34.094 --> 00:03:45.263]  I remember all the reports and they just hope you get confused in all the minutiae and just tune out and just believe that, you know, Trump's been caught lying when it's all right there.
[00:03:46.189 --> 00:03:48.090]  They've already testified on the demasking.
[00:03:48.351 --> 00:03:50.712]  They've testified on the FISA court warrants they did get.
[00:03:50.732 --> 00:03:52.313]  A bunch of stuff they didn't get.
[00:03:52.533 --> 00:03:56.997]  They just call it intercepts, monitoring, and then they go in and listen to it later.
[00:03:57.037 --> 00:04:09.145]  But if they didn't order direct wiretapping, as they call it, which is still monitoring, wiretapping is the old term, then they don't call it illegal surveillance just because you were being surveilled.
[00:04:09.785 --> 00:04:11.326]  It's all semantical manipulation.
[00:04:12.067 --> 00:04:14.088]  And so I knew as soon as I read
[00:04:15.231 --> 00:04:19.054]  The news, not just from ABC but other big fake news outlets, said it was fake.
[00:04:20.195 --> 00:04:26.099]  Because they were talking about the intercepts that have already been in the news, they've already had hearings on under oath.
[00:04:26.740 --> 00:04:33.405]  And I was like, oh my god, they're recycling it, but just changing the date to five or six months previous to that, in the middle of 2016.
[00:04:33.465 --> 00:04:37.068]  Which is exactly what they did.
[00:04:37.088 --> 00:04:44.033]  Flynn and Trump deserve service medals for how good they did coming in as the
[00:04:45.174 --> 00:04:51.663]  President-elect and National Security Advisor-elect, how good a job they were doing, how hard they were working, it's just unprecedented.
[00:04:52.183 --> 00:04:55.507]  How they're representing America and getting things done.
[00:04:55.548 --> 00:04:59.953]  Folks, we'll be right back on the other side of this break with the bombshell news, and it is bombshell.
[00:04:59.993 --> 00:05:01.535]  They are getting ready to indict the President.
