[00:00:09.261 --> 00:00:10.662]  You want answers?
[00:00:10.662 --> 00:00:14.103]  Well, so does he.
[00:00:14.103 --> 00:00:21.546]  It's Alex Jones.
[00:00:21.546 --> 00:00:24.267]  Welcome to the Alex Jones Show on this Monday, May 22nd, 2017.
[00:00:24.267 --> 00:00:26.228]  I'm David Knight.
[00:00:26.228 --> 00:00:29.509]  I'll be your host today, but we have a lot of reports from Alex.
[00:00:29.509 --> 00:00:32.351]  We have Roger Stone joining us with an update about the
[00:00:33.211 --> 00:00:36.732]  Let's call it the Russian Red Herring Conspiracy Theory.
[00:00:36.732 --> 00:00:40.393]  The favorite conspiracy theory of the Democrat Party.
[00:00:40.393 --> 00:00:47.856]  I want to break down, as part of this broadcast, a little bit about James Comey, who the Democrats hated.
[00:00:47.856 --> 00:00:51.417]  Remember, they all cheered and surprised Colbert.
[00:00:51.417 --> 00:00:53.858]  Stephen Colbert told them, Trump's just fired Comey.
[00:00:53.858 --> 00:00:55.058]  And they all started cheering.
[00:00:55.058 --> 00:00:56.799]  And he's like, oh, wait a minute.
[00:00:56.799 --> 00:01:02.381]  You had to kind of bring them around, get them to realize that, no, it's a bad thing because Trump did it.
[00:01:03.061 --> 00:01:04.842]  They liked it before.
[00:01:04.842 --> 00:01:13.848]  Before the election, we had stories from Politico, and they were absolutely right that Comey wanted to be another J. Edgar Hoover.
[00:01:13.848 --> 00:01:15.368]  He was a J. Edgar wannabe.
[00:01:15.368 --> 00:01:17.330]  But now he's their J. Edgar homie.
[00:01:18.188 --> 00:01:20.190]  Because they love everything this guy does.
[00:01:20.190 --> 00:01:24.693]  Because there's a conflict that they've manufactured here between him and Trump.
[00:01:24.693 --> 00:01:25.994]  So we're going to talk a bit about that.
[00:01:25.994 --> 00:01:30.218]  We're also going to talk about, of course, the trip that is happening right now.
[00:01:30.218 --> 00:01:36.242]  Talked about this a little bit on Friday in terms of the fact that the Saudis have most graciously
