[00:00:10.057 --> 00:00:12.118]  The Matrix is everywhere.
[00:00:12.138 --> 00:00:12.978]  It is all around us.
[00:00:13.658 --> 00:00:15.479]  Even now, in this very room.
[00:00:15.899 --> 00:00:20.201]  You can see it when you look out your window, or when you turn on your television.
[00:00:20.241 --> 00:00:25.582]  You can feel it when you go to work, when you go to church, when you pay your debt.
[00:00:26.163 --> 00:00:30.364]  It is the world that has been pulled over your eyes to blind you from the truth.
[00:00:31.569 --> 00:00:33.051]  That you are a slave.
[00:00:33.672 --> 00:00:36.294]  Like everyone else, you were born into bondage.
[00:00:36.334 --> 00:00:40.138]  Born into a prison that you cannot smell or taste or touch.
[00:00:40.659 --> 00:00:45.624]  A prison for your mind.
[00:00:46.905 --> 00:00:48.627]  The Alex Jones Show.
[00:00:49.047 --> 00:00:51.790]  Because there is a war on for your mind.
[00:00:53.271 --> 00:01:00.657]  We lost Jim Mars last week, we lost Joyce Riley, and now we've lost John DeCamp, who exposed one of the biggest pedophile networks in the world.
[00:01:00.697 --> 00:01:01.357]  Here's the report.
[00:01:02.418 --> 00:01:19.050]  Former Nebraska State Senator John DeCamp passed away recently, leaving behind a heroic legacy of efforts intended on exposing the child sex slave networks operating throughout the United States that led to the highest and most powerful offices in the United States government.
[00:01:19.130 --> 00:01:21.591]  I mean, tell us about the convictions that have happened.
[00:01:22.171 --> 00:01:25.413]  Tell us about Larry King, briefly, and then whatever you can remember.
[00:01:25.433 --> 00:01:30.535]  I have a judgment against Larry King for a million dollars.
[00:01:30.555 --> 00:01:43.301]  The same trial that I was the first one in the whole United States to sue the Catholic Church and some priests was the case I won the million dollar judgment.
[00:01:43.801 --> 00:01:47.763]  But they dismissed the Catholic Church because
[00:01:48.832 --> 00:01:53.715]  They said this is just absurd to accuse these priests of this.
[00:01:53.775 --> 00:01:56.896]  That's right, you were one of the first in the, I mean, how many?
[00:01:57.156 --> 00:01:58.037]  I was the first.
[00:01:58.217 --> 00:02:09.763]  First case in the United States, and I ended up winning a million dollar judgment after trial, and then trial just separately on the damages, and I won a million
[00:02:11.061 --> 00:02:15.823]  That'll actually be $1,200,000 for the kid who was just one of the kids.
[00:02:15.863 --> 00:02:24.768]  But sir, specifically Larry King, the guy that sung the Star Spangled Banner at the Republican National Convention, Republican pimp, he went to jail too.
