[00:00:07.577 --> 00:00:08.577]  Paul Watson reports.
[00:00:09.758 --> 00:00:14.039]  The BBC says we shouldn't say certain things to burqa-wearing Muslims.
[00:00:14.079 --> 00:00:20.340]  They got some veiled women to read out hypothetical questions and then lecture the viewer about how ignorant and bigoted they are.
[00:00:20.500 --> 00:00:21.560]  I've got a few questions.
[00:00:21.620 --> 00:00:25.021]  You can't be a feminist and be wearing a burqa.
[00:00:25.401 --> 00:00:28.842]  If anybody was to say that to me, they would be like, oh, she's the biggest feminist you can find.
[00:00:28.882 --> 00:00:37.250]  Okay, so why did one of the first ever Arab Muslim feminist groups, the Egyptian Feminist Union, encourage women to discard their burqas?
[00:00:37.330 --> 00:00:47.839]  The very act of Arab feminist leaders like Huda Sharawi discarding the burqa was one of the symbolic acts that led to Muslim women in Egypt winning the right to an education.
[00:00:47.920 --> 00:00:54.746]  Rejecting the burqa has been an integral part of actual feminism in the Middle East for nearly a hundred years.
[00:00:54.946 --> 00:00:58.828]  If feminism is about a woman's right to make her own choices, then this is one of it.
[00:00:58.888 --> 00:00:59.388]  Really?
[00:00:59.648 --> 00:01:06.832]  Did the 16-year-old girl in Canada, who was strangled to death by her own brother for not wearing the veil, get to make her own choice?
[00:01:06.912 --> 00:01:15.316]  Did the 4-year-old girl in India, whose father smashed her brains out on the floor after her head covering slipped, get to make her own choice?
[00:01:15.456 --> 00:01:20.298]  Why are children as young as 3 and 4 made to wear the burqa and the hijab at all?
[00:01:20.618 --> 00:01:21.539]  Did they get a choice?
[00:01:21.559 --> 00:01:24.380]  Do these women in Saudi Arabia look like they had a choice
[00:01:24.500 --> 00:01:27.482]  As they're literally herded around like farmyard animals.
[00:01:27.522 --> 00:01:31.385]  Did the woman in Saudi Arabia who wore a skirt get a choice?
[00:01:31.726 --> 00:01:32.386]  Oh no, that's right.
[00:01:32.426 --> 00:01:34.308]  She was hunted down by the police and arrested.
[00:01:34.328 --> 00:01:36.049]  I was so practical.
[00:01:36.069 --> 00:01:36.850]  Practical?
[00:01:37.430 --> 00:01:37.931]  Really?
[00:01:49.079 --> 00:01:49.720]  So practical.
[00:01:54.628 --> 00:01:56.409]  That was so practical.
[00:01:56.429 --> 00:01:57.430]  Islam is so oppressive.
[00:01:58.170 --> 00:02:00.372]  Oh, but you're oppressed and we want to help you.
[00:02:00.472 --> 00:02:11.780]  Okay, so if Muslim women who wear the burqa aren't oppressed, why do Muslim women in Iran literally call on Westerners to help them fight oppression by violating the law on head coverings?
[00:02:11.900 --> 00:02:19.285]  If it's not a form of oppression, why does Azra Nomani, head of the Muslim Reform Movement, assert that hijab purity culture
[00:02:19.505 --> 00:02:25.208]  Covers, segregates, subordinates, silences, jails and kills women and girls around the world.
[00:02:25.308 --> 00:02:33.472]  If it's not a form of oppression, why do gangs of men roam the streets in Iran throwing acid in the faces of women whose veils are deemed to be too loose?
[00:02:33.672 --> 00:02:39.695]  If it's not a form of oppression, why are Muslim gangs in London threatening to kill women who don't cover their head?
[00:02:39.975 --> 00:02:42.656]  I think some women are actually having to fight to be able to wear it.
[00:02:42.776 --> 00:02:43.176]  Really?
