[00:00:13.939 --> 00:00:16.163]  Welcome to the InfoWars Nily News.
[00:00:16.303 --> 00:00:18.868]  It's Tuesday, June 6th, 2017.
[00:00:19.008 --> 00:00:20.110]  I'm your host, Owen Schroer.
[00:00:20.371 --> 00:00:21.473]  Here's what's on the news tonight.
[00:00:26.403 --> 00:00:37.127]  Jeff Sessions just found and arrested a deep state operative named Reality Winner for leaking classified information to the press.
[00:00:37.667 --> 00:00:44.469]  And it turns out she was radicalized by John Oliver, The Daily Show, and Stephen Colbert.
[00:00:44.949 --> 00:00:54.773]  Meanwhile, Michael Moore launches Trumpy Leaks, a secure website for whistleblowers against President Trump.
[00:00:55.573 --> 00:01:04.840]  And that makes it a perfect opportunity for InfoWarriors to flood the site with information about the murder of Seth Rich.
[00:01:05.581 --> 00:01:13.026]  All that plus a new Senate committee investigation into the crimes and corruption of Crooked Hillary.
[00:01:13.627 --> 00:01:17.370]  All that plus much more, up next on the InfoWars Nightly News.
[00:01:25.632 --> 00:01:28.954]  The globalist social engineers are not just targeting us with propaganda.
[00:01:29.094 --> 00:01:31.355]  They are manipulating our genetics.
[00:01:31.535 --> 00:01:39.899]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[00:01:40.179 --> 00:01:43.520]  The key is to be aware of this attack and to fight back against it.
[00:01:43.660 --> 00:01:53.945]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate non-GMO, organic, super male vitality formula.
[00:01:54.305 --> 00:02:01.567]  Sourced from powerful organic herbs, harvested around the planet, and then concentrated for maximum potency.
[00:02:01.787 --> 00:02:03.668]  I've always believed in nutrition and herbs.
[00:02:04.008 --> 00:02:11.570]  Supermail Vitality was developed to activate your body's own natural processes, instead of using synthetic chemicals.
[00:02:11.970 --> 00:02:18.136]  Super Mel Vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:02:18.436 --> 00:02:25.363]  Visit InfoWarsLife.com today to secure your Super Mel Vitality and other powerful products from InfoWars Life.
[00:02:27.322 --> 00:02:32.185]  Introducing Emrix Essentials Natural Herbal Shampoo.
[00:02:32.766 --> 00:02:37.389]  Made with organic oils for an exhilarating fragrance.
[00:02:38.249 --> 00:02:42.532]  Enjoy all-natural and chemical-free shampoo.
[00:02:43.232 --> 00:02:45.154]  No parabens or sulfates.
[00:02:45.694 --> 00:02:47.275]  Nothing to weigh you down.
[00:02:47.795 --> 00:02:54.520]  Get cleaner, healthier hair with Emrix Essentials Tea Tree Shampoo.
[00:03:05.510 --> 00:03:12.533]  And the big news story today was the NSA leaker being charged with espionage and under fire.
[00:03:12.973 --> 00:03:18.815]  Of course, her name is Reality Winner, if you can believe that.
[00:03:19.655 --> 00:03:30.820]  Reality Winner, the name of the alleged NSA hacker with these alleged documents on Russian hacking.
[00:03:30.860 --> 00:03:34.361]  Now, I'm going to be honest with you, as this thing has been developing throughout the day,
[00:03:36.129 --> 00:03:41.672]  I am beginning to trust this story less and less and less.
[00:03:42.172 --> 00:03:45.154]  And there's obviously some weird things going on about this.
[00:03:45.314 --> 00:03:48.956]  The biggest one would have to be the name, Reality Winner.
[00:03:51.077 --> 00:03:51.958]  What are the odds of that?
[00:03:52.478 --> 00:03:56.560]  But the basic breakdown is that this NSA contractor,
[00:03:58.746 --> 00:04:11.476]  Not really the same as Edward Snowden, but kind of in a similar vein, a contractor to the NSA, I guess with access somehow to these highly classified, very important documents.
[00:04:11.577 --> 00:04:13.258]  A low-level contractor gets these.
[00:04:13.999 --> 00:04:17.621]  Nonetheless, somehow she allegedly gets these documents.
[00:04:19.218 --> 00:04:33.548]  Leaks these documents to the Intercept, which were originally, the Intercept at least, originally was a conduit for Snowden leaks, and then the Intercept publishes these leaks, but also
[00:04:35.666 --> 00:04:52.450]  Tells the FBI, apparently, who the leaker was, and now Jeff Sessions is pursuing espionage charges, and it's the FBI that allegedly finger-pointed to Reality Lee Winter, 25-year-old of Augusta.
[00:04:57.273 --> 00:05:02.700]  Some people are saying, look they're saying Bernie supporter said she would stand for Iran.
[00:05:02.780 --> 00:05:04.803]  I got another crazy tweet of hers that we'll mention.
[00:05:05.564 --> 00:05:07.066]  Saying she's a deep state operative.
[00:05:07.086 --> 00:05:09.229]  I would not go that far.
[00:05:10.530 --> 00:05:13.674]  I think that this girl was honestly either a patsy,
[00:05:14.890 --> 00:05:23.457]  Uh, this girl either fell for something or she doesn't even really know or never even really knew what she was doing.
[00:05:23.897 --> 00:05:26.039]  In fact, maybe her heart was in the right place.
[00:05:26.199 --> 00:05:28.261]  Unfortunately, her mind was brainwashed.
[00:05:29.261 --> 00:05:30.803]  But, nonetheless...
[00:05:32.938 --> 00:05:48.210]  I'm looking at this report, this leaked NSA document, and it has new allegations that these emails are being sent out called spear phishing emails, a lot like what happened to John Podesta.
[00:05:48.970 --> 00:05:50.672]  Now, it's interesting because
[00:05:52.213 --> 00:05:55.896]  They don't actually show you the emails that they're talking about.
[00:05:56.397 --> 00:05:59.980]  And you would think this this document that they released is five pages.
[00:06:00.020 --> 00:06:00.400]  There you go.
[00:06:00.440 --> 00:06:01.421]  Thank you guys for pulling that up.
[00:06:01.841 --> 00:06:05.404]  They don't actually show any of the emails they're really talking about.
[00:06:05.484 --> 00:06:09.728]  So I'm still unclear of the emails that they're actually referring to.
[00:06:10.149 --> 00:06:14.292]  But they say that these emails were meant to attack people inside of
[00:06:15.493 --> 00:06:23.908]  Voter rolls or who had access to voter technology equipment etc etc but I'm still sitting here scratching my head.
[00:06:25.455 --> 00:06:48.912]  Because what they're claiming is that they go in and they have found that on these specific dates, these alleged Russian malware attempts were conducted against these people or against these entities that were involved in voter registration and voter rolls and perhaps even the voting technology to begin with, or to end it.
[00:06:49.292 --> 00:06:51.614]  Which, again, Soros is, but nobody has a problem with that.
[00:06:52.773 --> 00:06:59.916]  But I'm going through, and again, I'm reading all this, they don't talk about the emails, they really don't even explain how this impacted the election.
