[00:00:19.571 --> 00:00:21.192]  Welcome to InfoWars Nightly News.
[00:00:21.272 --> 00:00:21.973]  I'm David Knight.
[00:00:22.073 --> 00:00:26.236]  It's Thursday, July 24th, 2014, and here are our top stories.
[00:00:29.659 --> 00:00:33.962]  Tonight, InfoWars demonstrates how unsecure U.S.
[00:00:34.503 --> 00:00:35.704]  borders really are.
[00:00:36.249 --> 00:00:38.691]  Ladies and gentlemen, I am in Mexico right now.
[00:00:39.171 --> 00:00:42.454]  That's next on the Info Wars Nightly News.
[00:00:43.074 --> 00:00:48.658]  We have the most wide open, it's like America is like a prostitute that has sex with 200 guys a day.
[00:00:49.219 --> 00:00:51.280]  Having an open border is like being a whore.
[00:00:51.560 --> 00:00:57.145]  America is the biggest whore on the planet having sex with 200 guys a day lined up around the block.
[00:00:58.544 --> 00:01:07.449]  Now InfoWars reporter Joe Biggs is down at the Arizona border and to illustrate just how easily you can go through the makeshift barriers that they've got up, he did this.
[00:01:08.790 --> 00:01:17.915]  What I'm going to show you is how easy it is if you're an illegal alien trying to come across a border or a drug smuggler to come into America.
[00:01:18.296 --> 00:01:19.697]  This right here is mind-blowing.
[00:01:19.757 --> 00:01:20.297]  Check this out.
[00:01:24.439 --> 00:01:25.440]  You come right over through this.
[00:01:26.340 --> 00:01:27.001]  You come over here.
[00:01:29.784 --> 00:01:32.205]  Ladies and gentlemen, I am in Mexico right now.
[00:01:32.665 --> 00:01:33.046]  This is it.
[00:01:33.106 --> 00:01:34.006]  That's how easy it was.
[00:01:34.026 --> 00:01:41.229]  There's nothing here to keep me from coming across into the country and flooding our streets with drugs and illegal aliens.
[00:01:41.630 --> 00:01:43.030]  This is what's going on right now.
[00:01:43.490 --> 00:01:45.251]  The Border Patrol is not doing anything.
[00:01:45.271 --> 00:01:48.713]  They're saying it's going to take another five years to even get some of this stuff fixed.
[00:01:49.213 --> 00:01:51.094]  And they've been saying that for a decade.
[00:01:52.503 --> 00:01:56.207]  Now he joked to us that he had an idea that he might just go in and get a taco.
[00:01:56.287 --> 00:01:59.110]  I guess we could do a commercial run for the border.
[00:01:59.490 --> 00:02:00.672]  But that's already been done.
[00:02:01.192 --> 00:02:06.097]  Now the question is, not can we secure the border with some kind of a iron curtain.
[00:02:06.538 --> 00:02:07.499]  The real issue
[00:02:07.839 --> 00:02:14.685]  Is the incentives, I believe, that are pulling people in as well as pushing them out of their country with a war on drugs.
[00:02:15.206 --> 00:02:16.447]  This is what has changed.
[00:02:16.567 --> 00:02:27.396]  It's the incentives that we're offering and of course those incentives are put there to collapse the American economy and a, as we point out many times, cloured and pivoted strategy to overload the economy to collapse it.
[00:02:28.257 --> 00:02:33.884]  And I think a good metaphor for what's happening here is this story from Infowars.com today from Adon Salazar.
[00:02:34.104 --> 00:02:38.489]  A woman unwittingly fed and sheltered MS-13 gang members.
[00:02:39.070 --> 00:02:44.516]  A woman in South Texas housed, fed and clothed a group of illegal immigrants that were traveling past her homes.
[00:02:45.257 --> 00:02:49.539]  One of them turned out to be a member of the notorious Central American gang MS-13.
