[00:00:01.522 --> 00:00:04.387]  Coast to Coast, direct from Austin.
[00:00:05.128 --> 00:00:08.334]  You're listening to the Alex Jones Broadcasting Network.
[00:00:16.243 --> 00:00:20.404]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:21.065 --> 00:00:21.865]  You want answers?
[00:00:22.645 --> 00:00:23.545]  Well, so does he.
[00:00:24.186 --> 00:00:27.867]  He's Alex Jones on the GCN Radio Network.
[00:00:28.387 --> 00:00:32.428]  And now, live from Austin, Texas, Alex Jones.
[00:00:41.704 --> 00:00:45.766]  It's the Alex Jones Show, live on this Tuesday, October 7th edition.
[00:00:45.866 --> 00:00:48.987]  I'm Paul Joseph Watson, once again, filling in for Alex.
[00:00:49.027 --> 00:00:50.788]  We've got another jam-packed show coming up.
[00:00:51.288 --> 00:00:54.349]  David Knight in studio, as well as Anthony Gucciardi.
[00:00:54.729 --> 00:01:03.213]  Next hour, we've got Robert David Steele, who, of course, is a former CIA officer, wrote a book, which I read recently, The Open Source Manifesto.
[00:01:04.093 --> 00:01:12.536]  He's going to talk about a prediction he made last month in which he said that Ebola would be used in the United States as a false flag event.
[00:01:12.576 --> 00:01:13.817]  We're going to dig down into that.
[00:01:14.197 --> 00:01:31.084]  Also going to get into some solutions about how Steele lays out the hierarchical control, the top-down system, how that can be reversed, how we can turn it into a grassroots populist uprising, which is of course what the elite are concerned about given the CFR's recent proclamation
[00:01:31.784 --> 00:01:38.768]  About the American distemper, which is the fact that this uprising, this populist revolution is on the horizon.
[00:01:38.848 --> 00:01:40.909]  Steele has made similar comments to that effect.
[00:01:41.509 --> 00:01:44.611]  So we're going to get into that and more in the next hour.
[00:01:44.671 --> 00:01:52.655]  Obviously first hour we're focusing on the latest Ebola news because it gets even more ridiculous.
[00:01:52.695 --> 00:01:54.596]  We have an article here out of the Daily Mail.
[00:01:54.636 --> 00:01:56.818]  President Obama's basically outlined his
[00:01:57.995 --> 00:01:59.576]  Mission to defeat Ebola.
[00:01:59.856 --> 00:02:03.977]  Obama's new airport screening plan uses customs agents to spot Ebola.
[00:02:03.997 --> 00:02:08.439]  As president concedes, we don't have a lot of margin for error.
[00:02:08.819 --> 00:02:16.182]  So basically the same people that rifle through your bags at the airport are going to be checking people for Ebola.
[00:02:16.442 --> 00:02:24.425]  And if you have confidence in customs agents to do that, then you probably missed the next article which went up on Infowars.com yesterday.
[00:02:25.265 --> 00:02:26.927]  We're going to play this clip after the break.
[00:02:27.327 --> 00:02:32.832]  CNN reporter returning from Liberia horrified by lack of airport Ebola screening.
[00:02:33.393 --> 00:02:45.004]  So this CNN reporter and several of her colleagues basically travelled through Atlanta airport and were quote shocked by the complete lack of screening for Ebola.
[00:02:45.484 --> 00:02:55.411]  They outright told the airport officials, the customs officials, that they had just travelled back from West Africa, that they could potentially have been exposed to Ebola.
[00:02:56.072 --> 00:02:58.013]  Basically, they weren't even asked any questions.
[00:02:58.033 --> 00:02:59.154]  They were allowed to go on their way.
[00:02:59.594 --> 00:03:00.835]  No checks were taken.
[00:03:01.095 --> 00:03:02.737]  So if that is the character
[00:03:03.357 --> 00:03:18.545]  Of the provisions that the Obama administration is now taking in the fight against Ebola as now the WHO in Europe warns that it's basically inevitable that Europe will see an Ebola outbreak after a case in Spain yesterday.
[00:03:18.585 --> 00:03:26.489]  We've now got articles suggesting there could be potentially 56 other people exposed to the Ebola virus at this hospital in Spain.
[00:03:26.509 --> 00:03:30.151]  There you see 56 being monitored in Spain after Ebola infects nurse.
[00:03:30.691 --> 00:03:31.812]  So the WHO is
[00:03:32.873 --> 00:03:42.018]  Really taking this seriously in Europe, saying this could lead to an outbreak, whereas in the United States there's no talk whatsoever of banning flights.
[00:03:42.479 --> 00:03:46.741]  US not considering a travel ban amid Ebola outbreak, says the White House.
[00:03:47.361 --> 00:03:51.084]  And again, they've stuck to that line for, you know, over a week now, basically.
[00:03:51.724 --> 00:03:55.848]  But if you thought that was crazy, then take a look at this out of the Daily Mail.
[00:03:56.329 --> 00:04:06.420]  Dallas Ebola victim's stepdaughter who took him to hospital as he was vomiting wildly is given all clear to return to work as a nursing assistant.
[00:04:06.920 --> 00:04:24.050]  So this is the stepdaughter of patient zero, Thomas Eric Duncan, who of course was taken ill in Dallas last week with Ebola after they sent him home for a period of days having failed to detect the virus, even though Duncan told them he had travelled back from Liberia.
[00:04:24.490 --> 00:04:25.311]  Now they're sending
[00:04:25.891 --> 00:04:36.176]  His stepdaughter, who was in the apartment with him, with the vomit-stained blankets and towels, she was in the ambulance with him as he travelled to the hospital.
