[00:00:01.270 --> 00:00:02.431]  Coast to Coast.
[00:00:02.811 --> 00:00:04.112]  Direct from Austin.
[00:00:04.853 --> 00:00:08.056]  You're listening to the Alex Jones Broadcasting Network.
[00:00:14.195 --> 00:00:18.398]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:19.018 --> 00:00:19.838]  You want answers?
[00:00:20.619 --> 00:00:21.519]  Well, so does he.
[00:00:22.160 --> 00:00:25.742]  He's Alex Jones on the GCN Radio Network.
[00:00:26.342 --> 00:00:30.405]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.433 --> 00:00:34.694]  Welcome to the Alex Jones Show.
[00:00:35.074 --> 00:00:37.114]  I'm David Knight and I'll be your host today.
[00:00:37.315 --> 00:00:40.216]  Alex will be joining us at 1230 Central.
[00:00:40.956 --> 00:00:45.298]  So we're going to talk about the significance of what happened this weekend.
[00:00:45.858 --> 00:00:46.758]  An amazing trip.
[00:00:46.818 --> 00:00:48.399]  Thank you so much for your support.
[00:00:48.459 --> 00:00:53.241]  Thank you for standing behind us, for standing behind InfoWars, so that we can go to sites like this.
[00:00:53.301 --> 00:00:55.061]  Thank you especially for your prayers.
[00:00:55.141 --> 00:00:57.222]  It was a very dangerous situation.
[00:00:57.262 --> 00:00:58.663]  It was touch and go there for a while.
[00:00:59.403 --> 00:01:06.592]  But I tell you what, it was, and you're going to see some clips that we haven't aired yet about the Bundy family and about the standoff.
[00:01:07.113 --> 00:01:12.680]  These are men who are meek, but they have backbones of steel.
[00:01:13.481 --> 00:01:15.224]  They are the kind of men we need to see.
[00:01:15.264 --> 00:01:17.166]  I tell you what, talking to Cliven Bundy,
[00:01:18.007 --> 00:01:20.929]  He reminded me so much of Ron Paul in so many ways.
[00:01:21.229 --> 00:01:23.931]  Not a big, brash person, not tooting his horn.
[00:01:24.571 --> 00:01:28.574]  And he is not a lawbreaker getting away with breaking the law.
[00:01:29.094 --> 00:01:30.755]  We didn't help somebody to do that.
[00:01:31.076 --> 00:01:32.657]  We've had people leave comments like that.
[00:01:32.957 --> 00:01:40.382]  I'm going to tell you how to distinguish between real law and between law that is enacted without representation.
[00:01:41.357 --> 00:01:44.479]  You know, we had a revolution in this country about taxation without representation.
[00:01:44.779 --> 00:01:50.062]  We not only have taxation without representation, we now have regulation without representation.
[00:01:50.503 --> 00:01:57.247]  And if you don't understand that, in this particular case, they're going to get you in every aspect, every walk of life.
[00:01:57.827 --> 00:02:03.230]  It doesn't matter if you're not a rancher and don't have grazing rights, don't have water rights to some land.
[00:02:03.370 --> 00:02:05.432]  If you've got any property at all,
[00:02:06.152 --> 00:02:10.575]  Your property is at stake if you don't stand for other people's property rights.
[00:02:10.635 --> 00:02:16.779]  If the government can come in, an unelected government, have you ever seen BLM on any of your ballots?
[00:02:17.520 --> 00:02:17.880]  I haven't.
[00:02:18.560 --> 00:02:22.843]  Have you ever seen, have you ever had a chance to vote for an EPA official or an IRS official?
[00:02:23.624 --> 00:02:26.766]  Yet they have the power, they claim, to regulate our lives.
[00:02:26.786 --> 00:02:27.627]  We're going to talk about that.
[00:02:28.247 --> 00:02:29.768]  Alex is going to be joining us at 1230.
[00:02:31.497 --> 00:02:33.579]  Central, Josh is going to be joining us at noon.
[00:02:34.059 --> 00:02:35.000]  Josh was the cameraman.
[00:02:35.020 --> 00:02:36.101]  You typically didn't see it.
[00:02:36.161 --> 00:02:37.782]  He was there with me the entire time.
[00:02:38.263 --> 00:02:41.385]  We want you to hear from us what we saw.
[00:02:41.425 --> 00:02:42.506]  We're going to tell you what we saw.
[00:02:42.526 --> 00:02:44.728]  You know how you can tell what really happened there?
[00:02:44.968 --> 00:02:47.350]  The mainstream media has got its own narrative that it's developing.
[00:02:47.590 --> 00:02:48.311]  They're pushing back.
[00:02:48.331 --> 00:02:49.972]  They're trying to criminalize the Bundys.
