[00:00:01.389 --> 00:00:02.550]  Coast to coast.
[00:00:02.910 --> 00:00:04.290]  Direct from Austin.
[00:00:04.970 --> 00:00:09.071]  You're listening to the Alex Jones Broadcasting Network.
[00:00:10.412 --> 00:00:11.552]  Government cover-ups.
[00:00:12.192 --> 00:00:13.012]  You want answers?
[00:00:13.753 --> 00:00:14.653]  Well, so does he.
[00:00:15.313 --> 00:00:18.934]  He's Alex Jones on the GCN Radio Network.
[00:00:19.494 --> 00:00:23.575]  And now, live from Austin, Texas, Alex Jones.
[00:00:34.344 --> 00:00:45.073]  Just like individual lives, that's because the planet orbits around the sun every 365 days, as you know, and generates the life on this planet.
[00:00:46.714 --> 00:00:50.778]  It's the main engine, the main energy source for life on this planet.
[00:00:51.238 --> 00:00:54.881]  And so one year has come and gone and died, literally died.
[00:00:56.342 --> 00:01:02.167]  And a new year has now begun in many time zones around the world 24 hours ago.
[00:01:04.634 --> 00:01:06.355]  We are now into 2014.
[00:01:07.756 --> 00:01:11.077]  Truly momentous year with all that is happening.
[00:01:14.279 --> 00:01:16.180]  It is the first day of January 2014.
[00:01:16.740 --> 00:01:25.405]  And we are hurtling into the battle, the fray, with the New World Order.
[00:01:26.499 --> 00:01:29.981]  And we're going to be here for, again, the next three hours.
[00:01:30.641 --> 00:01:38.224]  We have John Bowne, InfoWars Nightly News reporter, and also radio producer, joining us at the bottom of the hour.
[00:01:39.385 --> 00:01:44.987]  Yesterday, he shot a report on 360 in Austin, and filed that report this morning.
[00:01:45.988 --> 00:01:48.689]  Shot on his iPhone 4, I believe.
[00:01:50.231 --> 00:01:55.774]  And it was a woman standing right beside her burning car on her cell phone, everyone driving by not even caring.
[00:01:56.554 --> 00:02:08.739]  And then even some people on YouTube, this went right to YouTube today, it's up on InfoWars.com and PrisonPlanet.com are like, big deal, you know, the people didn't stop because the fire is no big deal.
[00:02:08.799 --> 00:02:16.823]  And of course, John didn't catch it right away because he's yelling at her before he even turns the camera on, get away from the car, because he had to park down the street and run towards her.
[00:02:17.938 --> 00:02:21.579]  And so he ran about 200 yards towards her, yelling, get away from the car.
[00:02:21.939 --> 00:02:24.460]  By the time he turns it on, you can see her about 10 feet away.
[00:02:24.480 --> 00:02:27.741]  And then she starts walking towards him about 50 feet as he meets her.
[00:02:28.461 --> 00:02:31.602]  And she's still on her phone, obviously calling the fire department.
[00:02:32.262 --> 00:02:38.724]  But the reason I mention this is not even our top story, it's just important, is it ties into this mindset.
[00:02:39.895 --> 00:02:49.258]  Where they're fracking with such corrupt practices across the United States that the well water is catching on fire.
[00:02:51.219 --> 00:02:53.119]  There's safe ways to frack, by the way.
[00:02:53.900 --> 00:02:59.662]  I've got family that have come and gone and passed that were petroleum geologists, you name it.
[00:03:00.342 --> 00:03:01.482]  People that work for refineries.
[00:03:02.062 --> 00:03:06.604]  There are very safe ways to do this, but when you have this modern age, an example is BP,
[00:03:08.897 --> 00:03:19.643]  And you have British Petroleum doing things like ordering three different engineering companies that were all on site at the Deepwater Horizon.
[00:03:20.083 --> 00:03:32.029]  Don't pour concrete and what they call mud, a mix, in as you drill so it doesn't back pressure and blow out and cause an undersea, you know, redditor type explosion.
[00:03:33.581 --> 00:03:35.502]  Just dump water on top of it.
[00:03:35.882 --> 00:03:39.724]  That'll save us $15 million a day, I think was the number.
[00:03:40.445 --> 00:03:53.412]  And that was the head people in England calling the head people in Houston, and then they literally had to fire multiple heads of crews and send in other companies that were there as contractors to do it, because all the engineers said this is going to explode.
[00:03:54.485 --> 00:03:57.267]  And the engineers knew the math, knew the science.
[00:03:57.287 --> 00:03:58.688]  It was one of the deepest wells ever drilled.
[00:03:59.388 --> 00:04:00.209]  30 plus thousand feet.
[00:04:00.910 --> 00:04:01.850]  They knew what was going to happen.
[00:04:02.210 --> 00:04:17.061]  But the delusional executives just knew they'd make more money if they didn't have to spend the money on the concrete and the mud that was being pre-mixed on the ground and then brought out to sea on big ships.
[00:04:19.082 --> 00:04:22.305]  And so they didn't want to have $15 million a day of that being dumped in the hole.
[00:04:23.154 --> 00:04:24.375]  Fifteen million dollars a day.
[00:04:24.915 --> 00:04:29.097]  All the transcripts of the radio chatter was recorded and logged.
[00:04:29.857 --> 00:04:30.958]  And they said, no, I'm not going to do it.
[00:04:31.138 --> 00:04:31.738]  You're relieved.
[00:04:32.078 --> 00:04:32.478]  You do it.
[00:04:32.498 --> 00:04:33.459]  This is going to explode.
[00:04:33.959 --> 00:04:38.821]  They actually had fistfights that came out later in court on the drilling rig when people were ordered to do it.
[00:04:38.941 --> 00:04:39.942]  They're like, that's insane.
[00:04:40.122 --> 00:04:45.784]  And people began to punch each other in the faces because they knew they were about to blow up the oil rig.
[00:04:46.104 --> 00:04:47.345]  And it killed a bunch of people, folks.
[00:04:49.076 --> 00:04:52.503]  Killed people on land, killed all those fish, all the rest of it.
[00:04:52.784 --> 00:04:55.529]  This is the mental illness out there, the insanity.
[00:05:10.410 --> 00:05:16.012]  My friends, Alex Jones here to tell you about some of the most important information concerning you and your family's health.
[00:05:16.212 --> 00:05:23.436]  Radiation levels have more than doubled in the last 60 years in the Northern Hemisphere from all of the nuclear testing and radiological accidents.
[00:05:23.596 --> 00:05:26.777]  Radioactive contamination is now in most of the food supply.
[00:05:26.937 --> 00:05:28.738]  There's only two ways to avoid this.
[00:05:28.978 --> 00:05:33.561]  Move south of the equator or properly protect your thyroid with nascent iodine.
[00:05:33.641 --> 00:05:36.383]  Looking to protect my family, I've done deep research.
[00:05:36.543 --> 00:05:42.327]  Nascent iodine is the purest, cleanest, absolute best form of iodine to protect yourself and your family.
[00:05:42.507 --> 00:05:45.969]  It's made right here in the USA, completely non-GMO.
[00:05:46.189 --> 00:05:51.232]  I searched out the best quality and now have developed a double strength form of nascent iodine.
[00:05:51.432 --> 00:05:54.414]  Exclusively available at Infowarslife.com.
[00:05:54.654 --> 00:06:00.520]  Nascent Iodine is on record as one of the only safe ways to detox from fluoride poisoning.
[00:06:00.640 --> 00:06:02.642]  Survival Shield Nascent Iodine.
[00:06:02.782 --> 00:06:08.227]  Secure your super high quality Nascent Iodine today at InfoWarsLife.com.
[00:06:08.307 --> 00:06:09.668]  That's InfoWarsLife.com.
[00:06:10.629 --> 00:06:12.270]  Introducing Pro-1.
[00:06:12.530 --> 00:06:16.031]  All of your filtration in one system, portable, on-the-go.
[00:06:16.171 --> 00:06:20.572]  No more do you have two or three filters to just reduce sodium fluoride.
[00:06:20.752 --> 00:06:26.694]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:06:26.814 --> 00:06:37.597]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[00:06:37.817 --> 00:06:40.478]  It is the only one that does it and out of the gates!
[00:06:40.658 --> 00:06:44.118]  We have it discounted at 10% off with promo code WATER.
[00:06:44.298 --> 00:07:01.242]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:07:01.602 --> 00:07:08.564]  Get your Pro-Pure with the new Pro-1 filters today at Infowarsstore.com or by calling 888-253-3139.
[00:07:08.684 --> 00:07:11.204]  The facts are in.
[00:07:11.385 --> 00:07:12.525]  The studies are legion.
[00:07:12.785 --> 00:07:20.167]  Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[00:07:20.307 --> 00:07:23.768]  So why are the social engineers adding it to the water?
[00:07:24.128 --> 00:07:24.528]  Simple.
[00:07:24.708 --> 00:07:29.029]  Dumb down the host population that the parasitic technocracy is feeding on.
[00:07:29.409 --> 00:07:34.875]  We may not have been able to get fluoride out of the water supply yet, but we can help to get it out of our bodies.
[00:07:35.135 --> 00:07:51.131]  I am extremely excited to announce the exclusive InfoWars Life Fluoride Shield Formulation, fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[00:07:51.451 --> 00:07:55.694]  Let's take a stand against the Globalist by blocking their poisons with Fluoride Shield.
[00:07:56.034 --> 00:07:57.876]  I use Fluoride Shield every day.
[00:07:58.196 --> 00:08:03.480]  Secure your Fluoride Shield and other pioneering formulations at InfoWarsLife.com today.
[00:08:03.760 --> 00:08:08.003]  Let's start cleansing our bodies now and support the InfoWar at the same time.
[00:08:08.144 --> 00:08:09.424]  That's InfoWarsLife.com.
[00:08:27.791 --> 00:08:32.234]  Rallying patriots worldwide in defense of human liberty.
[00:08:32.795 --> 00:08:34.296]  It's Alex Jones.
[00:08:34.716 --> 00:08:42.341]  Globalists are gathering in their masses just like witches at black masses.
[00:08:42.361 --> 00:08:44.563]  They are sorcerers of death's construction.
[00:08:45.483 --> 00:08:48.405]  It's a good way to describe the New World Order.
[00:08:57.031 --> 00:08:58.552]  As the war machine keeps turning.
[00:08:58.572 --> 00:09:00.252]  Death and hatred to mankind.
[00:09:00.332 --> 00:09:00.912]  Poisoning.
[00:09:19.419 --> 00:09:22.161]  Ladies and gentlemen, we are transmitting worldwide.
