[00:00:00.009 --> 00:00:00.629]  Coast to coast.
[00:00:00.650 --> 00:00:02.031]  Direct from Austin.
[00:00:02.071 --> 00:00:04.292]  You're listening to the Alex Jones Broadcasting Network.
[00:00:34.554 --> 00:00:38.717]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:39.377 --> 00:00:40.198]  You want answers?
[00:00:40.958 --> 00:00:41.859]  Well, so does he.
[00:00:42.319 --> 00:00:46.162]  He's Alex Jones on the GCN Radio Network.
[00:00:46.702 --> 00:00:50.805]  And now, live from Austin, Texas, Alex Jones.
[00:00:51.886 --> 00:00:55.428]  Well, it is Friday, unbelievably again, the 21st day of February 2014.
[00:01:01.734 --> 00:01:05.755]  And obviously there is always a ton of breaking news and information coming out.
[00:01:06.475 --> 00:01:12.797]  We have Dr. Jerome Corsi joining us with breaking news from everything from Benghazi to what's happening with the economy.
[00:01:13.758 --> 00:01:20.099]  We launched the new InfoWars website last night and it has got a lot of bugs in it obviously.
[00:01:20.119 --> 00:01:24.260]  And we're going to try to run it through the weekend and clean up the bugs and we're not able to.
[00:01:24.280 --> 00:01:25.581]  We'll revert back to the old site.
[00:01:26.441 --> 00:01:32.724]  Next week for folks, but if you like the old design, PrisonPlanet.com is very similar to InfoWars, it's a different color scheme.
[00:01:33.184 --> 00:01:37.046]  So PrisonPlanet.com is there for folks that like the old format.
[00:01:37.606 --> 00:01:43.949]  I mean, overall, I like the site, it's more responsive, and it'll work better on mobile devices once we've tweaked it.
[00:01:44.470 --> 00:01:54.895]  But there are things that we just can't get fixed, like a two-week-old Larry Klayman YouTube interview that's in the featured video area on the right-hand side of all the article pages.
[00:01:55.675 --> 00:01:57.196]  You know, there's stuff like that.
[00:01:57.256 --> 00:02:04.362]  So send your issues and your ideas, because I pointed that out last night, and it's still there.
[00:02:04.942 --> 00:02:10.487]  We're just trying to figure out how to get that ghost out of the machine, to showtipsatinfowars.com.
[00:02:11.307 --> 00:02:15.070]  And like I said, the article page looks better, it's cleaner, more modern.
[00:02:15.470 --> 00:02:17.432]  We haven't updated InfoWars Design in eight years.
[00:02:17.872 --> 00:02:21.235]  Now some things like Drudge, again, around since 95, 96,
[00:02:24.315 --> 00:02:27.583]  The web is going to simpler and simpler and cleaner and cleaner.
[00:02:27.964 --> 00:02:31.292]  So it's so old that it's now the cutting edge yet again.
