[00:00:00.009 --> 00:00:00.329]  Tom.
[00:00:01.411 --> 00:00:02.592]  Coast to Coast.
[00:00:02.953 --> 00:00:04.314]  Direct from Austin.
[00:00:05.015 --> 00:00:08.219]  You're listening to the Alex Jones Broadcasting Network.
[00:00:14.758 --> 00:00:18.940]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:19.600 --> 00:00:20.401]  You want answers?
[00:00:21.181 --> 00:00:22.082]  Well, so does he.
[00:00:22.722 --> 00:00:26.344]  He's Alex Jones on the GCN Radio Network.
[00:00:26.904 --> 00:00:30.966]  And now, live from Austin, Texas, Alex Jones.
[00:00:49.622 --> 00:00:57.587]  Man, I tell you, I have marveled at Ted Cruz and how he's been hardcore, telling it like it is when faced with real tyranny.
[00:00:58.468 --> 00:01:11.236]  And I've been pointing out that Ted Cruz will become the leader of the Republican Party if the neocons aren't able to block him, if he continues with the hardcore rhetoric, which is based on what's actually happening.
[00:01:12.036 --> 00:01:17.540]  When you're faced with total tyranny and just absolute power grabbing, you have to counter it with what it is.
[00:01:18.430 --> 00:01:29.000]  Not be like, well that sounds a little extreme to say Obama's trying to become a dictator, or stage Benghazi to ship weapons to Al Qaeda, or stage Fast and Furious, or sold out the country to China.
[00:01:30.221 --> 00:01:40.712]  But now, this is coming up in the next segment, Rand Paul has demanded Democrats return money raised by quote, sexual predator Bill Clinton.
[00:01:41.656 --> 00:01:43.437]  That's how you take these criminals down.
[00:01:44.058 --> 00:01:46.079]  You should get hard core.
[00:01:46.819 --> 00:01:49.461]  And we have the video of Rand Paul saying that.
[00:01:49.721 --> 00:01:50.902]  I just, I love it.
[00:01:50.922 --> 00:01:54.364]  We're going to have an arms race now of who can turn the rhetoric up.
[00:01:55.792 --> 00:02:04.914]  And notice the social engineers and the gatekeepers and the people that try to tell you how to think and what to do at MSNBC and CNN are always, it's discrediting to turn the rhetoric up.
[00:02:05.394 --> 00:02:07.135]  It's discrediting to be mean.
[00:02:07.675 --> 00:02:15.617]  It's discrediting to use all these volatile terms while they use, you're a Klan member if you own a gun.
[00:02:15.957 --> 00:02:18.137]  If you don't like Obamacare, it's because you hate black people.
[00:02:18.197 --> 00:02:21.638]  I mean, that's over the top, hardcore rhetoric based in lies.
[00:02:23.219 --> 00:02:24.899]  But Bill Clinton settled cases.
[00:02:27.185 --> 00:02:42.648]  If you followed this back in 95, 96, 97, 98, 99, like I did, on radio every day, where he would literally just rape women on a routine basis, break their jaws, beat the living daylights out of them, and he would settle the lawsuits.
[00:02:43.028 --> 00:02:47.249]  I'm not going to get into what he did to the women, but it included biting bloody chunks out of them.
[00:02:47.289 --> 00:02:52.490]  I mean, we're talking hardcore Ted Bundy, Jeffrey Dahmer type behavior, okay?
[00:02:54.127 --> 00:02:56.991]  And then if people spoke out about it, he'd have their arms broken.
[00:02:57.691 --> 00:03:00.255]  I'm telling you though, I hope they don't blow up Rand Paul's airplane.
[00:03:00.615 --> 00:03:01.917]  And, you know, when he's flying or something.
[00:03:01.937 --> 00:03:02.858]  Because here's the issue.
[00:03:04.900 --> 00:03:07.383]  If we get everybody talking like this, they can't kill us all.
[00:03:08.066 --> 00:03:10.908]  That's why I love to get other talk show hosts on.
[00:03:10.948 --> 00:03:12.429]  I don't want to walk point in this thing.
[00:03:12.769 --> 00:03:14.210]  It's not because I don't even want to die.
[00:03:14.571 --> 00:03:15.371]  I mean, I want to win.
[00:03:16.012 --> 00:03:18.894]  We win by getting everybody telling the truth, everybody going public.
[00:03:19.194 --> 00:03:28.060]  The story is up on DrudgeReport.com, the place that broke the original Monica Lewinsky story that opened up all the sexual garbage.
[00:03:28.621 --> 00:03:35.826]  By the way, the word is, and I'm going to talk about this later, I've never met Jay Leno, but I know a lot of folks that know Jay Leno and have been on his show.
[00:03:36.823 --> 00:03:39.926]  And they've told me Jay Leno brings up, you know, hey, Alex Jones, you like him?
[00:03:39.986 --> 00:03:40.666]  I like his show.
[00:03:41.427 --> 00:03:45.130]  And then about a year ago, we got contacted by the Jay Leno people, one of their main producers.
[00:03:45.150 --> 00:03:46.411]  They said, well, Jay wants to get you on.
[00:03:47.452 --> 00:03:50.634]  He listens to the show every day, every day.
[00:03:51.755 --> 00:03:54.217]  And we listen all the time and get a lot of material from the show.
[00:03:54.237 --> 00:03:54.738]  And I said, really?
[00:03:54.758 --> 00:03:55.879]  And they said, oh, you'd be surprised.
[00:03:57.056 --> 00:04:00.119]  Uh, and, uh, but, and then later they said, no, it's too political.
[00:04:00.139 --> 00:04:01.240]  They won't let him.
[00:04:01.921 --> 00:04:03.482]  Well, that's the article out today.
[00:04:03.602 --> 00:04:04.924]  Infowars.com.
[00:04:05.304 --> 00:04:09.428]  Was Jay Leno canned by NBC for criticizing Obama?
[00:04:10.889 --> 00:04:18.096]  And he would make jokes that were just, I mean, completely obvious that, you know, that, hey, there really is a big bro in Washington and he really does listen.
[00:04:18.985 --> 00:04:19.985]  Through the NSA to you.
[00:04:20.686 --> 00:04:27.308]  And jokes like that, and, hey, you know, he said you could keep your doctor, but now you can't keep it, but he never said you couldn't keep it, even though he said you could keep it.
[00:04:27.729 --> 00:04:29.409]  I mean, that's good comic material.
[00:04:30.130 --> 00:04:35.692]  And Jon Stewart's done it some, but his brother's the head of the New York Stock Exchange, and he's really kind of a made man.
[00:04:37.253 --> 00:04:40.435]  And everybody's turned against Obama, so he does a little bit of it, but he kind of makes it a joke.
[00:04:40.956 --> 00:04:41.636]  Jay Leno.
[00:04:42.396 --> 00:04:43.377]  Here's the deal in Hollywood.
[00:04:43.397 --> 00:04:45.178]  If you're libertarian or conservative, you're gone.
[00:04:45.839 --> 00:04:47.300]  And they don't let you do it.
[00:04:47.320 --> 00:04:54.945]  See, Stewart's a liberal, so he's then allowed to attack Obama just because Obama's so unpopular.
[00:04:55.805 --> 00:04:57.126]  They're deserting the sinking ship.
[00:04:57.206 --> 00:05:00.148]  But Jay Leno is a libertarian, is a lister of the show.
[00:05:00.549 --> 00:05:03.751]  And I'm not saying that's the reason he's fired, but that just gives you an example of why they don't like him.
[00:05:03.771 --> 00:05:06.312]  Jay Leno's a really good guy from folks I know that know him.
[00:05:06.432 --> 00:05:06.933]  We'll be right back.
[00:05:09.894 --> 00:05:11.515]  Introducing Pro-1.
[00:05:11.776 --> 00:05:15.277]  All of your filtration in one system, portable, on-the-go.
[00:05:15.418 --> 00:05:19.820]  No more do you have two or three filters to just reduce sodium fluoride.
[00:05:19.960 --> 00:05:25.943]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:05:26.063 --> 00:05:27.224]  Advanced manufacturing technology.
[00:05:27.244 --> 00:05:27.424]  I think?
[00:05:50.208 --> 00:06:00.537]  Chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:06:00.857 --> 00:06:06.161]  Get your Pro-Pure with the new Pro-1 filters today at infowarstore.com or by calling 888-253-3139.
[00:06:09.887 --> 00:06:10.728]  The facts are in.
[00:06:10.908 --> 00:06:12.030]  The studies are legion.
[00:06:12.310 --> 00:06:19.699]  Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[00:06:19.839 --> 00:06:23.303]  So why are the social engineers adding it to the water?
[00:06:23.663 --> 00:06:24.064]  Simple.
[00:06:24.224 --> 00:06:28.589]  Dumb down the host population that the parasitic technocracy is feeding on.
[00:06:28.929 --> 00:06:34.395]  We may not have been able to get fluoride out of the water supply yet, but we can help to get it out of our bodies.
[00:06:34.655 --> 00:06:50.673]  I am extremely excited to announce the exclusive InfoWars Life Fluoride Shield Formulation, fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[00:06:50.973 --> 00:06:55.217]  Let's take a stand against the Globalist by blocking their poisons with Fluoride Shield.
[00:06:55.557 --> 00:06:57.399]  I use Fluoride Shield every day.
[00:06:57.719 --> 00:07:03.004]  Secure your Fluoride Shield and other pioneering formulations at InfoWarsLife.com today.
[00:07:03.264 --> 00:07:07.528]  Let's start cleansing our bodies now and support the Info War at the same time.
[00:07:07.688 --> 00:07:09.009]  That's InfoWarsLife.com.
[00:07:09.830 --> 00:07:18.836]  Alex Jones here to tell you about how you can help spread liberty worldwide, also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:07:18.896 --> 00:07:26.982]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:07:27.302 --> 00:07:27.562]  We are.
[00:07:57.162 --> 00:07:57.662]  I don't think so.
[00:08:24.427 --> 00:08:30.713]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:08:38.520 --> 00:08:39.621]  I'm a fire starter.
[00:08:40.482 --> 00:08:41.623]  You're a fire starter.
[00:08:54.520 --> 00:08:56.421]  Monday through Friday, from 11 a.m.
[00:08:56.461 --> 00:08:56.821]  to 2 p.m.
[00:08:56.861 --> 00:08:57.201]  Central.
[00:08:57.561 --> 00:08:59.422]  We're here.
[00:09:01.662 --> 00:09:04.843]  And then you've got, of course, the Sunday transmission, 4 to 6 p.m.
[00:09:07.864 --> 00:09:09.765]  Central Standard Time as well.
[00:09:09.805 --> 00:09:15.487]  The news websites are InfoWars.com, PrisonPlanet.com, and PrisonPlanet.tv.
[00:09:16.767 --> 00:09:18.428]  There is so much news going on.
[00:09:18.448 --> 00:09:41.266]  We've got former congressman Bob Barr back on because I wanted to pick his brain about all the new scandals coming out and his move that got demonized in the Atlanta Journal-Constitution and on CNN and on MSNBC on this broadcast two weeks ago saying he will move to impeach Obama if he's re-elected to the Congress from the district outside Atlanta.
[00:09:42.532 --> 00:09:44.493]  Just I guess northwest of Atlanta, going into Atlanta.
[00:09:45.033 --> 00:09:51.537]  And he is about 30 points ahead of all his competition right now in an uncontested race with the Democrats.
[00:09:52.097 --> 00:09:57.280]  So barring them killing him or setting him up, he's gonna get back in.
[00:09:57.300 --> 00:09:59.522]  And people go, well, hey, Bob Barr was in Congress for a long time.
[00:09:59.542 --> 00:10:00.162]  What's the big deal?
[00:10:00.602 --> 00:10:01.603]  His time has now come.
[00:10:02.805 --> 00:10:10.152]  I can look at Rand Paul, I can look at Ted Cruz and their leadership that's absolutely delightful and bullying and heartening.
[00:10:10.812 --> 00:10:14.316]  And then I look at somebody like Bob Barr, it's just going to be incredible.
[00:10:14.596 --> 00:10:16.037]  It's going to be absolutely incredible.
[00:10:16.538 --> 00:10:21.903]  And I see this as more major players in the fight for true libertarian constitutional ideas.
[00:10:22.303 --> 00:10:24.165]  We can beat the globalists.
[00:10:25.589 --> 00:10:26.909]  They're not invincible, folks.
[00:10:27.349 --> 00:10:34.591]  We have to first understand we have the moral high ground, we have the history, we have the Americana, we have the way out of all the problems.
[00:10:35.972 --> 00:10:44.554]  The only problem is it will create so much prosperity that America will become so rich again that we'll become decadent slobs and become enslaved again.
[00:10:45.754 --> 00:10:48.375]  But we're kind of in that flux point right now.
[00:10:48.515 --> 00:10:54.857]  Four percent of the world's population, half the world's wealth until the 1990s, and then they've drained about half that off now.
[00:10:56.530 --> 00:10:57.911]  We had the biggest middle class.
[00:10:57.971 --> 00:10:58.891]  In fact, the U.S.
[00:10:58.951 --> 00:11:05.235]  middle class, by some metrics, you can look this up, was bigger than all other middle classes combined.
[00:11:07.316 --> 00:11:18.282]  Now, until about the 1950s, Argentina had the biggest per capita middle class in the world, and there was a saying called, he's as rich as an Argentine.
[00:11:20.803 --> 00:11:24.906]  They got a corrupt kleptocratic government, devalued the currency, shut up combines, monopolies,
[00:11:25.856 --> 00:11:27.898]  Argentina is a literal hell pit.
[00:11:27.958 --> 00:11:29.800]  I've talked to friends and family that have been there recently.
[00:11:30.360 --> 00:11:31.121]  Countryside.
[00:11:31.261 --> 00:11:32.082]  It's a beautiful country.
[00:11:32.402 --> 00:11:33.043]  Major cities.
[00:11:33.343 --> 00:11:33.824]  Hell pit.
[00:11:35.014 --> 00:11:43.539]  And you see, you can see this online, the photos and videos, good-looking families, these are not drunks or mentally ill people, living in doorways all over the place.
[00:11:44.239 --> 00:11:46.380]  People that were formerly doctors, lawyers, you name it.
[00:11:46.781 --> 00:11:53.564]  They have taken a country just like America was and literally, literally run it into the ground.
[00:11:53.905 --> 00:12:00.208]  Argentina had more money in 1900 per capita than the United States did in the 50s.
[00:12:00.869 --> 00:12:02.950]  And they have wrecked it.
[00:12:04.179 --> 00:12:06.841]  Absolutely, completely wrecked it.
[00:12:08.943 --> 00:12:09.723]  And that's a big bummer.
[00:12:10.424 --> 00:12:11.825]  There's not many places to go.
[00:12:12.325 --> 00:12:14.347]  I wish there were a bunch of free, rich countries.
[00:12:15.128 --> 00:12:17.710]  I love America, but man, if it falls, I want somewhere to go.
[00:12:18.090 --> 00:12:19.611]  And there isn't, except for Switzerland.
[00:12:20.832 --> 00:12:22.914]  And a few northern European countries, maybe Iceland.
[00:12:26.296 --> 00:12:28.858]  And it really bums me out to see this happening.
[00:12:30.059 --> 00:12:31.140]  To say the least, obviously.
[00:12:32.856 --> 00:12:43.592]  And so the gatekeepers, they want to sit there while they kleptocratically divide and conquer and subdivide and strip mine like a corporate takeover.
[00:12:45.231 --> 00:12:46.531]  And sell off of our country.
[00:12:46.571 --> 00:12:48.672]  That's what's happening in Greece, that's what's happening here now.
[00:12:48.712 --> 00:13:08.635]  They're announcing in The Economist, it's literally published by the Rothschilds, controlled press, that, oh, we're going to sell off all the infrastructure, all the public land, but not sell it off, they're going to give it to the big banks, going, oh, because, see, they sign us onto their debt, and then turn it around and go, oh, we're in debt, but the big banks are going to emergency reorganize things, and now we're going to hand over all our infrastructure.
[00:13:09.015 --> 00:13:13.996]  I'm all for taking public lands, not so much the national parks, keep those pristine, need a mix of things.
[00:13:14.676 --> 00:13:20.879]  But the 80% of the West, roughly, that's federal land, and opening it up to be literally given to people?
[00:13:22.359 --> 00:13:25.821]  How about you give veterans a thousand acres?
[00:13:27.382 --> 00:13:29.863]  They've got hundreds and hundreds and hundreds and hundreds of millions of acres.
[00:13:30.263 --> 00:13:34.045]  How about you give veterans a thousand acres tax-free for life?
[00:13:35.945 --> 00:13:36.626]  How about you give
[00:13:39.637 --> 00:13:45.401]  Have a lottery program for people that have done good deeds that get nominated in every town and city to get state and federal land.
[00:13:45.921 --> 00:13:52.145]  Literally, folks, in most states, 60, 70, 80, 90% of the land is state or federal, and a mix of those.
[00:13:52.745 --> 00:13:55.907]  Some states are 96% state or federal.
[00:13:58.588 --> 00:14:00.389]  So, you want to have privatization?
[00:14:01.050 --> 00:14:03.191]  Go west, young man!
[00:14:03.271 --> 00:14:07.814]  Haven't you been told California's full of whiskey, women, and gold?
[00:14:09.175 --> 00:14:10.896]  That's what made this country great.
[00:14:12.437 --> 00:14:15.299]  That's why my ancestors came into Texas on both sides in 1829.
[00:14:15.339 --> 00:14:17.520]  Actually, one of them before that.
[00:14:18.381 --> 00:14:18.961]  William Ayers.
[00:14:19.482 --> 00:14:19.982]  David Ayers.
[00:14:23.604 --> 00:14:24.005]  And others.
[00:14:25.626 --> 00:14:33.611]  And when they came into Texas and the Joneses and the Johnsons and the Browns came into Texas, all the same areas Texas where Texas was started, they came here and
