[00:00:04.966 --> 00:00:06.186]  There is a war.
[00:00:06.627 --> 00:00:07.607]  It's happening now.
[00:00:08.507 --> 00:00:10.348]  It will decide the fate of humanity.
[00:00:10.888 --> 00:00:12.689]  The time to choose sides has come.
[00:00:13.449 --> 00:00:14.910]  We are the resistance.
[00:00:15.350 --> 00:00:17.231]  We are the InfoWars.
[00:00:23.153 --> 00:00:25.274]  Welcome to the InfoWars Nightly News.
[00:00:25.374 --> 00:00:26.694]  I'm your host, Jakari Jackson.
[00:00:27.035 --> 00:00:28.455]  It's October 3rd, 2014, and here are our top stories.
[00:00:33.544 --> 00:00:41.608]  Tonight, Texas Governor Rick Perry tries to reassure the public that the CDC has the Ebola virus under control.
[00:00:41.628 --> 00:00:47.611]  The public should have every confidence that the highly trained professional involved here will succeed.
[00:00:47.851 --> 00:00:54.654]  Meanwhile, shocking video shows unprotected hospital workers cleaning up Ebola vomit in Dallas.
[00:00:54.894 --> 00:00:58.756]  Plus, the Ebola patient's family is now under armed quarantine.
[00:00:59.056 --> 00:01:03.101]  As they disobeyed requests from authorities not to leave home.
[00:01:03.401 --> 00:01:12.573]  Then, boots on the ground in Syria as the Turkish government, under pressure by the United States, passes a Syrian invasion resolution.
[00:01:12.853 --> 00:01:17.439]  All that, plus much more, up next on the InfoWars Nightly News.
[00:01:23.462 --> 00:01:24.082]  And welcome back.
[00:01:24.463 --> 00:01:26.384]  We begin tonight with this top story breaking.
[00:01:26.885 --> 00:01:31.668]  ISIS beheads British hostage Alan Henning, promises to behead American Peter Kasich.
[00:01:32.088 --> 00:01:36.672]  Now, like with the other beheading videos, they hit the web and are deleted soon thereafter.
[00:01:36.732 --> 00:01:39.454]  But supposedly, Henning made this statement before his death.
[00:01:39.934 --> 00:01:41.475]  Hi, I'm Alan Henning.
[00:01:41.915 --> 00:01:49.141]  Because of our Parliament's decision to attack the Islamic State, I, as a member of the British public, will now pay the price for that decision.
[00:01:49.821 --> 00:01:55.628]  Like I said, there's no video to comment on, so we'll bring you the latest news as these stories continue to develop.
[00:01:55.668 --> 00:01:58.632]  But regardless of what happened to this man, it's very unfortunate.
[00:01:58.652 --> 00:02:07.482]  We've seen the recent beheading in Oklahoma, as well as atrocities carried out by ISIS, Al Qaeda, burning down churches, Christian villages, and all that of the like.
[00:02:07.503 --> 00:02:09.285]  So we'll bring you that news as it develops.
[00:02:09.665 --> 00:02:13.529]  But something we need to keep an eye on, the developing story of the Ebola outbreak.
[00:02:13.929 --> 00:02:21.235]  We've seen it spread from the African continent, now we see reported cases, potential cases in Washington D.C., Hawaii, Toronto.
[00:02:21.716 --> 00:02:29.563]  But here in the state of Texas, where we have a man in the Dallas hospital right now, Governor Rick Perry wants us all to rest assured that the CDC is on top of the situation.
[00:02:30.345 --> 00:02:32.387]  Take a look at this video I'm going to show our viewers.
[00:02:32.467 --> 00:02:42.335]  It's a man with absolutely no protective clothing housing down the sidewalk right outside the apartment where the Liberian man is said to have vomited.
[00:02:42.395 --> 00:02:51.022]  There are few places in the world better equipped to meet the challenge that is posed in this case.
[00:02:51.282 --> 00:02:55.166]  Is this safe to just hose it down into the gutter the way they're doing it over there?
[00:02:55.186 --> 00:02:58.889]  Texas is one of only 13 states certified by the CDC
[00:02:59.830 --> 00:03:02.352]  To conduct diagnostic Ebola testing.
[00:03:02.432 --> 00:03:03.473]  Two concerns really.
[00:03:03.834 --> 00:03:08.718]  One is to the individual, the man who's actually doing the hosing down without any protective gear.
[00:03:09.058 --> 00:03:19.087]  What you'll read from the guidelines from the CDC is that anytime you're dealing with contaminated bodily fluids, which is what this is in this case sounds like, you should have somebody who's trained to do this.
[00:03:19.307 --> 00:03:23.631]  And we have the healthcare professionals and the institutions
[00:03:24.417 --> 00:03:25.498]  that are second to none.
[00:03:25.678 --> 00:03:33.927]  They should probably be wearing droplet protection so that none of the virus would actually spray back onto their bodies and it doesn't look like that's the case here.
[00:03:33.987 --> 00:03:42.336]  The public should have every confidence that the highly trained professionals involved here will succeed in this very important mission.
[00:03:45.307 --> 00:03:51.873]  And stay tuned because after this break, John Bowne will have a special report detailing the timeline of Ebola here in the United States of America.
[00:03:52.453 --> 00:03:53.254]  Boots on the ground.
[00:03:53.615 --> 00:03:56.297]  Turkish parliament passes Syrian invasion resolution.
[00:03:56.857 --> 00:04:04.624]  The resolution passed with a three-quarters majority and will allow foreign troops to use Turkish territory to conduct operations inside Syria.
[00:04:05.365 --> 00:04:08.708]  Turkey's chastisement is for propaganda purposes, Kurt Nemo notes.
[00:04:09.088 --> 00:04:14.633]  In fact, Turkey has played a pivotal role in supporting Saudi and CIA-supported and U.S.
[00:04:14.653 --> 00:04:19.456]  military-trained mercenaries fighting a proxy war to topple the Assad government in Syria.
[00:04:19.817 --> 00:04:20.717]  Which is exactly right.
[00:04:20.737 --> 00:04:29.244]  This would be like your local PD or sheriff's department giving arms to a gang and then saying, hey, we need to go invade Compton or Chicago or wherever else.
[00:04:29.584 --> 00:04:31.406]  Everybody said, well, hey, you guys gave them the guns.
[00:04:31.426 --> 00:04:33.768]  I'm not saying that's what happened in Chicago or Compton, but just using that
[00:04:34.308 --> 00:04:36.429]  That's the same thing that's happening here.
[00:04:36.729 --> 00:04:40.431]  They give them the guns, they give them the training, now we have to go in there and invade the situation.
[00:04:40.471 --> 00:04:45.454]  But this is exactly what happened with Operation Fast and Furious, running the guns into Mexico.
[00:04:45.814 --> 00:04:47.315]  It's something people are furious about.
[00:04:47.475 --> 00:04:51.397]  Feminists are up in arms about a recent shirt, a superhero shirt.
[00:04:51.737 --> 00:04:54.859]  A Batman t-shirt that says, training to be Batman's wife.
[00:04:55.842 --> 00:05:04.805]  One t-shirt in particular which states, trained to be Batman's wife, this is one of many, has mass criticism and is being said to promote a chauvinistic message.
[00:05:05.205 --> 00:05:06.945]  Now I have seen some of these t-shirts.
[00:05:06.985 --> 00:05:10.466]  There was a t-shirt that had Superman making out with Wonder Woman.
[00:05:10.506 --> 00:05:11.887]  It says, Superman scores again.
[00:05:12.387 --> 00:05:16.911]  Okay, I guess maybe that was, you know, a little out there, maybe a little bit chauvinistic.
[00:05:17.232 --> 00:05:20.154]  But the idea of being Batman's wife is somehow sexist.
[00:05:20.194 --> 00:05:26.020]  We see characters like Catwoman, Talia Al Ghul, who were both in the most recent Batman film with Christopher Nolan.
[00:05:26.620 --> 00:05:29.463]  They were both pursuing Bruce Wayne, as it is in the comic books.
[00:05:29.483 --> 00:05:34.828]  You know, Bruce is a busy guy, he's out saving the universe and all that, so he doesn't really have time to settle down and get a relationship.
[00:05:35.208 --> 00:05:38.209]  But I don't think it's so much a big sexist deal.
[00:05:38.569 --> 00:05:43.731]  And many of these blogs, many of these other sites that have posted this story, they had very negative things to say about it.
[00:05:44.071 --> 00:05:47.613]  And not about the t-shirts, but about the person who even posted the story to begin with.
[00:05:48.473 --> 00:05:51.194]  90 plus percent of the comments I saw were like, why did you even post this story?
[00:05:51.234 --> 00:05:52.995]  This is not even a real issue.
[00:05:53.075 --> 00:05:56.136]  So there's been a lot of comics in the news as of late.
[00:05:56.176 --> 00:05:58.277]  Thor becoming a woman and all that stuff.
[00:05:58.317 --> 00:06:01.218]  So I guess it's just a thing that feminists like to talk about now.
[00:06:01.826 --> 00:06:04.789]  Now let's talk about Call of Duty, the popular video game series.
[00:06:05.330 --> 00:06:09.475]  Now, I've done reviews of Call of Duty and a lot of people misconstrue what I'm trying to portray.
[00:06:09.495 --> 00:06:15.822]  You know, when I talk about these video games and so forth, I'm likening them to real life events and happenings in our world.
[00:06:16.002 --> 00:06:21.569]  I think the only negative thing I had to say about the Call of Duty series is that they used Oliver North at one point to promote it.
[00:06:21.969 --> 00:06:26.071]  Of course, Oliver North involved with Rex 84, the plan for martial law in our country.
