[00:00:01.408 --> 00:00:09.332]  I can't believe I'm doing a Nickelback video.
[00:00:10.833 --> 00:00:13.594]  Well, it looks as if the apocalypse may finally be upon us.
[00:00:14.095 --> 00:00:21.959]  Nickelback is releasing their eighth studio album titled No Fixed Address, which will feature their new single, Edge of a Revolution.
[00:00:25.709 --> 00:00:32.236]  That's right, the vanilla Walmart rockers from Canada are telling you it's time to stick your fist in the air and call for a revolution!
[00:00:32.736 --> 00:00:43.568]  The lead singer, who now looks like actor Tim Roth who borrowed a jacket from Bruce Springsteen, says the song touches upon the fat cats on Wall Street and inspired from current events as the war in Ukraine and how the government treats its citizens.
[00:00:44.482 --> 00:00:52.305]  But before we analyze this anthem for the people, written and produced by the biggest corporate rock act of the last 20 years, let's enjoy another snippet.
[00:00:59.227 --> 00:01:01.448]  Feeling inspired and revolutionary?
[00:01:02.372 --> 00:01:09.139]  Well, I have to admit, the song is pretty catchy, especially with that anthem at the end, and that video editing is really slick.
[00:01:09.659 --> 00:01:11.781]  But let's look at the inspiration for this song.
[00:01:12.562 --> 00:01:20.870]  As we've been pointing out all along, George Soros was involved in the coup in Ukraine, and he even admitted this in May to CNN's Fareed Zakaria.
[00:01:21.598 --> 00:01:34.392]  Zachary asks Soros, first on Ukraine, one of the things that many people recognized about you was that you, during the revolutions of 1989, funded a lot of dissident activities, civil society groups in Eastern Europe and Poland, and the Czech Republic.
[00:01:34.733 --> 00:01:36.315]  Are you doing similar things in Ukraine?
[00:01:37.386 --> 00:01:41.107]  Well, I set up a foundation in Ukraine before Ukraine became independent of Russia.
[00:01:41.507 --> 00:01:46.629]  And that foundation has been functioning ever since and played an important part in events now, Soros responded.
[00:01:47.249 --> 00:01:54.452]  Sorry, Nickelback, but I don't think a billionaire and admitted Nazi collaborator is interested in freedom or change or whatever the hell you're singing about.
[00:01:58.487 --> 00:02:08.912]  And as for the Fat Cats on Wall Street reference, the video flashes Occupy over and over again throughout different parts of the video and seems to be paying homage to the Occupy Wall Street movement which started back in 2011.
[00:02:10.133 --> 00:02:16.056]  Its origins can be traced to the anti-consumerism magazine Adbusters who have since claimed they had nothing to do with it.
[00:02:16.776 --> 00:02:23.280]  Basically, the Occupy movement was started by foundations in order to take the heat off the In the Fed movement which was gaining steam with the people.
[00:02:24.161 --> 00:02:28.225]  And when the Obama administration could not control the movement, it was attacked and decimated.
[00:02:29.005 --> 00:02:31.948]  And I'm not attacking the people who participated in Occupy Wall Street.
[00:02:32.348 --> 00:02:35.231]  There were a lot of good people involved who saw the system sucking off them.
[00:02:35.771 --> 00:02:38.894]  But capitalism is what built the foundation of this entire society.
[00:02:39.314 --> 00:02:45.840]  Now it's not perfect by any stretch, but when you have the government picking winners and losers, you will never have freedom, you will only have tyranny.
[00:02:46.480 --> 00:02:50.822]  And what we have now is a festering fascistic system called crony capitalism.
[00:02:51.282 --> 00:02:54.844]  So you have Nickelback paying homage to two foundation-funded fake movements.
[00:02:55.404 --> 00:02:58.106]  What do you expect from a band who sings mostly about strippers and drinking?
[00:02:58.686 --> 00:03:03.648]  And if you think foundation-funded movements are harmless, look into the Carnegie Foundation for International Peace.
[00:03:04.108 --> 00:03:11.252]  One of its first moves was to lobby Woodrow Wilson not to end World War I too early so they could fundamentally change America.
[00:03:12.162 --> 00:03:14.863]  Now Nickelback did get it right with how the government treats its people.
[00:03:15.043 --> 00:03:16.203]  They mentioned the NSA.
[00:03:16.543 --> 00:03:22.225]  And recently an Obamacare architect got caught on tape saying the stupidity of the American people got Obamacare passed.
[00:03:22.585 --> 00:03:25.046]  Lack of transparency is a huge political advantage.
[00:03:25.666 --> 00:03:28.807]  And basically, you know, call it the stupidity of the American voter or whatever.
[00:03:29.328 --> 00:03:33.269]  But basically that was really, really critical to getting the thing to pass.
[00:03:33.509 --> 00:03:35.910]  And for years we've been documenting the rise of the police state.
[00:03:36.810 --> 00:03:43.596]  While I was watching the Edge of a Revolution video, this is kind of how I imagine the song and video were inspired.
[00:03:44.877 --> 00:03:46.218]  Hey, marketing team!
[00:03:46.739 --> 00:03:51.162]  We gots to get a new album out for the remaining Nickelback fans that are left.
[00:03:51.743 --> 00:03:52.724]  Any ideas?
[00:03:53.824 --> 00:03:56.427]  Well, people seem to be into Revolution.
[00:03:56.907 --> 00:03:59.249]  Even our blue-collar fanbase is angry.
[00:04:00.710 --> 00:04:01.431]  Yeah!
[00:04:01.951 --> 00:04:02.932]  Revolution!
[00:04:03.232 --> 00:04:04.794]  That's a no-brainer!
[00:04:06.603 --> 00:04:10.805]  Uh, Mr. Moneybags, my cousin used to be in this thing called, uh, Occupy.
[00:04:12.466 --> 00:04:13.227]  Occupy.
[00:04:13.627 --> 00:04:15.528]  Yeah, add that in the video.
[00:04:16.068 --> 00:04:22.031]  We'll make people think our corporate rockstar cutouts really care about the people that have this vanilla rock forced on them.
[00:04:22.712 --> 00:04:28.135]  I'm getting visions of more records being sold and more money in my bags!
[00:04:28.795 --> 00:04:29.575]  I like money.
[00:04:30.556 --> 00:04:34.198]  Uh, Mr. Moneybags, no one but trendies and DJs buy records.
[00:04:35.117 --> 00:04:36.377]  Techno, that's it!
[00:04:36.997 --> 00:04:39.858]  The next Nickelback record will be techno!
