[00:00:00.049 --> 00:00:00.369]  I think so.
[00:00:26.764 --> 00:00:29.606]  Coast to Coast, direct from Austin.
[00:00:30.347 --> 00:00:33.549]  You're listening to the Alex Jones Broadcasting Network.
[00:00:40.595 --> 00:00:44.779]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:45.439 --> 00:00:46.220]  You want answers?
[00:00:47.021 --> 00:00:47.921]  Well, so does he.
[00:00:48.562 --> 00:00:52.205]  He's Alex Jones on the GCN Radio Network.
[00:00:52.766 --> 00:00:56.829]  And now, live from Austin, Texas, Alex Jones.
[00:01:15.698 --> 00:01:22.220]  Well, my head is spinning to say the least right now with the amount of over-the-top news.
[00:01:23.181 --> 00:01:30.704]  As Obama prepares with executive orders to legalize illegals by fiat, he's already done that, halting most of the deportations.
[00:01:31.164 --> 00:01:38.887]  There are hundreds of thousands of illegals a month slamming into the Texas-Arizona-California border.
[00:01:39.967 --> 00:01:41.450]  Creating a total crisis.
[00:01:42.151 --> 00:01:44.114]  Here's the Reuters headline.
[00:01:44.335 --> 00:01:48.742]  Waves of immigrant minors present crisis for Obama Congress.
[00:01:49.303 --> 00:01:51.627]  They've got tens of thousands of them at a base.
[00:01:52.836 --> 00:02:03.359]  Just down in San Antonio that we've been reporting on, tens of thousands of children unaccompanied by parents or relatives have flooded across the southern U.S.
[00:02:03.379 --> 00:02:09.940]  border illegally, forcing the Obama administration and Congress to grapple with both the humanitarian crisis and a budget dilemma.
[00:02:10.580 --> 00:02:12.461]  Well, the answer is don't be racist.
[00:02:13.001 --> 00:02:17.642]  Legalize all 7 plus billion people that are not in the U.S.
[00:02:18.282 --> 00:02:21.043]  and bring them here and give them free tuition, free welfare.
[00:02:22.571 --> 00:02:24.072]  Does it matter if you have leprosy?
[00:02:25.072 --> 00:02:26.533]  Does it matter if you're disabled?
[00:02:27.373 --> 00:02:29.354]  Does it matter what problem you have?
[00:02:29.574 --> 00:02:44.680]  We need to bring them here, pay for everything, and go totally bankrupt and collapse so the globalists can live in Luxembourg, the Bahamas, and in Switzerland, exempt from all of this sitting on trillions.
[00:02:46.801 --> 00:02:48.402]  And I agree with Obama.
[00:02:48.462 --> 00:02:49.823]  If you have a business, you didn't build it.
[00:02:50.204 --> 00:02:51.885]  Raising the debt limit doesn't raise debt.
[00:02:52.886 --> 00:02:54.007]  You can keep your doctor.
[00:02:54.067 --> 00:02:54.807]  Healthcare is great.
[00:02:55.148 --> 00:02:57.129]  You know, DrudgeReport.com has a headline.
[00:02:57.870 --> 00:03:02.493]  Cancer patient with dozens of tumors denied coverage under Obamacare.
[00:03:02.513 --> 00:03:05.956]  Because it says in there you get death panels now.
[00:03:07.837 --> 00:03:09.879]  But it doesn't matter, ladies and gentlemen.
[00:03:10.039 --> 00:03:12.721]  Obama says so.
[00:03:12.881 --> 00:03:14.823]  It's a good thing, ladies and gentlemen.
[00:03:16.690 --> 00:03:19.793]  It's a very, very, very good thing.
[00:03:20.274 --> 00:03:28.122]  Sonoma County man battling cancer denied coverage by Anaheim Blue Cross after paying $100,000 to them.
[00:03:30.838 --> 00:03:36.580]  And if we continue here with the news, and you guys can just punch it up on screen in there too if you'd like that.
[00:03:36.600 --> 00:03:38.060]  It's even clearer for folks.
[00:03:39.021 --> 00:03:45.503]  Cancer patient, again below that story, is it Bilderberg Conference or is it a conspiracy?
[00:03:45.983 --> 00:03:47.843]  Well first mainstream media said it didn't exist.
[00:03:47.903 --> 00:03:52.905]  Now they're being forced to report on it because DrudgeReport.com, Infowars.com and others are covering it.
[00:03:53.805 --> 00:03:58.427]  Days after we start covering it, they're now forced to cover it.
[00:03:59.267 --> 00:04:10.533]  And then below the all-seeing eye right there, you can see world's most powerful to debate privacy and the internet.
[00:04:11.793 --> 00:04:15.055]  And reporters arrested as cloak of secrecy descends.
[00:04:15.615 --> 00:04:17.456]  That's an InfoWars.com article.
[00:04:17.996 --> 00:04:24.480]  And then Atlanta mayor rising star, means he's presidential material, that he's at Bilderberg as well.
[00:04:24.520 --> 00:04:26.661]  That's reported by local Atlanta TV.
[00:04:28.399 --> 00:04:32.942]  And then the most important article of the day, when I saw this at 6 a.m.
[00:04:32.962 --> 00:04:39.867]  this morning, I called our writers and said, can we please write an article about this and tie it into all the other articles we've written?
[00:04:40.408 --> 00:04:42.049]  Because now it's hit the mainstream.
[00:04:43.049 --> 00:04:48.854]  The Washington Times, with the public document, reports that Obama, hold on to your hat here,
[00:04:49.912 --> 00:04:53.601]  Now you already know this, but this is now admitted in a new document.
[00:04:54.223 --> 00:04:58.172]  Once the military prepared for war with the American people to stop civil unrest...
[00:05:00.063 --> 00:05:07.368]  And to quote, use drones, drones against the American people.
[00:05:07.408 --> 00:05:14.972]  In fact, the Washington Times headline should be, Obama readies military with drones to suppress dissent in America.
[00:05:14.992 --> 00:05:18.275]  Because you read the document that they're linked to in the article.
[00:05:18.715 --> 00:05:19.595]  Guys, I forgot to print it.
[00:05:19.635 --> 00:05:20.976]  Link through the document, print it for me.
[00:05:22.357 --> 00:05:28.241]  And it's all right there in the article.
[00:05:30.003 --> 00:05:34.047]  I mean the total preparation in the document for treasonous war.
[00:05:35.717 --> 00:05:39.720]  A chemical spill contaminating the water supply in nine West Virginia counties.
[00:05:39.740 --> 00:05:43.903]  This year alone, over 300,000 people in West Virginia had their drinking water contaminated.
[00:05:44.123 --> 00:05:47.546]  What are the health effects of having these drugs in our drinking water?
[00:05:47.786 --> 00:05:50.668]  It's forced medical treatment without the consent of residents.
[00:05:50.828 --> 00:05:58.193]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[00:05:58.413 --> 00:06:02.036]  On average, the county says it sprays with glyphosate at least once a week.
[00:06:02.296 --> 00:06:06.537]  Few filters cut out the glyphosate that is found in water supplies worldwide.
[00:06:06.717 --> 00:06:12.639]  Remove pesticides, herbicides, chloramines, hydrofluorosilicic acid, sodium hexafluorosilicate.
[00:06:12.679 --> 00:06:16.439]  Fluoride, it's in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[00:06:16.619 --> 00:06:19.160]  It is our responsibility to protect our families.
[00:06:19.360 --> 00:06:20.720]  The establishment's not going to do it.
[00:06:20.860 --> 00:06:22.101]  It's time to take action.
[00:06:22.221 --> 00:06:23.941]  It's time to filter our water.
[00:06:24.061 --> 00:06:31.183]  Visit InfoWarsThor.com and use promo code WATER to get 10% off their entire family of incredible products.
[00:06:31.423 --> 00:06:34.725]  Our call toll free, 888-253-3139.
[00:06:34.805 --> 00:06:39.088]  Hi folks, Alex Jones here with some important information.
[00:06:39.348 --> 00:06:44.231]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[00:06:44.491 --> 00:06:52.356]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
[00:06:52.596 --> 00:06:56.919]  Deciding to take action, a company run by Patriots for Patriots was born.
[00:06:57.139 --> 00:07:00.941]  MyPatriotSupply has never taken a loan or accepted outside funding.
[00:07:01.081 --> 00:07:06.804]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:07:07.044 --> 00:07:09.806]  It is rare to find companies who practice what they preach.
[00:07:10.206 --> 00:07:15.429]  And that's why I stock my pantry with high-quality storable foods from My Patriot Supply.
[00:07:15.589 --> 00:07:23.614]  Go to mypatriotsupply.com forward slash alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:07:28.217 --> 00:07:30.098]  That's 866-229-0927.
[00:07:30.298 --> 00:07:32.659]  Do business with someone who shares your values.
[00:07:32.919 --> 00:07:35.581]  BuyPatriotSupply.com slash Alex.
[00:07:37.350 --> 00:07:38.411]  In the near future.
[00:07:38.691 --> 00:07:42.332]  When you realize how fake it all is, the football, the basketball.
[00:07:42.353 --> 00:07:42.833]  Security alert.
[00:07:43.173 --> 00:07:44.193]  Security alert.
[00:07:44.414 --> 00:07:46.134]  This is Homeland Security.
[00:07:46.414 --> 00:07:47.015]  Analysis.
[00:07:47.295 --> 00:07:47.955]  InfoWars.
[00:07:48.015 --> 00:07:50.096]  Building independent media operations.
[00:07:50.116 --> 00:07:54.959]  But the worst people get controlled and tell us that we are the ones responsible.
[00:07:54.999 --> 00:07:55.979]  Prime Directive.
[00:07:56.039 --> 00:07:57.500]  Discredit Alex Jones.
[00:07:57.580 --> 00:08:00.361]  Jones is the wildly popular conspiracy theorist.
[00:08:00.421 --> 00:08:03.503]  A popular conspiracy theory talk show called InfoWars.
[00:08:03.683 --> 00:08:05.844]  Alex Jones is now in an Austin jail.
[00:08:05.964 --> 00:08:07.445]  These people are assaulting us!
[00:08:07.485 --> 00:08:09.626]  Targeting of patriots engaged.
[00:08:10.306 --> 00:08:11.987]  They are never going to stop.
[00:08:12.267 --> 00:08:16.148]  They're never going to deviate from their program until we stop them.
[00:08:16.328 --> 00:08:19.510]  Block free iPhone ads at InfoWars.com.
[00:08:19.910 --> 00:08:22.551]  Block free podcast and video feed.
[00:08:23.271 --> 00:08:23.992]  Imperative.
[00:08:24.272 --> 00:08:26.273]  Deploy prison senate TV.
[00:08:26.293 --> 00:08:30.675]  You gotta set your eye on the enemy, not worry about what propaganda they put out.
[00:08:30.955 --> 00:08:32.315]  Intellectually, it's begun.
