[00:00:05.034 --> 00:00:06.254]  There is a war.
[00:00:06.695 --> 00:00:07.655]  It's happening now.
[00:00:08.575 --> 00:00:10.396]  It will decide the fate of humanity.
[00:00:10.936 --> 00:00:12.757]  The time to choose sides has come.
[00:00:13.517 --> 00:00:14.978]  We are the resistance.
[00:00:15.418 --> 00:00:17.258]  We are the Infowar.
[00:00:23.060 --> 00:00:24.621]  Welcome to the Infowar's Nightly News.
[00:00:24.741 --> 00:00:25.381]  I'm David Knight.
[00:00:25.421 --> 00:00:26.442]  It's Monday, October 13th, 2014.
[00:00:26.502 --> 00:00:27.462]  Here are our top stories.
[00:00:27.482 --> 00:00:27.722]  Tonight.
[00:00:34.241 --> 00:00:42.985]  Bill Clinton admittedly, I saw the numbers a few months ago, more than half the tens of millions he raises a year with his charity goes for his fleet of private jets.
[00:01:01.334 --> 00:01:05.800]  Well, of course, yesterday we learned that now we have a second Ebola patient in the United States.
[00:01:06.221 --> 00:01:09.465]  The first time it's been transmitted within the United States.
[00:01:09.525 --> 00:01:12.409]  And this was to a health care worker who was wearing protective clothing.
[00:01:13.476 --> 00:01:19.658]  She was wearing a full protective gown, gloves, and face shields as she cared for Mr. Duncan.
[00:01:20.078 --> 00:01:27.181]  Now, the Chief Clinical Officer, Dr. David Varga, said this individual was following full CDC guidelines.
[00:01:27.541 --> 00:01:28.841]  We're very concerned.
[00:01:29.582 --> 00:01:30.382]  We're all concerned.
[00:01:30.682 --> 00:01:36.844]  The first response from the CDC appeared to throw blame on the staff there, saying they didn't believe that protocols had been followed.
[00:01:37.104 --> 00:01:41.506]  And of course, we've seen this in Spain as well, but this is what American nurses had to say.
[00:01:42.042 --> 00:01:46.944]  When the nurses become infected, they are blamed for not following the protocols.
[00:01:47.384 --> 00:01:48.624]  That is not going to work.
[00:01:49.264 --> 00:01:55.766]  And of course, as it spread in Spain, they criticized health care workers, threw them under the bus, but they weren't having any of it.
[00:01:55.846 --> 00:01:59.968]  They threw their surgical gloves at the health officials who were criticizing them.
[00:02:00.308 --> 00:02:06.990]  Now take a look at the local health care official, Judge Jenkins, who's really in charge of the response there in Dallas.
[00:02:07.350 --> 00:02:21.066]  Look at the difference in where he was about a week or so ago as he addressed people and told them about how he had gone into the apartment, he stayed with the people, he transported them, and he was at a press conference wearing the same shirt.
[00:02:21.106 --> 00:02:22.368]  Here's that clip from a week ago.
[00:02:22.828 --> 00:02:26.891]  I'm wearing the same shirt I was when I was in the car with that family.
[00:02:27.071 --> 00:02:32.336]  If there were any risk, I would not expose myself or my family.
[00:02:32.356 --> 00:02:33.957]  So that was about a week ago.
[00:02:34.077 --> 00:02:37.660]  Look at the difference in tone yesterday as he announced that it has spread.
[00:02:43.583 --> 00:03:03.435]  The people that were self-monitoring, all of whom are health care professionals, will now be monitored twice daily by epidemiologists and interviewed today by CDC epidemiologists.
[00:03:03.800 --> 00:03:13.508]  Now what he eventually got around to saying was that 48 health care workers that they previously didn't consider to be a high enough risk to monitor, they are going to start monitoring them now.
[00:03:14.008 --> 00:03:22.095]  We also learned from the Telegraph that when the nurse went to the emergency room, she was waiting for 90 minutes before they put her in treatment.
[00:03:22.595 --> 00:03:25.558]  Now the CDC chief is also changing his tone.
[00:03:25.958 --> 00:03:32.803]  He says that they now need to rethink how they're going to address infection control as the outbreak of the deadly virus has spread.
[00:03:33.624 --> 00:03:35.486]  They're going to have a new strategy, evidently.
[00:03:36.147 --> 00:03:38.069]  I wasn't aware that they had a strategy.
[00:03:38.549 --> 00:03:41.533]  Do they have any way that they're planning to contain this?
[00:03:41.573 --> 00:03:43.254]  Of course, there is no treatment for it.
[00:03:43.675 --> 00:03:44.836]  There's not any cure.
[00:03:44.896 --> 00:03:50.963]  All they can do is provide some medical care, and we're severely limited in that, but they're going to rethink this.
[00:03:51.043 --> 00:03:55.347]  I would like to know what their strategy is, if they really, in fact, have one.
[00:03:55.888 --> 00:03:58.590]  We haven't even heard mistakes have been made.
[00:03:58.810 --> 00:04:00.231]  They haven't even got that far.
[00:04:00.271 --> 00:04:02.732]  We certainly haven't heard a coherent strategy.
[00:04:03.032 --> 00:04:10.036]  We've seen them issuing quarantine orders and then going into the apartment and then walking into a press conference afterwards.
[00:04:10.076 --> 00:04:14.219]  That's the kind of inconsistency that we've seen as it looks like they're trying to spread this.
[00:04:14.599 --> 00:04:19.502]  Now the WHO is saying that Ebola is the modern era's worst health emergency.
