[00:00:01.732 --> 00:00:02.894]  Coast to coast.
[00:00:03.275 --> 00:00:04.617]  Direct from Austin.
[00:00:05.319 --> 00:00:08.524]  You're listening to the Alex Jones Broadcasting Network.
[00:00:14.659 --> 00:00:15.280]  Big Brother.
[00:00:15.960 --> 00:00:16.981]  Mainstream media.
[00:00:17.722 --> 00:00:18.843]  Government cover-ups.
[00:00:19.484 --> 00:00:20.285]  You want answers?
[00:00:21.086 --> 00:00:21.967]  Well, so does he.
[00:00:22.627 --> 00:00:26.231]  He's Alex Jones on the GCN Radio Network.
[00:00:26.812 --> 00:00:30.876]  And now, live from Austin, Texas, Alex Jones.
[00:00:43.934 --> 00:00:53.217]  You know all those smart meters they've been putting in the last decade across the United States that had all the software in them to track every device in your house?
[00:00:54.237 --> 00:01:00.199]  Oh, the Feds are pushing software to monitor Americans' energy use.
[00:01:00.239 --> 00:01:01.559]  That's CNS News.
[00:01:02.239 --> 00:01:07.941]  And they're going to track everything you do and tax you for your usage on top of the taxes that are already there.
[00:01:08.806 --> 00:01:11.028]  And by the way, that was always in the white papers.
[00:01:11.448 --> 00:01:14.871]  That was always the big plans with Enron and others that develop these systems.
[00:01:15.652 --> 00:01:25.420]  All the major corporate rollouts that are happening of technology have the Trojan horse tracking taxation social control system built into them.
[00:01:26.636 --> 00:01:28.837]  And yuppies and people say, well, I don't care if they listen to me.
[00:01:29.457 --> 00:01:31.777]  Well, why has it always been illegal in free countries?
[00:01:31.837 --> 00:01:34.918]  Because it's used to oppress and rob you dummies.
[00:01:35.559 --> 00:01:37.039]  You're like, well, I don't have anything to hide.
[00:01:37.239 --> 00:01:37.939]  I'll submit.
[00:01:37.959 --> 00:01:40.660]  And you will submit right into a forced labor camp.
[00:01:42.340 --> 00:01:43.901]  That's where this goes, fools.
[00:01:47.543 --> 00:01:50.924]  And we've got Obamacare bailout plan for insurance companies.
[00:01:52.425 --> 00:01:53.145]  That's coming up.
[00:01:53.225 --> 00:01:54.606]  Huge meltdowns on that front.
[00:01:54.626 --> 00:01:56.487]  The feds are now probing Chris Christie.
