[00:00:05.579 --> 00:00:05.760]  Yeah.
[00:00:10.580 --> 00:00:12.961]  I'm Joe Biggs with InfoWars.com.
[00:00:13.261 --> 00:00:21.223]  Now, last week there was a British invasion at a 19th Special Forces Warfare Group at a National Guard base in Utah.
[00:00:21.643 --> 00:00:24.603]  These women converged on there and attacked these men.
[00:00:24.843 --> 00:00:25.524]  It was crazy.
[00:00:26.124 --> 00:00:30.525]  Women in bikinis everywhere, bouncing up and down, shooting guns and driving tanks.
[00:00:31.005 --> 00:00:34.626]  Yes, the tyranny is real, and it's happening in Utah.
[00:00:35.246 --> 00:00:39.647]  Now, members of the Utah's National Guard 19th Special Forces Group allegedly
[00:00:40.387 --> 00:00:44.990]  Allegedly, hosted sexy British swimsuit models at their compound.
[00:00:45.591 --> 00:00:52.095]  Now the deviation from their mission to train for paramilitary operations has been met with an investigation.
[00:00:54.277 --> 00:00:54.457]  Yes.
[00:01:10.894 --> 00:01:14.578]  Yes, an investigation by the National Guard.
[00:01:15.018 --> 00:01:17.520]  And they're going to do this internally, I'm sure.
[00:01:17.961 --> 00:01:22.365]  Because, being a former soldier myself, I know we like to get to the bottom of things.
[00:01:22.765 --> 00:01:25.488]  Especially when those things are British models.
[00:01:34.554 --> 00:01:38.457]  This year we're shooting the calendar in Utah in the US of a British model.
[00:01:38.497 --> 00:01:46.882]  Rosie Jones says at the introduction of the video, which was posted on YouTube last week, we've got loads of tanks, boats and loads of guns.
[00:01:47.422 --> 00:01:59.110]  So these women are ready to come in here and use up all of our equipment and take these special forces guys attention away from the terrible ISIS threat that is lurking its head around every corner.
[00:01:59.904 --> 00:02:11.767]  Meanwhile, our special forces in men in uniform are more focused on the lush mountains in Europe than have traveled all the way into Utah at the National Guard compound.
[00:02:20.569 --> 00:02:22.749]  Because I'm only small, they've given me the minigun.
[00:02:22.769 --> 00:02:25.070]  Okay, go ahead and hit that button.
[00:02:30.390 --> 00:02:47.902]  The Utah National Guard put out a statement regarding its investigation that reads in part, use of military equipment facilities and personnel and civilian for profit endeavors such as this requires approval of National Guard Bureau of Public Affairs through the respective state National Guard headquarters.
[00:02:48.502 --> 00:02:50.624]  There was no official approval for this project.
[00:02:50.904 --> 00:02:59.250]  The investigation will determine if Utah National Guard equipment facilities and personnel were used to shoot this scantily clad
[00:03:00.595 --> 00:03:04.759]  Hot Shots 2015 calendar with extremely beautiful women.
[00:03:05.359 --> 00:03:20.652]  Because there's no way in hell that the special forces men in uniform who deploy all the time and fight the bad guys for America would anyway allow these beautiful women from Britain to come over and shoot their guns and play on their equipment.
[00:03:22.313 --> 00:03:23.114]  That would never happen.
[00:03:25.405 --> 00:03:33.753]  Utah's Democratic House Minority Leader, Jennifer Seeling, was quick to voice her disapproval of any participation by the Utah soldiers, saying,
[00:03:42.842 --> 00:03:44.123]  ISIS isn't on its way.
[00:03:44.143 --> 00:03:44.984]  It's here.
[00:03:45.464 --> 00:03:47.345]  Ebola isn't on its way here.
[00:03:47.365 --> 00:03:47.946]  It's here now.
[00:03:48.346 --> 00:03:51.508]  And these beautiful British models are no longer on their way.
[00:03:51.928 --> 00:03:52.468]  They're here.
[00:03:52.508 --> 00:03:55.751]  They've landed at the Utah National Guard base.
[00:03:56.411 --> 00:04:01.474]  And I promise you, I will continue to bring updates on this story as they unfold.
[00:04:01.935 --> 00:04:10.821]  Now, I know the National Guard's not quite equipped to deal with Ebola in West Africa, but I am willing to bet my entire life that they're willing to deal with this.
[00:04:11.781 --> 00:04:19.265]  And do a very deep, thorough investigation into all of these women and find out whether or not there's any guilt to be had.
[00:04:20.065 --> 00:04:22.127]  Once again, I'm Joe Biggs with InfoWars.com.
[00:04:29.929 --> 00:04:33.251]  The globalist social engineers are not just targeting us with propaganda.
[00:04:33.351 --> 00:04:35.592]  They are manipulating our genetics.
[00:04:35.772 --> 00:04:49.999]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs, sourced from powerful organic herbs and then concentrated for maximum potency.
[00:04:50.299 --> 00:04:55.673]  Super male vitality was developed to activate your body's own natural processes.
[00:04:55.933 --> 00:04:59.863]  Visit Infowarslife.com today to secure your super male vitality.
