[00:00:02.017 --> 00:00:04.842]  Coast to Coast, direct from Austin.
[00:00:05.603 --> 00:00:08.808]  You're listening to the Alex Jones Broadcasting Network.
[00:00:16.263 --> 00:00:16.884]  Big Brother.
[00:00:17.565 --> 00:00:18.586]  Mainstream media.
[00:00:19.327 --> 00:00:20.428]  Government cover-ups.
[00:00:21.089 --> 00:00:21.890]  You want answers?
[00:00:22.671 --> 00:00:23.573]  Well, so does he.
[00:00:24.213 --> 00:00:27.878]  He's Alex Jones on the GCN Radio Network.
[00:00:28.439 --> 00:00:32.484]  And now, live from Austin, Texas, Alex Jones.
[00:00:35.700 --> 00:00:36.961]  Welcome to the Alex Jones Show.
[00:00:37.001 --> 00:00:40.822]  I'm David Knight, here on this Monday, August 25th, 2014.
[00:00:41.503 --> 00:00:45.764]  Well, it's wars, rumors of wars, and earthquakes in the news.
[00:00:45.784 --> 00:00:47.905]  And we've got a lot of important news coming up.
[00:00:48.706 --> 00:00:53.448]  We've had, just yesterday, of course, as you know by now, there was a major earthquake in California.
[00:00:53.488 --> 00:01:00.231]  What you may not know is that although that was a 6.1 magnitude earthquake, there was an earthquake also in Peru.
[00:01:00.771 --> 00:01:04.092]  That was kind of overlooked for the most part with all the news about California.
[00:01:04.492 --> 00:01:05.873]  That one in Peru was 6.9.
[00:01:06.853 --> 00:01:13.315]  And of course at the time that all this was going on, there was news that Iceland was concerned about a new volcanic eruption.
[00:01:13.335 --> 00:01:16.496]  They were putting out warnings to airliners going in that area.
[00:01:17.256 --> 00:01:29.103]  They had warned of a sub-glacial earthquake underneath this volcano, then they have now taken that back, yet there's a lot of activity, a lot of increased earthquake, seismic activity.
[00:01:29.543 --> 00:01:34.566]  We talked just four months ago to Stan Dayo, and we're going to have him back in the third hour.
[00:01:34.626 --> 00:01:38.589]  We talked to him about the increase in earthquake activity, seismic activity.
[00:01:39.329 --> 00:01:40.590]  What in the world is going on?
[00:01:40.650 --> 00:01:43.632]  Well, that's something we should all be concerned about because in California,
[00:01:44.272 --> 00:01:53.078]  You only got a 10-second warning if you were in that area about the earthquake coming, and they were all talking about how amazing that was that they could predict it 10 seconds ahead of time.
[00:01:53.618 --> 00:02:02.864]  Well, maybe you need to think about this a little bit longer than 10 seconds beforehand, because you're not going to be able to do much other than try to duck and cover.
[00:02:03.624 --> 00:02:22.934]  Maybe you should start thinking about the possibility of this happening and make longer-term preparations in case we have not just an earthquake but any kind of natural disaster or man-made disaster or war or whatever terrorist event that is going to essentially take down the grid and leave you without water, without food.
[00:02:23.434 --> 00:02:24.935]  Maybe you need to start preparing.
[00:02:24.975 --> 00:02:28.357]  Maybe you need to think about what's happening and think about the changes that are going on.
[00:02:29.116 --> 00:02:33.122]  Also, as far as the war goes, it was just a year ago that the U.S.
[00:02:33.142 --> 00:02:35.045]  government was pushing for war in Syria.
[00:02:35.065 --> 00:02:41.875]  Now they're using it again on the other side with this new execution of the American journalist, Mr. Foley.
[00:02:44.662 --> 00:02:53.091]  It has now come out over the weekend that experts in the UK believe that this beheading was perhaps a faked video.
[00:02:53.111 --> 00:02:56.795]  They came down and said very clearly that this one group believes that it was fake.
[00:02:56.815 --> 00:03:02.481]  So we're going to talk to Paul Joseph Watson who has a couple of articles up on Infowars.com right now.
[00:03:03.301 --> 00:03:08.104]  Staged Foley beheading used as a poster child for the Syria attack is one of the articles.
[00:03:08.504 --> 00:03:13.807]  The other one is experts say that the James Foley beheading video was likely a fake.
[00:03:13.907 --> 00:03:16.048]  And so he's going to be joining us in this hour.
[00:03:16.068 --> 00:03:20.650]  We're also going to have an interview with Alex Jones and Joe Rogan.
[00:03:20.730 --> 00:03:22.331]  Alex Jones interviewed Joe Rogan.
[00:03:22.351 --> 00:03:23.492]  That's going to be in the second hour.
[00:03:23.552 --> 00:03:25.193]  You want to make sure you catch that.
[00:03:26.093 --> 00:03:28.454]  A lot of news also about the border.
[00:03:28.794 --> 00:03:35.955]  Obama, of course, is now talking yet again about an executive order for amnesty because Congress is out right now.
[00:03:36.055 --> 00:03:36.976]  They're on vacation.
[00:03:37.876 --> 00:03:39.876]  And, you know, they've tried over and over again.
[00:03:39.916 --> 00:03:42.997]  He hasn't gotten exactly what he wanted from the legislature.
[00:03:43.017 --> 00:03:48.979]  You know, the Democratic process just isn't working out for him with those elected representatives who are supposed to pass a law.
[00:03:49.059 --> 00:03:54.680]  So if he doesn't get what he wants, he's going to enact an executive order, he's threatened.
[00:03:55.240 --> 00:03:58.141]  And a lot of people believe that he's really going to make good on that threat.
[00:03:58.482 --> 00:04:04.624]  It's kind of like what they did with the internet copyright laws of CISPA, SOPA, ACTA, PIPA.
[00:04:05.065 --> 00:04:12.588]  These things have been rejected by legislatures throughout America, throughout Europe, yet they keep coming back again and again and again.
[00:04:13.128 --> 00:04:18.050]  Now they get to the point where they're going to essentially put it in the back door through the Trans-Pacific Partnership.
[00:04:18.070 --> 00:04:21.752]  So, you know, they can rule by fiat a number of ways.
[00:04:21.812 --> 00:04:23.473]  You can do it by executive order.
[00:04:24.133 --> 00:04:32.199]  You can do it by regulation with a bureaucracy, because they create these bureaucracies, they give them legislative powers, and they say, well, we're just making rules.
[00:04:32.799 --> 00:04:40.585]  It was just a week ago that the National Highway Traffic Safety Association, that bureaucracy, said that they were going to come up with a new rule.
[00:04:40.825 --> 00:04:45.409]  They don't call it a law, but they call it a rule, mandating vehicle-to-vehicle communication.
[00:04:46.149 --> 00:04:46.810]  What's that about?
[00:04:47.190 --> 00:04:48.331]  We'll talk about that as well.
[00:04:48.411 --> 00:04:49.011]  So stay with us.
[00:04:49.031 --> 00:04:49.872]  We're going to be right back.
[00:04:50.232 --> 00:05:00.259]  Paul Joseph Watson is going to be joining us this hour talking about the possibility of war in Syria and the possibility of a fake beheading trying to drive us to war.
