[00:00:21.909 --> 00:00:28.512]  Tonight, the NYPD uses flag vandalism to justify mass spying.
[00:00:29.252 --> 00:00:33.473]  Then, will military vehicles draw new attention to the police state?
[00:00:34.034 --> 00:00:39.216]  And how Alex Jones predicted Jesse Ventura's vindication in the Chris Kyle scandal.
[00:00:39.696 --> 00:00:42.977]  That's next on the Info Wars Nightly News.
[00:00:43.617 --> 00:00:47.479]  Imagine if someone said that you were glad Navy SEALs were dead.
[00:00:47.879 --> 00:00:50.520]  He told them, look, you retract it, I won't sue you.
[00:00:51.397 --> 00:00:58.519]  Welcome, my friends, to the Tuesday, July 29, 2014 edition of Infowars Nightly News.
[00:00:59.220 --> 00:01:09.283]  I'm your host, Alex Jones, and we're going to have Leanne McAdoo coming into studio here in just a few minutes to break down all of the day's important information.
[00:01:09.683 --> 00:01:16.686]  But first off, I wanted to spend just a few minutes here tonight talking about Jesse Ventura.
[00:01:17.446 --> 00:01:20.869]  This story is a lot bigger than just Jesse Ventura.
[00:01:20.989 --> 00:01:22.370]  It's about hit pieces.
[00:01:23.130 --> 00:01:24.571]  It's about propaganda.
[00:01:25.292 --> 00:01:40.123]  It's about how the establishment media loves to try to defame and destroy people's reputation so that they can't be politically active for 9-11 truth or anti-war or pro-Second Amendment type activities.
[00:01:41.604 --> 00:01:49.528]  And here at InfoWars Nightly News, we pride ourselves for standing up against the little guy when the establishment tries to destroy them.
[00:01:50.209 --> 00:01:51.749]  Today, at about 1 p.m.
[00:01:52.010 --> 00:02:05.877]  Central, the jury came back and decided in favor of a $1.8 million settlement for former Minnesota Governor Jesse Ventura in his lawsuit against Chris Kyle, who wrote the book
[00:02:07.250 --> 00:02:16.158]  Detailing his claims that Jesse Ventura was happy that Navy SEALs were dead, so Chris Kyle knocked him out with one punch.
[00:02:16.858 --> 00:02:30.410]  I was the person that got a hold of Ventura in Mexico and first told him about this back in January of 2012, more than two years ago, and reportedly Ventura will be on the show tomorrow to respond first on radio to what's happened.
[00:02:30.911 --> 00:02:32.812]  He didn't put out an official statement today, but he
[00:02:33.573 --> 00:02:36.875]  Told the public through his lawyer that no one is a winner in this.
[00:02:37.475 --> 00:02:41.578]  And he said that he had to spend a lot of money to try to clear his name.
[00:02:42.439 --> 00:02:44.540]  But that no such encounter ever happened.
