[00:00:00.109 --> 00:00:00.669]  Network.
[00:00:08.212 --> 00:00:08.873]  Big Brother.
[00:00:09.533 --> 00:00:10.573]  Mainstream media.
[00:00:11.294 --> 00:00:12.434]  Government cover-ups.
[00:00:13.054 --> 00:00:13.875]  You want answers?
[00:00:14.635 --> 00:00:15.515]  Well, so does he.
[00:00:16.195 --> 00:00:19.817]  He's Alex Jones on the GCN Radio Network.
[00:00:20.377 --> 00:00:24.459]  And now, live from Austin, Texas, Alex Jones.
[00:00:38.775 --> 00:00:42.262]  Ladies and gentlemen, thank you for joining us on this live Friday edition.
[00:00:42.303 --> 00:00:46.451]  It is the 18th day already, ladies and gentlemen, of July.
[00:00:48.545 --> 00:01:11.661]  If major escalations in the ongoing Crimean War intensify Saturday, I will come in and do an emergency live report over the audio and video streams on InfoWars.com and PrisonPlanet.com and stations will be welcome to tune to our internet feed or to play any clips on their news if they want our analysis.
[00:01:12.768 --> 00:01:17.696]  And I'll be live with the main radio show this Sunday in studio 4 to 6 p.m.
[00:01:17.756 --> 00:01:19.198]  Central Standard Time.
[00:01:20.380 --> 00:01:22.282]  We're gonna be here for three hours today.
[00:01:22.302 --> 00:01:23.444]  You know, I feel bad for...
[00:01:24.574 --> 00:01:42.645]  Kevin Sorbo and the director of a new film that were scheduled to be on the show today were having to move them because obviously this could trigger a much larger war and this mirrors the things that brought us into conflicts like World War I and World War II.
[00:01:43.466 --> 00:01:53.092]  We've been talking the last few years about the build-up towards a world war and the Rand Corporation basically called for one three years ago to bring in the world government
[00:01:54.102 --> 00:02:06.927]  Most mainline historians, every week there's national, international headlines about the world lining up for a new world war and that that being in the air and this being the season.
[00:02:10.148 --> 00:02:22.973]  The season, ladies and gentlemen, it's not the season of love, it is the season of global crises to destroy the old systems and on the ashes of it build a planetary tyranny.
[00:02:24.090 --> 00:02:28.332]  Paul Watson is joining us coming up the next segment with analysis.
[00:02:28.793 --> 00:02:32.034]  Obama and neocons get ball rolling on World War III.
[00:02:32.735 --> 00:02:39.098]  Video, did Ukraine fabricate evidence to frame Russia for MH17 shoot down, killing over 300 people?
[00:02:39.498 --> 00:02:44.221]  Was flight MH17 diverted over restricted airspace as zero hedge?
[00:02:44.841 --> 00:02:49.084]  Was the shoot down of the passenger jet over Ukraine a false flag?
[00:02:49.944 --> 00:02:54.949]  Obama visits burger joint after Malaysian Airlines jet shot down, says he's starving.
