[00:00:18.888 --> 00:00:21.751]  Welcome to this live edition of the InfoWars Nightly News.
[00:00:21.831 --> 00:00:25.074]  I'm David Knight with Leanne McAdoo on this Thursday, August 14, 2014.
[00:00:25.134 --> 00:00:25.935]  Here are our top stories.
[00:00:31.428 --> 00:00:39.090]  Tonight, shocking video from the front lines of the Info War, as Ferguson Police deliberately target journalists.
[00:00:39.470 --> 00:00:42.551]  The truth about the Ferguson riots and martial law.
[00:00:42.871 --> 00:00:46.132]  Because the police state isn't coming, it's already here.
[00:00:46.452 --> 00:00:49.533]  That's up next on the Info War's Nightly News.
[00:00:54.957 --> 00:00:59.059]  We're going to be joining our reporters who are live on the scene in Ferguson, Missouri, tonight.
[00:00:59.119 --> 00:01:02.501]  But first, we want to break down for you what's been happening this last week.
[00:01:03.001 --> 00:01:10.425]  As Paul Joseph Watson pointed out in his story, data on Infowars.com, he said, Ferguson police were essentially AWOL back on Sunday when we had the looting.
[00:01:10.445 --> 00:01:16.087]  Yet last night, they were out in force to crush the First Amendment and to arrest journalists.
[00:01:16.508 --> 00:01:21.010]  With authorities attempting to enforce an arbitrary nighttime ban on protests and peaceful demonstrators,
[00:01:21.570 --> 00:01:26.453]  They were telling everyone last night, first you can come into one area, now you've got to move to another area.
[00:01:26.793 --> 00:01:35.498]  You've got to leave right away, and if you don't, that essentially gives them a pretest to arrest you, or they can gas you, or they can shoot you with rubber bullets.
[00:01:35.659 --> 00:01:40.181]  All of those things were happening last night to journalists, not just to peaceful demonstrators.
[00:01:40.521 --> 00:01:46.625]  Now, the journalists who were arrested were the Washington Post's Wesley Lowry and the Huffington Post's Ryan Riley.
[00:01:47.025 --> 00:01:49.267]  They were arrested, says the Washington Post reporter.
[00:01:49.787 --> 00:01:58.615]  He said it was a legal assault on the freedom of press to cover the news, and the Huffington Post reporter said he was handcuffed as he was charging his phone at a local McDonald's.
[00:01:58.655 --> 00:02:03.720]  He said the cops arrested him because he was photographing them, which, of course, is legal.
[00:02:04.120 --> 00:02:07.163]  There is no expectation of privacy in a public area.
[00:02:07.423 --> 00:02:11.387]  There is no expectation of privacy in an area that is open to the public.
[00:02:11.707 --> 00:02:13.088]  In a business like McDonald's.
[00:02:13.348 --> 00:02:16.771]  He said he didn't pack his bag quickly enough, so they arrested him.
