[00:00:04.946 --> 00:00:06.187]  There is a war.
[00:00:06.627 --> 00:00:07.608]  It's happening now.
[00:00:08.508 --> 00:00:10.310]  It will decide the fate of humanity.
[00:00:10.890 --> 00:00:12.691]  The time to choose sides has come.
[00:00:13.452 --> 00:00:14.893]  We are the resistance.
[00:00:15.353 --> 00:00:17.235]  We are the Infowar.
[00:00:23.039 --> 00:00:24.580]  Welcome to the Infowar's Nightly News.
[00:00:24.660 --> 00:00:25.420]  I'm David Knight.
[00:00:25.540 --> 00:00:27.622]  It's Thursday, September 25th, 2014, and here are our top stories.
[00:00:27.642 --> 00:00:27.862]  Tonight,
[00:00:35.014 --> 00:00:38.895]  The United Nations' newest scheme to infringe on gun rights.
[00:00:39.716 --> 00:00:42.897]  Then, how the car kill switch could affect you.
[00:00:43.717 --> 00:00:46.538]  And why is the Attorney General stepping down?
[00:00:46.558 --> 00:00:48.239]  Uh, I don't know.
[00:00:48.719 --> 00:00:49.159]  I don't know.
[00:00:49.199 --> 00:00:52.820]  That's next on the InfoWars Nightly News.
[00:00:53.280 --> 00:00:54.921]  No, it's about Fast and Furious.
[00:00:54.941 --> 00:00:57.822]  It's about the IRS targeting the Tea Party.
[00:00:58.002 --> 00:01:00.943]  He is now stepping down so they can reshuffle things.
[00:01:01.800 --> 00:01:05.954]  Well, Obama's attorney criminal, Eric Holder, has announced that he's going to step down.
[00:01:06.698 --> 00:01:08.359]  It remains to be seen what he's going to do.
[00:01:08.379 --> 00:01:10.320]  Of course, he's not being indicted, unfortunately.
[00:01:10.380 --> 00:01:14.562]  He's going to retire with full benefits, and we'll see what he does afterwards.
[00:01:14.622 --> 00:01:17.023]  Is he going to be a university doctorate?
[00:01:17.103 --> 00:01:18.163]  Is he going to be a lawyer?
[00:01:18.663 --> 00:01:19.924]  Or maybe a CEO chief?
[00:01:20.464 --> 00:01:25.406]  Now, his tenure at the Justice Department was marked by a lot of efforts to take down the Second Amendment.
