[00:00:04.946 --> 00:00:06.167]  There is a war.
[00:00:06.627 --> 00:00:07.628]  It's happening now.
[00:00:08.489 --> 00:00:10.310]  It will decide the fate of humanity.
[00:00:10.870 --> 00:00:12.692]  The time to choose sides has come.
[00:00:13.452 --> 00:00:14.913]  We are the resistance.
[00:00:15.374 --> 00:00:17.195]  We are the InfoWar.
[00:00:22.999 --> 00:00:24.961]  Welcome to the InfoWar's nightly news.
[00:00:25.021 --> 00:00:29.184]  It is Tuesday, September 30th, 2014, and I'm Leanne McAdoo.
[00:00:29.504 --> 00:00:30.545]  Here's what's coming up tonight.
[00:00:32.586 --> 00:00:33.027]  Tonight,
[00:00:34.909 --> 00:00:38.291]  Has Ebola's Patient Zero arrived in Dallas?
[00:00:38.831 --> 00:00:41.952]  Then, guess who's monitoring Twitter and Facebook?
[00:00:42.373 --> 00:00:46.335]  And why has the President missed over half of his daily briefings?
[00:00:46.855 --> 00:00:50.777]  That's next, on the InfoWars Nightly News!
[00:00:51.277 --> 00:00:56.841]  They're trying to say they want to run down our God, Obama, who's the puppet front man for the globalists.
[00:00:57.181 --> 00:00:58.862]  They're saying they want to run him down.
[00:00:59.302 --> 00:01:01.024]  It's so bad, ladies and gentlemen!
[00:01:01.724 --> 00:01:07.368]  The CDC has confirmed today the first diagnosed Ebola case in the United States.
[00:01:07.768 --> 00:01:21.158]  The bottom line here is that I have no doubt that we will control this importation or this case of Ebola so that it does not spread widely in this country.
[00:01:21.818 --> 00:01:31.105]  It is certainly possible that someone who had contact with this individual, a family member or other individual, could develop Ebola in the coming weeks.
[00:01:31.565 --> 00:01:35.588]  But there is no doubt in my mind that we will stop it here.
[00:01:35.908 --> 00:01:48.895]  So the hospital says that the patient was admitted based on symptoms and of course his travel history and that they've been following proper quarantine procedures as well as proper testing outlined by the CDC.
[00:01:49.355 --> 00:01:50.636]  But take a look at the timeline.
[00:01:50.996 --> 00:01:54.338]  Now he returned to Texas from West Africa.
[00:01:54.398 --> 00:01:55.199]  He's here visiting
[00:01:55.819 --> 00:02:08.772]  Family members and didn't start showing symptoms until four or five days later, but didn't start seeking treatment until the 26th and they report that he has been isolated since the 29th.
[00:02:09.132 --> 00:02:18.781]  So there was a few days there where this patient is out amongst the regular people there in the hospital where they already putting the proper protocol in place at that point.
[00:02:19.542 --> 00:02:27.087]  But also the Star-Telegram is reporting that Dallas Fort Worth Airport has no direct flights to or from Africa.
[00:02:27.147 --> 00:02:30.649]  So if this patient were flying, he would have had to make another connection.
[00:02:31.110 --> 00:02:35.353]  But they're not really concerned right now with the travel itinerary.
[00:02:35.493 --> 00:02:43.098]  Not too concerned if other people coming from West Africa could also be exhibiting these signs of this sickness.
[00:02:43.879 --> 00:02:52.659]  But one thing that they do confirm is that he is here visiting his family members and his family members have come in contact with this virus.
[00:02:53.325 --> 00:02:58.730]  The patient was visiting family members and staying with family members who live in this country.
[00:02:59.951 --> 00:03:10.039]  We will contact anyone who we think has any likelihood of having had an exposure to the individual while they were infectious at that point.
[00:03:10.279 --> 00:03:16.725]  At this point, that does not include anyone who might have traveled with him because he was not infectious at that time.
[00:03:17.205 --> 00:03:31.096]  Now this announcement of the first diagnosed case of Ebola in the United States comes just days after a German virologist announced that 5 million people would die in Ebola infected nations within Africa.
[00:03:31.577 --> 00:03:32.538]  Now despite
[00:03:33.078 --> 00:03:33.718]  I don't know.
[00:03:54.631 --> 00:03:57.692]  And the CDC is saying there's nothing to worry about.
[00:03:57.772 --> 00:04:00.173]  We can definitely control this virus.
[00:04:00.673 --> 00:04:01.534]  Don't you worry.
[00:04:01.954 --> 00:04:12.078]  But just days ago, just a few days ago, the CDC was issuing warnings to funeral homes about how to prepare for Ebola victims.
[00:04:12.818 --> 00:04:17.340]  They gave a three-page list of recommendations instructing funeral workers
[00:04:17.840 --> 00:04:27.112]  To wear protective gear while handling Ebola victims, as well as warning them to not carry out autopsies or to embalm corpses.
[00:04:27.533 --> 00:04:29.095]  And the station reporting this asks,
[00:04:36.704 --> 00:04:38.485]  Being given guidelines.
[00:04:38.765 --> 00:04:40.625]  And of course, that's a great question.
[00:04:41.365 --> 00:04:46.427]  Once again, officials are really keen to stress that there's nothing to worry about.
[00:04:46.467 --> 00:04:48.048]  There's no cause for alarm.
[00:04:48.448 --> 00:04:53.049]  They want to keep the public, you know, just calm and satiated here.
[00:04:53.189 --> 00:04:57.390]  But our big question is they've been preparing for this for months.
[00:04:57.430 --> 00:05:01.652]  They've ordered the hazmat suits and just late July, the president
[00:05:02.312 --> 00:05:12.558]  He altered the existing orders that allow him to quarantine and detain well persons as in addition to people that might be exhibiting flu-like symptoms.
[00:05:12.918 --> 00:05:21.382]  So the question is, will the CDC activate emergency measures after this Ebola case has been confirmed in the United States?
[00:05:21.862 --> 00:05:29.587]  Now currently, plans on the record allow for the quarantine of well persons as well as those who do not show symptoms of the virus.
[00:05:30.347 --> 00:05:38.100]  Now the official CDC website details specific laws and regulations governing the control of communicable diseases.
[00:05:38.500 --> 00:05:43.068]  Now under this, even healthy citizens who show no symptoms of Ebola
[00:05:43.991 --> 00:05:57.320]  would be forcibly quarantined at the behest of medical authorities and quarantine is used to separate and restrict the movement of well persons who may have been exposed to a communicable disease to see if they become ill.
[00:05:57.620 --> 00:06:05.486]  These people may have been exposed and do not know or they may have the disease but do not show symptoms states the CDC.
[00:06:05.986 --> 00:06:11.370]  Now last month a former FDA official Dr. Scott Gottlieb wrote in Forbes
[00:06:11.650 --> 00:06:23.415]  That the CDC will invoke powers to hold a healthy person against his will in the event of an Ebola outbreak and warn that the feds may assume too much jurisdiction to detain people involuntarily.
[00:06:23.835 --> 00:06:37.381]  Of course, this could lead to scenarios where people could be detained for long periods just on a suspicion that they might have been exposed to some pathogen and then forced to submit to certain medical interventions to gain their freedom.
[00:06:38.201 --> 00:06:43.823]  And this is of course something that we've been talking about, these mandatory experimental vaccines.
[00:06:44.383 --> 00:06:50.605]  Now currently the CDC is saying that they're not going to be detaining anyone until they begin to show symptoms.
[00:06:50.645 --> 00:06:55.367]  That's why they're not really concerned about other people who might have been on this flight.
[00:06:56.047 --> 00:07:10.047]  But here they're saying that what could be happening is that they will be quarantining and detaining people who do not show symptoms and forcing them to comply with mandatory experimental vaccines.
[00:07:11.926 --> 00:07:18.190]  It's Paul Joseph Watson with Infowars.com and the CDC has confirmed the first case of Ebola in the United States.
[00:07:18.691 --> 00:07:21.152]  Obviously this is an unprecedented development.
[00:07:21.592 --> 00:07:25.755]  We've written articles for weeks warning that the CDC was preparing for this outcome.
[00:07:26.176 --> 00:07:29.658]  The 160,000 hazmat suits ordered by the US State Department
[00:07:30.078 --> 00:07:38.723]  The executive order signed by Obama back at the end of July to quarantine even healthy persons who do not show symptoms of the virus.
[00:07:39.263 --> 00:07:46.428]  And of course, CDC emergency measures which could be activated after Ebola is confirmed in the United States.
[00:07:47.188 --> 00:07:53.972]  Which again allow for the quarantine of well persons who do not show symptoms of Ebola.
[00:07:54.452 --> 00:08:09.120]  And what's interesting about this recent case that's just been announced today by the CDC is they admitted, they acknowledged that family members of the victim there in the Dallas hospital may also have been infected with the virus as well as members of the community.
[00:08:09.580 --> 00:08:17.304]  And now we know that this victim, this Ebola victim, was active for several days with symptoms of the disease walking around the community.
[00:08:17.825 --> 00:08:20.746]  So the question remains, who else could have been infected?
[00:08:20.786 --> 00:08:24.308]  Obviously they're going to try and downplay this for understandable reasons.
[00:08:24.348 --> 00:08:25.909]  They don't want to create hysteria.
[00:08:26.889 --> 00:08:29.471]  But obviously a lack of detail at the moment.
[00:08:29.571 --> 00:08:36.054]  The key detail is that there may have been other individuals infected with the virus as the CDC admitted.
[00:08:36.074 --> 00:08:38.716]  But we also had this other story today on Infowars.com.
[00:08:39.176 --> 00:08:44.981]  Which was the CDC warning funeral homes in the United States to prepare for Ebola victims.
[00:08:45.001 --> 00:08:53.908]  They're advising workers in funeral homes not to perform autopsies or to embalm corpses of potential Ebola victims.
[00:08:53.988 --> 00:08:57.411]  So again, the CDC has been preparing for a while for this.
[00:08:57.971 --> 00:09:02.875]  Now they've admitted, they've confirmed today the first case of Ebola in the United States.
[00:09:02.915 --> 00:09:06.798]  We'll continue to track it on the Nightly News and InfoWars.com.
[00:09:06.818 --> 00:09:07.359]  Stay tuned.
[00:09:10.441 --> 00:09:27.853]  Just to reiterate, late in July, Obama updated an executive order that was already existing allowing for the apprehension, detention, or conditional release of individuals to prevent the introduction, transmission, or spread of suspected communicable diseases.
[00:09:28.633 --> 00:09:33.855]  And obviously, a condition of release could be taking an experimental vaccine.
[00:09:34.216 --> 00:09:40.838]  Now, this is obviously a breaking story, so please stay tuned to InfoWars.com for all of the updates.
[00:09:41.439 --> 00:09:45.500]  Now, coming up, Chevy has introduced a new car.
[00:09:45.641 --> 00:09:48.142]  It features some spyware upgrades.
[00:09:48.682 --> 00:09:55.445]  And then, will the threat of ISIS finally bring the globalists that internet censorship they've been dying for?
[00:09:57.765 --> 00:10:03.569]  In the past decade, we have witnessed unparalleled scientific discoveries in the area of health.
[00:10:04.029 --> 00:10:13.716]  But no one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:10:14.056 --> 00:10:17.817]  DNA Force is one of the most expensive formulas to produce.
[00:10:18.357 --> 00:10:23.038]  Some of the ingredients in DNA Force are $12,000 a kilogram.
[00:10:23.418 --> 00:10:29.639]  We are using the coveted, patented, only American source of PQQ, CoQ10, and more.
[00:10:29.959 --> 00:10:32.239]  You want the best that's out there at the lowest price anywhere?
[00:10:32.899 --> 00:10:35.340]  Well, we're bringing you a total win-win.
[00:10:35.720 --> 00:10:41.221]  The ultimate value, cutting-edge, trailblazing game-changer that also supports the Infowar.
[00:10:41.681 --> 00:10:48.326]  We have produced a limited run of DNA Force and it will take up to 12 weeks to produce more once we sell out.
[00:10:48.687 --> 00:10:53.470]  Secure your DNA Force today at InfoWarsLife.com or call toll free 888-253-3139.
[00:10:53.490 --> 00:10:54.892]  DNA Force from InfoWarsLife.
[00:10:59.435 --> 00:11:06.343]  Celebrate the spirit of freedom and liberty upon which our nation was founded at InfoWarsShop.com.
