[00:00:04.966 --> 00:00:06.187]  There is a war.
[00:00:06.627 --> 00:00:07.608]  It's happening now.
[00:00:08.508 --> 00:00:10.349]  It will decide the fate of humanity.
[00:00:10.890 --> 00:00:12.691]  The time to choose sides has come.
[00:00:13.451 --> 00:00:14.912]  We are the resistance.
[00:00:15.352 --> 00:00:17.274]  We are the Infowar.
[00:00:23.137 --> 00:00:24.638]  Welcome to the Infowar's Nightly News.
[00:00:24.758 --> 00:00:25.459]  I'm David Knight.
[00:00:25.559 --> 00:00:26.739]  It's Monday, September 29th, 2014.
[00:00:26.799 --> 00:00:27.500]  Here are our top stories.
[00:00:27.540 --> 00:00:27.760]  Tonight,
[00:00:34.107 --> 00:00:38.751]  The CFR reveals a plan to neutralize American distemper.
[00:00:39.532 --> 00:00:43.615]  Then, tear gas is fired on protesters in Hong Kong.
[00:00:44.176 --> 00:00:48.259]  And Louisiana police want residents to fund Big Brother.
[00:00:48.700 --> 00:00:52.263]  That's next on the Info Wars Nightly News.
[00:00:52.663 --> 00:00:54.004]  Everything is awesome.
[00:00:54.585 --> 00:00:57.087]  Everything is fantastic when you're part of a team.
[00:00:57.607 --> 00:01:00.810]  Everything is wonderful when you're part of the dream.
[00:01:01.630 --> 00:01:07.999]  Steve Watson points out in his article on Infowars.com today, Henry Kissinger is the kingpin of Bilderberg.
[00:01:08.379 --> 00:01:11.684]  He's the architect of overthrowing democratically elected governments.
[00:01:12.044 --> 00:01:18.973]  Bill O'Reilly was on ABC News this week talking to George Stephanopoulos, and he had this to say about Henry Kissinger.
[00:01:19.494 --> 00:01:20.855]  We don't have any patents today.
[00:01:21.535 --> 00:01:33.059]  But I was with Henry Kissinger last night, and he told me that my idea of a worldwide anti-terror force, paid for by coalition nations, under the supervision of Congress... So not just the US?
[00:01:33.079 --> 00:01:35.060]  Bill O'Reilly and Henry Kissinger on a mercenary force?
[00:01:35.060 --> 00:01:36.121]  Did you catch that?
[00:01:36.141 --> 00:01:36.642]  He said simpatico.
[00:01:36.662 --> 00:01:38.444]  In other words, he and Kissinger are on the same page.
[00:01:38.464 --> 00:01:40.327]  I would say he's more like a sycophant.
[00:01:52.683 --> 00:01:58.929]  He's someone who's copying what Henry Kissinger has done for years, not giving ideas to Henry Kissinger.
[00:01:59.269 --> 00:02:00.770]  It's a very bad idea.
[00:02:00.791 --> 00:02:05.515]  I would say it's more like Kingpin Kissinger meets penhead Bill O'Reilly.
[00:02:05.535 --> 00:02:09.879]  The idea of a mercenary global force.
[00:02:10.259 --> 00:02:14.521]  That is supposedly going to be under the control of Congress, even though it's over many nations.
[00:02:14.901 --> 00:02:22.803]  That is nothing but the same type of stuff we've seen rehashed over and over again from the Bilderberg Group, from the CFR, from all these different organizations.
[00:02:23.484 --> 00:02:28.305]  And it's just like Bill O'Reilly's rehashing of the book he was promoting, The Killing of Patton.
[00:02:28.525 --> 00:02:35.588]  That was just basically re-spinning and recycling research and interviews that were done by Robert Wilcox and his book published
[00:02:36.008 --> 00:02:39.910]  Four years ago, but now Bill O'Reilly can make a lot of money doing that.
[00:02:40.190 --> 00:02:46.493]  It's not a new thing to co-op ideas from people and it's not a new thing to co-op movements from people.
[00:02:47.054 --> 00:02:54.277]  This is what Paul Joseph Watson found in Foreign Affairs, that the establishment is desperate to co-op populist risings.
[00:02:54.617 --> 00:02:55.898]  They don't have a secret agenda.
[00:02:56.278 --> 00:02:59.839]  They just have an agenda that is ignored, an agenda that is denied.
