[00:00:00.009 --> 00:00:01.071]  Direct from Austin.
[00:00:01.792 --> 00:00:04.978]  You're listening to the Alex Jones Broadcasting Network.
[00:00:16.004 --> 00:00:20.166]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:20.826 --> 00:00:21.646]  You want answers?
[00:00:22.427 --> 00:00:23.327]  Well, so does he.
[00:00:23.968 --> 00:00:27.589]  He's Alex Jones on the GCN Radio Network.
[00:00:28.169 --> 00:00:32.211]  And now, live from Austin, Texas, Alex Jones.
[00:00:44.423 --> 00:01:10.357]  This morning as I was working out, I was flipping through channels and was watching the Brazilians go into conniption fits like North Koreans when Kim Jong-il died, crying and beating their chest and having national mourning and blaming Mick Jagger for being bad luck because he rooted for the Brazilian team when the Germans trounced them, what, 7-1?
[00:01:12.995 --> 00:01:13.275]  7-0?
[00:01:13.335 --> 00:01:15.616]  In fact, give me the scores.
[00:01:15.636 --> 00:01:16.537]  I think it was 7-1.
[00:01:16.917 --> 00:01:19.998]  The point here is that I didn't watch it and I don't know and I don't care.
[00:01:21.219 --> 00:01:23.840]  I'm not against people that want to watch soccer or football, whatever.
[00:01:24.761 --> 00:01:32.344]  It's the mental illness obsession with people's identity being, as it was 7-1, being tied up in it.
[00:01:35.126 --> 00:01:42.089]  And when I was looking at the faces of the men, women, and children with the sound off, I watch television with the sound off most of the time,
[00:01:45.867 --> 00:01:51.132]  They literally look like they just got news that their house had burned down or that their grandmother was dead.
[00:01:53.514 --> 00:02:01.081]  And I know we've talked about the fake culture and people being obsessed with television, but I've been watching a little bit more TV lately.
[00:02:01.221 --> 00:02:10.889]  Last night over at some friends' houses, I had my children with me and we watched some of those Naked and Afraid shows that are pretty good shows where the people go out and survive.
[00:02:11.837 --> 00:02:23.966]  We're watching some that have been saved on TiVo from months ago about Brazil, of all places, back to Brazil, and the Amazon, and how absolutely hellish it is.
[00:02:25.407 --> 00:02:37.256]  But interspersed, we watched three episodes, it was all about how being a male in charge makes your rating go down, and how being a feminist is how you survive in the jungle.
[00:02:38.477 --> 00:02:39.458]  And I was just thinking about
[00:02:40.635 --> 00:02:48.739]  No matter what show it is, dramas, reality shows, cop shows, movies, there are messages in them.
[00:02:50.860 --> 00:02:58.124]  Anti-gun, anti-liberty, anti-male, just everything is brainwashing basically.
[00:03:00.605 --> 00:03:04.247]  And you've got people that are brought up in this who really believe
[00:03:06.118 --> 00:03:34.345]  That this is how the world works, and that's what creates the slacker society of people that have no ambition, don't care if they're losing their freedom, don't want to work, don't want to have their own business, don't want to work for anybody, don't want to be self-directed, don't want to be directed, because they literally are trendy television heads who believe that's reality.
[00:03:35.666 --> 00:03:57.805]  And what does it do to have the average American watching about six hours of television, the average youth upwards of ten hours of television and video games, that's the current numbers, looking at something that isn't real, or is someone else, and believing that that's the real universe, when it is a bunch of social conditioning?
[00:03:59.807 --> 00:04:00.988]  And that's why
[00:04:02.483 --> 00:04:06.945]  We're in so much trouble and why reality can be turned on its head or inverted.
[00:04:08.465 --> 00:04:19.649]  And that's why the power structure can pass Obamacare designed to bankrupt the country and hurt poor people on record with death panels and seven taxes on poor people, 21 taxes total.
[00:04:22.550 --> 00:04:30.013]  And do all the things to shut the economy down, the jobs, up the energy prices, up the food prices, devalue the dollar,
[00:04:31.650 --> 00:04:45.684]  Publicly shipping illegals, dumping them in cities to bankrupt them, and just get away with bloody murder, is because a large portion of the public aren't even people now.
[00:04:46.786 --> 00:04:53.332]  They've been raised as these reactive creatures that think television is the universe.
[00:04:54.429 --> 00:04:56.830]  And who are really extensions of the television.
[00:04:57.250 --> 00:05:05.433]  Zombies, remote control robots, literally, who just wander around lazily, buying whatever they're told.
[00:05:05.513 --> 00:05:09.114]  I mean, we're living in a science fiction disaster film.
[00:05:10.638 --> 00:05:13.222]  Alex Jones here for InfoWars.com.
[00:05:13.422 --> 00:05:18.068]  In the month of July, we have got giant specials on everything at Madein1776.com.
[00:05:18.088 --> 00:05:20.111]  The already discounted Made in 1776 t-shirts are only $17.76.
[00:05:25.538 --> 00:05:25.698]  I think?
[00:05:45.785 --> 00:05:53.052]  Five months free right now when you get a membership at PrisonPlanet.tv for a limited time, only $39.95 a year.
[00:05:53.332 --> 00:05:56.875]  That's more than five months free off the regular price.
[00:05:57.215 --> 00:06:03.461]  Not just this July 4th weekend, but the entire month of July at MadeIn1776.com.
[00:06:03.841 --> 00:06:08.926]  Molon Labe, you can take my gun from my cold, dead hands.
[00:06:11.118 --> 00:06:12.879]  Hi, I'm Dr. Edward Group.
[00:06:13.420 --> 00:06:20.384]  It took me 20 years of searching the globe to find the deposit of the highest purity iodine available.
[00:06:20.844 --> 00:06:31.251]  The new Survival Shield X2 is mined from 7,000 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[00:06:31.692 --> 00:06:40.918]  The iodine crystals we use are extracted from an ancient 300 million plus year old deposit deep in the earth.
[00:06:41.638 --> 00:06:45.059]  It's the strongest nascent iodine on the market today.
[00:06:45.699 --> 00:06:49.159]  It delivers 650 micrograms per drop.
[00:06:49.460 --> 00:06:51.060]  Experience the new formula.
[00:06:51.520 --> 00:06:53.500]  Experience the ancient purity.
[00:06:54.100 --> 00:06:55.121]  Shield your family.
[00:06:55.421 --> 00:06:56.501]  Survival Shield X2.
[00:06:57.241 --> 00:06:59.841]  Available now at Infowarslife.com.
[00:07:00.402 --> 00:07:04.362]  X2 from Infowarslife.com or call toll free 888-253-3139.
[00:07:09.745 --> 00:07:13.448]  City of Austin tap water versus filtered City of Austin tap water.
[00:07:13.568 --> 00:07:14.749]  I didn't, I taste dirt in it.
[00:07:14.809 --> 00:07:15.890]  God knows what's in this.
[00:07:16.130 --> 00:07:20.213]  These people just sampled City of Austin tap water straight from the faucet.
[00:07:20.373 --> 00:07:26.157]  Next, we had them try a sample of tap water filtered with a ProPure G2.0 filtration system.
[00:07:26.297 --> 00:07:27.278]  That one is better.
[00:07:27.358 --> 00:07:28.318]  Tastes like nothing.
[00:07:28.599 --> 00:07:30.020]  Yep, I know what good water tastes like.
[00:07:30.040 --> 00:07:30.560]  It's good water.
[00:07:30.660 --> 00:07:36.404]  Most tap water contains added substances, like fluoride, chlorine, glyphosate, and many others.
[00:07:36.644 --> 00:07:43.689]  Studies prove that these substances are linked to an assortment of major health issues, including tooth decay, lower IQ, and even cancer.
[00:07:43.869 --> 00:07:46.410]  It tastes like you're drinking out of the lake when you're doing tap water.
[00:07:46.591 --> 00:07:54.536]  The ProPure® G2.0 filtration system removes these deadly substances, leaving only fresh-tasting, deliciously clean water.
[00:07:54.656 --> 00:07:55.656]  Okay, this is very tasty.
[00:07:55.797 --> 00:07:56.677]  It's good water.
[00:07:56.857 --> 00:07:57.318]  Refreshing.
[00:07:57.338 --> 00:07:57.778]  It's good!
[00:07:58.078 --> 00:08:04.282]  Go to InfoWarsStore.com today, use promo code WATER and save 10% off your ProPure purchase.
[00:08:04.582 --> 00:08:05.002]  Or call 1-888-253-3139.
[00:08:05.022 --> 00:08:09.085]  Rallying patriots worldwide in defense of human liberty.
[00:08:13.047 --> 00:08:14.688]  It's Alex Jones.
[00:08:41.497 --> 00:08:46.320]  Ladies and gentlemen, thank you for joining us on this live Wednesday, the 9th day of July, 2014.
[00:08:46.360 --> 00:08:50.543]  I'm your host, Alex Jones.
[00:08:53.025 --> 00:08:57.148]  Later in the next hour, we are going to have our reporters
[00:08:58.775 --> 00:09:14.463]  From the ground in Southern California, where the churches are now deploying the illegals to Democratic Party members' homes, who will then get paid by Obama to keep them there, kind of like foster children.
[00:09:15.267 --> 00:09:25.394]  So this is a whole new giant racket of undocumented children that can be used as mules, as money laundering cutouts, as welfare pumps.
[00:09:26.715 --> 00:09:40.384]  I mean, this is a giant criminal operation that again is modeled after ACORN, but I would say will end up being, let's not exaggerate, 15, 20 times bigger than ACORN and all of their child sex trafficking
[00:09:41.969 --> 00:09:43.670]  Admissions, I mean, they're just on video.
[00:09:43.690 --> 00:09:47.331]  Remember those famous videos from four years ago saying, you know, he went to Akron after Akron.
[00:09:48.552 --> 00:09:56.576]  The head of Veritas did, and the Veritas Project, James O'Keefe, and said, hi, I want to run Hispanic sex slaves through here.
[00:09:57.236 --> 00:09:57.576]  Children.
[00:09:57.976 --> 00:09:59.517]  They're like, alright, let's help you get that set up.
[00:10:00.177 --> 00:10:03.159]  He'd go to the next place and they'd say, yeah, you got little kids?
[00:10:03.179 --> 00:10:03.999]  We're ready to run the op.
[00:10:04.839 --> 00:10:05.460]  Here's how you do it.
[00:10:06.600 --> 00:10:10.382]  And America just doesn't know how to deal with a hardcore criminal takeover like this.
[00:10:11.505 --> 00:10:14.871]  That's why they're announcing the Tea Party and gun owners and veterans are terrorists.
[00:10:15.432 --> 00:10:17.736]  Because these people are terrorists that run the government.
[00:10:18.457 --> 00:10:25.048]  They are hell-bent to overthrow the country and wreck everything and break our backs forever so they can have their way and get away with anything.
[00:10:25.885 --> 00:10:51.748]  They understand that if they can set the precedent to shut off our power plants and double our power prices, ship our jobs overseas, have the elite not pay taxes but raise taxes on poor people, pass Obamacare to bankrupt the country, open the border up and order the Border Patrol to stand down and ship any illegals en masse, and pay to ship them in with vouchers for Greyhound to waiting Democratic Party crime organizations and law firms,
[00:10:53.351 --> 00:10:55.912]  They can do anything, and they will.
[00:10:58.013 --> 00:10:59.013]  They will tell you.
[00:11:01.955 --> 00:11:07.917]  They will tell you to not use the word bossy as Michelle Obama did, and now people are not using the word bossy.
[00:11:09.078 --> 00:11:13.960]  She said that is a covert insult to women, so I'm going to tell you not to use it, which of course is bossy.
[00:11:14.760 --> 00:11:16.381]  That archetype of a Jezebel spirit.
[00:11:19.130 --> 00:11:20.711]  By the way, this is a side issue.
[00:11:20.751 --> 00:11:23.192]  I've always thought Michelle Obama looked like something was wrong with her.
[00:11:23.212 --> 00:11:24.852]  They talk about how beautiful she is.
[00:11:24.912 --> 00:11:29.154]  She looks profanely scary and monstrous to me.
[00:11:31.895 --> 00:11:34.596]  And she always wears these weird fluffy things around her waist.
[00:11:35.789 --> 00:11:40.590]  And her shoulders are wide enough to put three men's heads on.
[00:11:40.610 --> 00:11:42.931]  And of course, you know the classic thing of a male.
[00:11:43.251 --> 00:11:48.712]  You could have three heads on a male's shoulders, and only another head on a woman's shoulder.
[00:11:49.232 --> 00:11:50.592]  Or one half of a head on each side.
[00:11:50.932 --> 00:11:52.473]  That's a well-known thing in anatomy.
[00:11:53.013 --> 00:11:56.814]  And I saw an online video that I may air today, and we may look into this.
[00:11:58.275 --> 00:12:13.876]  Talking about Michelle Obama looking like a man and how they only released photos of her with her hands up covering her shoulders or her turned at an angle and I started looking at it with Joan Rivers saying she's a transvestite and I've been hearing this for years and I thought come on.
[00:12:14.608 --> 00:12:19.811]  I know Obama was raised by a transvestite and the rest of it, and I'm not getting into bashing people, that's not my cup of tea.
[00:12:20.511 --> 00:12:30.156]  But I started to really, last night, look at videos of this, and look at photos of her in the official White House photo, and she looks like an NBA center.
[00:12:32.017 --> 00:12:34.719]  I mean, she looks more like Shaquille O'Neal than a black woman.
[00:12:36.340 --> 00:12:43.324]  And knowing all the weirdness, and we don't even know who Obama really is and his social security numbers, don't e-verify.
[00:12:44.232 --> 00:13:00.888]  And then his dad, clearly, we sell the documentary, Dreams of My Real Father, and I mean, it's him with the famous pornographer, who lived in Hawaii, who his grandfather was best buddies with, and who Obama would stay the summers with.
[00:13:01.789 --> 00:13:03.330]  A famous communist pornographer.
[00:13:03.871 --> 00:13:05.553]  And you look at the guy, it's Obama's dad.
[00:13:06.814 --> 00:13:08.455]  So the whole Kenya thing with her saying,
[00:13:09.505 --> 00:13:10.646]  My husband's from Kenya.
[00:13:10.686 --> 00:13:14.409]  We visited his place of birth in multiple videos in 2006 and 2007.
[00:13:15.590 --> 00:13:29.000]  His Harvard review, where he was the head of the Harvard Law Review, and he said, I was born in Kenya, in his bio, and in his bio for shopping book deals when he was a senator, state senator, said, I was born in Kenya.
[00:13:30.081 --> 00:13:32.483]  And we took that bait, hook, line, and sinker, folks.
[00:13:33.083 --> 00:13:34.664]  That, oh my God, they're covering up the records.
[00:13:34.704 --> 00:13:36.686]  Oh, he's from Kenya, but his dad looks nothing like him.
[00:13:36.886 --> 00:13:38.828]  And then you see Frank Marshall Davis.
[00:13:39.827 --> 00:13:40.688]  I mean, it's his daddy.
[00:13:41.549 --> 00:13:49.176]  And then, his grandfather's best buddy's with him in the CIA, and then you go, oh my gosh, and then imagine the joke.
[00:13:49.276 --> 00:13:50.897]  See, it's all about a joke on us.
[00:13:51.858 --> 00:13:55.582]  That he's got cut-out daughters, look nothing like him, and a cut-out wife.
[00:13:55.942 --> 00:13:58.805]  And I began to look at his daughters last night, and look at his wife.
[00:14:01.567 --> 00:14:03.149]  She's, either she's
[00:14:04.380 --> 00:14:19.633]  It has that double chromosomal disorder where women are really men and it's turned out a lot of the Olympic runners and a lot of the top tennis players and things really are not even really females.
[00:14:19.673 --> 00:14:21.894]  They're not hermaphrodites.
[00:14:22.575 --> 00:14:24.276]  Some of them are hermaphrodites or both.
[00:14:24.657 --> 00:14:27.379]  A lot of them have this double chromosome.
[00:14:27.439 --> 00:14:28.139]  Men can have it too.
[00:14:29.346 --> 00:14:32.147]  And the Olympics are looking at trying to ban this in men and women.
[00:14:32.327 --> 00:14:34.548]  Because men are like supermen, they're like cavemen.
[00:14:35.929 --> 00:14:37.609]  And then the women are like men.
[00:14:39.110 --> 00:14:40.811]  When they have this chromosomal disorder.
[00:14:40.831 --> 00:14:45.673]  It was the double X, double Y. Print me some literature on that, I'm going from memory.
[00:14:46.193 --> 00:14:50.175]  But I've always looked at her jaw, her shoulders, her pelvis.
[00:14:51.435 --> 00:14:52.656]  All of it looks male.
[00:14:53.916 --> 00:14:55.957]  She has that male superman physique.
[00:14:57.771 --> 00:14:59.192]  And it just clicked.
[00:14:59.832 --> 00:15:00.273]  You know what?
[00:15:00.353 --> 00:15:02.994]  I bet she is not who she says she is.
[00:15:03.634 --> 00:15:07.076]  I mean, my gut just really registered with that.
[00:15:08.197 --> 00:15:09.317]  What do you think about that?
[00:15:09.678 --> 00:15:11.479]  There is chromosome abnormality.
[00:15:12.568 --> 00:15:26.879]  Chromosome anomaly, abnormality, aberration, or mutation is a missing, extra, or irregular portion of chromosomal DNA that can be from an atypical number of chromosomes or a structural abnormality in one of the chromosomes.
[00:15:27.299 --> 00:15:33.764]  Chromosome mutation is formally used in a strict sense to mean a change in a chromosomal segment involving more than one gene.
[00:15:35.765 --> 00:15:38.588]  Yeah, but find the one, guys, that's hypermale or hyperfemale.
[00:15:38.928 --> 00:15:40.389]  It's supermale, superfemale.
[00:15:42.472 --> 00:15:48.317]  I remember seeing documentaries about it, reading books about it, and biology, reading about it, but it's a big issue in the Olympics.
[00:15:48.337 --> 00:16:08.072]  They talk about it on ESPN, where they go and they do blood tests on, you know, female runners and folks that don't look like women, and hey, it turns out they don't have a penis, excuse my French, but that's the word, that's the medical word for it, but they do have male genetics.
[00:16:08.373 --> 00:16:08.773]  They're men.
[00:16:10.216 --> 00:16:10.637]  They're men.
[00:16:11.177 --> 00:16:14.582]  And it turned out, remember the Russians couldn't lose in the 60s and 70s and 80s?
[00:16:15.023 --> 00:16:17.547]  And the women, weightlifting didn't really look like women.
[00:16:18.268 --> 00:16:22.834]  And they would test them, and they didn't have steroids in them, but they looked like men.
[00:16:22.895 --> 00:16:23.776]  Well, they were men.
[00:16:31.482 --> 00:16:34.905]  Now, continuing here, ladies and gentlemen, let's open the phones up about that.
[00:16:34.925 --> 00:16:37.027]  I mean, they lie about everything else.
[00:16:37.647 --> 00:16:50.398]  They said there were no death panels in Obamacare, and now they admit, yes, there are death panels, and yes, we have them for the veterans, we have them on lists where they don't get treatment and we just let them die, and then we take the workers from there and use them to take care of the illegal aliens.
[00:16:52.019 --> 00:16:53.441]  And Obama's lied about everything else.
[00:16:53.481 --> 00:16:54.381]  I mean, what is true?
[00:16:56.984 --> 00:16:57.664]  How do you pronounce that?
[00:16:57.704 --> 00:16:59.406]  The Klinefelter Syndrome?
[00:17:00.598 --> 00:17:14.222]  The XXY, the syndrome is a set of symptoms resulting from an additional X genetic material in males, also known as 47 XXY or XXY.
[00:17:14.842 --> 00:17:24.144]  The syndrome is a genetic disorder in which there is at least one extra X chromosome to a strand of human male genetics for a total of 47.
[00:17:24.424 --> 00:17:26.125]  Yeah, yeah, that's the one in males.
[00:17:27.665 --> 00:17:28.686]  Control F female.
[00:17:28.706 --> 00:17:29.746]  I want the one on female.
[00:17:30.674 --> 00:17:37.877]  The point is, we're going to be investigating this and looking into it, because she looks like the women I've seen before on television that have this.
[00:17:37.957 --> 00:17:43.860]  So, it may just be that she has a genetic disorder, and that's why her shoulders are wider than mine.
[00:17:43.900 --> 00:17:45.200]  I have extremely wide shoulders.
[00:17:45.560 --> 00:17:46.501]  I have a huge head.
[00:17:46.981 --> 00:17:50.663]  But still, you could put two of my heads on my shoulders.
[00:17:51.023 --> 00:17:52.083]  You could put three heads.
[00:17:52.683 --> 00:17:53.424]  The average male
[00:17:54.258 --> 00:17:57.261]  It's supposed to be able to have three heads across their shoulders.
[00:17:58.022 --> 00:18:03.087]  A female is supposed to have two heads, or one head in the middle, and you can put a half head on each side.
[00:18:04.168 --> 00:18:07.552]  And you look at Michelle Obama in straight-on photos, they're very rare.
[00:18:08.735 --> 00:18:13.979]  In fact, I've seen her on television, and when the camera turns on, she'll stand turning to the side.
[00:18:14.039 --> 00:18:16.401]  She wears fluffy deals around her waist.
[00:18:16.861 --> 00:18:22.925]  But when she's not wearing that, when you see her in a bathing suit, man, it looks like a man.
[00:18:23.346 --> 00:18:30.691]  And there are the photos of she's either keeping a banana in her pants.
[00:18:32.112 --> 00:18:33.733]  I mean, I'm sorry, ladies and gentlemen.
[00:18:34.314 --> 00:18:34.934]  Or she's a man.
[00:18:37.011 --> 00:18:39.158]  And I mean, I'm sorry, we just have to talk about this.
[00:18:39.699 --> 00:18:42.367]  And I heard this eight years ago that he's married to a transvestite.
[00:18:43.835 --> 00:18:52.398]  And now Joan Rivers has said it, and she says, oh, it's a compliment, you know, because, you know, being a male or female who's hetero, that's bad, basically.
[00:18:52.819 --> 00:18:53.839]  You need to be something else.
[00:18:53.879 --> 00:18:55.540]  And look, I'm not attacking anybody.
[00:18:55.580 --> 00:18:56.980]  There's certainly this genus being pushed.
[00:18:57.340 --> 00:19:01.622]  And then Obama admits that he was raised in Indonesia by a transvestite nanny.
[00:19:02.022 --> 00:19:08.885]  So there's, and his dad's this famous pornographer, and just all this, I mean, regardless, he stayed summers with a famous communist
[00:19:09.795 --> 00:19:11.096]  Publisher and pornographer.
[00:19:11.137 --> 00:19:15.902]  I mean, his grandfather hung out with him and played golf and would, quote, leave Obama there for the summer.
[00:19:15.962 --> 00:19:18.184]  I mean, if it isn't his dad, sure looks like him.
[00:19:19.385 --> 00:19:19.706]  There it is.
[00:19:19.806 --> 00:19:24.311]  Joan Rivers storms out of negative CNN interviews, days after calling Michelle Obama a tranny.
[00:19:27.133 --> 00:19:40.464]  So, again, all I'm saying is, we need her to publicly give a blood test, and you only need to drop a blood to do a DNA check, and she can send it out to a bunch of private labs and put all this to bed right now.
[00:19:42.165 --> 00:19:44.888]  And if her identity is a woman, I respect that.
[00:19:47.550 --> 00:19:50.713]  Seriously, I respect the Wachowski brother becoming a woman.
[00:19:51.333 --> 00:19:53.255]  And we respect Michael.
[00:19:54.420 --> 00:19:57.424]  Because you know Obama has called her Michael, introducing her repeatedly.
[00:19:58.365 --> 00:20:04.313]  So, I mean, if Michael wants to become Michelle, or if Bradley Manning wants to become Candy, or what is it?
[00:20:04.333 --> 00:20:04.753]  What's the name?
[00:20:05.174 --> 00:20:05.574]  Chelsea.
[00:20:05.915 --> 00:20:06.335]  Chelsea.
[00:20:06.856 --> 00:20:07.477]  I respect that.
[00:20:07.537 --> 00:20:08.078]  I'm serious.
[00:20:08.538 --> 00:20:08.999]  We'll be right back.
[00:20:09.019 --> 00:20:09.379]  Stay with us.
[00:20:10.100 --> 00:20:15.427]  American gardeners and fellow Patriots make the right choice with your money, time, and your family food supply.
[00:20:15.567 --> 00:20:20.593]  Choose 100% pure heirloom seeds in the Survival Seed Vault from mypatriotsupply.com.
[00:20:20.753 --> 00:20:21.594]  Why spend more?
[00:20:21.734 --> 00:20:29.504]  The Survival Seed Vault from mypatriotsupply.com is only $37.95 and includes 20 varieties of pure, hearty, easy-to-grow heirloom seeds.
[00:20:29.764 --> 00:20:30.224]  Yes, only $37.95.
[00:20:30.284 --> 00:20:33.667]  That's 70% less than our competitors.
[00:20:33.927 --> 00:20:37.090]  You could buy three Survival Seed Vaults for less than one of theirs.
[00:20:37.330 --> 00:20:43.816]  The Survival Seed Vault from mypatriotsupply.com includes detailed planting and seed saving instructions and ships same day.
[00:20:43.976 --> 00:20:45.377]  Plus, all orders over $49 ship free.
[00:20:46.778 --> 00:20:52.439]  MyPatriotSupply.com is American-owned by Patriots like you, passionate about freedom and preparedness.
[00:20:52.679 --> 00:20:55.520]  Call now, 866-229-0927.
[00:20:55.820 --> 00:20:58.441]  That's 866-229-0927.
[00:20:58.821 --> 00:21:04.542]  Or discover more emergency preparedness items when you order at MyPatriotSupply.com.
[00:21:04.682 --> 00:21:05.662]  Choose the original.
[00:21:05.782 --> 00:21:09.323]  Choose the survival seed vault at MyPatriotSupply.com.
[00:21:10.123 --> 00:21:12.666]  Alex Jones here for InfoWars.com.
