[00:00:00.049 --> 00:00:01.613]  The Alex Jones Show.
[00:00:13.823 --> 00:00:14.464]  Big Brother.
[00:00:15.124 --> 00:00:16.145]  Mainstream media.
[00:00:16.905 --> 00:00:18.006]  Government cover-ups.
[00:00:18.667 --> 00:00:19.467]  You want answers?
[00:00:20.248 --> 00:00:21.149]  Well, so does he.
[00:00:21.789 --> 00:00:25.412]  He's Alex Jones on the GCN Radio Network.
[00:00:25.972 --> 00:00:30.035]  And now, live from Austin, Texas, Alex Jones.
[00:00:31.608 --> 00:00:35.032]  New American writer Alex Newman joins us to look at the U.N.
[00:00:35.553 --> 00:00:42.441]  Victim Disarmament Worldwide Small Arms Treaty that Obama says he'll implement without congressional approval.
[00:00:42.861 --> 00:00:45.925]  It goes into effect as a Christmas present December 24th.
[00:00:48.058 --> 00:00:50.420]  Then, Gerald Cilente looks at Trends 2015.
[00:00:50.801 --> 00:00:55.425]  He's releasing the new Trends 2015 first journal this week.
[00:00:55.786 --> 00:01:00.710]  He'll give us the first look at his analysis and Trends for 2015 in the third hour.
[00:01:03.473 --> 00:01:05.754]  Obviously, there's a ton of news to look at.
[00:01:06.334 --> 00:01:19.118]  Elijah Cummings has, quote, savaged Jonathan Gruber, the stupid American architect of Obamacare, as absolutely stupid and incredibly disrespectful.
[00:01:20.239 --> 00:01:22.299]  Actually, he's being honest with everybody.
[00:01:23.640 --> 00:01:26.301]  Cummings, and you're up there after you screwed over your constituents.
[00:01:28.069 --> 00:01:30.710]  Black unemployment in your district's more than doubled.
[00:01:31.150 --> 00:01:32.271]  The national average has doubled.
[00:01:32.331 --> 00:01:33.311]  It's much worse.
[00:01:33.331 --> 00:01:34.652]  In fact, the worst in the country.
[00:01:35.612 --> 00:01:37.733]  In Michigan and then after that in Maryland.
[00:01:38.054 --> 00:01:49.899]  So you're sitting on the very tip-top of the de-industrialization of black people particularly, black communities, playing stupid.
[00:01:51.540 --> 00:01:53.821]  Look, Emmanuel, Ezekiel,
[00:01:56.308 --> 00:02:06.487]  Jonathan Gruber, all of them, all these globalists are on record admitting that it's a giant screwjob and laughing at their slaves.
[00:02:06.888 --> 00:02:09.192]  Kind of like Zuckerberg calls his users dumb effers.
[00:02:10.083 --> 00:02:11.424]  So we're going to be looking at that today.
[00:02:11.444 --> 00:02:14.885]  Speaking of Zuckerberg, Paul Watson has an article on InfoWars.com.
[00:02:15.265 --> 00:02:23.049]  You know, Obama's meeting with the head of the Internet censorship system in China that works closely with Microsoft and others to censor the web.
[00:02:23.489 --> 00:02:28.331]  And Zuckerberg is lauding socialism with China's Internet censorship jar.
[00:02:28.851 --> 00:02:32.193]  Facebook CEO visits with Liu Wei.
[00:02:34.048 --> 00:02:36.511]  Is called hypocritical and absurd.
[00:02:37.493 --> 00:02:46.564]  We have a graphic on the front page of Infowars.com that I think says it all with a quote by the great journalist Gary Allen.
[00:02:47.605 --> 00:02:50.767]  We published None Dare Call a Conspiracy in 1972, I should add.
[00:02:51.148 --> 00:02:54.050]  We sell that out of print book at infowarestore.com.
[00:02:54.450 --> 00:03:10.582]  If one understands that socialism is not a share-the-wealth program, but is in reality a method to consolidate and control the wealth, then the seeming paradox of super-rich men promoting socialism becomes no paradox at all.
[00:03:12.458 --> 00:03:35.588]  And I tell you, one of the most valuable things Kurt Nemo does is not just the great articles he writes for PresidentPlanet.com and Infowars.com, sometimes three, four times a day when it strikes his fancy, but always at least once a day, he will take something from the headlines and reflect it back in an image of a man in a suit and a tie with a communist hammer and sickle lapel pin.
