[00:00:11.237 --> 00:00:12.438]  There's a new book that's come out.
[00:00:12.518 --> 00:00:14.158]  It's called Animal Madness.
[00:00:14.518 --> 00:00:20.181]  How anxious dogs, compulsive parrots, and elephants in recovery can help us to understand ourselves.
[00:00:20.741 --> 00:00:36.328]  Now the interesting thing about this book is that rather than looking at drugs being tested on animals, it takes drugs that have first been, of course, tested on animals, then used routinely on humans, and now have gone full circle back into the zoo.
[00:00:36.408 --> 00:00:38.869]  And so it provides us some interesting insights.
[00:00:39.309 --> 00:00:42.952]  And of course, in reviews, people have talked about anthropomorphism.
[00:00:43.072 --> 00:00:46.154]  In other words, projecting human characteristics onto animals.
[00:00:46.174 --> 00:00:50.797]  They say to speak of mental illness in animals requires a degree of anthropomorphizing.
[00:00:50.997 --> 00:00:57.422]  Or, this is a humane, insightful, beautifully written book, Animal Madness Gives Anthropomorphism a Good Name.
[00:00:58.082 --> 00:01:00.504]  What about anthropomorphism in reverse?
[00:01:00.724 --> 00:01:03.246]  Yes, are we treating humans like animals?
[00:01:03.806 --> 00:01:12.149]  Let's take a look at a couple of the excerpts from the book, but before we do, there's also another school of thought in how we control animals, and that, of course, is the B.F.
[00:01:12.189 --> 00:01:14.590]  Skinner Behavioral Modification School.
[00:01:14.930 --> 00:01:18.131]  We use positive operant conditioning to control the animals.
[00:01:18.491 --> 00:01:23.073]  Skinner's techniques are actually a humane way to communicate with and to control animals.
[00:01:23.453 --> 00:01:32.616]  The problem arises with the reverse anthropomorphism, when Skinner starts to treat humans as animals, devoid of freedom and dignity.
[00:01:33.496 --> 00:01:42.842]  Of course, much of our government's interaction with everyone from children in schools to airplane travelers with TSA is based on positive operant conditioning.
[00:01:43.262 --> 00:01:48.905]  In other words, let me touch you wherever I want and I'll reward you with allowing you to get on a plane.
[00:01:49.546 --> 00:01:53.308]  Now, of course, the other popular way to control people is with pharmaceuticals.
[00:01:53.888 --> 00:02:00.172]  If Mr. McMurphy doesn't want to take his medication orally, I'm sure we can arrange that he can have it some other way.
[00:02:02.708 --> 00:02:05.170]  Brightman's book gives us some perspectives on that.
[00:02:05.770 --> 00:02:16.798]  Now Thorazine, of course, was first tested on rats and what they found was that even though rats could easily climb up a rope to get to some food, once they put them on Thorazine, they couldn't be bothered.
[00:02:17.318 --> 00:02:20.901]  Even when they knew a shock was coming on, they would just sit there.
[00:02:21.161 --> 00:02:24.503]  What happened when they gave Thorazine to a gorilla in the zoo?
[00:02:25.044 --> 00:02:31.308]  This is a gorilla that was going to have to be relocated to a very small cage for a period of six months while his usual habitat was repaired.
[00:02:31.868 --> 00:02:36.451]  So what they did to help him cope was what any good psychiatrist would do.
[00:02:36.531 --> 00:02:38.273]  They put some Thorazine in his coke.
[00:02:39.013 --> 00:02:39.953]  What did that do for him?
[00:02:40.013 --> 00:02:43.695]  Well, the zookeeper said he shuffled back and forth across his cage with dulled eyes.
[00:02:44.275 --> 00:02:48.416]  It was a little like watching the men in One Flew Over the Cuckoo's Nest.
[00:02:48.896 --> 00:02:57.479]  Now, a review of her book that's on Wired.com today covers a couple of interesting anecdotes, entitled, Even the Gorillas and Bears in Our Zoo Are Hooked on Prozac.
[00:02:57.499 --> 00:03:04.842]  They look at what happens when we take these drugs that we've now approved for massive use on humans, and then turn around and use them on animals in the zoo.
[00:03:05.342 --> 00:03:13.045]  Gus, the famous polar bear from the Central Park Zoo, was put on Prozac because he was swimming for 12 hours a day.
[00:03:13.705 --> 00:03:16.486]  Now, as an aside, that's what polar bears do.
[00:03:16.526 --> 00:03:22.169]  They range over hundreds of miles and, of course, that's why you see all these pictures of polar bears sitting on
[00:03:23.229 --> 00:03:27.052]  Ice flows looking like they're forewarned, like their habitat is melting.
[00:03:27.132 --> 00:03:29.534]  No, they range over several hundred miles a day.
[00:03:29.574 --> 00:03:37.940]  So this polar bear was swimming 12 hours a day, and they said that that is .00009% of his usual habitat.
