[00:00:19.392 --> 00:00:21.155]  Welcome to the InfoWars Nightly News.
[00:00:21.235 --> 00:00:25.042]  It's Tuesday, June 17, 2014 and I'm Leigh Ann McAdoo.
[00:00:25.142 --> 00:00:26.143]  Here's what's coming up tonight.
[00:00:28.561 --> 00:00:32.303]  Tonight, police violence against Americans is ignored by the government.
[00:00:32.963 --> 00:00:37.305]  But border control agents get new restrictions on using force on illegal immigrants.
[00:00:37.925 --> 00:00:44.248]  And, more evidence our government runs a terrorist with ISIS being secretly trained by the United States for years.
[00:00:44.708 --> 00:00:47.949]  Then, the transgenic modification of honeybees begins.
[00:00:48.470 --> 00:00:50.230]  What could possibly go wrong?
[00:00:51.011 --> 00:00:54.092]  All that and more on tonight's InfoWars Nightly News.
[00:00:57.708 --> 00:01:02.194]  Well, we've got a constant stream of illegals flooding the border in the Rio Grande region.
[00:01:02.334 --> 00:01:04.717]  Border agents report not being able to do their job.
[00:01:04.737 --> 00:01:09.343]  They're totally overwhelmed because they're too busy changing dirty diapers.
[00:01:09.384 --> 00:01:10.585]  They can't patrol the border.
[00:01:10.605 --> 00:01:14.651]  And now agents have even more restrictions placed upon them.
[00:01:15.351 --> 00:01:15.732]  The U.S.
[00:01:15.752 --> 00:01:20.835]  Border Patrol is going to be putting in place new policies to restrict the use of force by agents.
[00:01:21.396 --> 00:01:28.261]  Under the new restrictions, Border Patrol agents will be required to avoid situations where deadly force may be used.
[00:01:28.701 --> 00:01:37.528]  Examples include refraining from blocking moving vehicles' paths or firing at rock throwers unless they're in imminent danger.
[00:01:38.208 --> 00:01:47.591]  These agents will additionally be trained on how to carry and use lighter weapons while also facing restrictions on taser use.
[00:01:48.391 --> 00:01:53.373]  So Border Patrol agents are saying that their lives are literally being put in danger every single day.
[00:01:54.193 --> 00:01:58.055]  And now they're being used as pawns in a political game.
[00:01:58.075 --> 00:02:10.140]  Now these policies were likely prompted after what was called a scathing review by the LA Times saying that the agents were using deadly force on children who were throwing rocks at them.
[00:02:10.680 --> 00:02:13.902]  But as Breitbart points out in April,
[00:02:14.562 --> 00:02:15.903]  Rocks can be very deadly.
[00:02:16.283 --> 00:02:21.947]  They show pictures here of just how harmless rock throwing can actually be.
[00:02:22.668 --> 00:02:38.679]  Of course, this is ridiculous because if you were anywhere else in the country throwing big boulders and splitting open cops' heads and busting their car windows and stuff, of course cops are going to be using deadly force.
[00:02:38.999 --> 00:02:43.723]  But here at the border, they're being told to just back off.
[00:02:44.663 --> 00:02:48.986]  And if there are cars rushing the border, just back off.
[00:02:49.246 --> 00:02:50.247]  Just let them come through.
[00:02:50.367 --> 00:02:55.250]  If the rock throwers are coming, just, you know, don't even use your taser on those people.
[00:02:55.611 --> 00:03:00.134]  Meanwhile, here in America, this is how the cops treat American citizens.
[00:03:01.334 --> 00:03:06.818]  This is a cop throwing a 19-year-old woman to the ground and then punching her in the stomach.
[00:03:07.338 --> 00:03:11.321]  This attack occurred on Sunday at Pittsburgh's Pride in the Street Festival.
[00:03:11.861 --> 00:03:14.023]  The cop said in his police complaint,
[00:03:14.763 --> 00:03:21.228]  That he punched Ariel Lothar in the abdomen several times to distract her enough so that he could handcuff her.
[00:03:21.808 --> 00:03:29.114]  Now, the cops are not punching any of those illegal aliens in the gut to try and distract them from jumping over the border.
[00:03:29.754 --> 00:03:37.539]  You know, nope, they're going to reserve that deadly force or use of force for girls in rainbow socks at the Gay Pride Festival.
