[00:00:01.510 --> 00:00:02.671]  Coast to coast.
[00:00:03.051 --> 00:00:04.371]  Direct from Austin.
[00:00:05.112 --> 00:00:08.314]  You're listening to the Alex Jones Broadcasting Network.
[00:00:14.605 --> 00:00:15.245]  Big Brother.
[00:00:15.926 --> 00:00:16.946]  Mainstream media.
[00:00:17.687 --> 00:00:18.787]  Government cover-ups.
[00:00:19.448 --> 00:00:20.248]  You want answers?
[00:00:21.029 --> 00:00:21.909]  Well, so does he.
[00:00:22.570 --> 00:00:26.172]  He's Alex Jones on the GCN Radio Network.
[00:00:26.772 --> 00:00:30.834]  And now, live from Austin, Texas, Alex Jones.
[00:00:47.839 --> 00:00:52.744]  Ladies and gentlemen, it is Monday, June 2nd, 2014.
[00:00:52.784 --> 00:00:59.390]  I am your host, Alex Jones, and we're going to be live here for the next three hours.
[00:00:59.950 --> 00:01:03.574]  I am coming to you from the road with my family.
[00:01:04.234 --> 00:01:18.724]  We are going to have Staff Sergeant Joe Biggs, Infowars.com reporter, joining us during the next 45 minutes or so with one of our other reporters, Leanne McAdoo of Infowars Nightly News.
[00:01:19.165 --> 00:01:26.670]  We've got a lot of geopolitical news, a lot of Obama scandal news, more resignation news reportedly coming.
[00:01:27.884 --> 00:01:36.512]  A lot of other situations boiling around the world, but this Bo Bergdahl army story, last week we see it come out that Obama
[00:01:37.580 --> 00:01:40.961]  has intentionally blown the cover of a CIA asset.
[00:01:41.721 --> 00:01:46.202]  And we'll be breaking down all the names and details with Staff Sergeant Joe Biggs coming up in the next segment.
[00:01:46.882 --> 00:01:52.623]  We see the report that he blows the cover of the CIA asset and is in hot water for that.
[00:01:53.983 --> 00:02:03.165]  And before we find out why this is all going on, Bo Bergdahl, who told members of his army team, I'm going to go AWOL, which is clearly
[00:02:04.170 --> 00:02:13.555]  A cover could be a cover for him to then artificially defect to the Taliban to quote then infiltrate that group.
[00:02:13.635 --> 00:02:24.000]  And we know both groups, Taliban, Al Qaeda, there's two or three different groups of Taliban, different sub factions of Al Qaeda, different sub factions of the CIA, different sub factions in the army.
[00:02:24.321 --> 00:02:26.602]  This is what countries and intelligence agencies do.
[00:02:28.263 --> 00:02:29.746]  The whole thing stinks really bad.
[00:02:30.608 --> 00:02:36.760]  Then you've got a Twitter that appears to be his dad's, operating for years, that came out.
[00:02:36.920 --> 00:02:38.584]  We'll put that tweet on screen.
[00:02:38.964 --> 00:02:39.846]  We have a Twitter account.
[00:02:41.092 --> 00:02:50.735]  Where his father is talking about there'll be great vengeance, there'll be great payback for every Afghan child that's been killed.
[00:02:51.596 --> 00:02:54.617]  And then his dad gets up on television and starts speaking in Farsi.
[00:02:55.197 --> 00:03:03.160]  Immediately when this started breaking Friday through Saturday, Staff Sergeant Joe Biggs was calling myself and others saying, look, this just doesn't hold water.
[00:03:04.540 --> 00:03:11.524]  I'd heard about this guy, you know, he said years ago from people that were in his unit saying that something was, you know, going on with him.
[00:03:12.044 --> 00:03:21.369]  And for those that don't know what sheet dipping is, you will stage your death or you'll get out of the military or they'll claim you failed at special forces training like Ed Snowden or Timothy McVeigh.
[00:03:22.129 --> 00:03:27.031]  And then you're put into clandestine operations, which is confirmed now with McVeigh and Snowden.
[00:03:27.351 --> 00:03:28.352]  That's not speculation.
[00:03:28.712 --> 00:03:31.994]  So when you see this M.O., we ought to get Steve Pucinich to pop in.
[00:03:32.594 --> 00:03:34.356]  For 10 minutes today or tomorrow on this.
[00:03:34.396 --> 00:03:40.543]  I was just thinking he's saying that the Snowden situation is a double agent operation.
[00:03:40.864 --> 00:03:45.729]  And then now Snowden comes out and says I was trained as a spy by the CIA and by others.
[00:03:45.809 --> 00:03:48.652]  So we have that report as well.
[00:03:50.880 --> 00:04:04.604]  Again, it becomes a larger diversion and a distraction and just a PR stunt by Obama to say, look, I'm bringing our boys home by releasing a whole bunch of top Taliban people out of Gitmo.
[00:04:05.545 --> 00:04:12.827]  So I'm not saying that it is a conspiracy yet, but it's definitely pointing in that direction.
[00:04:13.207 --> 00:04:14.588]  And we should never forget that
[00:04:16.331 --> 00:04:25.018]  This is the same administration that hands down, hands down, staged the release of the death of Bin Laden.
[00:04:26.699 --> 00:04:29.882]  This is the administration that lied and said the Navy witnessed him being thrown overboard.
[00:04:29.922 --> 00:04:34.185]  Turns out that's not true, and faked the situation from photos and said they were watching live video feeds.
[00:04:34.205 --> 00:04:34.726]  That didn't happen.
[00:04:35.026 --> 00:04:37.088]  I've interviewed the Navy SEALs' families on air.
[00:04:37.408 --> 00:04:43.053]  They even know the name of the Bin Laden look-alike double agent.
[00:04:47.125 --> 00:04:49.626]  I don't have to go back into that whole story of why that was fake.
[00:04:49.646 --> 00:04:51.766]  I meant to cover up the whole birth certificate story.
[00:04:52.126 --> 00:04:54.287]  But this has all the earmarks of a stunt.
[00:04:54.307 --> 00:04:57.928]  We're going to dissect it coming up in the aftermath of Bilderberg 2014.
[00:04:58.628 --> 00:05:00.008]  It was really important.
[00:05:00.928 --> 00:05:03.129]  And just a ton of other vital news today.
[00:05:03.989 --> 00:05:04.429]  Stay with us.
[00:05:04.449 --> 00:05:06.490]  We have some huge guests coming up this week as well.
[00:05:06.510 --> 00:05:07.070]  It's a big week.
[00:05:07.090 --> 00:05:07.450]  Stay with us.
[00:05:09.813 --> 00:05:13.815]  A chemical spill contaminating the water supply in nine West Virginia counties.
[00:05:13.855 --> 00:05:17.997]  This year alone, over 300,000 people in West Virginia had their drinking water contaminated.
[00:05:18.217 --> 00:05:21.638]  What are the health effects of having these drugs in our drinking water?
[00:05:21.878 --> 00:05:24.760]  It's forced medical treatment without the consent of residents.
[00:05:24.920 --> 00:05:32.263]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[00:05:32.483 --> 00:05:36.125]  On average, the county says it sprays with the glyphosate at least once a week.
[00:05:36.405 --> 00:05:40.647]  Few filters cut out the glyphosate that is found in water supplies worldwide.
[00:05:40.807 --> 00:05:46.751]  Remove pesticides, herbicides, chloramines, hydrofluorosilicic acid, sodium hexafluorosilicate.
[00:05:46.791 --> 00:05:50.813]  Fluoride is in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[00:05:50.853 --> 00:05:53.254]  It is our responsibility to protect our families.
[00:05:53.474 --> 00:05:54.815]  The establishment's not going to do it.
[00:05:54.975 --> 00:05:56.196]  It's time to take action.
[00:05:56.336 --> 00:05:57.997]  It's time to filter our water.
[00:05:58.157 --> 00:06:05.322]  Visit InfowarsStore.com and use promo code WATER to get 10% off their entire family of incredible products.
[00:06:05.543 --> 00:06:09.085]  Or call toll free 888-253-3139.
[00:06:09.846 --> 00:06:16.871]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[00:06:17.011 --> 00:06:19.172]  But it's not just the air outside that's toxic.
[00:06:19.352 --> 00:06:24.454]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[00:06:24.634 --> 00:06:29.657]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[00:06:29.797 --> 00:06:32.838]  There are more than 42 million smokers in the United States.
[00:06:33.118 --> 00:06:36.981]  Well over a thousand types of mold and mildew linked to numerous conditions.
[00:06:37.201 --> 00:06:41.444]  And don't forget the fact that six million Americans live with pets they're allergic to as well.
[00:06:41.524 --> 00:06:51.552]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape, but that we can fight back against.
[00:06:51.752 --> 00:06:54.274]  Made with organic and wild cultivated herbs,
[00:06:54.454 --> 00:07:02.520]  And manufactured in the USA, the new InfoWars Life Lung Cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[00:07:02.660 --> 00:07:06.622]  Now available exclusively at InfoWarsLife.com or by calling toll free 888-253-3139.
[00:07:10.626 --> 00:07:12.407]  Hi, I'm Dr. Edward Group.
[00:07:12.948 --> 00:07:19.892]  It took me 20 years of searching the globe to find the deposit of the highest purity iodine available.
