[00:00:19.542 --> 00:00:21.063]  Welcome to the Infowars Nightly News.
[00:00:21.143 --> 00:00:23.986]  It's Thursday, March 27th, 2014.
[00:00:24.606 --> 00:00:30.732]  Now tonight we see that there are some legal maneuverings going on on Capitol Hill regarding NSA reforms.
[00:00:31.352 --> 00:00:36.717]  Steve Watson reports that anti-NSA congressmen are being intentionally cut out of a debate on a surveillance bill.
[00:00:37.117 --> 00:00:44.384]  The legislation, which would see significant alterations to the 1978 Foreign Intelligence Surveillance Act, that's what we always refer to as FISA,
[00:00:44.864 --> 00:00:50.569]  We'll now be primarily overseen by the Chamber's Intelligence Committee instead of the Judiciary Committee.
[00:00:51.289 --> 00:00:56.173]  And someone speaking from the Judiciary Committee, a staffer, said, many of our members are pretty outraged.
[00:00:56.454 --> 00:01:03.439]  They're trying to understand the committee's clear jurisdiction as the debate we're having is on civil liberties and constitutional rights.
[00:01:03.479 --> 00:01:04.040]  That's correct.
[00:01:04.420 --> 00:01:10.385]  See, the Intelligence Committee has really been the cheerleaders, as they point out in the article for the NSA.
[00:01:10.826 --> 00:01:13.428]  These are people like Mike Rogers, who heads the committee.
[00:01:13.928 --> 00:01:17.369]  He is the person who is writing this bill that is supposedly a reform.
[00:01:17.830 --> 00:01:22.852]  Remember that the FISA bill of 1978 was actually a reform itself, originally.
[00:01:23.272 --> 00:01:30.775]  It was supposed to rein in an out-of-control CIA in the wake of the church committee hearings that showed the abuses that were going on there.
[00:01:31.335 --> 00:01:35.758]  And so now they say they're going to reform this with a bill that's been written by Mike Rogers.
[00:01:36.078 --> 00:01:44.322]  The Intelligence Committee is not the committee that's looking at civil liberties and legalities, constitutionally, whether it's being done correctly or not.
[00:01:44.803 --> 00:01:51.406]  They're the ones that are trying to aid the NSA and aid the CIA, giving them funding, giving them, actually, cheerleading.
[00:01:51.706 --> 00:01:52.847]  We have people who are supporting it.
[00:01:52.887 --> 00:01:53.687]  Look at these supporters.
[00:01:53.747 --> 00:01:57.730]  Peter King, Michelle Bachman, John Boehner, and, of course, Mike Rogers.
[00:01:58.510 --> 00:02:12.025]  Representative Gerald Nadler on the Judiciary Committee issued a statement yesterday saying he was deeply concerned that today, for what appears to be the first time ever, a FISA reform bill has been sent to the House Intelligence Committee first.
[00:02:12.826 --> 00:02:17.652]  Now another reason to cut this out of the Judiciary Committee is that they have a rival bill.
[00:02:17.992 --> 00:02:18.553]  We're good to go.
[00:02:36.511 --> 00:02:39.953]  In California, a very revealing sting by the FBI.
[00:02:39.993 --> 00:02:45.536]  This is an anti-gun state representative who's been caught running guns in an FBI sting.
[00:02:45.896 --> 00:02:50.278]  Very reminiscent of Fast and Furious, or as I like to call it, False and Furious.
[00:02:50.918 --> 00:02:56.981]  California State Senator Leland Yee, a Democrat, was arrested Wednesday at his home in San Francisco.
[00:02:57.562 --> 00:02:59.162]  This year, pay attention to what he did here.
[00:02:59.443 --> 00:03:01.924]  He introduced two gun control bills, one of them
[00:03:02.444 --> 00:03:10.606]  Senate Bill 108 would have required the Justice Department to study local safe storage ordinances to prevent children from getting access to their parents' weapons.
[00:03:11.046 --> 00:03:22.588]  Another one, Senate Bill 47, would have expanded California's ban on assault weapons to include semi-automatics, centerfire rifles, and pistols with the ability to accept detachable magazines.
[00:03:23.129 --> 00:03:24.349]  Now, those aren't going to go anywhere.
[00:03:24.989 --> 00:03:29.492]  But look at what this guy said when he was as part of the FBI sting when they were talking to him.
[00:03:29.512 --> 00:03:31.633]  He said, do I think we can make some money here?
[00:03:31.814 --> 00:03:33.695]  He says, yeah, I think we can make some money.
