[00:00:00.009 --> 00:00:01.754]  Alex Jones Broadcasting Network.
[00:00:13.991 --> 00:00:18.174]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:18.835 --> 00:00:19.635]  You want answers?
[00:00:20.416 --> 00:00:21.317]  Well, so does he.
[00:00:21.957 --> 00:00:25.580]  He's Alex Jones on the GCN Radio Network.
[00:00:26.161 --> 00:00:30.264]  And now, live from Austin, Texas, Alex Jones.
[00:00:35.228 --> 00:00:41.753]  Well, Barack Obama's spending his Valentine's Day away from a shallow, I'm sure, the pile of cocaine, a carton of cigarettes,
[00:00:43.126 --> 00:00:45.588]  Hillary, I'm sure, is going to be spending it with her girlfriends.
[00:00:46.809 --> 00:00:48.430]  Hey, that's what Valentine's Day is for, huh?
[00:00:48.450 --> 00:00:50.732]  Alright, let's get serious.
[00:00:51.032 --> 00:00:57.597]  CBS News says there's record cold weather all over the Northern Hemisphere because of global warming.
[00:00:57.657 --> 00:01:00.880]  Winter storm has killed at least 12 people across the South.
[00:01:01.700 --> 00:01:03.882]  A storm wipes out power for thousands.
[00:01:04.863 --> 00:01:07.345]  CBS again blames global warming for bad weather.
[00:01:08.814 --> 00:01:11.016]  Of course the Arctic was supposed to be melted this year, remember that?
[00:01:11.096 --> 00:01:12.837]  Al Gore said that back in 2007 and 9.
[00:01:12.877 --> 00:01:13.658]  Keep laughing, he said.
[00:01:17.435 --> 00:01:18.856]  It's going to be melted, completely melted.
[00:01:18.876 --> 00:01:21.417]  Of course, it's record thickness in the last 50 years.
[00:01:22.517 --> 00:01:26.218]  So, cancelled airlines, scrapped record number of flights, that's just some of what we're going to be covering.
[00:01:26.959 --> 00:01:32.661]  But don't worry, the TSA is not showing up to keep you safe from imaginary threats staged by criminal elements of the government.
[00:01:33.201 --> 00:01:38.663]  Snowstorm keeps TSA agents home, causes security line chaos at Newark Airport.
[00:01:39.944 --> 00:01:42.705]  So, that is all in the news.
[00:01:42.805 --> 00:01:43.285]  Meanwhile,
[00:01:44.417 --> 00:01:46.158]  I'm sure they'll blame this on global warming too.
[00:01:46.598 --> 00:01:53.062]  Mass evacuation of 20,000 in Indonesia as Jamba volcano erupts.
[00:01:54.943 --> 00:02:08.391]  And I've actually seen the fake environmentalist, like it's voodoo or something, claim that we're having volcanic activity because of global warming, which is supposedly from carbon dioxide, and they say Mother Earth is mad at us.
[00:02:09.332 --> 00:02:16.594]  I think if there's a Mother Earth that's mad about the GMO and the nuclear power plants leaking all over the place, not about carbon dioxide that plants breathe.
[00:02:16.634 --> 00:02:17.354]  I mean, I'm just sorry.
[00:02:17.794 --> 00:02:20.034]  They want to tax part of the carbon cycle, that's why they picked that.
[00:02:20.454 --> 00:02:37.398]  Mark Moreno, who heads up Climate Depot, the foremost group clearinghouse exposing the fraud that is man-made global warming, and why we should be concerned about it, how it's a societal takeover excuse, he's going to be joining us coming up in the
[00:02:39.036 --> 00:02:45.140]  Second hour for 30 minutes, and then we saw a music video a few weeks ago.
[00:02:45.760 --> 00:02:47.761]  We said, man, that looks like our show or something.
[00:02:47.781 --> 00:02:50.423]  That must be a really tuned in, smart folks.
[00:02:51.123 --> 00:02:53.385]  Of course, I like Korn, listen to Korn, listen to...
[00:02:54.144 --> 00:02:56.185]  Metallica, Megadeth, you name it.
[00:02:56.225 --> 00:02:57.685]  I mean, I like good, hard music.
[00:02:59.026 --> 00:03:00.887]  I know they've had some messages of liberty in the past.
[00:03:01.427 --> 00:03:03.548]  So we sent them an email and said, hey, are you listeners of the show?
[00:03:03.568 --> 00:03:04.208]  Would you like to come on?
[00:03:04.248 --> 00:03:05.528]  And sure enough, they are.
[00:03:05.548 --> 00:03:06.909]  So they're going to talk about their music video.
[00:03:07.469 --> 00:03:09.070]  Jonathan Davis, lead singer of Korn.
[00:03:09.850 --> 00:03:13.812]  I was going to come on for about 25-30 minutes at the start of the third hour today.
[00:03:13.832 --> 00:03:19.896]  Always good to reach out to more folks out there in the entertainment industry who are putting out great music videos, really exposing the whole system.
[00:03:20.456 --> 00:03:22.057]  And believe me, they try to keep them on a short leash.
[00:03:22.117 --> 00:03:24.498]  It takes Billy Corgan a lot of courage to come on this show.
[00:03:25.259 --> 00:03:27.420]  It takes Dave Mustaine a lot of courage to come on this show.
[00:03:27.960 --> 00:03:29.821]  People like Jimmy Vaughn who've come on over the years.
[00:03:29.841 --> 00:03:35.765]  You know, the media paints him up as a bad boy.
[00:03:36.812 --> 00:03:38.253]  That's all he would do is call him.
[00:03:38.273 --> 00:03:39.553]  He keeps saying for years he'll come on.
[00:03:39.573 --> 00:03:44.795]  Everybody demonized him so much, but he's really a nice guy overall and has matured quite a bit in my view.
