[00:00:19.571 --> 00:00:25.374]  Welcome to InfoWars Nightly News and this vitally important Thursday edition.
[00:00:25.734 --> 00:00:31.696]  We're going to go to the nightly news with Darren McBreen in one moment, but first this breaking news alert.
[00:00:32.357 --> 00:00:35.558]  I have talked to multiple members of the Border Patrol and former members.
[00:00:36.478 --> 00:00:47.123]  We have also talked to multiple medical doctors, one of them who went on record today on my syndicated radio broadcast and had this to say.
[00:00:47.968 --> 00:01:03.797]  Well, a friend of mine that's a resident at Truman Medical Center, which is where I did my residency at, called me and said, hey, we've got a possible Ebola patient here, and he's bleeding out of all of his... I'm not going to use the language he used, but he's bleeding out of all of his orifices.
[00:01:03.857 --> 00:01:07.459]  He's in septic shock, hypotensive, high fever.
[00:01:07.539 --> 00:01:15.463]  He was visiting Africa, or he was from Africa, I believe, and had recently been here in the Kansas City area.
[00:01:16.007 --> 00:01:17.468]  They took care of him in the ICU.
[00:01:17.508 --> 00:01:26.553]  Of course, it was not a rapid test, so they weren't sure, but I think they ordered the test and they sent it off, but they moved him to the ICU and they put him in isolation.
[00:01:26.953 --> 00:01:31.816]  The following day, he called me back and said they disappeared the patient.
[00:01:31.836 --> 00:01:33.317]  I said, what do you mean they disappeared him?
[00:01:33.858 --> 00:01:34.678]  The patient's gone.
[00:01:35.959 --> 00:01:43.063]  They were told that he left AMA, which means against medical advice, but the guy, he couldn't even, he wouldn't have been able to leave.
[00:01:43.083 --> 00:01:44.644]  I mean, he was in that bad of a shape.
[00:01:45.188 --> 00:01:54.391]  The following day, they had a meeting with anybody that had contact with that patient and said that he did not have Ebola, he had malaria.
[00:01:55.031 --> 00:02:01.254]  That's when we heard that all these other cases in these other cities, they were coming back and saying, no, they didn't have Ebola, they had malaria.
[00:02:01.474 --> 00:02:05.415]  That seemed like that's what they were told to tell everybody.
[00:02:06.926 --> 00:02:15.935]  Well, then we had a second patient at Research Medical Center that was rumored to have, because I have friends there, too, and they called me and said, we have a possible Ebola patient.
[00:02:16.116 --> 00:02:17.157]  That patient disappeared.
[00:02:17.177 --> 00:02:26.266]  There was a patient more recently at KU Medical Center, which is just across from the Kansas side, about 20 minutes from here.
[00:02:28.092 --> 00:02:33.835]  That patient, I don't know what the status of that patient is, but they came out and said that he didn't have typhoid.
[00:02:34.235 --> 00:02:36.156]  Something very, very strange is going on.
[00:02:36.176 --> 00:02:44.480]  I wouldn't have thought much about it, but this is happening in other areas of the country, not only in Kansas City.
[00:02:44.781 --> 00:02:45.901]  These patients are disappearing.
[00:02:45.941 --> 00:02:49.223]  They're doing something on the patients and God knows where they're going.
[00:02:49.585 --> 00:03:02.769]  That was Dr. James Lorenzi saying exactly what I was told by a major medical manager who's a medical doctor in Dallas who I've known for at least a year, but he was scared to go public.
[00:03:03.129 --> 00:03:07.690]  We also have sources in North Carolina and many other areas that are inside hospitals
[00:03:08.050 --> 00:03:13.653]  saying that they're clearly covering up Ebola patients and secretly quarantining them or disappearing them.
[00:03:13.993 --> 00:03:25.380]  That's exactly what Zack Taylor retired former senior border patrol agent and the head of the retirees union said two months ago and what he told us back on October 10th.
[00:03:26.280 --> 00:03:35.845]  The agents are telling us that they're seeing some people that are obviously sick with shivering type illnesses with possibly
[00:03:37.408 --> 00:03:40.270]  Dehydrating illnesses like diarrhea and vomiting.
[00:03:41.251 --> 00:03:42.592]  Those people are disappearing.
[00:03:42.852 --> 00:03:45.774]  We don't know what they have, where they're going, where they're taking them.
[00:03:46.434 --> 00:03:48.876]  Surely they're being quarantined somewhere.
[00:03:48.916 --> 00:03:49.756]  We just don't know where.
[00:03:50.457 --> 00:03:55.180]  And even the agents don't know what the diagnosis is of these illnesses.
[00:03:55.885 --> 00:03:59.006]  That story and video is at Infowars.com as well.
[00:03:59.466 --> 00:04:06.907]  We know that just two nurses in Dallas who came in contact with an Ebola patient ended up getting it.
[00:04:07.147 --> 00:04:09.188]  Do we really believe that's where it stopped?
[00:04:09.668 --> 00:04:15.549]  We know they're telling firefighters and police that they need to use codes and don't use the word Ebola.
[00:04:15.869 --> 00:04:21.930]  Yeah, I'm just calling to confirm the earlier reports that you had about how we're dispatched to a call whether it's possibly Ebola.
[00:04:22.371 --> 00:04:24.211]  They do not want to say Ebola over the air.
[00:04:24.984 --> 00:04:33.567]  And they will say for our agency, quote, they have positive answers to additional screening questions, which our dispatchers ask to the patient.
[00:04:34.067 --> 00:04:42.129]  So government is keeping the borders open, flying in unlimited West Africans from countries literally collapsing under Ebola.
[00:04:42.390 --> 00:04:46.911]  We have people dying on New York flights from West Africa, vomiting to death.
[00:04:47.251 --> 00:04:52.813]  And before they're even tested, the news tells us, no Ebola, nothing to see here, go back to sleep.
[00:04:53.573 --> 00:05:19.567]  They're telling the medical doctors and other personnel around the country, say that it is some other illness out of Africa, say that it's something other than Ebola, even though the supposed symptoms of the diseases that they're claiming it really is don't match those of Ebola, and what we're seeing in these patients are things that are consistent with Ebola, and the medical professionals believe that a cover-up is taking place.
[00:05:19.867 --> 00:05:32.156]  Please visit InfoWars.com so you can see the full unedited interview that aired live today on my radio show and read the articles and the back story to fully understand what's happening in these two different reports.
[00:05:32.496 --> 00:05:37.500]  Missouri doctor suspected Ebola patient witnessed bleeding out of all orifices.
[00:05:37.940 --> 00:05:42.144]  Hospital altered patient diagnosis to stave off public panic?
[00:05:43.004 --> 00:05:45.186]  Another headline, medical professional
[00:05:45.586 --> 00:05:50.649]  Health authorities may be covering up Ebola cases in the U.S., but here's what we know is happening.
[00:05:51.189 --> 00:05:55.892]  Exclusive patients being disappeared to prevent panic.
[00:05:56.112 --> 00:06:01.095]  That's what we were told by former and current border patrol has been going on for months.
[00:06:01.536 --> 00:06:03.237]  So there's clearly a cover-up going.
[00:06:03.877 --> 00:06:07.220]  They're clearly telling firefighters and police to say it's not Ebola.
[00:06:07.460 --> 00:06:09.322]  They're telling health care workers to shut up.
[00:06:09.983 --> 00:06:15.347]  This is a very serious situation as they continue the flights in from West Africa.
[00:06:15.748 --> 00:06:19.071]  The big question is where are these people being taken and why?
[00:06:19.591 --> 00:06:19.751]  Tonight,
[00:06:49.594 --> 00:06:53.396]  What's it going to take to contain the Ebola outbreak?
[00:06:54.077 --> 00:06:56.678]  And the origins of ISIS revealed.
[00:06:57.219 --> 00:07:00.841]  That's next on the InfoWars Nightly News.
[00:07:16.658 --> 00:07:26.251]  Recently, the United States military accidentally airdropped a pallet of weapons and supplies to ISIS terrorists in Syria.
[00:07:26.872 --> 00:07:27.593]  A huge mistake.
[00:07:28.519 --> 00:07:29.460]  According to U.S.
[00:07:30.161 --> 00:07:41.052]  officials who are claiming that the weapons were intended for Kurdish forces defending the besieged and strategically important Syrian city of Kobani.
[00:07:41.552 --> 00:07:42.974]  So far, the U.S.
[00:07:43.094 --> 00:07:50.482]  air campaign that's being played up as a heroic gesture by the corporate media, well, it's not really working out too well.
[00:07:51.062 --> 00:08:10.388]  ISIS has yet to retreat, the offensive against Kobani continues, and although there has been some isolated strikes that have killed ISIS terrorists, the majority of airstrikes in Syria have killed thousands of civilians, including women and children, not to mention the fact that the U.S.
[00:08:10.508 --> 00:08:16.050]  airstrikes largely increase an already serious refugee crisis in the country.
[00:08:16.590 --> 00:08:21.312]  Because when your house gets burned down, well, you no longer have a place to live.
[00:08:21.532 --> 00:08:23.633]  That's usually how that works.
[00:08:24.754 --> 00:08:29.676]  But was the airdrop of weapons and supplies to ISIS really a mistake?
[00:08:30.496 --> 00:08:40.681]  After all, it's always been the ultimate goal of the United States and its allies to put boots on the ground in Syria and to remove al-Assad from power.
[00:08:41.513 --> 00:08:46.736]  The mistaken airdrop could be used as an excuse to send in U.S.
[00:08:46.896 --> 00:08:47.596]  ground forces.
[00:08:48.436 --> 00:08:49.097]  But wait a minute.
[00:08:49.657 --> 00:08:51.138]  Why on earth would the U.S.
[00:08:51.218 --> 00:08:54.459]  government purposely give ISIS terrorists weapons?
[00:08:55.140 --> 00:09:02.483]  I mean, these are the same Muslim extremists who are going around beheading journalists and executing Christians right now.
[00:09:02.904 --> 00:09:04.424]  Do you mean to tell me the U.S.
[00:09:04.464 --> 00:09:09.287]  government is so corrupt that they're so evil that they would actually do something like that?
[00:09:10.464 --> 00:09:11.784]  Oh yes, yes they would.
[00:09:12.505 --> 00:09:14.865]  And the evidence is overwhelming.
[00:09:15.425 --> 00:09:31.670]  In fact, the pallet of weapons that has supposedly ended up in the wrong hands, what's really insignificant compared to the total ISIS arsenal, not only does ISIS have in their possession tons of weaponry taken from the retreating Iraqi forces,
[00:09:32.170 --> 00:09:41.233]  But the terrorist army now has long-range artillery and thousands of automatic weapons, courtesy of the good ol' USA.
[00:09:41.914 --> 00:09:52.898]  Now I know that some of you don't want to hear about this right now, and I'll admit that it's a tough pill to swallow, but we all need to wake up and understand what's really going on right now.
[00:09:53.638 --> 00:09:53.998]  The U.S.
[00:09:54.038 --> 00:09:58.703]  State Department is coordinating uprisings throughout the entire Middle East.
[00:09:59.404 --> 00:10:03.988]  These nations have been deliberately targeted for destabilization.
[00:10:04.569 --> 00:10:08.833]  And ISIS, like Al Qaeda, is an American creation.
[00:10:10.560 --> 00:10:17.545]  The West didn't want stable, secular, upright, prosperous Middle Eastern countries.
[00:10:17.845 --> 00:10:23.029]  There was a major school of that there, going back to the time of Egypt and before.
[00:10:23.930 --> 00:10:31.816]  So when you hear about Ronald Reagan or Jimmy Carter, quote, creating Al Qaeda and having them attack the Russians, they didn't create them.
[00:10:33.057 --> 00:10:40.022]  There was a relationship going back to British intelligence before that, again, specifically in Afghanistan, not just in Saudi Arabia.
[00:10:42.972 --> 00:11:03.754]  And so when we then see Obama caught with Benghazi giving 15,000 surface-to-air MPAD missiles that can shoot down aircraft all day long and all these other weapons to the Al-Qaeda rebels in Syria,
[00:11:04.707 --> 00:11:20.887]  And the whole thing that's happened in Iraq, all of it, has been orchestrated by the globalists in DC, in London, in Tel Aviv, in Istanbul, formerly Constantinople.
[00:11:22.068 --> 00:11:24.231]  And so there is no debating.
[00:11:26.653 --> 00:11:33.260]  That the people running our government planned this whole deal, this war against ISIS is totally staged.
[00:11:33.700 --> 00:11:40.167]  The only reason it's happening is that there's such public education now about who really runs this and that it's Al Qaeda.
[00:11:40.427 --> 00:11:45.772]  They changed the name two or three times to IS to ISIS.
[00:11:46.853 --> 00:11:52.465]  Back to IS, now to the Caliphate, back to the Caliphate to confuse you.
[00:11:52.986 --> 00:11:58.577]  It's just absolute brainwashing with a public that doesn't even know who the players are.
[00:12:00.111 --> 00:12:07.014]  Al-Qaeda in Iraq, four years ago, was allowed to set up bases in the west of Iraq and invade eastern Syria.
