[00:00:08.203 --> 00:00:12.810]  The most humbling part of my job is serving as Commander-in-Chief to the world's finest military.
[00:00:13.511 --> 00:00:19.661]  And there's nothing I take more seriously than my responsibility to those who sacrifice their own safety to defend ours.
[00:00:20.503 --> 00:00:25.586]  That's why Michelle and I have made supporting veterans and military families a top priority from the start.
[00:00:25.666 --> 00:00:29.628]  Well, as you can see, the President's number one priority is veteran care.
[00:00:30.108 --> 00:00:37.271]  Now, a lot of people don't know this, but President Obama, back in 2007, was on the Senate Veterans Affairs Committee, and he still is.
[00:00:37.291 --> 00:00:42.034]  I mean the specific allegations that I think were reported first by your network out of Phoenix, I believe.
[00:00:42.794 --> 00:00:45.276]  Uh, we learned about them through, uh, the reports.
[00:00:45.356 --> 00:00:49.279]  Uh, that's when we learned about them, and that's when, as I understand it, Secretary Shinseki learned about them.
[00:00:49.379 --> 00:00:54.143]  No, I find it hard to believe that Jake Harness as a president just now found out about this when it came out on the news.
[00:00:54.463 --> 00:00:56.045]  Hey sir, you can't come on property!
[00:00:56.665 --> 00:00:57.966]  Okay, we're just gonna get our vehicle then.
[00:00:59.087 --> 00:00:59.447]  We'll leave.
[00:01:01.269 --> 00:01:01.789]  What's that?
[00:01:01.809 --> 00:01:02.910]  We'll get our vehicle and leave then.
[00:01:02.950 --> 00:01:05.332]  We were just trying to- we're doing- Just stay off the property from me.
[00:01:05.859 --> 00:01:06.620]  I can't get my car?
[00:01:07.040 --> 00:01:09.883]  This has been a chaos of media.
[00:01:09.903 --> 00:01:11.825]  We have so much media.
[00:01:11.845 --> 00:01:15.790]  Sir, they are with InfoWars magazine, talk show.
[00:01:16.190 --> 00:01:16.871]  We're doing a report.
[00:01:16.891 --> 00:01:17.712]  That's what we're kind of saying.
[00:01:17.732 --> 00:01:21.976]  We're doing stuff on veteran suicides and how people think that they can help kind of fix it.
[00:01:21.996 --> 00:01:23.518]  That's all.
[00:01:23.618 --> 00:01:25.440]  Any media can't be done on property.
[00:01:25.720 --> 00:01:27.602]  Let me get your information if you don't mind, sir.
[00:01:27.836 --> 00:01:31.297]  I just got kicked off the VA in Austin Center by police.
[00:01:31.977 --> 00:01:39.559]  And all I said I was going to do was interview a few veterans walking through the parking lot and ask them a few questions about suicide awareness with veterans.
[00:01:39.999 --> 00:01:44.040]  And they said I couldn't be there on property because of the scandal going on right now.
[00:01:44.240 --> 00:01:45.680]  Now this says a lot about our government.
[00:01:45.740 --> 00:01:49.901]  Instead of fixing the problem, they'd rather just sweep it under the mat and forget all about it.
[00:01:50.301 --> 00:01:55.082]  Today I interviewed two soldiers who gave me their accounts of mistreatment at VA clinics.
[00:01:55.402 --> 00:02:07.405]  You said while you were in the service, you were, you know, drugged quite a bit by the military, you know, excessive amounts of painkillers that would get you, you know, over time, you would be addicted to things like that.
[00:02:07.825 --> 00:02:12.586]  You know, give me a little background on that and what you experienced with the mass drugging.
[00:02:12.606 --> 00:02:20.128]  Oh, the mass drugging, one of my duty stations after Fort Campbell, pretty much
[00:02:22.034 --> 00:02:24.836]  I mean, you're in pain, they wrote you a prescription.
[00:02:25.557 --> 00:02:30.360]  You're freaking going cuckoo, or say you're feeling this way, this way, they wrote you a prescription.
[00:02:30.861 --> 00:02:34.423]  It pretty much was like, we'll write you a prescription for this, we'll write you a prescription for that.
[00:02:35.084 --> 00:02:39.927]  And there's people that I know that will attest that I was pretty much in a zombie-like state.
[00:02:40.247 --> 00:02:43.650]  They sent me to therapy when I was in Colorado.
[00:02:44.571 --> 00:02:49.835]  But the therapy they sent me to there was a civilian-run contractor, and at the civilian-run facility,
[00:02:50.515 --> 00:02:52.997]  They pretty much drug me even more and more and more.
[00:02:53.478 --> 00:02:57.121]  So that necessarily wasn't the military's fault, that was just another facility's fault.
[00:02:58.942 --> 00:03:03.987]  When I got out of the army, my friends can attest to this, I was a train wreck.
[00:03:04.767 --> 00:03:11.753]  I literally was a train wreck, a zombie, hated life, hated everything, didn't know what I was going to do, and it was just awful.
[00:03:12.053 --> 00:03:15.857]  I mean, you thought people were kind of coming after you for a bit of time there though, didn't you?
[00:03:16.508 --> 00:03:17.308]  Oh yeah, I did.
[00:03:17.508 --> 00:03:27.232]  It's normal with PTSD to have some paranoia, which I still suffer with right now, but the amount of paranoia I was having at the time when I first got out was ridiculous.
[00:03:27.332 --> 00:03:32.695]  I mean, I had friends stop talking to me because they thought that I was going nuts.
[00:03:35.256 --> 00:03:40.718]  The problem was that the medication doctors there, they were all about some pills just
[00:03:41.789 --> 00:03:42.651]  Here, take this.
[00:03:43.052 --> 00:03:45.858]  You know, it'll maybe make you feel better.
[00:03:45.878 --> 00:03:47.982]  It was nothing with side effects all the time.
[00:03:48.042 --> 00:03:50.027]  It drove me to do nothing but want to drink and...
[00:03:51.158 --> 00:03:52.979]  Pack on a bunch of weight and everything else.
[00:03:53.119 --> 00:03:56.100]  I mean, all the side effects one had over the other.
[00:03:56.140 --> 00:03:57.101]  What kind of pills did they give you?
[00:03:57.121 --> 00:04:00.262]  Did they give you antidepressants, pain pills, things like that?
[00:04:00.282 --> 00:04:03.464]  When I first got out, they were giving me tranquilizer.
[00:04:04.384 --> 00:04:06.065]  I mean, just sedatives, basically.
[00:04:06.285 --> 00:04:11.527]  It's supposed to make you happier, but in essence, for a lot of us, it just kind of seems like it makes you more depressed.
[00:04:11.547 --> 00:04:12.988]  You weren't even seeing real doctors.
[00:04:13.048 --> 00:04:16.890]  It took me, I think, four months before I actually seen an actual psychologist.
