[00:00:00.449 --> 00:00:03.371]  Now malaria is, of course, transmitted by mosquitoes.
[00:00:03.851 --> 00:00:07.813]  I brought some here so you could experience this.
[00:00:07.833 --> 00:00:13.056]  We'll let those roam around the auditorium a little bit.
[00:00:14.497 --> 00:00:18.539]  There's no reason only poor people should have the experience.
[00:00:21.024 --> 00:00:26.865]  That was Bill Gates laughing about how he plans to use mosquitoes to force Medicaid against malaria.
[00:00:27.286 --> 00:00:35.908]  With horrible side effects accompanying voluntary vaccinations, I for one want to be in control of the needle, whether it comes from a pharmacist or a mosquito's face.
[00:00:36.848 --> 00:00:43.790]  In a world where taking too much cough syrup can send you to the hospital, can't taking too many vaccinations do the same thing?
[00:00:44.470 --> 00:00:48.391]  That's exactly what Nazi scientists were hoping for during World War II.
[00:00:49.591 --> 00:00:53.335]  They wanted to use mosquitoes as bioweapons to poison their opposition.
[00:00:53.856 --> 00:00:58.140]  A dream that was fulfilled when they switched out the mosquitoes for ticks on Plum Island.
[00:00:58.801 --> 00:01:00.142]  Years ago, the U.S.
[00:01:00.162 --> 00:01:06.129]  government brought Nazi mines to the states under Operation Paperclip to carry out various scientific functions.
[00:01:06.809 --> 00:01:10.713]  On Plum Island, Eric Traub experimented with ticks as bioweapons.
[00:01:11.334 --> 00:01:16.757]  In the 1970s, Lyme, Connecticut had an outbreak of what is now known as Lyme disease.
[00:01:17.137 --> 00:01:22.340]  There have been other strange occurrences that many speculate are related to the work done on Plum Island.
[00:01:22.820 --> 00:01:25.342]  So go ahead, opt out of vaccinating your child.
[00:01:25.742 --> 00:01:27.923]  Bill Gates and Eric Traub have the medicine.
[00:01:28.243 --> 00:01:31.145]  You can find more reports at InfoWars.com.
[00:01:39.997 --> 00:01:47.840]  The globalists have controlled the mainstream media for a long time, but now they're expanding, making the weaponization even more vicious and deceptive.
[00:01:48.120 --> 00:01:50.180]  All the major networks are state-run.
[00:01:50.340 --> 00:01:53.001]  We are partnering this year with the NFL.
[00:01:53.041 --> 00:01:57.143]  The NFL has become a political weapon against the Second Amendment and pushes Obamacare.
[00:01:57.463 --> 00:02:00.624]  MSNBC tells us that our children belong to the state.
[00:02:00.644 --> 00:02:07.886]  We have to break through our kind of private idea that kids belong to their parents, or kids belong to their families, or recognize that kids belong to whole communities.
[00:02:08.046 --> 00:02:19.150]  The brainwashing media machine has been turned up on high and it's time for humanity to double down on the true people's media and strike back against the tyrants that are destroying our civilization with their lies and fraud.
[00:02:19.330 --> 00:02:20.710]  We are the resistance.
[00:02:20.990 --> 00:02:22.351]  You are the resistance.
[00:02:22.711 --> 00:02:24.271]  You are the info war.
[00:02:24.451 --> 00:02:28.573]  It is more important than ever to realize that we are not the alternative media.
[00:02:28.753 --> 00:02:30.413]  We are the true media.
[00:02:30.553 --> 00:02:33.154]  The establishment dinosaur press is dying.
[00:02:33.234 --> 00:02:36.898]  We are in an information war, and we are losing that war.
[00:02:36.998 --> 00:02:41.122]  Join us at InfoWarsNews.com and PrisonPlanet.tv.
[00:02:41.342 --> 00:02:44.205]  Members can share their memberships with up to 11 people.
[00:02:44.305 --> 00:02:51.892]  By subscribing, you will literally be buying war bonds in the info war to expand our operation in the face of the tyrants.
[00:02:52.192 --> 00:02:53.914]  Join us at PrisonPlanet.tv.
