[00:00:01.607 --> 00:00:04.528]  Coast to Coast, direct from Austin.
[00:00:05.208 --> 00:00:08.489]  You're listening to the Alex Jones Broadcasting Network.
[00:00:17.431 --> 00:00:24.852]  We now take you live to the Central Texas Command Center, in the heart of the resistance.
[00:00:26.172 --> 00:00:28.313]  Rallying patriots worldwide,
[00:00:32.542 --> 00:00:35.179]  You're listening to The Alex Jones Show.
[00:00:51.909 --> 00:01:00.273]  This is the Alex Jones Show with me, Paul Joseph Watson, filling in for Alex Jones on this September 28th, 2014 edition.
[00:01:00.293 --> 00:01:02.114]  Huge show lined up for you.
[00:01:02.154 --> 00:01:08.417]  We've got several YouTube clips, a ton of news stories, many interesting issues to cover.
[00:01:08.998 --> 00:01:19.183]  Obviously, I'm in Austin, Texas for the first time since 2005, my first time in Austin for nine years now, and one of the big stories that we're going to cover
[00:01:19.483 --> 00:01:36.230]  Actually sprung out of me simply traveling through the airport and buying a copy of Foreign Affairs, which is right here, which of course is the CFO's publication, which as Hillary Clinton and others have admitted, basically runs the State Department of the United States.
[00:01:36.730 --> 00:01:41.697]  And this is particularly interesting because they have basically three or four articles.
[00:01:41.737 --> 00:01:53.753]  They devote half of the magazine to what they call the American distemper, the land of decay and dysfunction, and the primary article that we're going to cover
[00:01:54.674 --> 00:02:10.851]  Exemplifies how the elites are in a panic about the populist uprising both in the United States with the Tea Party and in Europe with the UK Independence Party and the numerous other factions across the European Union that are rebelling against the establishment.
[00:02:11.231 --> 00:02:15.215]  The key quotes out of the article which we're going to read through, we're going to analyse
[00:02:16.076 --> 00:02:37.031]  Exemplify again how the elite are completely in a blind panic about the populist uprising that goes against the state system, the monopoly system that the globalists are trying to establish both across America and Europe with what we see now in 2016 with Hillary Clinton going up against Rand Paul in all likelihood.
[00:02:37.831 --> 00:02:57.906]  And they say directly that they need to, quote, co-opt the populist uprising to kind of send this off into a rabbit hole to acknowledge the fact that people have got these concerns about national identity, about the general decline in living standards, and that they need to hijack
[00:02:58.166 --> 00:03:22.196]  That feeling of disenfranchisement that is sweeping America and sweeping Europe and send that off into a rabbit hole where it's acknowledged, so it's kind of diffused into elements of political engagement which never really achieves what the UK Independence Party, what the Tea Party in the United States of America are trying to accomplish.
[00:03:22.896 --> 00:03:23.817]  So we're going to cover that.
[00:03:23.997 --> 00:03:27.320]  That is really a huge issue because the elite are talking about it.
[00:03:27.741 --> 00:03:34.006]  Again, they know that most people don't buy Foreign Affairs because it's $9.95 to buy.
[00:03:34.066 --> 00:03:35.348]  It's a magazine, basically.
[00:03:35.748 --> 00:03:39.051]  You know, $15, $16 in the US, so the elite are reading this.
[00:03:39.431 --> 00:03:48.400]  The normal, average, working class, middle people aren't reading this, and yet it's the game plan for what they see across Europe and across America.
[00:03:48.941 --> 00:03:50.104]  In the next couple of years.
[00:03:50.546 --> 00:03:52.652]  We've also got David Cameron coming up.
[00:03:52.953 --> 00:03:56.022]  He did a big UN speech a couple of days ago talking about how...
[00:03:57.565 --> 00:04:08.895]  Anyone who questions the official government narrative about 7-7 or about 9-11 is basically akin, is as dangerous as an ISIS terrorist.
[00:04:09.675 --> 00:04:11.577]  Amazing clip that we've got coming up.
[00:04:11.597 --> 00:04:17.882]  You have to hear what David Cameron said in front of the United Nations just two or three days ago.
[00:04:19.223 --> 00:04:23.547]  And again how it ties into how they're characterizing
[00:04:24.287 --> 00:04:35.097]  Any questioning of the government narrative on ISIS, which as we have documented with the recent spate of beheading videos, is extremely suspicious, extremely questionable.
[00:04:35.758 --> 00:04:37.279]  They're very concerned about that.
[00:04:37.619 --> 00:04:38.540]  So we're going to cover that.
[00:04:38.560 --> 00:04:45.567]  We're going to cover the Saudis saying that the true agenda behind the attack on ISIS in Syria, in Iraq,
[00:04:46.187 --> 00:04:50.250]  is about overthrowing Assad, regime change in Syria.
[00:04:50.550 --> 00:04:53.532]  We've got David Knight in studio to cover some more key issues.
[00:04:53.872 --> 00:04:55.013]  This is going to be a great show.
[00:04:55.053 --> 00:04:55.613]  Stay tuned.
[00:04:55.633 --> 00:04:57.635]  We've got numerous YouTube clips coming up.
[00:04:57.995 --> 00:04:59.116]  Your calls come in later.
[00:04:59.556 --> 00:05:00.977]  This is the Alex Jones Show.
[00:05:01.357 --> 00:05:02.638]  Infowars.com.
[00:05:03.118 --> 00:05:03.759]  Stay right there.
[00:05:09.230 --> 00:05:18.757]  Using unparalleled research and the development of a synergistic formulation based around the key concepts of super-oxygenation, the next level in cleansing is here.
[00:05:18.897 --> 00:05:28.644]  With key ingredients backed by real clinical studies, the new Oxy-Powder, available through InfoWars Life, was invented during Dr. Group's research on the toxification of our bodies.
[00:05:28.824 --> 00:05:31.746]  Many herbal colon cleansers are harsh on the body.
[00:05:31.946 --> 00:05:32.567]  I think so.
[00:05:46.903 --> 00:05:47.163]  We're good.
[00:06:22.498 --> 00:06:31.303]  It is only fitting that a free scream should sound the alarm against those who would destroy freedom.
[00:06:31.884 --> 00:06:39.568]  For in its power to deceive and inflame, or enlighten and inspire, the motion picture has no equal.
[00:06:50.270 --> 00:06:52.591]  This is the Alex Jones Show, the Sunday edition.
[00:06:52.651 --> 00:06:55.353]  I'm Paul Joseph Watson filling in for Alex Jones.
[00:06:55.993 --> 00:07:05.158]  Riding shotgun is David Knight with some key stories about the Tokyo eruption, 160 miles west of Tokyo we had this major volcanic eruption.
[00:07:05.618 --> 00:07:13.723]  And of course the Hong Kong protests which have been raging over the past couple of days against the imposition of Chinese influence on Hong Kong.
[00:07:13.763 --> 00:07:15.464]  David Knight, tell us about what's coming up.
[00:07:16.104 --> 00:07:18.064]  Well yeah, we've got a lot of eruptions.
[00:07:18.104 --> 00:07:21.765]  We've got freedom eruption in Hong Kong as well as Catalonia.
[00:07:22.065 --> 00:07:27.587]  That's exactly what you were just talking about in the first segment, about how foreign affairs is concerned about people waking up.
[00:07:27.987 --> 00:07:38.549]  When we see the independence movements and the desire for people to have more say-so about government, to have more input into what's going to be done in their lives, we see that in Hong Kong
[00:07:39.309 --> 00:08:05.674]  Beijing is saying they want to vet all the political candidates for their elections, so they're saying basically you can have the elections We're just going to pick which candidates you can choose from now They do that in the United States in the UK, but they're a lot more subtle about it so when they got into people's faces their Hong Kong was agreed to be a self a separate autonomous region But it looks like they don't have that much autonomy, and we see the same thing happening in Catalonia where people are
[00:08:06.554 --> 00:08:07.974]  Asking for a referendum.
[00:08:08.034 --> 00:08:09.135]  Actually, they have scheduled it.
[00:08:09.515 --> 00:08:12.056]  Even though Spain is saying, that's not constitutional.
[00:08:12.276 --> 00:08:13.216]  We're not going to allow that.
[00:08:13.696 --> 00:08:17.657]  The position of the Spanish government is really pretty amazing if you stop and think about it.
[00:08:18.158 --> 00:08:26.900]  Unlike the Scottish referendum that they just had in the UK, they're saying that all of Spain needs to vote on this referendum as to whether or not the Catalonians will be allowed to leave or not.
[00:08:27.160 --> 00:08:32.762]  So it'd be like saying, no, we're not going to have that election unless England and Wales gets to vote on that.
[00:08:33.442 --> 00:08:39.266]  And actually, Catalonia has been a separate area for quite some time, culturally, linguistically.
[00:08:40.146 --> 00:08:41.847]  It's a very vital economic region.
[00:08:41.887 --> 00:08:48.931]  They believe that they can go it on their own, just like a lot of people in Texas believe we can go it on our own if given half a chance.
[00:08:49.232 --> 00:08:51.253]  So it's going to be interesting to see what happens.
[00:08:51.593 --> 00:08:55.956]  That's going to be coming up right after our elections, and what changed was yesterday
[00:08:57.096 --> 00:09:07.923]  The Prime Minister there, I believe is his title, Arthur Moss, said he scheduled the referendum after the Parliament overwhelmingly said that they wanted to give a referendum out.
[00:09:07.963 --> 00:09:10.844]  But of course the Spanish government is saying that's not going to happen.
[00:09:10.884 --> 00:09:12.585]  But there's a lot of violence in Hong Kong.
[00:09:12.965 --> 00:09:17.008]  These peaceful protests have now turned into clashes with the police.
[00:09:17.028 --> 00:09:18.789]  They've had 34 people injured there.
[00:09:19.429 --> 00:09:22.710]  And then, of course, in Japan, there was a volcanic eruption yesterday.
[00:09:22.750 --> 00:09:34.513]  The interesting thing about this, and of course, Paul, I've been on vacation, I was up in Yellowstone, so I spent the last couple of weeks walking around on top of a giant volcano, the largest one on Earth, which is... Very brave.
[00:09:35.373 --> 00:09:37.393]  Well, you never know when any of these things are going to happen.
[00:09:37.534 --> 00:09:38.654]  It's like driving down the road.
[00:09:39.960 --> 00:09:52.802]  They're telling us that we're not seeing the kind of movements, seismic movements, the kind of ground swelling and temperatures that they would anticipate in the buildup to a Yellowstone eruption.
[00:09:52.922 --> 00:09:53.343]  However,
[00:09:54.363 --> 00:09:57.607]  They didn't see anything with this Antaque volcano.
[00:09:57.807 --> 00:09:59.709]  It caught them completely by surprise.
[00:09:59.729 --> 00:10:08.399]  It had people, it had one lady who was on top of, or one individual who was on top of the mountain, taking a picture of the top of the caldera and tweeting it out just moments before it blew.
[00:10:08.419 --> 00:10:11.683]  And this is, this killed 30 people, did it?
[00:10:12.103 --> 00:10:14.025]  So far, yeah, the death toll is mounting.
[00:10:14.065 --> 00:10:24.412]  They found 30 people near the summit that are dead, but they've taken a lot of people back that were suffering from respiratory problems from the ash, also from poisonous gas for the people that were near the top.
[00:10:24.432 --> 00:10:26.594]  So everybody was hiking and climbing on this.
[00:10:26.634 --> 00:10:30.517]  They'd had a little bit of volcanic activity, but that's not unusual in any of these areas.
[00:10:30.537 --> 00:10:33.339]  You're constantly going to be having very small earthquakes.
[00:10:33.419 --> 00:10:38.042]  It was nothing that raised an alarm with any of the volcanologists that were there, the geologists.
[00:10:38.963 --> 00:10:40.545]  Nothing was put out, it just popped.
[00:10:41.065 --> 00:10:57.041]  Now, the interesting thing about Yellowstone, and I'm going to do a special report on this, is that we had research papers that came out at the beginning of this year, January 5th, two different research papers done independently, both of them said that supervolcanoes were far more unpredictable than normal volcanoes.
[00:10:57.341 --> 00:10:57.521]  Right.
[00:10:58.422 --> 00:11:01.844]  Just explode based on the buoyancy of the magma dome.
[00:11:02.124 --> 00:11:09.009]  And of course about the same time we learned that Yellowstone's magma dome is two and a half times larger than they believed before.
[00:11:09.049 --> 00:11:10.850]  They already believed it was the largest in the world.
[00:11:10.930 --> 00:11:21.337]  So that is a very troubling sign that you're not going to have to have these kinds of seismic shifts that are typically felt as earthquakes that usually precede a volcanic eruption.
[00:11:21.377 --> 00:11:23.058]  If you remember back to 1980 Mount St.
[00:11:23.098 --> 00:11:26.080]  Helens, people had a couple of months warning before that blew.
[00:11:26.140 --> 00:11:27.381]  Still you had 60 people die.
[00:11:27.681 --> 00:11:30.444]  Similar thing about a decade later with Mount Pinatubo.
[00:11:30.964 --> 00:11:32.285]  About 900 people died.
[00:11:32.325 --> 00:11:38.470]  Even though they had evacuated tens of thousands of people, they were still surprised by the magnitude of the earthquake.
[00:11:38.490 --> 00:11:43.114]  And of course they can't predict the timing, but they did have a lot of warning with that earthquake as well.
[00:11:43.254 --> 00:11:46.437]  This one in Japan today, no warning whatsoever.
[00:11:46.537 --> 00:11:47.118]  It just popped.
[00:11:48.035 --> 00:12:07.850]  That is amazing because I remember probably about six months ago now I did a video about buffalo, wild buffalo running away from Yellowstone Volcano and that was kind of dismissed at the time as, you know, we would have so far advanced warning if anything was about to happen at Yellowstone that, you know, people would get
[00:12:08.570 --> 00:12:11.113]  Really in advance warning to get away from the area.
[00:12:11.594 --> 00:12:19.744]  But as you say, with this volcano near Tokyo, 160 miles west of Tokyo, there was basically no warning whatsoever.
[00:12:19.784 --> 00:12:27.113]  So that suggests that the systems that they've got in place now are not sufficient to give people that kind of heads up.
[00:12:27.293 --> 00:12:28.474]  It's not that well understood.
[00:12:44.963 --> 00:12:48.944]  It's a very large movement of a very large number of buffalo, which made it look suspicious.
[00:12:49.265 --> 00:12:50.885]  But there were other things that happened at the same time.
[00:12:50.905 --> 00:12:53.206]  They had the largest earthquake in 30 years in April.
[00:12:53.626 --> 00:12:56.487]  In July, they had a road that melted, turned to soup.
[00:12:56.607 --> 00:12:58.448]  It was reported by a Yellowstone spokesman.
[00:12:59.108 --> 00:13:05.070]  And the first person that I talked to there, the first ranger, basically downplayed that, said it was just a bad asphalt job and it was a summer.
[00:13:05.710 --> 00:13:08.891]  I hadn't been to Firehole Lake Drive at the time I talked to her.
[00:13:08.911 --> 00:13:09.872]  I would have called her on that.
[00:13:09.912 --> 00:13:12.713]  But I do talk about it in the special report that I'm putting together.
[00:13:13.672 --> 00:13:25.836]  That was an area that had a lot of geothermal activity and two months later you can still see that that road is pretty messed up and it's messed up in the areas where the geothermal features intersect with the road or come in close proximity to it.
[00:13:26.176 --> 00:13:31.518]  So I don't think that that's, you know, there's plenty of evidence that that happens all the time in Yellowstone.
[00:13:31.538 --> 00:13:36.060]  And of course they've had much larger earthquakes, other things that have happened in terms of ground rising.
[00:13:36.120 --> 00:13:43.082]  But it does look like, according to the USGS, that they are coming into a period of increased activity and uplift in that area.
[00:13:43.522 --> 00:13:45.744]  That doesn't necessarily mean that it's going to pop.
[00:13:45.824 --> 00:13:48.506]  They don't know when it's going to pop, is the point of the new research.
[00:13:48.907 --> 00:13:52.289]  Just like they didn't know when this conventional volcano was going to pop.
[00:13:52.390 --> 00:13:54.391]  And they have a completely different mechanism.
[00:13:54.431 --> 00:14:00.016]  When it happens, of course, as we've talked about, it will be a huge event for the entire planet.
[00:14:00.216 --> 00:14:05.040]  It will be orders of magnitude worse than anything that Al Gore has imagined with global warming.
[00:14:05.721 --> 00:14:10.505]  So, it's going to be an interesting report, so I'll have that out in the next day or so.
