[00:00:00.009 --> 00:00:01.270]  Broadcasting Network.
[00:00:07.535 --> 00:00:08.195]  Big Brother.
[00:00:08.856 --> 00:00:09.897]  Mainstream media.
[00:00:10.637 --> 00:00:11.738]  Government cover-ups.
[00:00:12.399 --> 00:00:13.199]  You want answers?
[00:00:13.980 --> 00:00:14.881]  Well, so does he.
[00:00:15.521 --> 00:00:19.144]  He's Alex Jones on the GCN Radio Network.
[00:00:19.705 --> 00:00:23.788]  And now, live from Austin, Texas, Alex Jones.
[00:00:37.825 --> 00:00:39.205]  Well, it's a showdown.
[00:00:39.746 --> 00:00:55.369]  John Kerry gives Russia until Monday, just two and a half days away, to basically hand over all of their interest in eastern Ukraine or, quote, face serious repercussions.
[00:00:56.089 --> 00:01:02.311]  I think Russia's already facing the repercussions of the West destabilizing their country.
[00:01:04.298 --> 00:01:10.422]  And again, it's not that I'm saying the Russian government's flawless or perfect in this, but clearly the West is the aggressor.
[00:01:10.922 --> 00:01:18.327]  The EU globalist combine is trying to start a major destabilizing regional war that could lead to something much larger.
[00:01:23.130 --> 00:01:25.472]  Now, continuing here, ladies and gentlemen,
[00:01:26.593 --> 00:01:30.275]  Russian troops, of course, have been massing on the border with eastern Ukraine.
[00:01:30.315 --> 00:01:31.775]  New York Times reported that yesterday.
[00:01:32.135 --> 00:01:35.217]  Kremlin website today hit by powerful cyber attack.
[00:01:35.237 --> 00:01:36.357]  We're going to be breaking that down.
[00:01:36.777 --> 00:01:39.578]  Russian government banned several websites critical of the government.
[00:01:41.519 --> 00:01:42.840]  Again, war is the health of the state.
[00:01:42.860 --> 00:01:53.024]  This is going to let Putin cement power, what's happening, by the way, and will reverse any freedom reforms that were actually taking place in Russia.
[00:01:54.278 --> 00:01:57.941]  Bloomberg reports that Russia is preparing to invade East Ukraine, Estonia says.
[00:01:57.961 --> 00:02:00.042]  I mean, these are just incredible headlines.
[00:02:00.763 --> 00:02:10.210]  And they're not top news anywhere but Infowars.com and GrudgeReport.com and real media sites that actually care about not having World War III.
[00:02:11.711 --> 00:02:19.737]  And again, this is not even about... Ukraine is run by something like North Korea and the Russians are involved, so we're going to attack them to liberate people in death camps.
[00:02:21.004 --> 00:02:24.685]  No, the globalists that run our country will put in authoritarian regimes in many cases.
[00:02:25.565 --> 00:02:29.866]  They're overthrowing Ukraine because it was elected and because they didn't join the EU.
[00:02:30.086 --> 00:02:46.611]  It's just amazing that we're just here on the eve of possible destruction, surfing the apocalypse, and I mean, there's like a, I don't know, a 10% chance that we could have a hot war start.
[00:02:46.671 --> 00:02:47.831]  I'm being very conservative there.
[00:02:49.588 --> 00:02:55.252]  It could be a much higher percentage, and I told you I've had a lot of dread the last six months, and it's been intensifying exponentially.
[00:02:57.334 --> 00:02:58.174]  And there's a lot of reasons.
[00:02:58.214 --> 00:03:07.922]  The economic meltdown, the cultural decay, evil being released on every level, the heads of protection falling from our republic, clearly the Russia situation.
[00:03:09.261 --> 00:03:10.861]  The funding of Al-Qaeda publicly.
[00:03:11.522 --> 00:03:21.224]  The fact that all this is public now, that our government runs Al-Qaeda, is using the threat to take our rights, that the government's spying on us all illegally and using it to destroy their political opponents and shut down the press.
[00:03:22.344 --> 00:03:25.245]  That there's just ruthless looting going on everywhere.
[00:03:25.925 --> 00:03:29.466]  Government interests run most of the narcotics trafficking, launder the money with the big banks.
[00:03:30.738 --> 00:03:33.480]  And it's all come out, but then none of it gets reversed.
[00:03:33.520 --> 00:03:36.483]  It just gets worse and worse and worse.
[00:03:36.503 --> 00:03:42.167]  And historically, when governments don't get restrained and corporate interests don't get restrained, you get a World War I, a World War II.
[00:03:43.989 --> 00:03:46.131]  You get a huge European continent war.
[00:03:46.211 --> 00:03:48.813]  You get a Napoleonic War.
[00:03:49.233 --> 00:03:50.614]  I mean, it just follows a path.
[00:03:51.155 --> 00:03:55.658]  And I hope we don't go down this path all the way, but we've already gone down at about 80%.
[00:03:57.380 --> 00:03:58.741]  And we're fast approaching
[00:04:00.521 --> 00:04:04.463]  All out war and then Homeland Security will be used to clamp down domestically and organize the U.S.
[00:04:04.503 --> 00:04:07.545]  into a giant paramilitary force for all the wars.
[00:04:07.625 --> 00:04:11.507]  And you'll have to get in line because America's losing a war on multiple fronts.
[00:04:12.188 --> 00:04:19.992]  And they'll be able to then teach the kids how to wear dresses as little boys and put them all on drugs and forced inoculations and forced abortion and eugenics.
[00:04:21.032 --> 00:04:24.114]  Because that'll all be on the back burner now politically.
[00:04:24.454 --> 00:04:29.057]  You know, we got to do what we're told of Lord Obama with the big war going with Russia.
[00:04:30.905 --> 00:04:33.627]  And Russia's going to use this to clamp down and seize power.
[00:04:33.647 --> 00:04:36.609]  Not like Putin needed to, to begin with.
[00:04:36.749 --> 00:04:38.030]  It's just a bad situation.
[00:04:38.850 --> 00:04:40.251]  And that's putting it lightly, obviously.
[00:04:40.311 --> 00:04:43.854]  I don't have words at this point to describe how serious this is.
[00:04:43.874 --> 00:04:47.556]  Well, we're busy worrying about the Malaysian flight, but some new developments on that will give you.
[00:04:48.977 --> 00:04:55.081]  We are literally on the edge of thermal nuclear war, any way you look at it.
[00:04:56.002 --> 00:04:57.503]  And I'm sorry, that's more important than
[00:04:58.942 --> 00:05:01.404]  Justin Biebler or Cayenne West?
[00:05:02.665 --> 00:05:05.267]  Hi folks, Alex Jones here with some important information.
[00:05:05.507 --> 00:05:10.390]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[00:05:10.650 --> 00:05:18.516]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
