[00:00:12.912 --> 00:00:16.494]  Well, it sounds like the perfect script for a horror movie.
[00:00:16.854 --> 00:00:21.497]  A virus with no vaccine and no cure kills thousands of people.
[00:00:21.517 --> 00:00:23.779]  5 billion people died in 1996 and 1997.
[00:00:24.179 --> 00:00:28.902]  Almost the entire population of the world.
[00:00:31.363 --> 00:00:32.964]  Only about 1% of us survived.
[00:00:33.364 --> 00:00:37.767]  More reports of flu cases along the border, but officials are saying they aren't connected.
[00:00:38.194 --> 00:00:43.065]  Surely there's very real and very convincing data that the planet cannot survive the excesses of the human race.
[00:00:43.723 --> 00:00:48.485]  And I actually think the world will be much better when there's only 10 or 20% of us left.
[00:00:48.985 --> 00:00:50.066]  Dr. Eric Bianca.
[00:00:50.866 --> 00:01:10.814]  But most frightening was the fact that in a crowd of over 1,000 prominent scientists, local newspapers reported that 95% of those in attendance gave Bianca sustained standing ovations every time he extolled the virtues of mass culling microbes and man's destruction.
[00:01:11.607 --> 00:01:17.209]  And went on to laud the virtues of Ebola, because it would kill 90% of the world population quickly.
[00:01:18.089 --> 00:01:28.672]  The World Health Organization said on Tuesday the Ebola death toll jumped by almost 200 in a single day to at least 2,296, and is likely to be higher than that.
[00:01:29.112 --> 00:01:39.435]  The head of the US Centers for Disease Control confirmed Tuesday that West Africa is in a desperate situation, but that there is still hope that the outbreak can be reined in.
[00:01:39.915 --> 00:01:48.302]  A top German virologist has caused shockwaves by asserting that it's too late to halt the spread of the Ebola virus.
[00:01:48.382 --> 00:01:53.366]  In other news, the CDC is receiving reports of a possible flu outbreak in San Francisco.
[00:01:54.206 --> 00:02:03.254]  If the symptoms were first detected in Philadelphia on December 27, 1996, that makes us know that... It was released in Philadelphia probably on December 13, 1996.
[00:02:03.834 --> 00:02:06.996]  And it was seen sequentially after that in...
[00:02:08.248 --> 00:02:17.277]  San Francisco, New Orleans, Rio de Janeiro, Rome, Kinshasa, Karachi, Bangkok, then Peking.
[00:02:17.657 --> 00:02:22.182]  Rome, Kinshasa, Karachi, Bangkok, and Peking.
[00:02:22.202 --> 00:02:24.204]  That's some trip you're taking, sir.
[00:02:24.224 --> 00:02:25.205]  Is this all in one week?
[00:02:25.585 --> 00:02:25.906]  Business.
[00:02:27.729 --> 00:02:34.231]  One of the two Americans infected with the Ebola virus has arrived in Atlanta from Africa for treatment.
[00:02:34.251 --> 00:02:40.814]  The Massachusetts doctor arrived at the Nebraska Medical Center just before dawn this morning to be treated for Ebola.
[00:02:41.234 --> 00:02:46.336]  And right now, his or her blood sample is on its way to the Centers for Disease Control.
[00:02:46.356 --> 00:02:50.677]  The new ability to wage war is born from the blood of an infected person.
[00:02:51.598 --> 00:02:52.138]  There you see?
[00:02:53.238 --> 00:02:54.659]  Also invisible to the naked eye.
[00:02:55.595 --> 00:02:59.638]  It doesn't even have an odor.
[00:03:00.399 --> 00:03:05.202]  This Ebola outbreak is unprecedented and has become the deadliest on record.
[00:03:05.522 --> 00:03:07.264]  Ebola is now an epidemic.
[00:03:08.444 --> 00:03:14.149]  You start to get a sense of the rapid escalation now we're seeing of the virus.
[00:03:14.169 --> 00:03:21.114]  Imagine a virus, the most terrifying virus you can, and then imagine that you and you alone have the cure.
[00:03:21.539 --> 00:03:30.464]  Without specific drugs or a vaccine for Ebola, the only thing doctors can do for those suffering from this disease is treat their symptoms.
[00:03:30.804 --> 00:03:33.666]  Ebola is not spread through the air like the flu.
