[00:00:00.009 --> 00:00:00.814]  Alex Jones Show!
[00:00:15.765 --> 00:00:19.947]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:20.607 --> 00:00:21.408]  You want answers?
[00:00:22.188 --> 00:00:23.069]  Well, so does he.
[00:00:23.729 --> 00:00:27.331]  He's Alex Jones on the GCN Radio Network.
[00:00:27.931 --> 00:00:31.993]  And now, live from Austin, Texas, Alex Jones.
[00:00:40.557 --> 00:00:51.683]  Well, the cover-up of just how serious the Ebola crisis is is accelerating right now on this Thursday, 16th day of October, 2014 transmission.
[00:00:52.184 --> 00:00:53.264]  I'm your host Alex Jones.
[00:00:53.904 --> 00:01:09.233]  They are telling 911 dispatchers Fox Television out of DC is reporting not to say Ebola over the radio or when they're basically talking about a call that they're on.
[00:01:11.820 --> 00:01:17.061]  We have Obama saying there's nothing to fear, that it's a low probability that an epidemic will start in the U.S.
[00:01:19.182 --> 00:01:36.486]  Even as we learn that the second nurse to contract Ebola traveled all over the place on aircraft, and that the plane was not even cleaned, that is wiped down, they picked up the trash on the floor, but not a deep clean, for five more flights after she was on it.
[00:01:39.267 --> 00:01:39.967]  Five more flights.
[00:01:42.290 --> 00:01:53.953]  Meanwhile, Central and South American countries have announced today that they are going to cease flights from West Africa into their countries, months after Europe did this and the Middle East did it.
[00:01:55.353 --> 00:01:57.254]  And still, the U.S.
[00:01:57.594 --> 00:02:03.495]  is not just allowing the flights in, but issuing visas to whoever wants them to come.
[00:02:04.776 --> 00:02:06.476]  Rubber stamping them.
[00:02:09.571 --> 00:02:20.733]  So we have more countries issuing travel bans on Ebola-stricken nations, like Colombia and different Caribbean islands like St.
[00:02:20.933 --> 00:02:22.174]  Luke, is that how you pronounce that?
[00:02:23.514 --> 00:02:23.714]  St.
[00:02:23.774 --> 00:02:24.174]  Lucia?
[00:02:25.514 --> 00:02:29.655]  But not the United States.
[00:02:29.855 --> 00:02:33.196]  We are the Ebola vomit bag.
[00:02:34.776 --> 00:02:37.797]  The Obama, excuse me, Ebola toilet.
[00:02:38.800 --> 00:02:41.021]  You know, memes are very, very powerful.
[00:02:42.781 --> 00:02:45.802]  And that's why we've launched this contest that's only running for another week.
[00:02:47.583 --> 00:02:57.986]  So go to infowars.com forward slash contest, print off the flyers, hang them up, shoot video of it, send us the video, we'll post it, and then a week later on Halloween, I will announce the winner.
[00:03:00.846 --> 00:03:02.447]  Hashtag Ebola contest.
[00:03:03.575 --> 00:03:05.876]  And they say it's racist to tie Obama to Ebola.
[00:03:06.396 --> 00:03:11.638]  Well, no, we're going to tie collectivism to the disease and the fact the government's helping push it.
[00:03:12.398 --> 00:03:14.899]  That's the whole point of this contest, ladies and gentlemen.
[00:03:15.240 --> 00:03:16.620]  So get out there and don't wait.
[00:03:17.000 --> 00:03:18.581]  Shoot the videos now.
[00:03:18.681 --> 00:03:20.602]  And everybody wins by getting the word out.
[00:03:21.802 --> 00:03:25.244]  There's obviously a global stock market plunge going on.
[00:03:25.264 --> 00:03:26.004]  The U.S.
[00:03:26.164 --> 00:03:28.325]  stock market, the Dow Jones Industrial Average,
[00:03:29.343 --> 00:03:37.705]  We'll show TV viewers a document cam shot of this, has lost its last six months gains just since October began.
[00:03:39.066 --> 00:03:48.028]  Now the Plunge Protection Team, or the President's Committee on Open Markets, set up after the 87 crash, could have pumped this up any time they wanted to.
[00:03:51.014 --> 00:03:58.835]  And clearly what they're doing is testing the population to see what they'll do if they allow it to continue to drop.
[00:03:59.156 --> 00:04:10.258]  But something that Max Keiser and many others predicted would happen this year is now happening, is now taking place.
[00:04:11.638 --> 00:04:15.839]  And that is a run on Treasuries
[00:04:18.427 --> 00:04:20.428]  Bulls run for the exit.
[00:04:20.488 --> 00:04:24.569]  Rising concerns about the global economy triggered a flash crash in U.S.
[00:04:24.609 --> 00:04:33.412]  Treasury yields yesterday as losses spread across stock markets and a new wave of investors appeared to give up on their bullish bets.
[00:04:34.513 --> 00:04:46.757]  Yeah, I was downtown yesterday and saw a lot of depressed yuppies looking at their smartphones and talking to each other and saying, gee, I wish I knew how to run these put options better, or gee, I wish I knew how to make it short better.
[00:04:47.981 --> 00:04:49.142]  It's all shaking their heads.
[00:04:49.903 --> 00:04:53.967]  And I looked at two different groups of businessmen and I said, don't you understand it's all rigged?
[00:04:53.987 --> 00:04:55.149]  You need to work for Goldman Sachs.
[00:04:56.270 --> 00:04:58.012]  Don't, don't ever go the direction.
[00:04:58.973 --> 00:05:07.722]  Anytime that it's going to new highs, you know, they're going to plunge it to reel in all the little fish, bring in the nets, but you like being preyed upon.
[00:05:07.742 --> 00:05:08.363]  You can't help it.
[00:05:09.744 --> 00:05:12.946]  When cells become toxic, they die early and aging sets in.
[00:05:13.247 --> 00:05:21.273]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:05:21.493 --> 00:05:26.536]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:05:26.917 --> 00:05:29.198]  You want the best that's out there at the lowest price anywhere?
[00:05:29.459 --> 00:05:31.240]  We now have the synergistic solution.
[00:05:31.560 --> 00:05:35.743]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:05:39.847 --> 00:05:43.348]  The government's Department of Homeland Security is buying up loads of ammo.
[00:05:43.508 --> 00:05:47.469]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:05:47.790 --> 00:05:49.230]  Can you put two and two together?
[00:05:49.550 --> 00:05:57.132]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:05:57.413 --> 00:05:58.253]  But for how long?
[00:05:58.553 --> 00:06:04.815]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:06:05.195 --> 00:06:08.016]  Infidel Body Armor just won't quit.
[00:06:09.451 --> 00:06:10.432]  The experts are clear.
[00:06:10.772 --> 00:06:17.718]  Sunlight, purified water, healthy non-GMO food, and having a good attitude is essential to a healthy immune system.
[00:06:17.878 --> 00:06:24.144]  But I go further with Super Nascent Iodine X2 from Infowarslife.com.
[00:06:24.164 --> 00:06:27.727]  50% stronger than our original and revolutionary Nascent Iodine formula.
[00:06:27.867 --> 00:06:31.768]  Coming from a deep earth crystal source that no other supplier has.
[00:06:32.088 --> 00:06:37.130]  Most other forms of iodine come from seaweed in areas plagued by Fukushima and other contaminants.
