[00:00:19.821 --> 00:00:21.803]  Welcome to the Infowars Nightly News.
[00:00:21.903 --> 00:00:23.105]  I'm your host, Jakari Jackson.
[00:00:23.425 --> 00:00:26.688]  It's July 30th, 2014, and let's get straight into our news tonight.
[00:00:27.269 --> 00:00:30.112]  Now, we here at Infowars are no strangers to controversy.
[00:00:30.152 --> 00:00:32.715]  It seems that people have an issue with documented fact.
[00:00:33.195 --> 00:00:39.322]  But, you know, every now and then, or should I say more than every now and then, people come out and attack us for completely fictional reasons.
[00:00:39.742 --> 00:00:43.263]  Such as saying that we believe in pixies or, you know, other mythical creatures.
[00:00:43.323 --> 00:00:45.243]  I'm surprised they didn't say we believe in the Pegasus.
[00:00:45.544 --> 00:00:49.445]  But now we have Keith Overman coming out and saying that he doesn't like InfoWars.
[00:00:49.465 --> 00:00:52.905]  He doesn't like DredgeReport.com and a bizarre Twitter rant.
[00:00:53.286 --> 00:00:58.807]  And it's very likely linked to the Daily Beast article where they say that we here at InfoWars are moon landing deniers.
[00:00:59.167 --> 00:01:01.730]  And we've had many guests on our show and they believe in various things.
[00:01:01.790 --> 00:01:09.238]  It doesn't necessarily believe that we believe everything our guests are saying, but you know, for the record, I do believe that we landed on the moon and Alex Jones does as well.
[00:01:09.578 --> 00:01:16.185]  But Mr. Oberman, he came directly at one Paul Joseph Watson and who better to talk about that exchange than Paul Joseph Watson himself.
[00:01:17.022 --> 00:01:37.288]  Well this took another bizarre twist this morning when Keith Olbermann, who of course was hugely respected for his anti-Bush rants around six to eight years ago, then of course basically disappeared into obscurity once Barack Obama was elected and pacified all the MSNBC leftists.
[00:01:38.288 --> 00:01:42.570]  He engaged in a vitriolic rant targeted at me
[00:01:43.619 --> 00:01:48.764]  And Matt Drudge, calling us the perfect trilogy, along with Lionel Media.
[00:01:49.304 --> 00:01:54.009]  Perfect trilogy of paranoia, sophistry, tinfoil ass hattery.
[00:01:54.890 --> 00:01:59.073]  So this came completely out of nowhere, I'll tell you how it links to Rand Paul in a moment.
[00:02:00.395 --> 00:02:02.677]  And it quickly developed into a back and forth.
[00:02:03.357 --> 00:02:07.741]  I said I may look young, but I'm old enough to remember when Keith Olbermann wasn't totally irrelevant.
[00:02:08.578 --> 00:02:09.979]  He responded, you don't look young.
[00:02:10.739 --> 00:02:14.201]  I responded back, in the words of Bob Dylan, I'm younger than you.
[00:02:14.922 --> 00:02:16.983]  When were you last doing serious media?
[00:02:17.263 --> 00:02:18.104]  Eight years ago?
[00:02:18.124 --> 00:02:20.585]  And it went on and on.
[00:02:21.446 --> 00:02:26.749]  And my last message was, you know, seriously Keith, I had huge respect for you.
[00:02:27.449 --> 00:02:29.871]  Now you're throwing ad homonyms on Twitter.
[00:02:30.351 --> 00:02:31.212]  Disappointed.
[00:02:32.011 --> 00:02:35.552]  And then he went on to state that I believe in pixies, elves and conspiracies.
[00:02:36.193 --> 00:02:52.539]  Now this is quite bizarre because although Olbermann is now obviously off MSNBC, he's off Al Gore's TV network, he's doing a late night sports show on ESPN, you know he's still got over half a million followers on Twitter.
[00:02:53.620 --> 00:02:57.201]  Why is he attacking me and the Drudge Report?
[00:02:57.648 --> 00:03:03.773]  And things like that happen every day, and most of the time, you know, it's somebody who's just trying to make a name for themselves, trying to get back in the news cycle.
[00:03:04.173 --> 00:03:10.198]  But every now and then, there is a respected journalist who decides to take a shot at the alternative media, such as Geraldo Rivera.
[00:03:10.699 --> 00:03:12.700]  Now, Geraldo is somebody that I respect.
[00:03:12.720 --> 00:03:18.665]  You know, he's put out good reports over the years, talking about how the troops are growing opium in Afghanistan, and other good reports as well.
[00:03:18.945 --> 00:03:24.149]  So I definitely do hope that he retracts the comments that he made, talking about how drudge is fomenting a civil war.
[00:03:24.830 --> 00:03:26.931]  And he said this, he said, shame on Drudge.
[00:03:27.352 --> 00:03:31.334]  His authoritative website has gone hysterical on the issue of immigrant children.
[00:03:32.154 --> 00:03:34.556]  14 stories like, could Ebola sneak across?
[00:03:35.116 --> 00:03:38.898]  Now once again, Mr. Rivera has put out a number of good reports over the years.
[00:03:38.938 --> 00:03:40.319]  He's also been a guest on this show.
[00:03:40.379 --> 00:03:42.260]  And like I said, I hope he does retract these comments.
[00:03:42.701 --> 00:03:49.885]  But to say that Drudge's in-depth coverage is somehow blowing things out of proportion is something I respectfully disagree with.
[00:03:50.325 --> 00:03:53.988]  Because we've seen the reports about the MS-13 gang members coming across the border.
[00:03:54.308 --> 00:03:59.773]  We've seen the reports about people with diseases such as Ebola, such as tuberculosis coming over the border.
[00:04:00.414 --> 00:04:14.525]  And personally, I've been down there on the border talking to the Border Patrol agents, talking to the ICE whistleblowers who say, yes, we do have people in our facilities who have these diseases and we are very much concerned because our quarantine area is nothing more than a piece of yellow tape.
[00:04:14.806 --> 00:04:16.327]  We've talked to the Border Patrol, said, hey,
